"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
4,-98.01387,26.44249,NA,1967,"Cistothorus palustris","Cistothorus_palustris",6,NA,"male",23.1,907,5.70254462073864,127.727772679394,"Spring",21707
4,-98.01387,26.44249,NA,1967,"Cistothorus palustris","Cistothorus_palustris",6,NA,"male",23.1,907,5.70254462073864,127.727772679394,"Spring",21708
10,-117.9672431,33.7744386,"juvenile",2003,NA,"Cistothorus_palustris",6.4,NA,"male",16.2,295,2.95681032072185,146.708893752232,"Fall",21692
4,-115.5697,33.1714,"u ad.",1937,"Cistothorus palustris aestuarinus","Cistothorus_palustris",7.5,NA,"female",22.5,40,8.84871159941926,110.656667034498,"Spring",21631
7,-83.6284305,42.2917473,"immature",1938,"Cistothorus palustris palustris","Cistothorus_palustris",7.7,NA,"female",10.5,697,9.63085319861814,49.7550324537146,"Summer",21865
11,-122.3104271,37.8978545,"ad.",1921,"Cistothorus palustris paludicola","Cistothorus_palustris",8.1,NA,"female",14,478,2.64173955544219,139.394096239088,"Fall",21769
11,-119.0631294,34.3500974,"adult",2000,NA,"Cistothorus_palustris",8.2,NA,"undetermined",15.6,365,3.25990332632268,174.810066880663,"Fall",21870
4,-118.014552,36.338146,"unknown",1918,"Cistothorus palustris plesius","Cistothorus_palustris",8.4,NA,"female",14.8,170,8.60371220092604,133.247954209579,"Spring",21764
8,-124.1323646,41.1604001,"juv.",1949,"Cistothorus palustris paludicola","Cistothorus_palustris",8.5,NA,"undetermined",10.5,1001,3.39250510818936,97.8424523869778,"Summer",21557
10,-81.6545,30.3242,"ad.",1971,"Cistothorus palustris","Cistothorus_palustris",8.5,NA,"female ?",21,1202,5.36433226096787,53.4371989030029,"Fall",21566
10,-122.3765387,37.9745281,"ad.",1919,"Cistothorus palustris paludicola","Cistothorus_palustris",8.5,NA,"female",13,501,2.76124422986626,161.504082484262,"Fall",21590
5,-114.64222,34.925,"juv.",1934,"Cistothorus palustris aestuarinus","Cistothorus_palustris",8.5,NA,"female",23.5,67,7.8977701110676,126.799592819905,"Spring",21627
2,-118.131,34.814,"adult",1983,NA,"Cistothorus_palustris",8.5,NA,"female",16,319,7.50455922029463,116.482087192771,"Winter",21689
9,-76.4279394,39.0131877,NA,1966,"Cistothorus palustris","Cistothorus_palustris",8.6,NA,"female",13.1,1020,9.34676657751468,51.9960376721241,"Fall",21540
9,-83.4516334,42.3690714,NA,1994,"Cistothorus palustris","Cistothorus_palustris",8.6,NA,"female",9.6,822,10.4907607258035,39.6014211001739,"Fall",21842
6,-79.09496,43.82115,"nestl",1970,"Cistothorus palustris iliacus","Cistothorus_palustris",8.6,68,"female",7.5,763,11.1702933956747,25.1589861899289,"Summer",21909
4,-109.6833,23.05,"ad.",1929,"Cistothorus palustris plesius","Cistothorus_palustris",8.7,NA,"female",22.9,181,3.69913994918229,118.983515716679,"Spring",21614
9,-77.3138809,38.9771597,"immature",1969,"Cistothorus palustris","Cistothorus_palustris",8.7,NA,"male",12.3,1019,9.4778050137565,61.2262087061305,"Fall",21712
7,-83.7263412,42.2708397,"juvenile",1934,"Cistothorus palustris","Cistothorus_palustris",8.7,NA,"male",9.6,480,11.7842055311336,58.1051749810578,"Summer",21849
5,-118.1367378,34.6980419,"juvenile",1992,"Cistothorus palustris","Cistothorus_palustris",8.8,NA,"undetermined",16.9,259,8.22306438493509,142.939252511523,"Spring",21550
10,-118.1367378,34.6980419,NA,1989,"Cistothorus palustris","Cistothorus_palustris",8.8,NA,"female",16.9,65,7.89861898170698,127.93654374299,"Fall",21714
8,-124.1323646,41.1604001,"juv.",1949,"Cistothorus palustris paludicola","Cistothorus_palustris",8.8,NA,"female",10.5,1001,3.39250510818936,97.8424523869778,"Summer",21728
10,-122.3765387,37.9745281,"imm.?",1919,"Cistothorus palustris paludicola","Cistothorus_palustris",8.8,NA,"female",13,501,2.76124422986626,161.504082484262,"Fall",21766
10,-122.3765387,37.9745281,"imm.",1919,"Cistothorus palustris paludicola","Cistothorus_palustris",8.9,NA,"female",13,501,2.76124422986626,161.504082484262,"Fall",21592
12,-83.7274933,42.2183477,NA,1946,"Cistothorus palustris palustris","Cistothorus_palustris",8.9,NA,"in question",10.2,598,8.77325049468122,51.7678854110552,"Winter",21664
7,-81.3697,31.1503,"ad.",1951,"Cistothorus palustris griseus","Cistothorus_palustris",8.9,NA,"female",19.9,1045,6.38152518104909,66.2292427167261,"Summer",21729
10,-122.3765387,37.9745281,"unknown",1919,"Cistothorus palustris paludicola","Cistothorus_palustris",9,NA,"female",13,501,2.76124422986626,161.504082484262,"Fall",21588
10,-122.3765387,37.9745281,"imm.",1919,"Cistothorus palustris paludicola","Cistothorus_palustris",9,NA,"female",13,501,2.76124422986626,161.504082484262,"Fall",21591
7,-119.16194,38.83361,"unknown",1934,"Cistothorus palustris plesius","Cistothorus_palustris",9,NA,"male",11.7,147,7.01407135476229,116.280751883103,"Summer",21628
8,-81.4978,31.1062,"imm.",1951,"Cistothorus palustris griseus","Cistothorus_palustris",9,NA,"female",20.3,1065,6.22696968959634,62.3112228388006,"Summer",21730
9,-76.4279394,39.0131877,NA,1966,"Cistothorus palustris","Cistothorus_palustris",9.1,NA,"undetermined",13.1,1020,9.34676657751468,51.9960376721241,"Fall",21541
4,-117.02195,36.60537,"unknown",1917,"Cistothorus palustris plesius","Cistothorus_palustris",9.1,NA,"female",23.1,31,10.4880451424034,100.181653192407,"Spring",21760
3,-115.2063889,32.054722,"ad.",1928,"Cistothorus palustris plesius","Cistothorus_palustris",9.1,NA,"female",22.3,29,6.30430348446539,87.8014288556337,"Spring",21898
6,-79.09496,43.82115,"nestl",1970,"Cistothorus palustris iliacus","Cistothorus_palustris",9.1,67,"female",7.5,763,11.1702933956747,25.1589861899289,"Summer",21958
10,-95.6966263,39.0483341,"adult",1954,"Cistothorus palustris","Cistothorus_palustris",9.2,NA,"female",13.8,845,10.2905369886684,89.9334865400063,"Fall",21535
9,-118.1367378,34.6980419,NA,1996,"Cistothorus palustris aestuarinus","Cistothorus_palustris",9.2,NA,"undetermined",17.7,145,7.83157459302155,127.969772314647,"Fall",21547
5,-115.233067,37.53167,"unknown",1932,"Cistothorus palustris aestuarinus","Cistothorus_palustris",9.2,NA,"female",12.4,163,9.40989163625494,83.4493057286671,"Spring",21619
12,-116.37889,35.03639,"unknown",1956,"Cistothorus palustris plesius","Cistothorus_palustris",9.2,NA,"undetermined",19.2,28,8.63254500905343,122.639081336715,"Winter",21736
4,-109.6833,23.05,"ad.",1929,"Cistothorus palustris plesius","Cistothorus_palustris",9.2,NA,"female",22.9,181,3.69913994918229,118.983515716679,"Spring",21782
8,-83.7263412,42.2708397,"juvenile",1932,"Cistothorus palustris palustris","Cistothorus_palustris",9.2,NA,"female",9.6,875,9.77420848535325,48.9519424117505,"Summer",21830
7,-83.6284305,42.2917473,"adult",1938,"Cistothorus palustris palustris","Cistothorus_palustris",9.2,NA,"female",10.5,697,9.63085319861814,49.7550324537146,"Summer",21861
8,-79.03678,43.82399,"imm",1968,"Cistothorus palustris iliacus","Cistothorus_palustris",9.2,NA,"[female]",7.5,788,10.7333345096931,38.6744978696448,"Summer",21906
9,-76.4279394,39.0131877,NA,1966,"Cistothorus palustris","Cistothorus_palustris",9.3,NA,"female",13.1,1020,9.34676657751468,51.9960376721241,"Fall",21539
