"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-94.274,31.04448,"unknown",1964,"Cyanocitta cristata cristata","Cyanocitta_cristata",26.9,NA,"male",18.7,1013,7.49931309985768,41.6582448880009,"Summer",25717
8,-82.4333333,42.9666667,NA,1984,"Cyanocitta cristata","Cyanocitta_cristata",29,NA,"male",8.6,784,9.83420129708128,38.9539153307355,"Summer",25896
6,-79.180198,43.76973,"fledgeling",1999,"Cyanocitta cristata bromia","Cyanocitta_cristata",34.4,NA,"female",9,735,10.0493328589062,43.2863042823844,"Summer",25566
7,-83.7263412,42.2708397,"nestling",1993,"Cyanocitta cristata","Cyanocitta_cristata",35.4,NA,"female",8.8,845,10.0431003000251,46.4116604466192,"Summer",25790
6,-83.7263412,42.2708397,"nestling",2010,"Cyanocitta cristata bromia","Cyanocitta_cristata",37.5,NA,"male",10.6,931,10.929314902702,70.3967332319748,"Summer",25807
7,-79.89731,43.64558,"nestl",2001,"Cyanocitta cristata bromia","Cyanocitta_cristata",38.4,NA,"female",8.4,732,9.46327830953081,40.1545998185721,"Summer",25745
5,-83.7263412,42.2708397,"juvenile",1949,"Cyanocitta cristata bromia","Cyanocitta_cristata",42.7,NA,"female",10.4,829,9.73196467131054,23.814024239355,"Spring",25589
7,-80.277705,43.534474,"fledgeling",2002,"Cyanocitta cristata bromia","Cyanocitta_cristata",43.1,NA,"male",7.4,887,9.48980314002159,24.2384596804656,"Summer",25572
8,-83.7263412,42.2708397,"immature",1940,"Cyanocitta cristata bromia","Cyanocitta_cristata",44.8,NA,"male",8.5,807,10.7686518950314,48.2844847781589,"Summer",25577
5,-83.6130371,42.2411385,"nestling",2008,"Cyanocitta cristata bromia","Cyanocitta_cristata",45,NA,"female",9.5,958,10.2638229040675,48.2268253476469,"Spring",25641
6,-83.7263412,42.2708397,"juvenile",1939,"Cyanocitta cristata bromia","Cyanocitta_cristata",45.3,NA,"male",10.1,662,10.2795766921453,66.7450603426487,"Summer",25674
