"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-122.57359,38.02736,"nestling",2003,"Cyanocitta stelleri","Cyanocitta_stelleri",43.7,NA,"undetermined",15.3,862,4.08578466926934,115.611206976016,"Summer",28071
6,-122.7228,38.43761,"U-Juv.",1978,"Cyanocitta stelleri carbonacea","Cyanocitta_stelleri",48,NA,"female",14.4,851,4.46062741883885,141.135453731317,"Summer",28054
6,-122.141427,38.010702,"nestling",2004,"Cyanocitta stelleri carbonacea","Cyanocitta_stelleri",53.4,NA,"undetermined",15.5,498,4.81443536448334,127.271973198031,"Summer",26598
7,-122.50966,37.97559,"U-Nestling",2001,"Cyanocitta stelleri","Cyanocitta_stelleri",57,NA,"undetermined",14.5,1094,3.62491379207837,132.362616175161,"Summer",27936
7,-132.83,56.35,"AHY",1996,"Cyanocitta stelleri","Cyanocitta_stelleri",58.8,NA,"male",4.6,2737,6.61236215987398,44.1025172587807,"Summer",26925
6,-118.978,37.6339,"juvenile skull",2006,"Cyanocitta stelleri frontalis","Cyanocitta_stelleri",60.6,NA,"undetermined",5.9,598,7.31343201778672,140.128590831544,"Summer",26576
3,-121.5964589,36.07240277,"medium skull windows",2004,"Cyanocitta stelleri carbonacea","Cyanocitta_stelleri",67.7,NA,"undetermined",13.7,638,2.70234185756568,137.342327693822,"Spring",26589
5,-122.63474,38.23082,"nestling",2003,"Cyanocitta stelleri","Cyanocitta_stelleri",68.4,NA,"undetermined",14.7,738,4.18274775570782,120.138828411811,"Spring",28072
7,-109.2756175,31.9034249,"ad",1978,"Cyanocitta stelleri macrolopha","Cyanocitta_stelleri",69.8,NA,"female",8.2,957,6.76803426991825,61.5735451917433,"Summer",26919
7,-109.2586042,31.9034249,"ad",1978,"Cyanocitta stelleri macrolopha","Cyanocitta_stelleri",69.8,NA,"male",9.8,847,6.88580005694635,58.1030013759375,"Summer",27851
6,-122.24779,37.81702,"HY",2009,"Cyanocitta stelleri","Cyanocitta_stelleri",72.82,213,"male",14.4,502,3.20410484828257,131.139837369228,"Summer",27945
7,-122.8373,38.08342,"fledgling",2002,"Cyanocitta stelleri","Cyanocitta_stelleri",75,NA,"undetermined",13.4,837,2.86719956287199,179.803263946363,"Summer",28069
8,-120.50796,39.14487,"U-Juv.; Sk.Unoss",1968,"Cyanocitta stelleri frontalis","Cyanocitta_stelleri",75.4,NA,"male",7.8,1597,6.40359747376899,99.3325379822968,"Summer",27926
6,-134.555,58.3449,"HY",2005,"Cyanocitta stelleri","Cyanocitta_stelleri",75.5,NA,"undetermined",6.4,2015,5.87807946372097,38.8611785422315,"Summer",26959
4,-121.06215,39.21899,"U-Ad",1974,"Cyanocitta stelleri frontalis","Cyanocitta_stelleri",75.5,NA,"male",14.1,1169,7.16969104613091,118.924452065017,"Spring",28063
8,-114.0017241,43.3048804,NA,1948,"Cyanocitta stelleri","Cyanocitta_stelleri",76.7,NA,"female",5.7,324,9.76115911522434,67.8502269934018,"Summer",26991
3,-112.94722,37.28472,"u ad.",1973,"Cyanocitta stelleri macrolopha","Cyanocitta_stelleri",77,NA,"male",10.4,487,8.99767646774331,99.9645682508197,"Spring",27133
5,-122.311986,37.967885,"fledgling",2004,"Cyanocitta stelleri carbonacea","Cyanocitta_stelleri",77.2,NA,"undetermined",14.8,552,3.52222381544112,128.140673298705,"Spring",26599
5,-123.113521,49.261096,"adult",1993,"Cyanocitta stelleri stelleri","Cyanocitta_stelleri",80,291,"male",10.4,1044,6.01731718131977,65.7012210860907,"Spring",28148
7,-108.65,33.4,NA,1964,"Cyanocitta stelleri macrolopha","Cyanocitta_stelleri",80.8,NA,"male",6.6,739,7.73885807095751,101.789373511029,"Summer",28151
7,-122.53497,37.97865,"immature",2003,"Cyanocitta stelleri","Cyanocitta_stelleri",81.1,NA,"undetermined",15,917,3.71471276266294,117.91018307616,"Summer",27942
1,-120.5417101,38.072197,"u ad.",1938,"Cyanocitta stelleri frontalis","Cyanocitta_stelleri",81.2,NA,"undetermined",15.5,970,7.12439258442218,131.119169081749,"Winter",26813
7,-122.252115,37.86296,"large skull windows",2004,"Cyanocitta stelleri carbonacea","Cyanocitta_stelleri",81.9,NA,"undetermined",14.8,573,3.27287983651133,126.827353816389,"Summer",26600
9,-123.113521,49.261096,NA,1993,"Cyanocitta stelleri stelleri","Cyanocitta_stelleri",82,290,"female",10.4,1044,6.01731718131977,65.7012210860907,"Fall",28024
6,-134.555,58.3449,"U",2005,"Cyanocitta stelleri","Cyanocitta_stelleri",82.5,NA,"male",6.4,2015,5.87807946372097,38.8611785422315,"Summer",26951
8,-120.50731,39.15735,"U-Juv.; Sk.Unoss",1968,"Cyanocitta stelleri frontalis","Cyanocitta_stelleri",82.5,NA,"male",7.7,1622,6.38867368983199,99.3052858566275,"Summer",28053
6,-121.08834,35.53973,"juvenile",2008,"Cyanocitta stelleri","Cyanocitta_stelleri",82.64,241,"male",13.3,359,2.28552758977798,185.357966533882,"Summer",27944
8,-120.11949,38.68127,"U-Imm",2000,"Cyanocitta stelleri frontalis","Cyanocitta_stelleri",83.5,NA,"male",6.5,1329,6.32749531565982,122.159537921768,"Summer",28062
1,-122.11469,37.88872,"adult",2002,"Cyanocitta stelleri carbonacea","Cyanocitta_stelleri",84.4,NA,"male",14.7,615,4.50904814251469,178.347990398957,"Winter",27940
5,-100.34276,17.408847,NA,1971,"Cyanocitta stelleri coronata","Cyanocitta_stelleri",85,NA,"female",24.2,1163,1.0375889885166,123.434496578967,"Spring",27847
5,-107.4111166667,33.5788333333,NA,2008,"Cyanocitta stelleri","Cyanocitta_stelleri",85.5,NA,"female",10.5,421,6.80291826863273,149.962994979686,"Spring",27000
5,-119.61836,38.32825,"U-Ad",1959,"Cyanocitta stelleri frontalis","Cyanocitta_stelleri",86,NA,"male",2.4,731,6.35430538845097,134.271656978049,"Spring",28064
4,-120.6800042,38.1976503,"unknown",1936,"Cyanocitta stelleri frontalis","Cyanocitta_stelleri",86.7,NA,"female",16.7,921,6.94033009432418,145.430380059671,"Spring",26757
10,-97.8386085,17.2340968,NA,1964,NA,"Cyanocitta_stelleri",87.2,NA,"female",14.9,1095,1.33234812085713,109.71064237301,"Fall",28040
3,-92.5733333333,16.6744444444,"u ad.",1950,"Cyanocitta stelleri ridgwayi","Cyanocitta_stelleri",87.5,NA,"female",13.5,1057,0.98761267097926,77.8117725986951,"Spring",27065
7,-118.79,38.65,"u ad.",1934,"Cyanocitta stelleri frontalis","Cyanocitta_stelleri",87.5,NA,"male",10.4,140,6.85049765942725,108.39110494377,"Summer",27637
1,-122.787602,49.283419,NA,1982,"Cyanocitta stelleri","Cyanocitta_stelleri",87.5,291,"female",9.7,1868,6.05521938646172,71.1243772944723,"Winter",28020
5,-119.5486667,38.6868333,NA,2004,"Cyanocitta stelleri","Cyanocitta_stelleri",87.6,NA,"female",11.6,227,8.1045254847729,86.3867810548694,"Spring",28036
10,-119.7883,38.7190667,"adult skull",2001,"Cyanocitta stelleri ssp.","Cyanocitta_stelleri",88,NA,"female",9.2,591,7.84607120368744,124.635067269848,"Fall",26475
4,-120.6800042,38.1976503,"unknown",1936,"Cyanocitta stelleri frontalis","Cyanocitta_stelleri",88.2,NA,"female",16.7,921,6.94033009432418,145.430380059671,"Spring",27667
2,-100.84379,19.685224,"u ad.",1961,"Cyanocitta stelleri purpurea","Cyanocitta_stelleri",88.6,NA,"female",12,1173,1.77046475665161,110.246674843115,"Winter",26158
5,-120.742395,41.8959486,"u ad.",1948,"Cyanocitta stelleri frontalis","Cyanocitta_stelleri",88.8,NA,"male",5.9,556,7.59079885603138,55.1023653639579,"Spring",27022
7,-122.020047,37.606712,"juvenile skull",2003,"Cyanocitta stelleri carbonacea","Cyanocitta_stelleri",88.9,NA,"female",15.2,411,3.79457347784805,119.906127057038,"Summer",26575
