"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
10,-106.931769,34.294287,NA,1998,"Dipodomys ordii","Dipodomys_ordii",13.5,176,"male",13.9,242,8.71638564933188,115.482343173423,"Fall",28831
7,-108.5857945,40.4368028,"juvenile",1994,"Dipodomys ordii","Dipodomys_ordii",19,133,"female",9,316,10.0722240329382,70.4781179379533,"Summer",28803
9,-118.03,37.33,NA,1977,"Dipodomys ordii monoensis Grinnell, 1919","Dipodomys_ordii",21,188,"male",12.2,170,8.05554110064882,129.978341651683,"Fall",29109
7,-116.121043,38.468668,NA,2003,"Dipodomys ordii","Dipodomys_ordii",22,NA,"female",10.8,178,8.93306761251122,80.7954499311126,"Summer",28766
3,-112.9523773,40.003643,NA,1975,"Dipodomys ordii pallidus","Dipodomys_ordii",24,208,"male",9.3,232,9.70792787552337,69.7703847748986,"Spring",28928
2,-109.542201,31.876003,NA,1969,"Dipodomys ordii","Dipodomys_ordii",26,181,"male",15.6,310,7.35883307613539,128.439867091319,"Winter",29066
9,-118.0565649,37.3105509,NA,1977,"Dipodomys ordii monoensis Grinnell, 1919","Dipodomys_ordii",27,199,"female",12.2,172,8.03328303768991,129.020311584515,"Fall",28548
9,-118.0565649,37.3105509,NA,1977,"Dipodomys ordii monoensis Grinnell, 1919","Dipodomys_ordii",27,215,"female",12.2,172,8.03328303768991,129.020311584515,"Fall",28763
5,-107.58744,33.09623,NA,2013,"Dipodomys ordii","Dipodomys_ordii",27.3,210,"male",14.6,317,8.06252084798808,141.966536483689,"Spring",28891
8,-120.17653,40.84532,NA,2006,"Dipodomys ordii columbianus","Dipodomys_ordii",28,198,"male",8.7,295,8.29437103758271,83.9486705060081,"Summer",28691
6,-102.625,33.3149986,NA,1996,"Dipodomys ordii","Dipodomys_ordii",28,205,"male",15.4,400,8.18749971084894,123.224849914145,"Summer",29178
9,-108.5016666667,32.7794444444,NA,1998,"Dipodomys ordii","Dipodomys_ordii",28.5,210,"male",13.5,396,7.70739019619246,86.4658033668475,"Fall",29188
6,-106.935975,34.29136,NA,1995,"Dipodomys ordii","Dipodomys_ordii",29,203,"male",14.7,130,8.17106869609867,99.3274857991493,"Summer",28824
