"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-93.5833333,45.3,"adult",1923,"Lasionycteris noctivagans","Lasionycteris_noctivagans",3,NA,"female",6.7,556,12.6256923002506,83.6469639756476,"Summer",42658
6,-93.5833333,45.3,"adult",1923,"Lasionycteris noctivagans","Lasionycteris_noctivagans",3,NA,"female",6.7,556,12.6256923002506,83.6469639756476,"Summer",42659
9,-110.87444,43.50083,NA,1989,"Lasionycteris noctivagans","Lasionycteris_noctivagans",4,85,"female",3.6,420,10.0268238724781,51.3561744340281,"Fall",42538
5,-104.8202438,41.1399803,NA,1981,"Lasionycteris noctivagans","Lasionycteris_noctivagans",4.5,115,"undetermined",8.8,403,7.90458248375107,105.650401276275,"Spring",42528
8,-116.9709,48.6339,NA,1974,"Lasionycteris noctivagans Le Conte, 1831","Lasionycteris_noctivagans",5,99,"female",6.9,931,7.87623968116458,80.1941568719219,"Summer",42524
5,-109.20333,31.8825,NA,1955,"Lasionycteris noctivagans","Lasionycteris_noctivagans",5,98,"male",12.1,419,6.8180686859301,155.433383824522,"Spring",42608
6,-107.238663,41.79107,NA,1997,"Lasionycteris noctivagans","Lasionycteris_noctivagans",6,95,"undetermined",5.3,319,9.28062089746286,59.1535490656892,"Summer",42462
6,-109.008874,40.499855,NA,1989,"Lasionycteris noctivagans","Lasionycteris_noctivagans",6,102,"male",8.1,171,10.7248083969605,49.1666955461516,"Summer",42536
5,-107.89439,33.43887,NA,2013,"Lasionycteris noctivagans","Lasionycteris_noctivagans",6.3,98,"female",10.3,452,7.82983319610245,139.415306118554,"Spring",42593
5,-107.89439,33.43887,NA,2013,"Lasionycteris noctivagans","Lasionycteris_noctivagans",6.3,100,"male",10.3,452,7.82983319610245,139.415306118554,"Spring",42595
5,-107.89439,33.43887,NA,2013,"Lasionycteris noctivagans","Lasionycteris_noctivagans",6.6,99,"male",10.3,452,7.82983319610245,139.415306118554,"Spring",42639
5,-107.89439,33.43887,NA,2013,"Lasionycteris noctivagans","Lasionycteris_noctivagans",6.7,100,"female",10.3,452,7.82983319610245,139.415306118554,"Spring",42598
5,-107.89439,33.43887,NA,2013,"Lasionycteris noctivagans","Lasionycteris_noctivagans",6.7,99,"male",10.3,452,7.82983319610245,139.415306118554,"Spring",42637
6,-105.50167,44.29111,"adult",1997,"Lasionycteris noctivagans","Lasionycteris_noctivagans",6.9,101,"female",6.5,377,9.88509744591076,83.967995717469,"Summer",42522
5,-107.89439,33.43887,NA,2013,"Lasionycteris noctivagans","Lasionycteris_noctivagans",6.9,105,"male",10.3,452,7.82983319610245,139.415306118554,"Spring",42638
5,-109.20333,31.8825,NA,1955,"Lasionycteris noctivagans","Lasionycteris_noctivagans",6.9,106,"male",12.1,419,6.8180686859301,155.433383824522,"Spring",42640
7,-123.8033,46.6633,"unknown",1995,"Lasionycteris noctivagans","Lasionycteris_noctivagans",6.95,97,"male",11.1,2358,4.18882893883098,78.0962247785664,"Summer",42507
5,-107.89439,33.43887,NA,2013,"Lasionycteris noctivagans","Lasionycteris_noctivagans",7,104,"male",10.3,452,7.82983319610245,139.415306118554,"Spring",42599
7,-108.16,33.05,NA,1994,"Lasionycteris noctivagans","Lasionycteris_noctivagans",7,92,"male",12.2,571,7.53434560107005,86.6571590089232,"Summer",42603
