"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
7,-136.3397,66.9198,"juvenile",2005,"Lepus americanus","Lepus_americanus",350,290,"female",-4.5,412,12.8621714552969,65.5570225256361,"Summer",42665
7,-122.3964,42.9888,"juvenile",2007,"Lepus americanus","Lepus_americanus",350,275,"female",8.3,1366,6.50237718768368,70.8189959479134,"Summer",42668
7,-147.8,64.8833333333,NA,1955,"Lepus americanus","Lepus_americanus",355,289,"male",-4.1,463,13.9722343715432,81.6121670666519,"Summer",42832
6,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",368.6,309,"male",-2.3,298,13.3518895496276,97.658397159057,"Summer",43056
7,-147.8,64.8833333333,NA,1955,"Lepus americanus","Lepus_americanus",372,297,"male",-4.1,463,13.9722343715432,81.6121670666519,"Summer",43140
7,-121.99022,44.77972,"juvenile",2002,"Lepus americanus","Lepus_americanus",380,221,"male",8.8,1308,6.29479703381846,96.9536572509387,"Summer",43321
7,-121.0661,48.7753152,"unknown",1971,"Lepus americanus","Lepus_americanus",381.5,NA,"undetermined",6.5,1680,7.67646442449948,83.4750848257008,"Summer",42951
7,-121.49973,46.99494,"unknown",1975,"Lepus americanus","Lepus_americanus",383.7,282,"male",3.9,1832,6.50879940518754,84.4677297790026,"Summer",42956
6,-148.77,69.82,NA,1989,"Lepus americanus dalli","Lepus_americanus",390,240,"female",-11.3,220,16.0337428285135,40.972402799134,"Summer",43328
3,-115.4166666667,60.5833333333,"Immature",2004,"Lepus americanus","Lepus_americanus",390,390,"male",-3.7,305,14.1808449549512,45.2795831351938,"Spring",43338
6,-145.75,64.0833333333,NA,1952,"Lepus americanus","Lepus_americanus",400,293,"male",-2.2,367,13.6800008860535,100.87476134906,"Summer",42704
5,-121.33,40.41,NA,1958,"Lepus americanus klamathensis","Lepus_americanus",401.1,350,"male",7.8,1424,6.69619973634978,95.7943567390517,"Spring",43257
8,-149.6858333333,61.2922222222,NA,1994,"Lepus americanus","Lepus_americanus",416,282,"female",1.6,330,10.2760386188925,67.8797717362779,"Summer",43359
8,-147.814,64.8615,"juvenile",1960,"Lepus americanus","Lepus_americanus",426,320,"female",-2.1,304,13.0681517786216,97.6853119487822,"Summer",42751
7,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",426,313,"undetermined",-2.3,298,13.3518895496276,97.658397159057,"Summer",43051
7,-153.8588611111,61.1050833333,NA,2003,"Lepus americanus","Lepus_americanus",445,260,"female",1.1,586,10.4257075917119,77.2000730713361,"Summer",42944
7,-145.8333333333,63.75,NA,1955,"Lepus americanus","Lepus_americanus",447,305,"male",-4,869,12.8380353448318,82.2199465990402,"Summer",43148
6,-121.8661128,47.5675,"unknown",1988,"Lepus americanus","Lepus_americanus",452,296,"female",10.3,1598,5.15034567830749,61.8630238322262,"Summer",42964
6,-147.8333333333,64.8333333333,NA,1959,"Lepus americanus","Lepus_americanus",454,253,"male",-4.1,309,15.08065939801,94.9744674400382,"Summer",42728
8,-147.814,64.8615,NA,1959,"Lepus americanus","Lepus_americanus",454,260,"male",-3.9,314,14.7965188371106,95.5716641065584,"Summer",42729
7,-147.814,64.8615,NA,1959,"Lepus americanus","Lepus_americanus",454,230,"male",-3.9,314,14.7965188371106,95.5716641065584,"Summer",43045
7,-145.8333333333,63.75,NA,1955,"Lepus americanus","Lepus_americanus",465,327,"male",-4,869,12.8380353448318,82.2199465990402,"Summer",42841
7,-147.756419,64.902912,"juvenile",2010,"Lepus americanus","Lepus_americanus",474,250,"male",-1.1,318,14.4271498056668,110.68865674985,"Summer",42693
8,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",482.8,335,"male",-2.3,298,13.3518895496276,97.658397159057,"Summer",43057
7,-147.8333333333,64.8333333333,"immature",1960,"Lepus americanus","Lepus_americanus",507.5,319,"male",-2.3,298,13.3518895496276,97.658397159057,"Summer",42753
7,-122.5167,57.0333,"unknown",1962,"Lepus americanus","Lepus_americanus",517.2,343,"male",-0.2,681,9.6479704256042,73.4859764757674,"Summer",43249
6,-144.1562,63.6783,NA,2005,"Lepus americanus","Lepus_americanus",520,330,"female",-2.4,276,14.6339787253273,108.021869394434,"Summer",42661
3,-72.2333333333,44.4166666667,NA,2005,"Lepus americanus","Lepus_americanus",520,450,"male",5.1,1382,11.2035269068055,48.0492267371238,"Spring",43346
7,-147.8333333333,64.8333333333,NA,1960,"Lepus americanus","Lepus_americanus",521.5,355,"undetermined",-2.3,298,13.3518895496276,97.658397159057,"Summer",43063
7,-145.8333333333,63.75,NA,1955,"Lepus americanus","Lepus_americanus",530,330,"female",-4,869,12.8380353448318,82.2199465990402,"Summer",43150
8,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",539.6,368,"male",-2.3,298,13.3518895496276,97.658397159057,"Summer",43053
4,-121.90453,44.58282,"adult",2001,"Lepus americanus","Lepus_americanus",547.9,305,"male",7.3,1861,6.07699960855884,90.2337225250643,"Spring",43252
6,-148.3333333333,65.45,NA,1956,"Lepus americanus","Lepus_americanus",570,315,"male",-5.5,358,16.2709166082531,82.2280397910275,"Summer",42907
7,-145.8333333333,63.75,NA,1955,"Lepus americanus","Lepus_americanus",593,455,"male",-4,869,12.8380353448318,82.2199465990402,"Summer",43149
8,-119.7486,48.7022217,"unknown",1983,"Lepus americanus","Lepus_americanus",597.2,335,"female",4.3,943,7.68601149669142,63.9747594092945,"Summer",42958
6,-147.814,64.8615,"juvenile",1960,"Lepus americanus","Lepus_americanus",600,352,"male",-2.1,304,13.0681517786216,97.6853119487822,"Summer",42740
7,-145.8333333333,63.75,NA,1955,"Lepus americanus","Lepus_americanus",607,343,"female",-4,869,12.8380353448318,82.2199465990402,"Summer",42844
7,-121.0661,48.7319,"unknown",1971,"Lepus americanus","Lepus_americanus",613,NA,"undetermined",6.8,1685,7.7042442061424,83.7297165586037,"Summer",42955
7,-145.8333333333,63.75,NA,1955,"Lepus americanus","Lepus_americanus",620,342,"male",-4,869,12.8380353448318,82.2199465990402,"Summer",42842
8,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",624.8,338,"male",-2.3,298,13.3518895496276,97.658397159057,"Summer",42736
7,-145.5,64,NA,1952,"Lepus americanus","Lepus_americanus",635,341,"female",-2.9,404,13.5652938401531,90.6644898940321,"Summer",42757
7,-145.8333333333,63.75,NA,1955,"Lepus americanus","Lepus_americanus",639,433,"male",-4,869,12.8380353448318,82.2199465990402,"Summer",43146
8,-121.98279,44.6753,"Subadult",2001,"Lepus americanus","Lepus_americanus",640,275,"female",8.2,1604,6.23685891221768,87.8341241870818,"Summer",43255
3,-72.2333333333,44.4166666667,NA,2005,"Lepus americanus","Lepus_americanus",640,451,"female",5.1,1382,11.2035269068055,48.0492267371238,"Spring",43347
7,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",645.8,348,"male",-2.3,298,13.3518895496276,97.658397159057,"Summer",42738
8,-136.3758,62.1599333333,"juvenile",2006,"Lepus americanus","Lepus_americanus",650,401,"male",-2.4,275,13.4491043973533,58.5967546273795,"Summer",42667
6,-147.814,64.8615,"juvenile",1960,"Lepus americanus","Lepus_americanus",652,363,"female",-2.1,304,13.0681517786216,97.6853119487822,"Summer",43048
7,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",652.1,383,"male",-2.3,298,13.3518895496276,97.658397159057,"Summer",42752
7,-136.1366,63.6961,"sub-adult",2005,"Lepus americanus","Lepus_americanus",660,364,"female",-2,456,12.8957239800523,60.21948853995,"Summer",42974
8,-147.814,64.8615,NA,1959,"Lepus americanus","Lepus_americanus",681,308,"male",-3.9,314,14.7965188371106,95.5716641065584,"Summer",42730
7,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",681.6,352,"female",-2.3,298,13.3518895496276,97.658397159057,"Summer",42743
7,-145.8333333333,63.75,NA,1955,"Lepus americanus","Lepus_americanus",691,360,"male",-4,869,12.8380353448318,82.2199465990402,"Summer",42838
7,-136.1366,63.6961,NA,2005,"Lepus americanus","Lepus_americanus",695,367,"female",-2,456,12.8957239800523,60.21948853995,"Summer",42664
8,-149.7291944444,65.8879444444,NA,2001,"Lepus americanus","Lepus_americanus",700,369,"male",-5.5,180,15.8427189088314,90.5650053940273,"Summer",42835
7,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",701.5,386,"male",-2.3,298,13.3518895496276,97.658397159057,"Summer",42739
7,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",710,397,"undetermined",-2.3,298,13.3518895496276,97.658397159057,"Summer",42748
9,-147.8261,64.8693,NA,1958,"Lepus americanus","Lepus_americanus",712,444,"female",-2,202,13.8801362319749,69.8934253638417,"Fall",42722
7,-136.1366,63.6961,"sub-adult",2005,"Lepus americanus","Lepus_americanus",725,350,"male",-2,456,12.8957239800523,60.21948853995,"Summer",42973
8,-147.5972,63.1888,NA,2005,"Lepus americanus","Lepus_americanus",735,350,"male",-2.1,639,11.6879891730396,83.3990271362486,"Summer",42975
9,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",738.4,380,"female",-2.3,298,13.3518895496276,97.658397159057,"Fall",43062
1,-69.29,45.02,NA,1938,"Lepus americanus struthopus","Lepus_americanus",751,428,"male",5.7,1180,10.9613750243408,33.5504494037431,"Winter",43225
7,-147.814,64.8615,"juvenile",1960,"Lepus americanus","Lepus_americanus",765.5,396,"female",-2.1,304,13.0681517786216,97.6853119487822,"Summer",42749
9,-123.4389,47.9947,"unknown",1978,"Lepus americanus","Lepus_americanus",768.3,350,"female",3.9,1654,5.92582304729721,73.9725598081895,"Fall",42966
10,-147.8261,64.8693,NA,1958,"Lepus americanus","Lepus_americanus",775,405,"female",-2,202,13.8801362319749,69.8934253638417,"Fall",42724
9,-123.4389,47.9947,"unknown",1978,"Lepus americanus","Lepus_americanus",785.7,359,"female",3.9,1654,5.92582304729721,73.9725598081895,"Fall",43246
9,-147.814,64.8615,"immature",1962,"Lepus americanus","Lepus_americanus",793.79,315,"male",-1.9,448,13.4560873911694,107.222395548712,"Fall",43220
3,-115.4166666667,60.5833333333,"juvenile",2004,"Lepus americanus","Lepus_americanus",800,390,"male",-3.7,305,14.1808449549512,45.2795831351938,"Spring",43336
1,-121.33,40.41,NA,1958,"Lepus americanus klamathensis","Lepus_americanus",803.9,342,"male",7.8,1424,6.69619973634978,95.7943567390517,"Winter",43327
5,-121.90206,44.58199,"U",2001,"Lepus americanus","Lepus_americanus",807.4,360,"male",7.3,1860,6.07699960855884,90.122118259623,"Spring",43322
5,-122.00915,44.64964,"Adult",2001,"Lepus americanus","Lepus_americanus",820,300,"male",6.9,1953,5.75923500812286,88.0071365390913,"Spring",43325
8,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",823.6,404,"female",-2.3,298,13.3518895496276,97.658397159057,"Summer",43049
8,-147.8333333333,64.8333333333,"juvenile",1960,"Lepus americanus","Lepus_americanus",823.6,399,"female",-2.3,298,13.3518895496276,97.658397159057,"Summer",43059
