"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"unknown","female",3,-110.6303,32.065,1951,"Macrotus californicus","Macrotus_californicus",10,99,17.9,436,7.4694935125036,75.0603793593557,"Spring",188364,18.3,355,6.81322778665388,120.903238950369,17.98,315.6,7.45280967351905,103.077908068531,"F","NS"
"unknown","female",12,-114.50461,32.873,1940,"Macrotus californicus","Macrotus_californicus",13,89,23.8,87,7.49888880657217,116.484957416323,"Winter",188356,23.45,96.5,7.67491243174132,141.356800878627,23.32,86,7.94317500793922,129.876436302678,"F","NS"
"unknown","female",12,-114.50461,32.873,1940,"Macrotus californicus","Macrotus_californicus",15.2,97,23.8,87,7.49888880657217,116.484957416323,"Winter",188357,23.45,96.5,7.67491243174132,141.356800878627,23.32,86,7.94317500793922,129.876436302678,"F","NS"
"unknown","female",12,-114.50461,32.873,1940,"Macrotus californicus","Macrotus_californicus",14.6,90,23.8,87,7.49888880657217,116.484957416323,"Winter",188397,23.45,96.5,7.67491243174132,141.356800878627,23.32,86,7.94317500793922,129.876436302678,"F","NS"
"unknown","female",5,-111.5819,32.4811,1952,"Macrotus californicus","Macrotus_californicus",15.3,96,20.3,285,8.8091335177379,91.1675718357461,"Spring",188371,20.25,327,8.40288790276134,91.7116715768419,20.38,245,8.19766676046033,95.3098399658558,"F","NS"
"unknown","male",3,-110.6303,32.065,1951,"Macrotus californicus","Macrotus_californicus",10.2,104,17.9,436,7.4694935125036,75.0603793593557,"Spring",188363,18.3,355,6.81322778665388,120.903238950369,17.98,315.6,7.45280967351905,103.077908068531,"M","NS"
"unknown","female",5,-111.5819,32.4811,1952,"Macrotus californicus","Macrotus_californicus",15.2,99,20.3,285,8.8091335177379,91.1675718357461,"Spring",188392,20.25,327,8.40288790276134,91.7116715768419,20.38,245,8.19766676046033,95.3098399658558,"F","NS"
"unknown","female",5,-111.5819,32.4811,1952,"Macrotus californicus","Macrotus_californicus",16.1,98,20.3,285,8.8091335177379,91.1675718357461,"Spring",188372,20.25,327,8.40288790276134,91.7116715768419,20.38,245,8.19766676046033,95.3098399658558,"F","NS"
"unknown","female",2,-110.6303,32.065,1951,"Macrotus californicus","Macrotus_californicus",14.5,100,17.9,436,7.4694935125036,75.0603793593557,"Winter",188387,18.3,355,6.81322778665388,120.903238950369,17.98,315.6,7.45280967351905,103.077908068531,"F","NS"
"unknown","male",11,-111.0465,32.119,1950,"Macrotus californicus","Macrotus_californicus",12.7,100,20.3,213,6.4987877657485,163.761244190491,"Fall",188360,19.75,217.5,7.32707472627115,126.477078016493,19.6,235.2,7.74177513641027,111.730465320531,"M","NS"
"unknown","female",5,-111.5819,32.4811,1952,"Macrotus californicus","Macrotus_californicus",11.7,93,20.3,285,8.8091335177379,91.1675718357461,"Spring",188370,20.25,327,8.40288790276134,91.7116715768419,20.38,245,8.19766676046033,95.3098399658558,"F","NS"
"unknown","female",11,-111.0465,32.119,1950,"Macrotus californicus","Macrotus_californicus",12.1,98,20.3,213,6.4987877657485,163.761244190491,"Fall",188358,19.75,217.5,7.32707472627115,126.477078016493,19.6,235.2,7.74177513641027,111.730465320531,"F","NS"
"unknown","female",5,-111.5213,32.5324,1952,"Macrotus californicus","Macrotus_californicus",17.1,98,20.3,276,8.88582459808198,86.7106723065648,"Spring",188395,20.25,313,8.49240487855205,87.9675650217209,20.44,234.6,8.30155575513837,93.4881566237986,"F","NS"
"unknown","female",3,-110.6303,32.065,1951,"Macrotus californicus","Macrotus_californicus",10,102,17.9,436,7.4694935125036,75.0603793593557,"Spring",188389,18.3,355,6.81322778665388,120.903238950369,17.98,315.6,7.45280967351905,103.077908068531,"F","NS"
"unknown","male",12,-114.50461,32.873,1940,"Macrotus californicus","Macrotus_californicus",13.6,92,23.8,87,7.49888880657217,116.484957416323,"Winter",188396,23.45,96.5,7.67491243174132,141.356800878627,23.32,86,7.94317500793922,129.876436302678,"M","NS"
"unknown","female",3,-110.6303,32.065,1951,"Macrotus californicus","Macrotus_californicus",9.3,93,17.9,436,7.4694935125036,75.0603793593557,"Spring",188388,18.3,355,6.81322778665388,120.903238950369,17.98,315.6,7.45280967351905,103.077908068531,"F","NS"
"unknown","female",12,-109.750265,29.97864,1951,"Macrotus californicus","Macrotus_californicus",21.5,91,21,337,7.03282347713961,130.854936945494,"Winter",188369,21.25,334.5,6.44558514043283,173.903698181013,21.06,363,6.88233593657821,151.246492336905,"F","NS"
"unknown","male",11,-111.0465,32.119,1950,"Macrotus californicus","Macrotus_californicus",12,99,20.3,213,6.4987877657485,163.761244190491,"Fall",188386,19.75,217.5,7.32707472627115,126.477078016493,19.6,235.2,7.74177513641027,111.730465320531,"M","NS"
"unknown","male",12,-109.78645,30.028719,1951,"Macrotus californicus","Macrotus_californicus",13,98,20.8,339,6.95992859594163,129.395174699836,"Winter",188368,21.1,335.5,6.37072806409131,174.103191840322,20.88,362.2,6.83604270955986,151.006371188739,"M","NS"
"unknown","female",3,-110.6303,32.065,1951,"Macrotus californicus","Macrotus_californicus",8.8,97,17.9,436,7.4694935125036,75.0603793593557,"Spring",188390,18.3,355,6.81322778665388,120.903238950369,17.98,315.6,7.45280967351905,103.077908068531,"F","NS"
"unknown","male",5,-111.5213,32.5324,1952,"Macrotus californicus","Macrotus_californicus",13,94,20.3,276,8.88582459808198,86.7106723065648,"Spring",188394,20.25,313,8.49240487855205,87.9675650217209,20.44,234.6,8.30155575513837,93.4881566237986,"M","NS"
"unknown","male",5,-111.5213,32.5324,1952,"Macrotus californicus","Macrotus_californicus",11.8,95,20.3,276,8.88582459808198,86.7106723065648,"Spring",188393,20.25,313,8.49240487855205,87.9675650217209,20.44,234.6,8.30155575513837,93.4881566237986,"M","NS"
"unknown","male",2,-110.6303,32.065,1951,"Macrotus californicus","Macrotus_californicus",9.3,92,17.9,436,7.4694935125036,75.0603793593557,"Winter",188362,18.3,355,6.81322778665388,120.903238950369,17.98,315.6,7.45280967351905,103.077908068531,"M","NS"
"unknown","male",3,-111.0586,32.1088,1951,"Macrotus californicus","Macrotus_californicus",11,96,19.5,348,7.72769027392383,88.8242392656506,"Spring",188391,19.9,282.5,7.09694513635269,128.056320944208,19.54,234.6,7.71460500335421,106.969636071258,"M","NS"
"unknown","female",5,-111.5819,32.4811,1952,"Macrotus californicus","Macrotus_californicus",15.3,97,20.3,285,8.8091335177379,91.1675718357461,"Spring",188373,20.25,327,8.40288790276134,91.7116715768419,20.38,245,8.19766676046033,95.3098399658558,"F","NS"
