"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","male",11,-106.3880806,35.0808811,2007,"Megascops kennicottii","Megascops_kennicottii",124,NA,11.1,456,8.64212288033374,60.8774257996758,"Fall",44898,11.15,478.5,8.28432790365454,84.1531113749999,11.24,455,8.16290586348914,74.3738259592557,"M","Adult"
"ad","female",12,-106.6221191,35.249532,2007,"Megascops kennicottii","Megascops_kennicottii",105,NA,13.5,245,9.0127519088066,74.2653237117355,"Winter",44722,13.5,254.5,8.65651970875907,98.8596914346988,13.58,229,8.52527848352328,78.297902353311,"F","Adult"
"ad.","male",11,-116.35,32.6,1927,"Megascops kennicottii quercinus","Megascops_kennicottii",118.5,NA,13.6,713,5.21695226248917,130.774518605179,"Fall",44796,13.75,643.5,5.13057167049184,139.710635670721,13.24,538.4,5.23963295740332,125.136734876021,"M","Adult"
"ad.","male",4,-120.381195,37.983072,1947,"Megascops kennicottii quercinus","Megascops_kennicottii",155.92,NA,15.1,420,6.58042897192466,102.828278778321,"Spring",44724,14.8,537,6.68916708755576,105.011740856,14.92,734.4,6.66866212459045,111.005185237331,"M","Adult"
"ad.","male",3,-114.920096,32.689926,1928,"Megascops kennicottii yumanensis","Megascops_kennicottii",102.5,NA,22.7,24,7.27584213599215,92.9320377284585,"Spring",44969,22.65,62.5,7.19821078637404,108.685319718645,22.5,74.4,7.30091797371024,123.309351597247,"M","Adult"
"ad.","female",11,-120.6350067,38.75449,1916,"Megascops kennicottii quercinus","Megascops_kennicottii",140,NA,13.2,1377,7.12562596931283,139.91112725994,"Fall",44786,13.2,1283.5,7.05204696762156,132.798018293564,13.1,1126,6.97513136612617,121.825015310412,"F","Adult"
"ad.","female",9,-118.67287,36.79291,1916,"Megascops kennicottii quercinus","Megascops_kennicottii",153,NA,10.1,1563,7.33203845317166,157.642952108709,"Fall",44787,10,1202.5,7.11542354494504,133.831760796096,9.52,1013.4,6.92736894331376,153.273079850553,"F","Adult"
"ad.","male",7,-120.8426087,36.3665531,1936,"Megascops kennicottii quercinus","Megascops_kennicottii",143.3,NA,14.6,695,6.51324989866228,154.042896099077,"Summer",44809,14.1,642.5,6.54675021175265,138.281997269532,14.06,492.4,6.37266382919403,140.644456739,"M","Adult"
"ad.","female",4,-120.381195,37.983072,1947,"Megascops kennicottii quercinus","Megascops_kennicottii",198.44,NA,15.1,420,6.58042897192466,102.828278778321,"Spring",44723,14.8,537,6.68916708755576,105.011740856,14.92,734.4,6.66866212459045,111.005185237331,"F","Adult"
"ad.","female",5,-109.7747222,23.441944,1929,"Megascops kennicottii xantusi","Megascops_kennicottii",120.5,NA,22.5,318,4.72709789886507,128.387621440706,"Spring",45115,22.85,330.5,4.52261633367439,144.661191070927,22.88,375.2,4.4934048962376,147.722442579913,"F","Adult"
"ad.","male",4,-120.381195,37.983072,1947,"Megascops kennicottii quercinus","Megascops_kennicottii",170.09,NA,15.1,420,6.58042897192466,102.828278778321,"Spring",44903,14.8,537,6.68916708755576,105.011740856,14.92,734.4,6.66866212459045,111.005185237331,"M","Adult"
"ad.","male",9,-122.1211649,38.0119151,1929,"Megascops kennicottii bendirei","Megascops_kennicottii",141.6,NA,15,221,4.88028656635007,132.103309606396,"Fall",44970,14.85,300,4.65024406244856,127.56370481983,14.76,426.4,4.4119715044639,123.426576803687,"M","Adult"
"ad.","undetermined",1,-122.2575978,37.8688885,1996,"Megascops kennicottii bendirei","Megascops_kennicottii",131,NA,14.9,843,2.59416594875828,114.035065095402,"Winter",44943,14.85,821,2.69032287627774,134.760991787341,14.6,693.2,3.25586226027604,132.649638782502,"NS","Adult"
"ad.?","female",8,-121.0361,36.4814,1936,"Megascops kennicottii quercinus","Megascops_kennicottii",136.1,NA,14.4,614,5.96130832701153,160.513533885601,"Summer",44811,13.95,548,5.97134679636565,144.84371324448,13.86,425.6,5.80982686504092,147.48951877602,"F","Adult"
"Ad","male",5,-117.179457,46.728691,1970,"Megascops kennicottii","Megascops_kennicottii",144.1,250,8.4,568,7.77032037871533,80.7771623407065,"Spring",44883,8.25,492.5,8.0559165156531,84.3495312473808,8.64,493.8,7.62713611126482,75.3942555293607,"M","Adult"
"Ad.","male",2,-122.7228,38.43761,1985,"Megascops kennicottii bendirei","Megascops_kennicottii",124.79,NA,13.9,564,4.81578056230165,115.521970687481,"Winter",45060,14.3,581.5,4.91301759903067,136.343398261374,14.24,1019.2,4.62041074900274,117.442897010954,"M","Adult"
"ad.sk.","female",5,-122.5878,37.9872,1974,"Megascops kennicottii bendirei","Megascops_kennicottii",159,NA,14.4,784,4.20785700874692,114.442560672634,"Spring",44940,14.5,1120,4.1238810615721,123.397139653608,14.4,968.6,4.21418785586046,128.549822736119,"F","Adult"
"ad.sk.","female",1,-121.65041,37.60228,1994,"Megascops kennicottii bendirei","Megascops_kennicottii",132,NA,14.9,469,5.59601454500243,110.850247745835,"Winter",44944,15.1,586,5.57329049583122,116.243954010626,15.24,506.6,5.68795173014072,126.9780714604,"F","Adult"
"ad.sk.","undetermined",6,-121.749745,36.62469,1969,"Megascops kennicottii quercinus","Megascops_kennicottii",125,NA,13.2,653,2.78448080139428,143.634683175925,"Summer",44767,13.25,507,2.68876109435803,123.573077141394,13.26,440.2,2.92524074537372,129.015894698623,"NS","Adult"
"adult","male",1,-122.1085273,37.9093395,1999,"Megascops kennicottii bendirei","Megascops_kennicottii",160.5,NA,13.9,520,4.58008700459904,127.533013778418,"Winter",44769,14.05,715,4.56934346793224,135.608536601073,14.98,777,4.42407902762607,140.738991088311,"M","Adult"
