"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
7,-138.5789,64.0259,"juvenile",2005,"Microtus pennsylvanicus","Microtus_pennsylvanicus",8.5,NA,"male",-2.2,365,14.5537535510343,49.2979315839269,"Summer",63829
9,-76.6620399,42.2772652,"",1995,"Microtus pennsylvanicus","Microtus_pennsylvanicus",8.8,85,"male",7.6,873,10.3932670513174,52.3340692760607,"Fall",63659
7,-137.1948,63.5431,"",2005,"Microtus pennsylvanicus","Microtus_pennsylvanicus",8.8,95,"male",-1.2,444,14.4458864859044,55.2508042275986,"Summer",63825
9,-74.124146,41.694094,"",1973,"Microtus pennsylvanicus","Microtus_pennsylvanicus",10,132,"male",9.8,1330,9.30750755947568,52.6737195828487,"Fall",63461
7,-105.096416,39.125788,"",1997,"Microtus pennsylvanicus uligocola","Microtus_pennsylvanicus",10.5,100,"female",5.9,734,8.23666507241563,77.5735836962047,"Summer",63749
7,-138.5789,64.0259,"juvenile",2005,"Microtus pennsylvanicus","Microtus_pennsylvanicus",10.5,110,"male",-2.2,365,14.5537535510343,49.2979315839269,"Summer",63824
6,-136.4361,62.3601,"juvenile",2005,"Microtus pennsylvanicus","Microtus_pennsylvanicus",10.7,104,"male",-0.9,328,13.869478153212,72.4745148115639,"Summer",63781
6,-79.406653,42.439706,"juvenile",1991,"Microtus pennsylvanicus","Microtus_pennsylvanicus",11,104,"male",11,858,9.20281165863142,34.6128559411243,"Summer",63597
6,-75.627724,44.113591,"",1991,"Microtus pennsylvanicus","Microtus_pennsylvanicus",12,113,"male",7.8,939,10.1516083215987,26.2715074855058,"Summer",63472
7,-152.5702778,60.1033333,"",1952,"Microtus (Mynomes) pennsylvanicus Ord, 1815","Microtus_pennsylvanicus",12,140,"female",2.3,825,8.10212747967901,76.3504120780816,"Summer",63753
6,-79.406653,42.439706,"",1992,"Microtus pennsylvanicus","Microtus_pennsylvanicus",12.5,105,"female",9.3,1093,8.2849626469047,46.504542706523,"Summer",63554
10,-79.406653,42.439706,"juvenile",1992,"Microtus pennsylvanicus","Microtus_pennsylvanicus",12.5,93,"male",9.3,1093,8.2849626469047,46.504542706523,"Fall",63578
7,-79.406653,42.439706,"",1991,"Microtus pennsylvanicus","Microtus_pennsylvanicus",12.7,104,"male",11,858,9.20281165863142,34.6128559411243,"Summer",63508
6,-139.4417,64.0842,"juvenile",2005,"Microtus pennsylvanicus","Microtus_pennsylvanicus",13,110,"female",-2.4,299,15.1342377249451,49.755767139462,"Summer",63789
7,-124.053908,60.123817,"",2004,"Microtus pennsylvanicus","Microtus_pennsylvanicus",13.5,108,"male",-0.8,377,13.3880091081082,48.9071730249158,"Summer",63784
7,-138.5789,64.0259,"juvenile",2005,"Microtus pennsylvanicus","Microtus_pennsylvanicus",13.5,108,"undetermined",-2.2,365,14.5537535510343,49.2979315839269,"Summer",63819
7,-79.406653,42.439706,"",1992,"Microtus pennsylvanicus","Microtus_pennsylvanicus",14,105,"female",9.3,1093,8.2849626469047,46.504542706523,"Summer",63518
10,-79.406653,42.439706,"",1992,"Microtus pennsylvanicus","Microtus_pennsylvanicus",14,95,"male",9.3,1093,8.2849626469047,46.504542706523,"Fall",63533
6,-79.406653,42.439706,"",1991,"Microtus pennsylvanicus","Microtus_pennsylvanicus",14,117,"male",11,858,9.20281165863142,34.6128559411243,"Summer",63568
8,-149.29,65.28,"juvenile",2005,"Microtus pennsylvanicus","Microtus_pennsylvanicus",14,111,"male",-1.9,412,13.8314420028711,97.2281106414838,"Summer",63772
7,-138.5789,64.0259,"juvenile",2005,"Microtus pennsylvanicus","Microtus_pennsylvanicus",14,112,"female",-2.2,365,14.5537535510343,49.2979315839269,"Summer",63817
6,-79.233822,42.519466,"juvenile",1992,"Microtus pennsylvanicus","Microtus_pennsylvanicus",14.3,113,"female",9.3,1115,8.30806016085365,47.7008956309771,"Summer",63543
6,-79.406653,42.439706,"juvenile",1992,"Microtus pennsylvanicus","Microtus_pennsylvanicus",14.9,120,"female",9.3,1093,8.2849626469047,46.504542706523,"Summer",63512
10,-79.406653,42.439706,"",1991,"Microtus pennsylvanicus","Microtus_pennsylvanicus",15,111,"male",11,858,9.20281165863142,34.6128559411243,"Fall",63655
