"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","female",8,-98.93116,37.46514,2011,"Myotis velifer","Myotis_velifer",11.9,104,14.5,429,11.30538555,49.96853713,"Summer",189091,14.35,516,11.061012684182,62.9475528156159,13.94,637.2,10.3209269677341,71.2164815903789,"F","Adult"
"adult","female",8,-98.93116,37.46514,2011,"Myotis velifer","Myotis_velifer",12.6,100,14.5,429,11.30538555,49.96853713,"Summer",189090,14.35,516,11.061012684182,62.9475528156159,13.94,637.2,10.3209269677341,71.2164815903789,"F","Adult"
"adult","male",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",9.3,105,14.5,452,11.32558113,49.69052223,"Summer",189084,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"M","Adult"
"adult","male",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",11.1,98,14.5,452,11.32558113,49.69052223,"Summer",189210,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"M","Adult"
"adult","male",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",10.4,98,14.5,452,11.32558113,49.69052223,"Summer",189087,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"M","Adult"
"adult","male",8,-98.93116,37.46514,2011,"Myotis velifer","Myotis_velifer",12,101,14.5,429,11.30538555,49.96853713,"Summer",189214,14.35,516,11.061012684182,62.9475528156159,13.94,637.2,10.3209269677341,71.2164815903789,"M","Adult"
"adult","female",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",10.2,102,14.5,452,11.32558113,49.69052223,"Summer",189212,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"F","Adult"
"adult","male",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",9.4,100,14.5,452,11.32558113,49.69052223,"Summer",189085,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"M","Adult"
"adult","male",8,-98.93116,37.46514,2011,"Myotis velifer","Myotis_velifer",9,101,14.5,429,11.30538555,49.96853713,"Summer",189095,14.35,516,11.061012684182,62.9475528156159,13.94,637.2,10.3209269677341,71.2164815903789,"M","Adult"
"adult","female",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",11.9,99,14.5,452,11.32558113,49.69052223,"Summer",189208,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"F","Adult"
"juvenile","female",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",7.4,97,14.5,452,11.32558113,49.69052223,"Summer",189082,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"F","Juvenile"
"juvenile","female",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",7.4,90,14.5,452,11.32558113,49.69052223,"Summer",189211,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"F","Juvenile"
"juvenile","female",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",6.8,88,14.5,452,11.32558113,49.69052223,"Summer",189083,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"F","Juvenile"
"juvenile","male",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",6.7,90,14.5,452,11.32558113,49.69052223,"Summer",189088,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"M","Juvenile"
"juvenile","female",8,-98.93116,37.46514,2011,"Myotis velifer","Myotis_velifer",9,101,14.5,429,11.30538555,49.96853713,"Summer",189093,14.35,516,11.061012684182,62.9475528156159,13.94,637.2,10.3209269677341,71.2164815903789,"F","Juvenile"
"juvenile","female",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",6.6,89,14.5,452,11.32558113,49.69052223,"Summer",189089,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"F","Juvenile"
"juvenile","male",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",6.8,92,14.5,452,11.32558113,49.69052223,"Summer",189086,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"M","Juvenile"
"juvenile","male",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",8.1,95,14.5,452,11.32558113,49.69052223,"Summer",189213,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"M","Juvenile"
"juvenile","male",8,-98.93116,37.46514,2011,"Myotis velifer","Myotis_velifer",9,98,14.5,429,11.30538555,49.96853713,"Summer",189216,14.35,516,11.061012684182,62.9475528156159,13.94,637.2,10.3209269677341,71.2164815903789,"M","Juvenile"
"juvenile","male",7,-98.69219,37.63211,2011,"Myotis velifer","Myotis_velifer",7.3,90,14.5,452,11.32558113,49.69052223,"Summer",189209,14.4,542.5,11.1039009117351,64.0687986267637,13.94,666.6,10.3390458661898,70.8708856410857,"M","Juvenile"
"subadult","female",8,-98.93116,37.46514,2011,"Myotis velifer","Myotis_velifer",7,95,14.5,429,11.30538555,49.96853713,"Summer",189096,14.35,516,11.061012684182,62.9475528156159,13.94,637.2,10.3209269677341,71.2164815903789,"F","Adult"
"unknown","male",10,-110.9258,32.2217,1951,"Myotis velifer","Myotis_velifer",9.4,104,19.7,330,7.815524566,77.75203801,"Fall",188958,20.05,265,7.19249510274523,113.790544308619,19.68,222.2,7.80184635236915,98.8695283865209,"M","NS"
"unknown","male",7,-111.4981,32.4142,1964,"Myotis velifer","Myotis_velifer",4.1,95,18.5,366,7.961893143,97.17138191,"Summer",188953,19.2,350,7.72758900791199,95.9346351052224,19.42,316.4,7.70686589447264,103.822275727422,"M","NS"
