"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
7,-122.2047829,41.5518268,NA,1971,"Neotoma (Neotoma) fuscipes Baird, 1857","Neotoma_fuscipes",64.2,235,"male",8.1,552,7.33817333392908,83.6162458826355,"Summer",75306
2,-122.119611,37.880735,NA,2007,"Neotoma fuscipes annectens","Neotoma_fuscipes",66,190,"male",14.3,393,4.69564595227227,129.32445523798,"Winter",75280
5,-122.18314,40.38944,NA,2007,"Neotoma fuscipes fuscipes","Neotoma_fuscipes",68.2,251,"male",16.4,421,7.36397352389361,117.196693362334,"Spring",75414
6,-120.7522,39.24922,"juvenile",2008,"Neotoma fuscipes fuscipes","Neotoma_fuscipes",77,NA,"male",12.6,874,7.51037161651684,119.256274648235,"Summer",75366
4,-121.7767095,37.81665172,NA,2001,"Neotoma fuscipes annectens","Neotoma_fuscipes",77.7,252,"female",15,681,5.33237680816373,122.403467039297,"Spring",75344
6,-122.4873694444,38.0030833333,NA,2006,"Neotoma fuscipes monochroura","Neotoma_fuscipes",79.3,270,"male",14.2,793,3.73594335172159,107.994904405557,"Summer",75341
6,-120.7522,39.24922,"juvenile",2008,"Neotoma fuscipes fuscipes","Neotoma_fuscipes",80,NA,"male",12.6,874,7.51037161651684,119.256274648235,"Summer",75367
8,-116.9372,34.2228,NA,1989,"Neotoma (Neotoma) fuscipes Baird, 1857","Neotoma_fuscipes",88,375,"female",8.8,216,5.778880042487,111.207453410665,"Summer",75437
7,-122.2628645,41.5232539,NA,1971,"Neotoma (Neotoma) fuscipes Baird, 1857","Neotoma_fuscipes",94.2,289,"female",8.4,661,7.27104573363461,84.222411747654,"Summer",75249
5,-122.601,37.9456194444,NA,2006,"Neotoma fuscipes monochroura","Neotoma_fuscipes",94.3,293,"female",14,1327,4.06458279941907,110.633880069764,"Spring",75343
1,-121.94952,37.881664,NA,1971,"Neotoma fuscipes","Neotoma_fuscipes",94.8,NA,"female",13.8,333,5.9121344143493,129.464697731348,"Winter",75317
4,-121.7708579,37.81281644,NA,2001,"Neotoma fuscipes annectens","Neotoma_fuscipes",99.1,276,"female",15,644,5.26695674306647,123.066760533694,"Spring",75269
10,-122.264728,37.887073,NA,2009,"Neotoma fuscipes annectens","Neotoma_fuscipes",105,275,"male",14.2,562,3.60835520323696,128.100398298623,"Fall",75375
11,-123.21,44.67,NA,1991,"Neotoma fuscipes monochroura","Neotoma_fuscipes",106.9,313,"female",11.6,925,5.35313558636997,68.640855445746,"Fall",75400
11,-118.7554331,34.5299375,"Subadult",1988,"Neotoma (Neotoma) fuscipes Baird, 1857","Neotoma_fuscipes",110,320,"male",17.6,357,5.10135899896916,114.529242177205,"Fall",75314
6,-122.179511,37.872003,NA,2007,"Neotoma fuscipes annectens","Neotoma_fuscipes",111,310,"male",13.9,412,4.37638289832223,125.435796525949,"Summer",75279
7,-122.2047829,41.5518268,NA,1971,"Neotoma (Neotoma) fuscipes Baird, 1857","Neotoma_fuscipes",111.1,305,"female",8.1,552,7.33817333392908,83.6162458826355,"Summer",75250
9,-123.2059,42.8936,"unknown",1988,"Neotoma fuscipes","Neotoma_fuscipes",112.5,326,"female",11.9,771,5.89897268919587,105.698921241739,"Fall",75392
7,-121.76366,40.30804,NA,2007,"Neotoma fuscipes fuscipes","Neotoma_fuscipes",115,300,"female",13.1,613,7.17569551058335,127.054092031354,"Summer",75274
8,-118.55714,35.0483281,NA,1972,"Neotoma (Neotoma) fuscipes Baird, 1857","Neotoma_fuscipes",118,320,"female",10.3,231,7.27417078477407,174.008351677846,"Summer",75248
5,-122.4914694444,38.0005277778,NA,2006,"Neotoma fuscipes monochroura","Neotoma_fuscipes",119.6,300,"female",14.3,796,3.75265562534377,107.963149933974,"Spring",75338
8,-120.13745,40.96636,NA,2006,"Neotoma fuscipes fuscipes","Neotoma_fuscipes",124,324,"male",8.1,386,8.13235215144742,82.834994476632,"Summer",75261
7,-122.2047829,41.5518268,NA,1971,"Neotoma (Neotoma) fuscipes Baird, 1857","Neotoma_fuscipes",126,315,"male",8.1,552,7.33817333392908,83.6162458826355,"Summer",75302
3,-117.1874536,33.0339624,"unknown",1964,"Neotoma fuscipes","Neotoma_fuscipes",129,316,"male",15.7,179,3.82598769184923,98.1032233121951,"Spring",75388
7,-122.2047829,41.5518268,NA,1971,"Neotoma (Neotoma) fuscipes Baird, 1857","Neotoma_fuscipes",129.4,307,"female",8.1,552,7.33817333392908,83.6162458826355,"Summer",75305
7,-122.2047829,41.5518268,NA,1971,"Neotoma (Neotoma) fuscipes Baird, 1857","Neotoma_fuscipes",133.7,312,"female",8.1,552,7.33817333392908,83.6162458826355,"Summer",75307
7,-119.85842,35.120688,NA,2003,"Neotoma fuscipes","Neotoma_fuscipes",134,NA,"female",15.1,272,6.40134337226937,103.648941387722,"Summer",75254
8,-117.23898,33.98551,"unknown",1965,"Neotoma fuscipes","Neotoma_fuscipes",134,310,"female",16.2,477,5.34219907052245,126.139006304724,"Summer",75293
7,-118.8028951,35.1219399,NA,1972,"Neotoma (Neotoma) fuscipes Baird, 1857","Neotoma_fuscipes",134,322,"male",18.7,116,7.73749235080642,152.072133854841,"Summer",75304
9,-123.5546,42.8167,"unknown",1989,"Neotoma fuscipes","Neotoma_fuscipes",134.5,200,"female",11,756,6.01983463983099,86.0641827401008,"Fall",75391
