"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
7,-119.811,38.544,NA,1988,"Ochotona princeps","Ochotona_princeps",38,113,"female",4.1,826,6.74255481657698,120.580052982983,"Summer",79391
7,-109.232,38.486,NA,1987,"Ochotona princeps","Ochotona_princeps",38,105,"female",2.9,1243,6.97651362961776,67.0215565447161,"Summer",79819
8,-105.01,37.364,NA,1985,"Ochotona princeps","Ochotona_princeps",40,120,"male",2,891,7.55288425742515,50.2358614416331,"Summer",79060
7,-119.811,38.544,NA,1988,"Ochotona princeps","Ochotona_princeps",40,117,"female",4.1,826,6.74255481657698,120.580052982983,"Summer",80031
7,-109.50639,44.99699,NA,2004,"Ochotona princeps","Ochotona_princeps",41,160,"male",0.1,643,7.27617011312624,37.7996948368913,"Summer",78543
7,-121.8490887,46.9879,"unknown",1985,"Ochotona princeps","Ochotona_princeps",41.4,130,"male",5.6,1426,6.60417682343163,69.7359217873291,"Summer",78831
5,-121.83883,46.98535,"unknown",1984,"Ochotona princeps","Ochotona_princeps",45,135,"male",5.9,2049,5.39951597157308,57.908946571519,"Spring",78573
7,-109.232,38.486,NA,1987,"Ochotona princeps","Ochotona_princeps",45,130,"female",2.9,1243,6.97651362961776,67.0215565447161,"Summer",79188
7,-119.811,38.544,NA,1988,"Ochotona princeps","Ochotona_princeps",45,111,"female",4.1,826,6.74255481657698,120.580052982983,"Summer",79396
8,-120.645,48.53,NA,1988,"Ochotona princeps","Ochotona_princeps",48,115,"female",2.5,1480,6.57936973125892,73.4427608337598,"Summer",79685
9,-107.632,37.976,NA,1988,"Ochotona princeps","Ochotona_princeps",49,129,"male",0.1,924,7.58794897827929,40.5735188417803,"Fall",79054
7,-111.652,40.608,NA,1987,"Ochotona princeps","Ochotona_princeps",51,120,"female",3.6,1029,7.93219370475135,58.4215717677604,"Summer",79799
7,-111.652,40.608,NA,1987,"Ochotona princeps","Ochotona_princeps",52,120,"female",3.6,1029,7.93219370475135,58.4215717677604,"Summer",79798
8,-119.25506,37.76807,NA,2005,"Ochotona princeps muiri","Ochotona_princeps",53,142,"male",2.7,1361,6.59453400839504,111.830556501056,"Summer",79020
7,-119.26213,37.95477,NA,2005,"Ochotona princeps muiri","Ochotona_princeps",53,142,"female",3.6,1040,6.75629336248804,113.010898378132,"Summer",79666
8,-105.155,37.31,NA,1987,"Ochotona princeps","Ochotona_princeps",55,139,"female",0.6,1036,7.59124296126594,70.7602666255099,"Summer",79994
