"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-106.603693,41.166325,"immature",1985,"Pooecetes gramineus","Pooecetes_gramineus",8.3,142,"undetermined",3.4,374,9.50774405259718,46.4685939386848,"Spring",110054
7,-109.5254517,49.2113176,"imm",1971,"Pooecetes gramineus confinis","Pooecetes_gramineus",12,NA,"male",2.7,253,13.000128204496,91.7147818483422,"Summer",110461
6,-85.4794693,46.3515488,"juvenile",1942,"Pooecetes gramineus","Pooecetes_gramineus",12.5,NA,"male",5.5,751,10.3793026857503,46.1032253462665,"Summer",110270
10,-119.721443,37.090636,"imm. sk.",1951,"Pooecetes gramineus confinis","Pooecetes_gramineus",15,NA,"male",16.1,394,7.16276144480266,125.555554046882,"Fall",110094
6,-109.4840469,49.7141561,"ad",1968,"Pooecetes gramineus confinis","Pooecetes_gramineus",15.6,NA,"female",3,345,9.84111274196165,67.9516421767313,"Summer",110449
11,-109.0431,32.06495,"im",2007,"Pooecetes gramineus","Pooecetes_gramineus",16.5,NA,"male",17.6,244,8.17995980578404,104.838830015439,"Fall",110370
7,-119.307498,38.439389,"u ad.",1946,"Pooecetes gramineus confinis","Pooecetes_gramineus",17.4,NA,"female",-1.1,989,6.3471539792543,141.232309550128,"Summer",110172
4,-102.438,31.49571,NA,2011,"Pooecetes gramineus","Pooecetes_gramineus",17.4,NA,"female",19.9,158,9.45488089439908,114.490345500527,"Spring",110620
7,-109.5254517,49.2113176,NA,1971,"Pooecetes gramineus confinis","Pooecetes_gramineus",17.5,NA,"undetermined",2.7,253,13.000128204496,91.7147818483422,"Summer",110191
9,-116.234817,33.9625432,"ad.",1950,"Pooecetes gramineus confinis","Pooecetes_gramineus",18.2,NA,"female",14.4,82,5.88054702670877,100.197198889473,"Fall",110093
3,-98.2492937,29.4791442,NA,1946,"Pooecetes gramineus gramineus","Pooecetes_gramineus",18.4,NA,"female",20.7,1088,6.49603025631109,44.0507514220736,"Spring",110281
7,-118.5195,47.642144,NA,1977,"Pooecetes gramineus","Pooecetes_gramineus",18.5,NA,"female",7.9,293,9.00967493443811,80.181914255933,"Summer",110667
3,-98.2492937,29.4791442,NA,1946,"Pooecetes gramineus gramineus","Pooecetes_gramineus",18.8,NA,"male",20.7,1088,6.49603025631109,44.0507514220736,"Spring",110537
7,-111.0198507,42.1927915,"adult",1934,"Pooecetes gramineus confinis","Pooecetes_gramineus",19,NA,"female",6.3,249,8.6971608045733,52.6145503553048,"Summer",110549
7,-83.7263412,42.2708397,"immature",1933,"Pooecetes gramineus","Pooecetes_gramineus",19.4,NA,"male",10,613,10.4579533312588,56.4215473330908,"Summer",110543
4,-102.5517555606,28.9779644393,"u ad.",1953,"Pooecetes gramineus confinis","Pooecetes_gramineus",19.5,NA,"female",16.1,279,5.92657088241104,110.285245750577,"Spring",110098
7,-118.5195,47.642144,NA,1977,"Pooecetes gramineus","Pooecetes_gramineus",19.5,NA,"female",7.9,293,9.00967493443811,80.181914255933,"Summer",110730
7,-118.5195,47.642144,NA,1977,"Pooecetes gramineus","Pooecetes_gramineus",19.5,NA,"male",7.9,293,9.00967493443811,80.181914255933,"Summer",110743
7,-83.95,42.45,"juvenile",1934,"Pooecetes gramineus","Pooecetes_gramineus",19.7,NA,"male",9.1,479,11.5979622034531,51.9615242270663,"Summer",110635
12,-78.16661,43.97027,NA,1940,"Pooecetes gramineus gramineus","Pooecetes_gramineus",20,NA,"female",6.3,874,10.9009695148476,31.7755118261049,"Winter",110235
9,-104.967662,39.29324,NA,1987,"Pooecetes gramineus","Pooecetes_gramineus",20,151,"undetermined",8.9,604,8.37561395307288,73.0950891142966,"Fall",110337
4,-116.865597,36.456792,"u ad.",1917,"Pooecetes gramineus confinis","Pooecetes_gramineus",20,NA,"female",23.3,31,10.6578467323234,99.6636097827943,"Spring",110402
9,-117.53528,41.68472,"imm.",1934,"Pooecetes gramineus confinis","Pooecetes_gramineus",20,NA,"female ?",7,716,6.72856304169476,91.774891703395,"Fall",110428
10,-115.682,30.9845,"imm.",1925,"Pooecetes gramineus confinis","Pooecetes_gramineus",20,NA,"female",14.4,347,4.3397737687161,110.932259762074,"Fall",110684
10,-98.3166667,29.5166667,NA,1946,"Pooecetes gramineus confinis","Pooecetes_gramineus",20,NA,"female",20.6,1089,6.52953081984247,44.6151115958278,"Fall",110710
7,-118.5195,47.642144,"immature",1977,"Pooecetes gramineus","Pooecetes_gramineus",20,NA,NA,7.9,293,9.00967493443811,80.181914255933,"Summer",110735
6,-84.2864227,44.7462455,"juvenile",1949,"Pooecetes gramineus","Pooecetes_gramineus",20.36,NA,"female",7.4,647,10.0775290080997,29.3157661258265,"Summer",110538
9,-121.0071009,41.9070188,"imm.",1922,"Pooecetes gramineus affinis","Pooecetes_gramineus",20.4,NA,"female",6.8,325,9.31864780800825,73.8202751858184,"Fall",110414
9,-104.0833333,40.524255,"adult",1992,"Pooecetes gramineus","Pooecetes_gramineus",20.5,145,"undetermined",9.3,416,8.95143039187626,91.3962873099918,"Fall",110055
4,-85.0389709,46.6510859,NA,1998,"Pooecetes gramineus","Pooecetes_gramineus",20.5,NA,"male",6.7,716,8.68049014116767,46.5850514978741,"Spring",110294
10,-104.3906668,40.944116,"adult",1992,"Pooecetes gramineus","Pooecetes_gramineus",20.5,143,"undetermined",9,416,8.52379912451904,101.986131914695,"Fall",110338
4,-116.865597,36.456792,"u ad.",1917,"Pooecetes gramineus confinis","Pooecetes_gramineus",20.7,NA,"female",23.3,31,10.6578467323234,99.6636097827943,"Spring",110123
9,-114.28,38.96917,"imm.",1934,"Pooecetes gramineus confinis","Pooecetes_gramineus",20.7,NA,"female",7.3,517,7.1378419623012,83.1565094368637,"Fall",110151
9,-114.28,38.96917,"imm.",1934,"Pooecetes gramineus confinis","Pooecetes_gramineus",20.7,NA,"male",7.3,517,7.1378419623012,83.1565094368637,"Fall",110430
5,-121.121,41.559333,"u ad.",1948,"Pooecetes gramineus confinis","Pooecetes_gramineus",20.7,NA,"male",6.9,535,7.67113341552524,55.7882228478946,"Spring",110683
5,-104.695999,40.639856,NA,1991,"Pooecetes gramineus","Pooecetes_gramineus",20.8,144,"female",9.4,340,8.99270748322149,91.1931304551181,"Spring",110336
4,-117.135042,36.727337,"u ad.",1917,"Pooecetes gramineus confinis","Pooecetes_gramineus",20.8,NA,"male",22.6,31,10.3458233411392,101.623189908961,"Spring",110403
6,-118.868273,37.872789,"u ad.",1942,"Pooecetes gramineus confinis","Pooecetes_gramineus",20.9,NA,"female",4.2,324,7.1714659758256,76.7990048348649,"Summer",110443
6,-119.6952863,48.557371,NA,1940,"Pooecetes gramineus confinis","Pooecetes_gramineus",20.9,NA,"female",7.7,423,8.69707369803723,64.6884954486685,"Summer",110515
4,-116.865597,36.456792,"u ad.",1917,"Pooecetes gramineus confinis","Pooecetes_gramineus",21,NA,"female",23.3,31,10.6578467323234,99.6636097827943,"Spring",110120
4,-116.865597,36.456792,"u ad.",1917,"Pooecetes gramineus confinis","Pooecetes_gramineus",21,NA,"male",23.3,31,10.6578467323234,99.6636097827943,"Spring",110121
9,-108.4582,41.2869,"imm.",1939,"Pooecetes gramineus confinis","Pooecetes_gramineus",21,NA,"female",6.6,134,9.28861717861755,58.0155434060267,"Fall",110167
12,-103.6575929,30.4524996,"ad",1978,"Pooecetes gramineus confinis","Pooecetes_gramineus",21,NA,"[female]",16.8,594,7.19968433651466,108.783569427635,"Winter",110201
12,-114.58,34.92,NA,1985,"Pooecetes gramineus confinis","Pooecetes_gramineus",21,NA,"male",22,112,9.10109883475616,113.787303908476,"Winter",110358
5,-80.20138,44.07915,"ad",1943,"Pooecetes gramineus gramineus","Pooecetes_gramineus",21,NA,"female",4.4,913,10.6676621221107,33.59306598236,"Spring",110499
8,-83.95,42.45,"juvenile",1936,"Pooecetes gramineus gramineus","Pooecetes_gramineus",21,NA,"female",8.5,620,11.4649135375825,63.832744272204,"Summer",110653
7,-118.5195,47.642144,NA,1977,"Pooecetes gramineus","Pooecetes_gramineus",21,NA,"female",7.9,293,9.00967493443811,80.181914255933,"Summer",110662
7,-118.5195,47.642144,NA,1977,"Pooecetes gramineus","Pooecetes_gramineus",21,NA,"male",7.9,293,9.00967493443811,80.181914255933,"Summer",110664
8,-106.4342871,37.02282872,"u ad.",1952,"Pooecetes gramineus confinis","Pooecetes_gramineus",21.2,NA,"female",0.8,822,8.31323789160543,89.4217443656982,"Summer",110095
6,-107.7541666667,39.6769444444,"adult",1995,"Pooecetes gramineus","Pooecetes_gramineus",21.2,145,"female",7.2,612,7.50383235420408,54.4774303244854,"Summer",110342
11,-115.7230556,31.4,"ad.",1926,"Pooecetes gramineus confinis","Pooecetes_gramineus",21.2,NA,"male",16.2,268,4.77762303014604,130.711659266751,"Fall",110606
7,-118.09072,46.945513,NA,1993,"Pooecetes gramineus","Pooecetes_gramineus",21.3,NA,"male",8.8,322,8.71116924970292,56.7375704326595,"Summer",110332
7,-109.314318,50.3767699,"juv",1987,"Pooecetes gramineus confinis","Pooecetes_gramineus",21.3,NA,"female",6.9,261,9.18062435983325,107.564359557497,"Summer",110477
10,-111.002236,32.242695,"immature",1970,"Pooecetes gramineus","Pooecetes_gramineus",21.4,NA,"male",19.4,287,7.64470504019057,115.039004785733,"Fall",110077
9,-108.1250666667,35.0832666667,"AHY",2008,"Pooecetes gramineus altus","Pooecetes_gramineus",21.4,NA,"male",7.6,332,7.67670127230716,75.1688212813685,"Fall",110087
7,-83.6754669,46.0628663,"adult",1938,"Pooecetes gramineus gramineus","Pooecetes_gramineus",21.4,NA,"female",6,758,10.8156032068153,24.5888876403631,"Summer",110243
7,-114.07,41.95,"u ad.",1935,"Pooecetes gramineus confinis","Pooecetes_gramineus",21.5,NA,"female",7.3,177,9.10439038280017,89.3369237831662,"Summer",110154
