"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
7,-122.5404945,47.050219,"unknown",1992,"Sciurus griseus","Sciurus_griseus",346.2,476,"male",11.5,851,5.00365775299339,78.0274285746214,"Summer",116009
4,-122.292116,38.3053644,NA,2005,"Sciurus griseus griseus","Sciurus_griseus",390,482,"female",14.8,815,4.24595172612761,147.592827030955,"Spring",115986
6,-120.8198375,35.3469709,NA,1981,"Sciurus (Hesperosciurus) griseus nigripes Bryant, 1889","Sciurus_griseus",410,478,"female",14,505,1.84018691408995,128.636213066681,"Summer",115979
6,-119.0171486,36.711755,"unknown",1966,"Sciurus griseus","Sciurus_griseus",452.8,538,"male",13,580,6.6120871870913,197.057590239333,"Summer",116046
9,-122.5111,47.0633,"unknown",1998,"Sciurus griseus","Sciurus_griseus",477.8,532,"male",10.8,1158,5.15319112665917,96.5528137960848,"Fall",116013
6,-123.46,42.12,NA,1979,"Sciurus griseus griseus","Sciurus_griseus",520,515,"female",10.5,1785,6.51638959342774,81.5748464848268,"Summer",116057
7,-121.58459,40.35037,NA,2007,"Sciurus griseus griseus","Sciurus_griseus",540,505,"female",9.4,915,7.07048388897411,134.212909146454,"Summer",115992
8,-121.309384,40.364039,NA,2007,"Sciurus griseus griseus","Sciurus_griseus",550,511,"female",8.9,619,7.74743359266327,138.523836847388,"Summer",116030
8,-122.508804,47.057481,"unknown",1992,"Sciurus griseus","Sciurus_griseus",574.2,535,"male",11.4,874,5.0036577529934,77.2516404710806,"Summer",116010
2,-120.9342013,39.9366694,NA,2005,"Sciurus griseus griseus","Sciurus_griseus",578,528,"female",12,1449,7.31662179871657,128.971156398596,"Winter",115988
3,-120.7293,45.8753,"unknown",1998,"Sciurus griseus","Sciurus_griseus",598.3,552,"female",9.2,559,7.40447755609995,86.4722976220112,"Spring",116005
10,-120.133,48.3732,"unknown",1996,"Sciurus griseus","Sciurus_griseus",610,552,"male",7,452,10.1747868714184,103.321964832427,"Fall",116002
