"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
1,-85.3273773,42.3014364,NA,1903,"Sialia sialis sialis","Sialia_sialis",11.3,NA,"male",8.5,933,10.1558872312834,46.0780077736481,"Winter",117403
7,-78.59,43.9172,"nestl",1996,"Sialia sialis sialis","Sialia_sialis",12.1,NA,"undetermined",7.3,958,10.3411908053535,31.5722676246224,"Summer",117450
5,-84.4029808,42.1343858,"nestling",1994,"Sialia sialis sialis","Sialia_sialis",13.7,NA,"female",8.7,826,10.5972838143755,49.2855928019303,"Spring",117295
6,-80.31482,43.68694,"fledgeling",2002,"Sialia sialis sialis","Sialia_sialis",15.2,NA,"male",6.8,902,9.52083441084803,23.1483391949103,"Summer",117453
7,-78.59,43.9172,"nestl",1996,"Sialia sialis sialis","Sialia_sialis",16.3,NA,"female",7.3,958,10.3411908053535,31.5722676246224,"Summer",117449
6,-83.7833333,42.1666667,"nestling",2013,"Sialia sialis sialis","Sialia_sialis",16.4,NA,"female",9.6,944,10.2603790762271,53.716452551169,"Summer",117478
8,-85.0322914,42.417754,"juvenile",1953,"Sialia sialis sialis","Sialia_sialis",16.5,NA,"undetermined",10.5,604,9.43979326943641,30.6515666419532,"Summer",117401
7,-78.59,43.9172,"nestl",1996,"Sialia sialis sialis","Sialia_sialis",16.9,NA,"undetermined",7.3,958,10.3411908053535,31.5722676246224,"Summer",117499
5,-79.87184,42.96129,"nestl",2006,"Sialia sialis sialis","Sialia_sialis",17.1,NA,"female",9.6,1006,8.625451239843,30.5806040577075,"Spring",117496
6,-81.2613,42.99875,"juv",1933,"Sialia sialis sialis","Sialia_sialis",17.3,NA,"[male]",8.1,733,9.80171599076592,37.3644898450615,"Summer",117375
5,-71.54859,43.46083,"nestling",1999,"Sialia sialis sialis","Sialia_sialis",18,74,"undetermined",8.2,1088,9.87379068160969,59.0355257547641,"Spring",117439
4,-88.6280393,47.0981165,NA,2007,"Sialia sialis sialis","Sialia_sialis",18.4,NA,"male",4.8,838,11.9423203420238,51.4901149752754,"Spring",117410
5,-79.87184,42.96129,"nestl",2006,"Sialia sialis sialis","Sialia_sialis",18.5,NA,"male",9.6,1006,8.625451239843,30.5806040577075,"Spring",117447
7,-85.785556,42.211792,"juvenile",1988,"Sialia sialis sialis","Sialia_sialis",18.8,NA,"male",9.6,907,10.9490832603659,51.4111443648035,"Summer",117293
10,-79.73102,44.4458,"ad",1990,"Sialia sialis sialis","Sialia_sialis",18.8,NA,"female",7.4,1009,8.81625135070387,28.4051913044523,"Fall",117498
4,-88.6280393,47.0981165,NA,2007,"Sialia sialis sialis","Sialia_sialis",19.2,NA,"female",4.8,838,11.9423203420238,51.4901149752754,"Spring",117298
6,-83.79391,42.47221,"adult",2012,"Sialia sialis sialis","Sialia_sialis",19.28,NA,"male",11,658,9.15843707719662,38.1472969473893,"Summer",117302
7,-83.7263412,42.2708397,"juvenile",1990,"Sialia sialis sialis","Sialia_sialis",19.5,NA,"male",10.3,1143,8.6246299876715,40.3792365163565,"Summer",117294
4,-88.6280393,47.0981165,NA,2007,"Sialia sialis sialis","Sialia_sialis",19.8,NA,"female",4.8,838,11.9423203420238,51.4901149752754,"Spring",117299
4,-79.847894,43.40004,"ad",2012,"Sialia sialis sialis","Sialia_sialis",19.8,NA,"male",10.2,746,8.94862440757677,53.257124359262,"Spring",117371
10,-83.85873,42.50621,"adult",2012,"Sialia sialis sialis","Sialia_sialis",20,NA,"male",10.9,661,9.20429741528874,39.4107469136095,"Fall",117303
1,-95.2552829,39.1640255,NA,2003,"Sialia sialis","Sialia_sialis",20.5,NA,"male",12.7,756,10.2716253766767,81.2849358101364,"Winter",117348
7,-71.54859,43.46083,"nestling",2001,"Sialia sialis sialis","Sialia_sialis",20.5,104,"undetermined",7.7,840,9.99094665942698,50.0371449436145,"Summer",117440
3,-79.39181,43.707734,"ad",1992,"Sialia sialis sialis","Sialia_sialis",20.6,NA,"male",7,942,8.90190224819188,44.7027353377657,"Spring",117369
6,-83.9131206,42.6026099,NA,2009,"Sialia sialis sialis","Sialia_sialis",20.8,NA,"female",8.3,917,9.99436204703796,47.8458148654113,"Summer",117409
6,-85.5394222,46.3717274,NA,1942,"Sialia sialis sialis","Sialia_sialis",21,NA,"female",5.6,751,10.3763243039434,45.9210389492857,"Summer",117398
6,-112.4560534,34.4550641,NA,1970,"Sialia sialis fulva","Sialia_sialis",21.5,NA,"undetermined",10.5,694,7.32684458106977,122.289304851251,"Summer",117367
7,-83.95,42.45,"juvenile",1948,"Sialia sialis sialis","Sialia_sialis",21.6,NA,"male",8.9,705,10.5075730265885,40.7170942213858,"Summer",117470
8,-82.67234,42.05043,"nestl",2005,"Sialia sialis sialis","Sialia_sialis",22.5,NA,"male",10,843,10.6829905868529,36.1456879171194,"Summer",117446
5,-79.87184,42.96129,"nestl",2006,"Sialia sialis sialis","Sialia_sialis",22.5,NA,"male",9.6,1006,8.625451239843,30.5806040577075,"Spring",117497
1,-83.9483678,42.534038,NA,2009,"Sialia sialis sialis","Sialia_sialis",22.6,NA,"male",8.4,924,10.0323869482186,46.3424544294106,"Winter",117408
9,-79.11561,43.85047,"imm",1970,"Sialia sialis sialis","Sialia_sialis",23.1,168,"female",7.3,773,11.1487021938009,26.3571121127905,"Fall",117275
10,-83.5558962,42.6712663,NA,2009,"Sialia sialis sialis","Sialia_sialis",23.3,NA,"male",8,903,10.0822488773211,47.8121864043897,"Fall",117411
5,-79.87184,42.96129,"nestl",2006,"Sialia sialis sialis","Sialia_sialis",23.4,NA,"male",9.6,1006,8.625451239843,30.5806040577075,"Spring",117448
7,-76.5095,42.4381,NA,2007,"Sialia sialis","Sialia_sialis",23.6,140,"male",9.7,901,10.237808714404,28.3413535885695,"Summer",117238
1,-75.00222,43.7,NA,2008,"Sialia sialis","Sialia_sialis",24,NA,"male",5.2,1551,9.8626437847183,35.133971943153,"Winter",117241
12,-110.7833,31.3833,NA,1975,"Sialia sialis fulva","Sialia_sialis",24.1,NA,"female",14.3,407,6.90090024869395,146.57856722674,"Winter",117483
4,-77.351951,39.081041,NA,2008,"Sialia sialis","Sialia_sialis",24.2,NA,"male",12.9,1083,8.61890100566508,49.4041534436175,"Spring",117441
12,-110.7833,31.3833,NA,1975,"Sialia sialis fulva","Sialia_sialis",24.4,NA,"female",14.3,407,6.90090024869395,146.57856722674,"Winter",117481
9,-84.300286,42.288096,NA,2009,"Sialia sialis sialis","Sialia_sialis",24.5,NA,"undetermined",8.9,952,10.0202030766332,42.7979130072793,"Fall",117477
6,-84.02807,42.50571,NA,2012,"Sialia sialis sialis","Sialia_sialis",24.6,NA,"male",11,691,9.22200924665848,39.9555527859441,"Summer",117301
6,-83.7391662,46.0204493,"juvenile",1938,"Sialia sialis sialis","Sialia_sialis",24.6,NA,"female",6.1,746,10.7863550166613,25.6582764962601,"Summer",117386
4,-76.55564,42.19913,NA,2004,"Sialia sialis","Sialia_sialis",24.6000003814697,NA,"male",7.4,1250,9.8866607409206,53.594290062214,"Spring",117489
3,-83.8394165,42.4732365,"adult",1991,"Sialia sialis sialis","Sialia_sialis",24.7,NA,"male",10,785,10.0544389412957,40.114445176573,"Spring",117405
12,-110.7833,31.3833,NA,1975,"Sialia sialis fulva","Sialia_sialis",24.7,NA,"male",14.3,407,6.90090024869395,146.57856722674,"Winter",117480
7,-119.3439674,34.3940204,"immature",2000,NA,"Sialia_sialis",24.8,NA,"male",15.1,461,3.70216971599907,174.866949151296,"Summer",117332
5,-85.6672373,43.1251136,"adult",2009,"Sialia sialis sialis","Sialia_sialis",25,NA,"male",8.4,1080,9.81181646914792,48.4043945283078,"Spring",117304
6,-120.5881808,35.1185856,"juv",1968,"Sialia sialis sialis","Sialia_sialis",25,162,"female",13.8,306,2.06280186037135,93.8126370854985,"Summer",117366
11,-78.58602,43.91472,"imm",1992,"Sialia sialis sialis","Sialia_sialis",25,NA,"male",7.3,929,9.0125627808514,38.6198309800574,"Fall",117370
4,-83.7263412,42.2708397,NA,1936,"Sialia sialis sialis","Sialia_sialis",25,NA,"female",8.9,620,11.5959501812512,64.4156693647403,"Spring",117423
5,-72.568598,41.303832,"adult",2003,"Sialia sialis sialis","Sialia_sialis",25,NA,"male",10.1,1427,9.45451631697142,24.3154357046881,"Spring",117485
12,-110.7833,31.3833,NA,1975,"Sialia sialis fulva","Sialia_sialis",25,NA,"female",14.3,407,6.90090024869395,146.57856722674,"Winter",117534
7,-84.4172287,42.1597133,"skull ossification",1989,"Sialia sialis sialis","Sialia_sialis",25.2,NA,"male",8.4,851,10.5256828757093,59.9784155028621,"Summer",117292
3,-76.2954,42.3784,"adult",2013,"Sialia sialis","Sialia_sialis",25.4,143,"female",7.8,1168,9.823576309835,44.7523026830399,"Spring",117335
6,-76.4646,42.5052,NA,2013,"Sialia sialis","Sialia_sialis",25.9,160,"male",8.4,1099,9.7443068071318,46.3312183431717,"Summer",117239
4,-79.06651,43.90531,"ad",1964,"Sialia sialis sialis","Sialia_sialis",26,155,"male",7.6,713,9.53732698719123,52.6062463354196,"Spring",117283
6,-83.7263412,42.2708397,"adult",2012,"Sialia sialis sialis","Sialia_sialis",26,NA,"male",11.5,682,9.21854192112371,37.699178293142,"Summer",117413
7,-108.4167461155,30.0146438844,"ad.sk.",1948,"Sialia sialis fulva","Sialia_sialis",26.1,NA,"male",13.1,351,6.92931300980687,121.571115249925,"Summer",117262
8,-99.1572222222,18.9711111111,"sk.imm.",1964,"Sialia sialis fulva","Sialia_sialis",26.1,NA,"female ?",20.3,958,1.77429029772641,115.540114801617,"Summer",117271
8,-95.3659629,38.9365128,NA,1989,"Sialia sialis","Sialia_sialis",26.1,NA,"undetermined",12.1,844,10.480139948175,76.655047585876,"Summer",117346
8,-108.4167461155,30.0146438844,"unknown",1948,"Sialia sialis fulva","Sialia_sialis",26.2,NA,"male",13.1,351,6.92931300980687,121.571115249925,"Summer",117356
6,-83.7833333,42.5333333,NA,2009,"Sialia sialis","Sialia_sialis",26.3,NA,"female",8.3,923,10.0104907093721,46.7725635708115,"Summer",117476
7,-108.4167461155,30.0146438844,"ad.sk.",1948,"Sialia sialis fulva","Sialia_sialis",26.5,NA,"male",13.1,351,6.92931300980687,121.571115249925,"Summer",117263
7,-108.4167461155,30.0146438844,"juv.",1948,"Sialia sialis fulva","Sialia_sialis",26.5,NA,"female",13.1,351,6.92931300980687,121.571115249925,"Summer",117355
7,-83.6757374,46.0772795,"immature",1938,"Sialia sialis sialis","Sialia_sialis",26.5,NA,"female",5.9,761,10.8286761551321,24.6625120494371,"Summer",117382
7,-85.3811932,45.2163895,"adult",1937,"Sialia sialis sialis","Sialia_sialis",26.5,NA,"male",7.5,752,10.4691610615815,68.4234808234294,"Summer",117426
8,-83.7050915,42.790362,NA,1986,"Sialia sialis sialis","Sialia_sialis",26.5,NA,"male",8.6,893,10.1060250555915,70.5304947941995,"Summer",117432
5,-83.6959934,42.4515813,"adult",2000,"Sialia sialis sialis","Sialia_sialis",26.6,NA,"female",9,1017,10.2240469660324,48.2560987382472,"Spring",117296
5,-100.8526807,37.1803491,NA,1967,"Sialia sialis","Sialia_sialis",26.6,NA,"female",13.8,453,8.55702351960958,110.730233977802,"Spring",117343
12,-110.7833,31.3833,NA,1975,"Sialia sialis fulva","Sialia_sialis",26.7,NA,"female",14.3,407,6.90090024869395,146.57856722674,"Winter",117532
6,-83.7389946,42.641662,"adult",2002,"Sialia sialis sialis","Sialia_sialis",26.8,NA,"male",9.6,656,9.96111758972675,33.6065587285176,"Summer",117297
7,-101.9877326,39.9993272,NA,1965,"Sialia sialis","Sialia_sialis",27,NA,"male",10.3,627,9.41305911052203,96.2900603970472,"Summer",117247
7,-100.0413888888,19.0433333333,"juv.",1946,"Sialia sialis fulva","Sialia_sialis",27,NA,"female",18.8,1158,1.71276402521206,86.8945354920841,"Summer",117273
7,-94.56915,48.72362,"juv",1929,"Sialia sialis sialis","Sialia_sialis",27,NA,"female",1.9,355,14.4086122184132,45.1910240663824,"Summer",117280
6,-95.3134346,38.968218,NA,1946,"Sialia sialis","Sialia_sialis",27,NA,"male",13.7,889,8.68387568829132,54.0712954716059,"Summer",117339
9,-79.68674,43.64176,"juv",1945,"Sialia sialis sialis","Sialia_sialis",27,NA,"[female]",7,984,10.1431085725803,40.3406874179594,"Fall",117376
8,-84.2168579,42.3190842,"adult",1934,"Sialia sialis sialis","Sialia_sialis",27,NA,"female",9.1,508,11.5403737925913,44.8234559143155,"Summer",117419
8,-103.182062,18.889003,"adult",1950,"Sialia sialis fulva","Sialia_sialis",27,NA,"female",17.2,1293,1.79392915639995,122.734921665555,"Summer",117474
12,-110.7833,31.3833,NA,1975,"Sialia sialis fulva","Sialia_sialis",27,NA,"male",14.3,407,6.90090024869395,146.57856722674,"Winter",117484
12,-110.7833,31.3833,NA,1975,"Sialia sialis fulva","Sialia_sialis",27,NA,"male",14.3,407,6.90090024869395,146.57856722674,"Winter",117533
6,-83.64501,42.2138662,NA,1991,"Sialia sialis sialis","Sialia_sialis",27.2,NA,"male",10.7,777,10.0027571956512,47.9589267084491,"Summer",117433
3,-110.7303619,31.4156534,"Not recorded",1955,NA,"Sialia_sialis",27.3,NA,"male",13.7,666,6.79418200307506,172.310531949295,"Spring",117330
8,-99.1572222222,18.9711111111,"sk.imm.",1964,"Sialia sialis fulva","Sialia_sialis",27.3,NA,"male",20.3,958,1.77429029772641,115.540114801617,"Summer",117365
12,-110.7833,31.3833,NA,1975,"Sialia sialis fulva","Sialia_sialis",27.3,NA,"male",14.3,407,6.90090024869395,146.57856722674,"Winter",117482
3,-83.8166667,42.25,NA,2004,"Sialia sialis sialis","Sialia_sialis",27.3,NA,"male",9.5,843,10.0111263859344,63.4722951453562,"Spring",117535
3,-85.47303,38.71571,"adult",1998,"Sialia sialis","Sialia_sialis",27.4,NA,"male",14.2,1169,8.27648640865961,55.5705190447376,"Spring",117488
6,-86.71792,50.18312,"ad",1947,"Sialia sialis sialis","Sialia_sialis",27.5,NA,"female",-0.7,756,13.5037003907234,45.2918593959555,"Summer",117377
6,-110.3333333,31.5833333,NA,1963,"Sialia sialis fulva","Sialia_sialis",27.5,NA,"male",16.8,363,6.63755956430501,114.290005417741,"Summer",117475
8,-83.6215433,45.9522238,"immature",1938,"Sialia sialis","Sialia_sialis",27.8,NA,"female",6.2,756,10.6461118240274,24.8313674024005,"Summer",117394
6,-86.71792,50.18312,"ad",1947,"Sialia sialis sialis","Sialia_sialis",28,NA,"male",-0.7,756,13.5037003907234,45.2918593959555,"Summer",117281
2,-97.56546,30.11,"unknown",1952,"Sialia sialis sialis","Sialia_sialis",28,NA,"female",19.8,914,6.74220088155735,70.7359995857113,"Winter",117364
12,-122.0909064,37.8656808,"hy",1947,"Sialia sialis sialis","Sialia_sialis",28,NA,"male",14.3,388,5.18905462283718,102.850639996799,"Winter",117378
7,-83.6757374,46.0772795,"immature",1938,"Sialia sialis sialis","Sialia_sialis",28,NA,"female",5.9,761,10.8286761551321,24.6625120494371,"Summer",117383
6,-83.7391662,46.0204493,"adult",1938,"Sialia sialis sialis","Sialia_sialis",28.1,NA,"male",6.1,746,10.7863550166613,25.6582764962601,"Summer",117284
6,-85.5568848,45.6646004,NA,1937,"Sialia sialis","Sialia_sialis",28.1,NA,"male",6.3,734,10.4803278921641,72.7502344657928,"Summer",117392
5,-83.908081,42.5992191,NA,2011,"Sialia sialis sialis","Sialia_sialis",28.1,NA,"male",9.5,982,10.6202493835925,47.8658152440636,"Spring",117412
10,-105.83417,23.46889,"unknown",1946,"Sialia sialis fulva","Sialia_sialis",28.2,NA,"male",17.6,1187,2.77319419814157,108.597016186447,"Fall",117353
7,-103.23833,21.0024089914,"sk.imm.",1963,"Sialia sialis fulva","Sialia_sialis",28.3,NA,"female",17.7,898,2.66132514269706,105.046366016947,"Summer",117270
7,-85.5568848,45.6646004,"adult",1937,"Sialia sialis sialis","Sialia_sialis",28.3,NA,"female",6.3,734,10.4803278921641,72.7502344657928,"Summer",117325
2,-97.56546,30.11,"unknown",1952,"Sialia sialis sialis","Sialia_sialis",28.3,NA,"male",19.8,914,6.74220088155735,70.7359995857113,"Winter",117361
7,-94.98538,49.92533,"juv",1947,"Sialia sialis sialis","Sialia_sialis",28.3,NA,"male",1.5,627,13.7663181407199,61.9181824825118,"Summer",117504
7,-83.6757374,46.0772795,"juvenile",1938,"Sialia sialis sialis","Sialia_sialis",28.4,NA,"male",5.9,761,10.8286761551321,24.6625120494371,"Summer",117387
7,-101.9355091,38.8948282,NA,1963,"Sialia sialis","Sialia_sialis",28.5,NA,"female",12.1,337,11.3560022842014,83.0064709013868,"Summer",117246
4,-101.8459776,37.9845333,"immature",1967,"Sialia sialis","Sialia_sialis",28.5,NA,"male",12.2,382,9.07515339214214,114.187297037588,"Spring",117351
7,-94.98538,49.92533,"juv",1947,"Sialia sialis sialis","Sialia_sialis",28.5,NA,"female",1.5,627,13.7663181407199,61.9181824825118,"Summer",117503
6,-84.5025444,44.8021794,"juvenile",1934,"Sialia sialis","Sialia_sialis",28.7,NA,"male",6,700,11.4537277245392,60.7531561309444,"Summer",117418
5,-100.8526807,37.1803491,NA,1967,"Sialia sialis","Sialia_sialis",28.8,NA,"male",13.8,453,8.55702351960958,110.730233977802,"Spring",117252
6,-83.7391662,46.0204493,"adult",1938,"Sialia sialis sialis","Sialia_sialis",28.8,NA,"male",6.1,746,10.7863550166613,25.6582764962601,"Summer",117384
6,-83.5909152,42.3393155,NA,1991,"Sialia sialis sialis","Sialia_sialis",28.8,NA,"male",10.5,791,10.0664007590809,44.9687455854164,"Summer",117404
6,-83.736248,42.3760465,NA,1991,"Sialia sialis sialis","Sialia_sialis",28.9,NA,"male",10.2,805,10.0810803894316,40.3735221210683,"Summer",117431
3,-95.2598661,38.9549568,NA,2003,"Sialia sialis","Sialia_sialis",29,NA,"male",12.9,787,10.2258547838607,77.8226524850861,"Spring",117256
3,-101.78469,37.1521231,NA,1950,"Sialia sialis","Sialia_sialis",29,NA,"female",13.5,457,8.51972310689625,120.003987155499,"Spring",117344
10,-80.56171,51.3443,"ad",1964,"Sialia sialis sialis","Sialia_sialis",29,NA,"male",-0.9,858,12.7664658976222,53.11505724024,"Fall",117379
6,-76.69664,44.48616,"ad",2003,"Sialia sialis sialis","Sialia_sialis",29,NA,"male",6.4,890,11.0219890411959,37.6424770389813,"Summer",117380
7,-94.98538,49.92533,"ad",1947,"Sialia sialis sialis","Sialia_sialis",29,NA,"female",1.5,627,13.7663181407199,61.9181824825118,"Summer",117505
6,-85.8666667,45.4333333,NA,1939,"Sialia sialis sialis","Sialia_sialis",29,NA,"female",6.2,749,10.3052355037563,45.0409106964284,"Summer",117518
6,-85.8666667,45.4333333,"adult",1939,"Sialia sialis sialis","Sialia_sialis",29,NA,"female",6.2,749,10.3052355037563,45.0409106964284,"Summer",117520
2,-97.56546,30.11,"unknown",1952,"Sialia sialis sialis","Sialia_sialis",29.1,NA,"female",19.8,914,6.74220088155735,70.7359995857113,"Winter",117359
8,-108.4167461155,30.0146438844,"ad.sk.",1948,"Sialia sialis fulva","Sialia_sialis",29.3,NA,"female",13.1,351,6.92931300980687,121.571115249925,"Summer",117354
7,-83.7391662,45.9914917,"adult",1938,"Sialia sialis sialis","Sialia_sialis",29.4,NA,"female",6.1,749,10.7486574214474,25.9279651212285,"Summer",117381
5,-100.8526807,37.1803491,NA,1967,"Sialia sialis","Sialia_sialis",29.5,NA,"male",13.8,453,8.55702351960958,110.730233977802,"Spring",117251
4,-95.3933067,39.0800421,NA,1994,"Sialia sialis sialis","Sialia_sialis",29.5,NA,"male",13.2,809,9.99734813322862,68.409386548837,"Spring",117254
3,-100.751422,19.716421,"unknown",1961,"Sialia sialis fulva","Sialia_sialis",29.5,NA,"male",14.6,930,2.09067192330817,115.374337858318,"Spring",117269
