"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
2,-117.623272,47.831444,"Ad",1959,"Sitta canadensis","Sitta_canadensis",5.3,112,"female",8.8,520,7.99641491639544,71.0827015201154,"Winter",118502
6,-121.2666667,46.9,NA,1937,"Sitta canadensis","Sitta_canadensis",5.8,NA,"male",4.3,1516,7.90271817449253,78.7239350788253,"Summer",118929
9,-93.2636,44.98,"adult skull",1995,"Sitta canadensis","Sitta_canadensis",6.9,NA,"male",7.8,739,12.3216088825504,58.8352828949132,"Fall",118763
9,-79.434041,43.737384,"juv",2004,"Sitta canadensis","Sitta_canadensis",7,NA,"male",7.2,800,10.0876574750203,43.194949232919,"Fall",118830
10,-105.1123857886,40.587121398,NA,2007,"Sitta canadensis","Sitta_canadensis",7.2,100,"undetermined",9.4,341,9.92512498967172,60.2229265378238,"Fall",118719
9,-105.28579,39.627465,NA,1995,"Sitta canadensis","Sitta_canadensis",7.5,98,"female",5.5,677,6.75822170441756,83.7929948874681,"Fall",118517
1,-123.61833,40.91792,"u ad.",1942,"Sitta canadensis","Sitta_canadensis",7.6,NA,"male",13.6,1528,5.93951839696442,106.452584296409,"Winter",118630
7,-121.537483333,40.3697933333,"juvenile skull",2006,"Sitta canadensis","Sitta_canadensis",7.6,NA,"female",8.6,2125,7.20284034884219,103.402302135009,"Summer",118764
10,-105.0806727,40.574852,NA,1980,"Sitta canadensis","Sitta_canadensis",7.9,90,"female",9.2,343,9.41119578271572,81.1184579683031,"Fall",118716
9,-79.853183,43.22748,"ad",1935,"Sitta canadensis","Sitta_canadensis",8,NA,"male",7.7,662,10.0443109180362,32.6451786326045,"Fall",118819
10,-121.333424,40.418671,"imm.",1923,"Sitta canadensis","Sitta_canadensis",8.1,NA,"female",6.6,594,6.62701084405878,89.1890045699798,"Fall",118599
9,-74.0775,39.9267,NA,1975,"Sitta canadensis","Sitta_canadensis",8.1,NA,"female",11.8,1272,8.47139124919689,30.2288540568908,"Fall",118938
12,-105.0865473,40.573436,NA,1981,"Sitta canadensis","Sitta_canadensis",8.2,95,"undetermined",10.1,358,8.27663743755441,95.3438514643226,"Winter",118714
9,-74.0775,39.9267,"immature",1975,"Sitta canadensis","Sitta_canadensis",8.2,NA,"male",11.8,1272,8.47139124919689,30.2288540568908,"Fall",118913
3,-79.58286,44.38173,"ad",1988,"Sitta canadensis","Sitta_canadensis",8.2,NA,"female",6.6,851,10.556381812425,32.1359177038522,"Spring",118925
4,-117.179457,46.728691,"Ad",1951,"Sitta canadensis","Sitta_canadensis",8.3,118,"female",8,578,7.90325978008538,70.7647257935292,"Spring",118696
