"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","male",5,-123.5462,44.52794,2013,"Sorex bendirii","Sorex_bendirii",18,163,10.1,1644,6.12748403556146,66.4891729379376,"Spring",120429,10.15,2593,5.60962401652206,76.0825109982891,10.2,2550.6,5.46356520414623,79.3411012565325,"M","Adult"
"adult","male",7,-124.15,41.0666667,1926,"Sorex bendirii palmeri","Sorex_bendirii",21.5,NA,11.9,1374,2.30629901606777,123.440482651865,"Summer",120526,11.6,1318,2.26992923998507,100.813794911873,10.92,1154.4,2.6940099298948,97.8923132913183,"M","Adult"
"adult","male",5,-123.5462,44.52794,2013,"Sorex bendirii","Sorex_bendirii",22,160,10.1,1644,6.12748403556146,66.4891729379376,"Spring",120430,10.15,2593,5.60962401652206,76.0825109982891,10.2,2550.6,5.46356520414623,79.3411012565325,"M","Adult"
"adult","male",7,-124.15,41.0666667,1926,"Sorex bendirii palmeri","Sorex_bendirii",16.1,NA,11.9,1374,2.30629901606777,123.440482651865,"Summer",120525,11.6,1318,2.26992923998507,100.813794911873,10.92,1154.4,2.6940099298948,97.8923132913183,"M","Adult"
"adult","female",5,-123.5462,44.52794,2013,"Sorex bendirii","Sorex_bendirii",19,158,10.1,1644,6.12748403556146,66.4891729379376,"Spring",120359,10.15,2593,5.60962401652206,76.0825109982891,10.2,2550.6,5.46356520414623,79.3411012565325,"F","Adult"
"immature","female",5,-123.62,44.29,1996,"Sorex bendirii","Sorex_bendirii",14.1,160,11.2,3127,5.06451559202044,90.4222035760645,"Spring",120363,11.6,2775,4.96932555100273,86.0958736532749,11.5,2082.4,5.28288011566369,85.7769339601494,"F","Juvenile"
"unknown","female",11,-121.8499,46.7327192,1984,"Sorex bendirii","Sorex_bendirii",11,152,6.8,2070,5.83365367085801,64.7476108140256,"Fall",120402,7.1,2024,5.66139447262644,71.6398192092036,7.3,1998.4,5.79839016689945,71.7709417894444,"F","NS"
"unknown","female",4,-121.9281,47.9835,1961,"Sorex bendirii","Sorex_bendirii",20.7,156,10.1,1959,5.50935155399023,61.951843225342,"Spring",120448,9.8,1857,5.49338192472918,61.7207994102998,9.98,1847.2,5.60407487225627,63.6338027930812,"F","NS"
"unknown","female",5,-121.9712,45.8035,1983,"Sorex bendirii","Sorex_bendirii",17.6,166,8.7,3185,5.87141896018847,84.7241502620602,"Spring",120453,8.4,3058.5,6.23925154150576,85.1501702472856,8.6,2854.8,6.30357833131364,86.5001114531999,"F","NS"
"unknown","female",4,-123.9503662,46.4257194,1991,"Sorex bendirii","Sorex_bendirii",15.9,154,10.2,1822,3.88730451130811,70.2535746196471,"Spring",120445,10.3,2139,4.29835017104092,73.9935090660073,10.34,1892,4.12269256978549,73.4026718032107,"F","NS"
"unknown","female",7,-122.0049168,45.8930395,1984,"Sorex bendirii","Sorex_bendirii",19.4,166,8.1,2610,6.05872148729466,77.3740702907775,"Summer",120388,8.3,2682.5,5.91146330107223,81.5605161605216,8.4,2579.2,5.99652526057619,85.4593240775135,"F","NS"
"unknown","female",8,-122.315676,46.8617191,1983,"Sorex bendirii","Sorex_bendirii",12,149,10.2,1080,5.04579032461714,62.5077826782662,"Summer",120370,9.95,1055.5,5.47230445088063,61.5233602488847,10.18,993.4,5.40773589777631,61.3589133000604,"F","NS"
"unknown","female",10,-121.8969648,46.7397808,1985,"Sorex bendirii","Sorex_bendirii",14.5,155,6.9,1404,6.76371782290471,69.6719482713331,"Fall",120476,7,1760.5,6.16406359098043,67.0327265500638,7.38,1929.6,5.80444455054604,70.2190743438442,"F","NS"
"unknown","female",10,-122.0153037,46.1021804,1985,"Sorex bendirii","Sorex_bendirii",16.5,167,7.7,2013,7.13206587437074,69.2140200554238,"Fall",120462,8,2554,6.49530009137361,69.4885326970308,8.46,2839,6.07433494108339,74.3855232499667,"F","NS"
"unknown","female",11,-122.1567,44.2472,1983,"Sorex bendirii","Sorex_bendirii",16.1,151,9,2766,5.1355195069302,72.7415080873289,"Fall",120417,8.6,2484,5.54840438579591,69.7018088941037,8.8,2252.4,5.58666180001817,76.5246161141213,"F","NS"
"unknown","female",11,-121.8648154,47.5521473,1988,"Sorex bendirii","Sorex_bendirii",10.8,140,11.1,1330,5.09774162712958,63.7806771029445,"Fall",120424,11.4,1191.5,5.22073246735035,75.9080153549408,10.84,1205.6,5.41069718035105,72.6567208145398,"F","NS"
"unknown","female",6,-121.2705,48.6675,1994,"Sorex bendirii","Sorex_bendirii",8.4,137,10,1996,6.59152348233561,78.4895568017706,"Summer",120486,9.6,1735,6.68320513217417,69.3472020792331,9.78,1914.6,6.54638451217496,75.4861154328943,"F","NS"
"unknown","female",8,-121.9915,44.1351,1983,"Sorex bendirii","Sorex_bendirii",14.9,156,8.3,2465,5.18747763777582,75.2228592197597,"Summer",120413,7.95,2215,5.61302969991319,69.8175967472444,8.18,2013.6,5.63199145299875,75.9406213861267,"F","NS"
"unknown","female",8,-124.2998,47.8889,1988,"Sorex bendirii","Sorex_bendirii",13,154,9.9,2945,4.57542844491589,60.0832551144491,"Summer",120428,10.15,2760,4.63301900978401,70.7315617262532,9.62,2854.4,4.79887484345874,71.1005359316044,"F","NS"
"unknown","female",3,-123.9503662,46.4257194,1991,"Sorex bendirii","Sorex_bendirii",16.5,164,10.2,1822,3.88730451130811,70.2535746196471,"Spring",120447,10.3,2139,4.29835017104092,73.9935090660073,10.34,1892,4.12269256978549,73.4026718032107,"F","NS"
"unknown","female",11,-121.8551,47.5548,1988,"Sorex bendirii","Sorex_bendirii",9.5,152,11,1403,5.1498161191062,64.1999746596457,"Fall",120423,11.3,1257,5.29297332511955,76.4833699998335,10.74,1269.4,5.49132146049717,73.0901553719533,"F","NS"
