"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
7,-145.5472833333,63.9464833333,"juvenile",2002,"Synaptomys borealis","Synaptomys_borealis",7.46,82,"female",-1.4,340,11.8241663169506,106.683663549696,"Summer",144216
8,-145.7867,63.80115,"juvenile",2002,"Synaptomys borealis","Synaptomys_borealis",8.06,80,"male",-1.4,573,11.0466366744897,119.897054623059,"Summer",144468
8,-151.7827833333,66.3224833333,NA,1997,"Synaptomys borealis","Synaptomys_borealis",8.1,84,"undetermined",-3.2,314,15.2533826352774,79.3117451492129,"Summer",144040
8,-151.7827833333,66.3224833333,NA,1997,"Synaptomys borealis","Synaptomys_borealis",8.1,84,"male",-3.2,314,15.2533826352774,79.3117451492129,"Summer",144309
7,-155.429,58.6701,"juvenile",2004,"Synaptomys borealis","Synaptomys_borealis",8.5,88,"female",4.4,613,8.31433592165856,90.5766465478594,"Summer",143992
7,-155.429,58.6701,NA,2004,"Synaptomys borealis","Synaptomys_borealis",8.5,88,"female",4.4,613,8.31433592165856,90.5766465478594,"Summer",144190
7,-155.429,58.6701,"juvenile",2004,"Synaptomys borealis","Synaptomys_borealis",8.8,91,"female",4.4,613,8.31433592165856,90.5766465478594,"Summer",143993
7,-155.429,58.6701,NA,2004,"Synaptomys borealis","Synaptomys_borealis",8.8,91,"female",4.4,613,8.31433592165856,90.5766465478594,"Summer",144191
8,-70.3121,55.6185,"juvenile",2006,"Synaptomys borealis","Synaptomys_borealis",10,104,"male",-2.9,779,12.3633714878044,43.8823374506729,"Summer",143988
8,-148.9903722222,63.7292111111,"juvenile",2009,"Synaptomys borealis","Synaptomys_borealis",10.29,90,"male",-3.5,376,11.5652169207604,80.7198874787221,"Summer",144499
8,-157.0166666667,64.7333333333,NA,1992,"Synaptomys borealis","Synaptomys_borealis",10.6,97,"female",-4.4,357,14.4596277038288,57.0101366183608,"Summer",144300
7,-140.9666666667,65.05,"subadult",2001,"Synaptomys borealis","Synaptomys_borealis",10.7,103,"male",-3.5,339,12.1222153940856,68.8075408422635,"Summer",144498
7,-140.9666666667,65.05,"subadult",2001,"Synaptomys borealis","Synaptomys_borealis",10.7,103,"male",-3.5,339,12.1222153940856,68.8075408422635,"Summer",144540
8,-145.5309666667,63.9518166667,NA,2002,"Synaptomys borealis","Synaptomys_borealis",10.81,90,"female",-1.5,333,11.8561165648791,104.398545509321,"Summer",144459
7,-73.6683,50.0718,"juvenile",2004,"Synaptomys borealis","Synaptomys_borealis",11,108,"female",-1.2,876,13.2368717122768,32.8870884414852,"Summer",143987
8,-151.7827833333,66.3224833333,NA,1997,"Synaptomys borealis","Synaptomys_borealis",11,95,"male",-3.2,314,15.2533826352774,79.3117451492129,"Summer",144039
