"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
10,-117.164293,46.730767,NA,1996,"Vireo cassinii","Vireo_cassinii",11.1,NA,NA,8.2,774,7.91608929314025,71.5732167831782,"Fall",157043
5,-122.2297661,40.2121782,"u ad.",1924,"Vireo cassinii cassinii","Vireo_cassinii",11.7,NA,"male",17.4,462,7.5992174637002,110.123926819142,"Spring",156989
7,-109.716873,23.387557,"ad.",1929,"Vireo cassinii lucasanus","Vireo_cassinii",11.8,NA,"female",22.2,342,4.69806536585201,128.498769417651,"Summer",157192
8,-120.63,36.35,"juv.",1944,"Vireo cassinii cassinii","Vireo_cassinii",12.1,NA,"male",12.3,479,6.51284860638546,117.560293787102,"Summer",157037
6,-109.7747222,23.441944,"ad.",1929,"Vireo cassinii lucasanus","Vireo_cassinii",12.1,NA,"male",22.5,318,4.72709789886507,128.387621440706,"Summer",157237
6,-121.432314,40.3096634,"skull",2003,"Vireo cassinii cassinii","Vireo_cassinii",12.2,NA,"female",9.6,1478,7.29966790444274,112.783785141019,"Summer",157233
7,-120.2792747,39.5382166,"ad.sk.",1976,"Vireo cassinii cassinii","Vireo_cassinii",12.3,NA,"male",5.3,343,6.33768789692171,86.4938943837764,"Summer",157097
7,-121.530840063,40.4125823385,"adult skull",2006,"Vireo cassinii cassinii","Vireo_cassinii",12.4,NA,"female",8.1,2962,7.22288031189774,106.173989785825,"Summer",156984
4,-106.425646,21.463515,NA,1963,"Vireo cassinii cassinii","Vireo_cassinii",12.4,NA,"female",23.3,548,2.5656678497326,102.889348753329,"Spring",157229
5,-122.0391752,40.8587106,"ad.sk.",1981,"Vireo cassinii cassinii","Vireo_cassinii",12.5,NA,"male",15.5,2546,7.01576147619837,103.153972873617,"Spring",156927
8,-121.0151,38.9072,"unknown",1916,"Vireo cassinii cassinii","Vireo_cassinii",12.6,NA,"female",14.2,1003,6.8096856154905,145.524132153522,"Summer",156986
5,-115.8090522,33.7365557,"u ad.",1945,"Vireo cassinii cassinii","Vireo_cassinii",12.6,NA,"female",15.9,300,7.56030302423004,194.693231894318,"Spring",157217
5,-120.579294,39.982735,"ad.sk.",1970,"Vireo cassinii cassinii","Vireo_cassinii",12.7,NA,"male",7.3,1353,6.82727928418359,125.155680890287,"Spring",156890
5,-120.9284872,41.5629391,"u ad.",1948,"Vireo cassinii cassinii","Vireo_cassinii",12.7,NA,"male",7.1,507,7.9734027563614,59.1339309914405,"Spring",157049
6,-122.8324269,39.550601,"ad.sk.",1972,"Vireo cassinii cassinii","Vireo_cassinii",12.8,NA,"male",11.2,991,6.83378416842426,102.328812694911,"Summer",156889
7,-122.3698,42.7004,"ad.sk.",1982,"Vireo cassinii cassinii","Vireo_cassinii",12.8,NA,"male",7.2,1203,6.57962880043511,73.3338038313619,"Summer",156946
5,-120.411092,35.267745,"ad.sk.",1984,"Vireo cassinii cassinii","Vireo_cassinii",12.8,NA,"male",15.8,400,6.24603510600561,126.842867237805,"Spring",156962
5,-121.568284,36.319877,"adult skull",1986,"Vireo cassinii cassinii","Vireo_cassinii",12.8,NA,"male",13.8,892,5.17640333775794,149.724892580538,"Spring",156976
5,-103.529842,34.11186,NA,2011,"Vireo cassinii","Vireo_cassinii",12.83,NA,"female",15.3,179,9.8091330355486,99.1569054962257,"Spring",157224
6,-122.8081025,39.4441677,"ad.sk.",1973,"Vireo cassinii cassinii","Vireo_cassinii",12.9,NA,"male",11.7,2093,6.88144188555294,119.408783744519,"Summer",156884
5,-122.8245446,39.4433764,"ad.",1980,"Vireo cassinii cassinii","Vireo_cassinii",12.9,NA,"male",12.2,1273,5.6001352797513,129.470652174676,"Spring",156910
5,-122.866367,39.3759636,"ad.",1980,"Vireo cassinii cassinii","Vireo_cassinii",12.9,NA,"male",13.1,1169,5.45832697200647,129.517940448317,"Spring",156918
5,-122.0391752,40.8587106,"ad.sk.",1981,"Vireo cassinii cassinii","Vireo_cassinii",12.9,NA,"male",15.5,2546,7.01576147619837,103.153972873617,"Spring",156926
5,-121.568284,36.319877,"adult skull",1986,"Vireo cassinii cassinii","Vireo_cassinii",12.9,NA,"male",13.8,892,5.17640333775794,149.724892580538,"Spring",156973
6,-119.77472,39.44083,"ad.sk.",1970,"Vireo cassinii cassinii","Vireo_cassinii",12.9,NA,"male",10.4,243,7.77729309456625,120.728044814654,"Summer",157093
6,-119.280832,37.07026,"adult skull",1986,"Vireo cassinii cassinii","Vireo_cassinii",12.9,NA,"female",11.9,1072,5.55487091741032,164.839165936936,"Summer",157156
8,-120.28173,35.597748,"imm.",1947,"Vireo cassinii cassinii","Vireo_cassinii",13,NA,"female",14.6,104,6.07759796051836,93.2076166137476,"Summer",156857
6,-118.5168301,35.7195559,"ad.sk.",1985,"Vireo cassinii cassinii","Vireo_cassinii",13,NA,"female",12.5,347,7.25283643574266,121.711059134568,"Summer",156949
6,-119.280832,37.07026,"adult skull",1986,"Vireo cassinii cassinii","Vireo_cassinii",13,NA,"female",11.9,1072,5.55487091741032,164.839165936936,"Summer",156970
5,-118.920408,37.128964,"ad.sk.",1987,"Vireo cassinii cassinii","Vireo_cassinii",13,NA,"male",4.6,715,6.17891698855998,91.1743404054074,"Spring",156981
6,-120.3751,44.4653,"u ad.",1938,"Vireo cassinii cassinii","Vireo_cassinii",13,NA,"male",6.6,508,7.82199695497488,64.1667505107387,"Summer",157025
8,-123.4568,40.45807,"unknown",1942,"Vireo cassinii cassinii","Vireo_cassinii",13,NA,"female",10.2,2118,6.39962120091115,99.0391196236951,"Summer",157212
2,-99.78333333,18.5,NA,1987,"Vireo cassinii","Vireo_cassinii",13,NA,NA,20.4,1003,1.31388274925424,140.582044916799,"Winter",157223
6,-122.8118697,39.4446168,"ad.sk.",1973,"Vireo cassinii cassinii","Vireo_cassinii",13.1,NA,"male",12,2092,6.811014920144,119.587087494621,"Summer",156886
6,-120.560086,39.971666,"ad.sk.",1971,"Vireo cassinii cassinii","Vireo_cassinii",13.1,NA,"male",6.4,1065,7.19336289206722,109.079596428334,"Summer",156893
7,-120.2357672,41.5389116,"ad.sk.",1978,"Vireo cassinii cassinii","Vireo_cassinii",13.1,NA,"male",7,499,7.25851641908046,82.9071770114023,"Summer",156903
6,-122.70172,39.47802,"ad.sk.",1973,"Vireo cassinii cassinii","Vireo_cassinii",13.1,NA,"female",12.2,1343,7.26421281893557,119.762809661209,"Summer",157092
7,-120.2357672,41.5389116,"ad.sk.",1978,"Vireo cassinii cassinii","Vireo_cassinii",13.1,NA,"female",7,499,7.25851641908046,82.9071770114023,"Summer",157100
6,-119.289234,37.084855,"adult skull",1986,"Vireo cassinii cassinii","Vireo_cassinii",13.1,NA,"male",11.3,1104,5.51048587199482,163.814413173575,"Summer",157154
8,-120.63,36.35,"imm.",1944,"Vireo cassinii cassinii","Vireo_cassinii",13.1,NA,"undetermined",12.3,479,6.51284860638546,117.560293787102,"Summer",157215
