"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-83.7666667,42.2833333,"immature",1934,"Zenaida macroura carolinensis","Zenaida_macroura",31.5,NA,"male",9.5,479,11.7747804457431,58.251024181398,"Summer",160637
9,-83.7263412,42.2708397,"juvenile",1939,"Zenaida macroura","Zenaida_macroura",32.2,NA,"female",10.1,662,10.2795766921453,66.7450603426487,"Fall",160392
8,-83.7263412,42.2708397,"juvenile",1980,"Zenaida macroura","Zenaida_macroura",33.6,NA,"male",8.5,927,10.7323180867486,52.6854583278336,"Summer",160174
6,-117.821473,33.800967,"juvenile",2004,NA,"Zenaida_macroura",35.7,NA,"male",16.7,313,3.66683539556684,154.78727730742,"Summer",160234
6,-104.941088,39.804947,"Immature",2013,"Zenaida macroura","Zenaida_macroura",35.9,121,"undetermined",10.6,326,9.71345131061233,62.7797630024383,"Summer",160058
6,-95.167035,38.8824734,"nestling",1999,"Zenaida macroura","Zenaida_macroura",35.9,NA,NA,13.8,1010,9.27232768004133,80.3416801393066,"Summer",160292
8,-83.7656664,42.5879324,"nestling",2008,"Zenaida macroura carolinensis","Zenaida_macroura",36.5,NA,"undetermined",8.6,915,10.2629814322539,43.9360577254519,"Summer",160420
5,-103.2051735,29.3285322,"adult",1967,"Zenaida macroura marginella","Zenaida_macroura",37.8,283,"undetermined",18.4,279,6.86084079130513,105.364461555178,"Spring",160160
7,-122.03131,37.97297,"U-Nestling",2001,"Zenaida macroura","Zenaida_macroura",40.3,NA,"undetermined",15.4,525,5.07951918507206,128.048328544766,"Summer",160501
5,-79.372722,43.73418,"nestling",1983,"Zenaida macroura carolinensis","Zenaida_macroura",40.6,NA,"female",7.9,831,10.1651663075724,39.7373235545502,"Spring",160378
5,-117.9279327,33.8895124,"juvenile",2004,NA,"Zenaida_macroura",41.9,NA,"undetermined",16.9,320,3.6185025364176,155.440844493013,"Spring",160464
8,-83.7263412,42.2708397,"juvenile",1938,"Zenaida macroura carolinensis","Zenaida_macroura",42.7,NA,"female",10.4,686,9.65898859125844,50.0000629664573,"Summer",160446
5,-79.62304,43.99192,"nestling",1959,"Zenaida macroura carolinensis","Zenaida_macroura",43,NA,"undetermined",7.1,788,11.3052682811639,27.2001468305501,"Spring",160157
6,-95.167035,38.8824734,"nestling",1999,"Zenaida macroura","Zenaida_macroura",45.3,NA,NA,13.8,1010,9.27232768004133,80.3416801393066,"Summer",160293
7,-121.921279,37.77908,"fledgling",2004,"Zenaida macroura marginella","Zenaida_macroura",45.35,NA,"female",15.5,552,4.93057867401039,121.079469834772,"Summer",160340
7,-122.44623,37.78707,"nestling",2003,"Zenaida macroura marginella","Zenaida_macroura",45.4,NA,"undetermined",14,546,2.50760963082495,116.428345664443,"Summer",160515
6,-79.83131,43.94852,"juvenile",1944,"Zenaida macroura carolinensis","Zenaida_macroura",50,NA,"male",6.6,741,10.3819299601264,36.8196512322284,"Summer",160385
6,-79.83131,43.94852,"juvenile",1944,"Zenaida macroura carolinensis","Zenaida_macroura",50,NA,"female",6.6,741,10.3819299601264,36.8196512322284,"Summer",160386
9,-83.7833333,42.1666667,"nestling",2004,"Zenaida macroura","Zenaida_macroura",50.81,NA,"male",9.7,837,9.98181300711904,63.3930666052152,"Fall",160633
3,-121.941422,37.951574,"fledgling",2004,"Zenaida macroura marginella","Zenaida_macroura",51.5,NA,"undetermined",15.2,493,5.04561015321059,122.12404605146,"Spring",160115
8,-122.8308,38.39691,"U-Ad.",1976,"Zenaida macroura","Zenaida_macroura",51.5,NA,"male",13.9,329,4.40512786592529,101.380338665734,"Summer",160489
7,-122.53933,37.93088,"nestling",2003,"Zenaida macroura marginella","Zenaida_macroura",54.3,NA,"undetermined",14.7,951,3.42011651405284,118.746301074116,"Summer",160589
4,-83.7263412,42.2708397,"nestling",1941,"Zenaida macroura carolinensis","Zenaida_macroura",54.7,NA,"male",10.3,683,10.3579862322692,48.7778988168438,"Spring",160161
8,-122.48251,37.7695,"U-Ad.",1961,"Zenaida macroura marginella","Zenaida_macroura",55.3,NA,"male",13,450,2.81419561681433,104.238225266353,"Summer",160553
5,-122.282789,37.861519,"not recorded",2004,"Zenaida macroura marginella","Zenaida_macroura",55.7,NA,"male",15,535,3.04760213739897,127.188525498487,"Spring",160118
6,-115.6839522,34.9868417,"u juv.",1940,"Zenaida macroura marginella","Zenaida_macroura",55.8,NA,"male",19.9,131,8.34892027132669,102.851895445316,"Summer",160133
4,-122.50966,37.97559,"Fledgling",2002,"Zenaida macroura","Zenaida_macroura",56,NA,"undetermined",14.5,862,3.49215571175621,173.120534154938,"Spring",160504
4,-83.7263412,42.2708397,"immature",1955,"Zenaida macroura carolinensis","Zenaida_macroura",56.7,NA,"male",10.1,635,10.9436123613344,52.1311958502556,"Spring",160399
6,-121.93163,37.9541,"U-Nestling",2001,"Zenaida macroura","Zenaida_macroura",57.3,NA,"undetermined",14.8,588,4.96047254591615,127.407340225819,"Summer",160500
3,-83.7263412,42.2708397,"juvenile",1968,"Zenaida macroura carolinensis","Zenaida_macroura",57.5,NA,"female",9.4,949,10.1205461584568,62.4345176985602,"Spring",160404
6,-122.55575,38.02213,"fledgeling",2003,"Zenaida macroura marginella","Zenaida_macroura",57.7,NA,"undetermined",15.1,865,3.9875943989966,118.166535806322,"Summer",160513
6,-87.4154663,46.2995086,NA,2002,"Zenaida macroura","Zenaida_macroura",59,NA,"male",6.3,969,10.0245002898202,53.7768238379184,"Summer",160413
8,-104.8552241093,39.6930630717,NA,2008,"Zenaida macroura","Zenaida_macroura",59.1,227,"undetermined",10.1,360,8.92131852600412,63.8122369587291,"Summer",160053
8,-122.009654,37.943136,"skull not fully ossified",2003,"Zenaida macroura marginella","Zenaida_macroura",59.1,NA,"female",15.4,434,5.00898435238365,114.440008282951,"Summer",160335
3,-122.4633,37.98823,"nestling",2003,"Zenaida macroura","Zenaida_macroura",59.3,NA,"undetermined",14.6,700,3.41116704458468,116.787424031331,"Spring",160587
7,-105.1184,40.16538,"adult",2012,"Zenaida macroura","Zenaida_macroura",60,281,"male",11.4,215,9.32063530153618,69.1863892208801,"Summer",160047
5,-122.47899,37.89031,"Fledgling",2002,"Zenaida macroura","Zenaida_macroura",60,NA,"undetermined",14.1,715,2.78081904219864,170.925278663622,"Spring",160578
6,-78.67111,43.95669,"juvenile",1972,"Zenaida macroura carolinensis","Zenaida_macroura",60.2,169,"male",6.2,897,10.3593026558331,22.2487456226161,"Summer",160145
6,-79.375024,43.682677,"fledgeling",2006,"Zenaida macroura carolinensis","Zenaida_macroura",60.2,NA,"female",9.5,893,8.99162489107604,33.1634670339563,"Summer",160368
9,-122.49553,37.73017,"immature",2002,"Zenaida macroura","Zenaida_macroura",60.5,NA,"undetermined",13.4,519,2.06940190451837,168.108883628454,"Fall",160582
8,-122.53913,37.96743,"fledgling",2002,"Zenaida macroura","Zenaida_macroura",61.2,NA,"undetermined",14.6,949,3.53399079074789,174.62808900743,"Summer",160581
7,-104.2049408,43.9126368,"juvenile",1935,"Zenaida macroura marginella","Zenaida_macroura",61.5,NA,"male",6.5,367,9.24253589102957,112.919892919165,"Summer",160213
5,-115.5697,33.1714,"natal",1937,"Zenaida macroura marginella","Zenaida_macroura",62.5,NA,"male",22.5,40,8.84871159941926,110.656667034498,"Spring",160355
9,-83.3970337,41.9157448,"immature",2007,"Zenaida macroura carolinensis","Zenaida_macroura",62.7,NA,"female",10.6,889,10.6957369020927,53.1381048689201,"Fall",160418
5,-115.5697,33.1714,"u ad.",1937,"Zenaida macroura marginella","Zenaida_macroura",62.8,NA,"male",22.5,40,8.84871159941926,110.656667034498,"Spring",160130
6,-122.4818,37.72716,"Imm",1979,"Zenaida macroura","Zenaida_macroura",62.98,NA,"female",13.6,679,2.72574704800298,106.044874165303,"Summer",160571
5,-83.7263412,42.2708397,"juvenile",1945,"Zenaida macroura carolinensis","Zenaida_macroura",64.6,NA,"male",9,912,10.0947781280494,62.2832900397484,"Spring",160396
3,-122.53085,37.93163,"U-Ad.",1975,"Zenaida macroura marginella","Zenaida_macroura",64.9,NA,"female",13.3,771,3.2783379935571,125.298460160485,"Spring",160481
7,-116.0772209,33.5716934,"juvenile",1991,NA,"Zenaida_macroura",65,NA,"male",22.2,114,7.42833946940548,119.218474126938,"Summer",160226
11,-90.05328,48.62473,"not applicable",1954,"Zenaida macroura marginella","Zenaida_macroura",65,NA,"female",1.1,760,11.8907781940715,46.0797596107219,"Fall",160534
8,-122.51494,38.01737,"nestling",2003,"Zenaida macroura marginella","Zenaida_macroura",65.1,NA,"undetermined",14.9,745,3.7972378318345,118.652513868577,"Summer",160518
8,-122.02838,37.99592,"U-Nestling",2001,"Zenaida macroura","Zenaida_macroura",65.2,NA,"undetermined",15.4,516,5.09315494293343,128.236033329352,"Summer",160497
7,-122.03656,37.97595,"U-Fledgling",2001,"Zenaida macroura","Zenaida_macroura",65.6,NA,"undetermined",15.4,525,5.05613189078071,128.558218311841,"Summer",160502
7,-122.47229,37.68448,"U-Imm",2001,"Zenaida macroura","Zenaida_macroura",67,NA,"undetermined",13.5,764,2.42468367196443,131.262867435783,"Summer",160575
5,-106.6511345,35.0844898,"juv",2008,"Zenaida macroura","Zenaida_macroura",67.1,NA,"female",13.5,173,8.48104392516665,84.4088986648407,"Spring",160096
6,-122.50169,37.95953,"nestling",2003,"Zenaida macroura marginella","Zenaida_macroura",67.1,NA,"undetermined",14.8,834,3.43930049265659,117.655291402102,"Summer",160512
8,-111.3953253,42.1675605,"juvenile",1934,"Zenaida macroura marginella","Zenaida_macroura",67.3,NA,"male",7.2,220,8.49891258641452,48.1357958901737,"Summer",160437
5,-105.093759,39.934832,NA,2013,"Zenaida macroura","Zenaida_macroura",67.4,278,"female",10.2,343,9.56769738930602,64.1108425643754,"Spring",160264
9,-83.0751801,43.0234746,NA,1953,"Zenaida macroura carolinensis","Zenaida_macroura",67.6,NA,"male",10,585,9.59255945875223,36.4108874139937,"Fall",160168
9,-83.7263412,42.2708397,"immature",1935,"Zenaida macroura carolinensis","Zenaida_macroura",67.8,NA,"female",8.8,649,10.2459748194108,44.6617555019791,"Fall",160440
11,-122.07774,37.94794,"immature",2003,"Zenaida macroura","Zenaida_macroura",68.2,NA,"undetermined",15.6,474,4.92755855706793,117.101824900125,"Fall",160596
8,-117.8975487,34.3515146,"immature",2000,"Zenaida macroura","Zenaida_macroura",69.9,NA,"undetermined",10.3,665,6.11733750759415,160.940874001353,"Summer",160410
7,-122.54249,37.90446,"U-Imm",2001,"Zenaida macroura","Zenaida_macroura",70,NA,"undetermined",14.1,1103,3.15290870995868,133.136163603895,"Summer",160576
