"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-117.7950916,36.769601,NA,1977,"Ammospermophilus leucurus leucurus Merriam, 1889","Ammospermophilus_leucurus",23,141,NA,20.9,66,8.78050526605803,107.565086965448,"Spring",3920
5,-116.31306,36.63278,NA,1964,"Ammospermophilus leucurus","Ammospermophilus_leucurus",28.2,160,"male",16.5,55,8.9997811421201,112.972274412244,"Spring",4170
6,-116.232092,36.730781,NA,1974,"Ammospermophilus leucurus leucurus Merriam, 1889","Ammospermophilus_leucurus",37.5,157,"female",16,189,8.93903170812073,133.539629424591,"Summer",4131
5,-116.31306,36.63278,NA,1964,"Ammospermophilus leucurus","Ammospermophilus_leucurus",43,190,"male",16.5,55,8.9997811421201,112.972274412244,"Spring",4171
6,-111.59516,36.86749,NA,1982,"Ammospermophilus leucurus cinnamomeus","Ammospermophilus_leucurus",47,176,"male",14.6,234,9.65255108374167,66.336186470402,"Summer",3947
5,-117.08,35.99,NA,1974,"Ammospermophilus leucurus leucurus Merriam, 1889","Ammospermophilus_leucurus",49,190,"female",12.5,335,8.27773117063687,122.41707260441,"Spring",4038
7,-118.4725,40.17944,"unknown",1964,"Ammospermophilus leucurus","Ammospermophilus_leucurus",51.7,123,"undetermined",9.7,126,8.39849824238076,78.6900341539641,"Summer",3899
6,-112.7411,36.8597,NA,2002,"Ammospermophilus leucurus","Ammospermophilus_leucurus",53,190,"male",13.3,161,8.8996765348097,111.978354679027,"Summer",4134
6,-116.232092,36.730781,NA,1974,"Ammospermophilus leucurus leucurus Merriam, 1889","Ammospermophilus_leucurus",55.5,185,"female",16,189,8.93903170812073,133.539629424591,"Summer",4120
9,-118.31084,37.40482,NA,2006,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",56,181,"female",13.6,100,8.57718520615045,163.770091634393,"Fall",3955
9,-118.31084,37.40482,NA,2006,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",57,186,"male",13.6,100,8.57718520615045,163.770091634393,"Fall",3854
7,-114.79306,36.03556,"unknown",1963,"Ammospermophilus leucurus","Ammospermophilus_leucurus",57.1,198,"female",20.5,102,9.0602863022527,93.6527871452596,"Summer",3997
8,-117.68,35.43,NA,1972,"Ammospermophilus leucurus leucurus Merriam, 1889","Ammospermophilus_leucurus",60,206,"male",17.5,68,8.12687274454698,151.294059580699,"Summer",4106
9,-117.25175,38.5076,NA,2011,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",60,182,"female",9.8,191,8.97312485686952,71.0113627271272,"Fall",4139
7,-113.07667,36.21889,NA,1964,"Ammospermophilus leucurus","Ammospermophilus_leucurus",61.4,186,"female",13.9,202,9.41809991774381,93.1755704134789,"Summer",4159
9,-116.095869,36.798842,"adult",2009,"Ammospermophilus leucurus","Ammospermophilus_leucurus",62,183,"female",16.3,106,8.75343655458538,165.265850931855,"Fall",3846
9,-117.24976,38.50262,NA,2011,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",63,183,"female",9.8,193,8.96796909545131,70.467013933588,"Fall",4063
5,-115.8850174,34.6448479,NA,1994,"Ammospermophilus leucurus","Ammospermophilus_leucurus",64,200,"female",20.4,76,8.85518167087737,111.088143377839,"Spring",3883
7,-117.66,35.37,NA,1977,"Ammospermophilus leucurus leucurus Merriam, 1889","Ammospermophilus_leucurus",64,207,"male",17.7,175,7.5312832420994,144.413753141711,"Summer",4096
4,-118.00818,37.41428,NA,2007,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",65,191,"female",11,109,8.6451072166792,76.2824200900682,"Spring",3860
7,-115.98306,36.20833,"unknown",1964,"Ammospermophilus leucurus","Ammospermophilus_leucurus",66.05,138,"undetermined",16.2,47,9.08443557393467,119.65860528262,"Summer",3895
8,-114.83167,35.97861,"unknown",1964,"Ammospermophilus leucurus","Ammospermophilus_leucurus",66.4,199,"male",18.5,46,9.45843779144027,73.8548945875996,"Summer",3911
5,-108.170351,38.728318,NA,1980,"Ammospermophilus leucurus pennipes","Ammospermophilus_leucurus",66.5,172,"male",11.5,254,8.73617956164669,56.8656400021715,"Spring",3841
9,-118.31084,37.40482,NA,2006,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",67,188,"female",13.6,100,8.57718520615045,163.770091634393,"Fall",3853
