"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-122.1544,47.5392,"unknown",1981,"Aplodontia rufa","Aplodontia_rufa",335,220,"female",10.7,1319,4.84582763359836,54.3361391759179,"Spring",5829
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",336.3,232,"female",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5858
7,-122.92,43.49,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",345.2,243,"female",10.1,1529,5.84501859913571,82.1970580972859,"Summer",5886
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",366.7,245,"male",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5860
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",382.1,255,"male",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5861
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",386.1,247,"female",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5890
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",393.9,242,"male",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5895
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",416.7,233,"male",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5894
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",422.3,243,"male",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5896
7,-122.36937,47.76238,"unknown",1993,"Aplodontia rufa","Aplodontia_rufa",423,240,"male",10.6,766,5.47979069496327,65.6748521589458,"Summer",5789
6,-123.2314,47.003,"unknown",1978,"Aplodontia rufa","Aplodontia_rufa",429.4,251,"female",9.8,2181,5.69792625753999,61.8643009384177,"Summer",5767
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",437.6,253,"male",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5859
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",447.1,259,"female",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5889
8,-118.9833333,37.65,"juvenile",1916,"Aplodontia rufa californica","Aplodontia_rufa",453.6,NA,"male",4.3,959,7.54563389710175,149.088493985413,"Summer",5868
6,-122.36937,47.76238,"unknown",1993,"Aplodontia rufa","Aplodontia_rufa",456,243,"female",10.6,766,5.47979069496327,65.6748521589458,"Summer",5790
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",460.5,272,"female",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5857
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",533.4,270,"male",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5892
6,-123.2314,47.003,"unknown",1978,"Aplodontia rufa","Aplodontia_rufa",540.3,270,"female",9.8,2181,5.69792625753999,61.8643009384177,"Summer",5766
8,-121.363656,40.434312,NA,2001,"Aplodontia rufa californica","Aplodontia_rufa",560,260,"undetermined",8.3,1553,7.28449474132308,112.448259104851,"Summer",5758
8,-118.9833333,37.65,"juvenile",1916,"Aplodontia rufa californica","Aplodontia_rufa",566.99,NA,"male",4.3,959,7.54563389710175,149.088493985413,"Summer",5866
8,-118.9833333,37.65,"juvenile",1916,"Aplodontia rufa californica","Aplodontia_rufa",566.99,NA,"male",4.3,959,7.54563389710175,149.088493985413,"Summer",5905
11,-123.6032,44.5687,NA,1991,"Aplodontia rufa pacifica","Aplodontia_rufa",571.8,278,"female",10.9,1646,5.01331560280553,73.8933206398015,"Fall",5876
6,-123.2314,47.003,"unknown",1978,"Aplodontia rufa","Aplodontia_rufa",581,260,"male",9.8,2181,5.69792625753999,61.8643009384177,"Summer",5769
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",584.6,288,"male",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5888
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",590.5,290,"female",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5856
10,-122.4169,47.6572,"unknown",1988,"Aplodontia rufa","Aplodontia_rufa",604,266,"female",11,890,4.8294237061303,73.6739889256073,"Fall",5788
11,-123.48,44.64,NA,1991,"Aplodontia rufa pacifica","Aplodontia_rufa",605.5,263,"male",10.9,1335,5.26696393484036,72.596883306836,"Fall",5840
11,-123.64,44.6,NA,1991,"Aplodontia rufa pacifica","Aplodontia_rufa",612,278,"female",10.7,1569,4.91777850808121,73.398748238448,"Fall",5882
11,-123.79,44.66,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",620.5,301,"undetermined",10.8,1376,4.99845430653772,84.0220974917072,"Fall",5897
6,-123.5208,46.9889,"unknown",1978,"Aplodontia rufa","Aplodontia_rufa",620.6,NA,"female",10.9,1483,5.26212164838711,53.2994278369054,"Summer",5823
11,-123.64,44.6,NA,1991,"Aplodontia rufa pacifica","Aplodontia_rufa",621,283,"female",10.7,1569,4.91777850808121,73.398748238448,"Fall",5846
6,-123.3369,47.0611,"unknown",1978,"Aplodontia rufa","Aplodontia_rufa",623.9,265,"female",10.4,1584,5.43847126470019,59.239859770478,"Summer",5778
6,-123.5208,46.9889,"unknown",1978,"Aplodontia rufa","Aplodontia_rufa",634.4,275,"female",10.9,1483,5.26212164838711,53.2994278369054,"Summer",5824
7,-122.92,43.49,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",641.1,293,"female",10.1,1529,5.84501859913571,82.1970580972859,"Summer",5852
7,-122.92,43.49,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",651.4,287,"female",10.1,1529,5.84501859913571,82.1970580972859,"Summer",5853
8,-123.75,44.6,NA,1987,"Aplodontia rufa pacifica","Aplodontia_rufa",666,290,"male",11.1,1571,4.4341307097914,105.583307744943,"Summer",5885
7,-122.92,43.48,NA,1989,"Aplodontia rufa pacifica","Aplodontia_rufa",672,293,"female",10.1,1518,5.87095444204825,82.2476365481613,"Summer",5893
7,-123.9823303,44.2848434,NA,1973,"Aplodontia rufa pacifica","Aplodontia_rufa",677,322,"male",10.6,2399,4.21519617430539,107.57525388091,"Summer",5803
8,-118.9833333,37.65,"juvenile",1916,"Aplodontia rufa californica","Aplodontia_rufa",680.4,NA,"male",4.3,959,7.54563389710175,149.088493985413,"Summer",5906
6,-123.2314,47.003,"unknown",1978,"Aplodontia rufa","Aplodontia_rufa",692.8,282,"male",9.8,2181,5.69792625753999,61.8643009384177,"Summer",5809
11,-123.6032,44.5687,NA,1991,"Aplodontia rufa pacifica","Aplodontia_rufa",703,290,"female",10.9,1646,5.01331560280553,73.8933206398015,"Fall",5837
