"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
7,-122.1344666667,37.8599166667,"juvenile",2003,"Callipepla californica brunnescens","Callipepla_californica",42.5,NA,"undetermined",14.5,640,4.48866417329322,115.408040312091,"Summer",11810
5,-115.4436111,31.05,"u juv.",1926,"Callipepla californica plumbea","Callipepla_californica",47.5,NA,"female",10.8,587,4.5745259731242,129.82135315136,"Spring",11982
5,-115.4436111,31.05,"u juv.",1926,"Callipepla californica plumbea","Callipepla_californica",48.2,NA,"male",10.8,587,4.5745259731242,129.82135315136,"Spring",11981
7,-122.1344666667,37.8599166667,"juvenile",2003,"Callipepla californica brunnescens","Callipepla_californica",49,NA,"undetermined",14.5,640,4.48866417329322,115.408040312091,"Summer",11613
1,-122.6853,37.9094,"juvenile",2003,"Callipepla californica brunnescens","Callipepla_californica",52,NA,"female",13.5,695,2.27800750258163,126.807702214926,"Winter",11621
7,-120.11166,37.75634,"juv.",1920,"Callipepla californica californica","Callipepla_californica",56,NA,"male",11.8,1003,6.41250553783209,104.637556634204,"Summer",11839
9,-117.16469,46.73798,NA,2005,"Callipepla californica","Callipepla_californica",62.5,NA,"male",8.8,449,7.66058388470131,68.2664806563706,"Fall",11538
7,-121.589069,36.482951,"juv.",1976,"Callipepla californica californica","Callipepla_californica",65.6,NA,"female ?",14.2,339,5.22623771044339,91.6206190881109,"Summer",11591
6,-115.4436111,31.05,"juv.",1926,"Callipepla californica plumbea","Callipepla_californica",69,NA,"female",10.8,587,4.5745259731242,129.82135315136,"Summer",11984
7,-120.11166,37.75634,"juv.",1920,"Callipepla californica californica","Callipepla_californica",72.7,NA,"male",11.8,1003,6.41250553783209,104.637556634204,"Summer",11841
8,-120.7914161,35.3254199,"juvenile",1993,NA,"Callipepla_californica",75.2,NA,"female",14.2,546,2.09797882532573,149.016529090533,"Summer",11727
5,-115.4436111,31.05,"u juv.",1926,"Callipepla californica plumbea","Callipepla_californica",75.9,NA,"undetermined",10.8,587,4.5745259731242,129.82135315136,"Spring",11980
7,-120.11166,37.75634,"juv.",1920,"Callipepla californica californica","Callipepla_californica",76.7,NA,"male",11.8,1003,6.41250553783209,104.637556634204,"Summer",11840
6,-115.4436111,31.05,"juv.",1926,"Callipepla californica plumbea","Callipepla_californica",85,NA,"male",10.8,587,4.5745259731242,129.82135315136,"Summer",11983
8,-122.2178421,37.8682376,"imm.",1980,"Callipepla californica brunnescens","Callipepla_californica",90,NA,"male",14,615,3.3109895069528,141.779773461863,"Summer",11801
6,-120.42,35.3538,"immature",2002,"Callipepla californica","Callipepla_californica",90.8,NA,NA,14,477,5.00378644507125,149.708878915344,"Summer",12017
9,-118.2,34.1833333,NA,1992,"Callipepla californica californica","Callipepla_californica",94,NA,"female",18.4,819,4.51303667168792,148.89116002069,"Fall",11574
8,-122.049762,37.816142,"juvenile",2009,"Callipepla californica brunnescens","Callipepla_californica",94.1,NA,"female",14.5,566,4.69999194067652,118.510309510791,"Summer",11820
4,-121.75186,38.03159,"Ad",2002,"Callipepla californica brunnescens","Callipepla_californica",100,NA,"male",15.5,341,5.44726787231244,174.684577040893,"Spring",12034
7,-120.85,35.5333333,"immature",2002,"Callipepla californica","Callipepla_californica",103.9,NA,"male",13.5,543,3.71763813910571,156.499852612329,"Summer",12016
11,-118.3957214,37.3652992,NA,2006,"Callipepla californica canfieldae","Callipepla_californica",105,NA,"female",14.5,91,8.45490712813893,175.556834159773,"Fall",11761
8,-122.4503946,37.4890931,"immature",1964,"Callipepla californica brunnescens","Callipepla_californica",105.4,NA,"female",12.4,597,2.48832120600264,119.280474983287,"Summer",11751
9,-122.3041738,38.0047053,"u ad.",1974,"Callipepla californica brunnescens","Callipepla_californica",108,NA,"male",14,459,3.61922476212626,113.571035866916,"Fall",11800
6,-120.6670456,35.486084,"juvenile",2002,"Callipepla californica californica","Callipepla_californica",110,NA,"female",14.4,329,4.3166695916686,157.477318047137,"Summer",11560
6,-109.7747222,23.441944,"u ad.",1929,"Callipepla californica achrustera","Callipepla_californica",120.7,NA,"male",22.5,318,4.72709789886507,128.387621440706,"Summer",11995
12,-119.58656,49.594018,NA,1991,"Callipepla californica","Callipepla_californica",121,255,"male",9.4,264,8.14034099501682,63.3802969450503,"Winter",12011
11,-116.1,30.9667,"u ad.",1925,"Callipepla californica plumbea","Callipepla_californica",127,NA,"male",16.9,232,3.40946765595007,128.779474546737,"Fall",11847
2,-110.3411111,24.111667,"ad.",1929,"Callipepla californica achrustera","Callipepla_californica",127.5,NA,"female",22.9,144,4.45961677929638,109.175051725163,"Winter",12078
10,-110.2167,23.45,"imm.",1928,"Callipepla californica achrustera","Callipepla_californica",127.6,NA,"male",22.2,164,3.36140077222505,130.878889965229,"Fall",11867
6,-109.7747222,23.441944,"ad.",1929,"Callipepla californica achrustera","Callipepla_californica",129.6,NA,"male",22.5,318,4.72709789886507,128.387621440706,"Summer",11996
12,-110.33,24.12,"u ad.",1928,"Callipepla californica achrustera","Callipepla_californica",131.6,NA,"male",23.6,159,4.15322984938447,128.930957062497,"Winter",11991
7,-118.473078,35.712119,NA,2006,"Callipepla californica californica","Callipepla_californica",132,NA,"male",15.9,225,7.6453590596855,123.508191991709,"Summer",11564
2,-110.3,24.12311,"u ad.",1929,"Callipepla californica achrustera","Callipepla_californica",132.4,NA,"female",22.8,160,4.47933808692419,113.012449126554,"Winter",11665
9,-124.1323646,41.1604001,"u juv.",1942,"Callipepla californica brunnescens","Callipepla_californica",132.4,NA,"female",11.2,1547,2.53783491594825,101.279849352356,"Fall",11698
9,-122.27846,37.90166,"imm.",1940,"Callipepla californica brunnescens","Callipepla_californica",133.7,NA,"female",14.3,950,2.38968743993981,121.418660168076,"Fall",11696
6,-123.5041,40.4781,"u ad.",1932,"Callipepla californica brunnescens","Callipepla_californica",134,NA,"male",10.4,1222,6.95084472738691,101.481681981503,"Summer",11873
6,-119.5431804,38.6653403,NA,2000,"Callipepla californica","Callipepla_californica",134.5,NA,"female",10.2,298,7.47673158214973,107.940132613054,"Summer",11716
11,-119.060476,34.249664,"adult",1995,NA,"Callipepla_californica",135,NA,"male",16,624,2.49538968839933,187.312753912742,"Fall",11728
12,-110.33,24.12,"u ad.",1928,"Callipepla californica achrustera","Callipepla_californica",135.2,NA,"female",23.6,159,4.15322984938447,128.930957062497,"Winter",12077
6,-109.7747222,23.441944,"ad.",1929,"Callipepla californica achrustera","Callipepla_californica",136.8,NA,"female",22.5,318,4.72709789886507,128.387621440706,"Summer",12082
1,-117.111769,32.460771,"u ad.",1928,"Callipepla californica californica","Callipepla_californica",137,NA,"female",16.4,190,2.95833440034125,113.071816346663,"Winter",11863
6,-122.7228,38.43761,"U-Ad.",1976,"Callipepla californica brunnescens","Callipepla_californica",137.6,NA,"female",14,286,4.40484409657726,91.8354678261849,"Summer",12020
8,-122.1692794,37.4289436,NA,1999,"Callipepla californica","Callipepla_californica",139.9,NA,"female",14.3,357,3.84048410774191,123.377093672678,"Summer",11912
