"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-103.8393579,37.49347323,NA,1997,"Corynorhinus townsendii pallescens","Corynorhinus_townsendii",2.3,52,"female",10.2,383,9.470956401,51.2652796,"Summer",181774
7,-105.62422,37.88911,NA,1997,"Corynorhinus townsendii","Corynorhinus_townsendii",2.6,NA,NA,4.4,498,8.782610228,50.91511653,"Summer",181773
5,-110.782421,37.171865,NA,1994,"Corynorhinus townsendii","Corynorhinus_townsendii",3,90,"male",15.5,132,10.44418063,45.03942676,"Spring",181803
6,-110.89667,32.74167,NA,1960,"Corynorhinus townsendii","Corynorhinus_townsendii",3.5,62,"female",16.9,280,8.347019065,90.38569181,"Summer",181901
6,-110.89667,32.74167,NA,1960,"Corynorhinus townsendii","Corynorhinus_townsendii",3.6,68,"female",16.9,280,8.347019065,90.38569181,"Summer",181903
2,-107.222261,39.23227,"adult",2007,"Corynorhinus townsendii","Corynorhinus_townsendii",4,75,"female",5.3,712,9.094999459,70.30696648,"Winter",181775
6,-110.89667,32.74167,NA,1960,"Corynorhinus townsendii","Corynorhinus_townsendii",4.7,72,"male",16.9,280,8.347019065,90.38569181,"Summer",181864
6,-110.89667,32.74167,NA,1960,"Corynorhinus townsendii","Corynorhinus_townsendii",4.8,71,"female",16.9,280,8.347019065,90.38569181,"Summer",181904
11,-113.785821,28.814708,NA,1981,"Corynorhinus townsendii","Corynorhinus_townsendii",5,90,"male",19.6,163,4.337599881,167.8039772,"Fall",181873
7,-105.62422,37.88911,NA,1997,"Corynorhinus townsendii","Corynorhinus_townsendii",5.1,97,"male",4.4,498,8.782610228,50.91511653,"Summer",181810
4,-110.6303,32.065,"unknown",1951,"Plecotus townsendii","Corynorhinus_townsendii",5.4,96,"female",17.9,436,7.469493513,75.06037936,"Spring",181925
12,-109.2844,31.9344,"unknown",1951,"Plecotus townsendii","Corynorhinus_townsendii",5.4,100,"female",10.6,538,6.926907351,72.1182623,"Winter",181932
6,-110.8753,31.6169,NA,1982,"Corynorhinus townsendii pallescens Miller, 1897","Corynorhinus_townsendii",6,92,"male",15,654,6.451280117,101.3842265,"Summer",181800
7,-108.814723,40.491992,NA,1982,"Corynorhinus townsendii","Corynorhinus_townsendii",6,98,"male",6.3,309,10.28589797,74.69396459,"Summer",181828
11,-113.785821,28.814708,NA,1981,"Corynorhinus townsendii","Corynorhinus_townsendii",6,89,"female",19.6,163,4.337599881,167.8039772,"Fall",181917
9,-122.071944,52.116944,NA,1948,"Corynorhinus townsendii pallescens","Corynorhinus_townsendii",6,98,"female",4,577,9.842529085,69.26931821,"Fall",181920
5,-123.2701638,47.3420557,"unknown",1955,"Plecotus townsendii","Corynorhinus_townsendii",6,114,"male",8.8,2518,5.604868014,85.553135,"Spring",181928
8,-109.15292,31.923872,NA,1958,"Corynorhinus townsendii","Corynorhinus_townsendii",6.1,98,"male",14.5,474,7.396497943,97.59119478,"Summer",181850
7,-105.62422,37.88911,NA,1997,"Corynorhinus townsendii pallescens","Corynorhinus_townsendii",6.15,82,"female",4.4,498,8.782610228,50.91511653,"Summer",181813
11,-111.32639,33.67722,NA,1957,"Corynorhinus townsendii","Corynorhinus_townsendii",6.2,90,"male",14,713,7.263790437,123.3791867,"Fall",181862
3,-118.248216,37.36352,NA,1959,"Corynorhinus townsendii","Corynorhinus_townsendii",6.3,83,"female",8.8,120,7.349762932,165.2178659,"Spring",181847
4,-110.6303,32.065,"unknown",1951,"Plecotus townsendii","Corynorhinus_townsendii",6.4,100,"female",17.9,436,7.469493513,75.06037936,"Spring",181926
9,-122.071944,52.116944,NA,1948,"Corynorhinus townsendii pallescens","Corynorhinus_townsendii",6.5,100,"male",4,577,9.842529085,69.26931821,"Fall",181874
8,-110.42861,32.86444,NA,1958,"Corynorhinus townsendii","Corynorhinus_townsendii",6.5,92,"male",17.4,438,7.910460087,84.86720741,"Summer",181899
3,-118.248216,37.36352,NA,1959,"Corynorhinus townsendii","Corynorhinus_townsendii",6.6,96,"female",8.8,120,7.349762932,165.2178659,"Spring",181893
