"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
7,-106.4055166667,36.1998833333,NA,2010,"Empidonax occidentalis","Empidonax_occidentalis",8.9,NA,"female",10.4,339,8.31126927548957,71.5978554182351,"Summer",31117
3,-105.28528,21.53944,"ad.",1948,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",9.7,NA,"male",26,1059,2.81952069857573,164.210272438318,"Spring",30951
10,-104.469795,19.157095,"s.n.o.",1957,"Empidonax occidentalis hellmayri / Empidonax occidentalis occidentalis intergrade","Empidonax_occidentalis",9.9,NA,"undetermined",26.2,985,1.7095099421835,156.534345944172,"Fall",31134
5,-99.7311111111,17.5566666666,"u juv.",1950,"Empidonax occidentalis occidentalis ?","Empidonax_occidentalis",10,NA,"female",16.9,1416,1.42148023574233,137.833895336236,"Spring",30952
6,-106.6953533524,29.5152066475,"u ad.",1957,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10,NA,"female",14.3,459,5.82868429459519,151.355595038893,"Summer",30971
6,-114.005,38.87472,"u ad.",1962,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10,NA,"female",9.7,148,9.27954332079032,64.1545878549474,"Summer",30984
7,-103.8786,44.1608,"tiny sk.wind.",1981,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.1,NA,"female",4.8,547,7.88963166939927,110.695566384537,"Summer",31081
5,-103.529842,34.111886,NA,2011,"Empidonax occidentalis","Empidonax_occidentalis",10.21,NA,"male",15.3,179,9.8091330355486,99.1569054962257,"Spring",30947
7,-103.9333,44.4833,"adult",2010,"Empidonax occidentalis","Empidonax_occidentalis",10.3,NA,"female",6.5,592,9.70621481632289,82.6623794832287,"Summer",30942
7,-103.9333,44.4833,NA,2010,"Empidonax occidentalis","Empidonax_occidentalis",10.3,NA,NA,6.5,592,9.70621481632289,82.6623794832287,"Summer",31110
6,-121.6154,44.0583,"u ad.",1938,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.4,NA,"undetermined",2.9,1306,6.87961415408531,91.7639482487134,"Summer",31101
6,-120.2357672,41.5389116,"u ad.",1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.4,NA,"female",6.4,742,7.63435218819078,112.677157587897,"Summer",31166
6,-105.1047292,38.06526724,"1st.yr.sk.",1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.4,NA,"male",5.8,560,7.78936726725877,119.131067526823,"Summer",31197
5,-99.7311111111,17.5566666666,"u ad.",1950,"Empidonax occidentalis occidentalis ?","Empidonax_occidentalis",10.5,NA,"female",16.9,1416,1.42148023574233,137.833895336236,"Spring",30953
5,-99.2341666666,19.0208333333,"1st.yr.sk.",1965,"Empidonax occidentalis occidentalis","Empidonax_occidentalis",10.5,NA,"male",14.3,1386,2.19729516920373,116.124862247001,"Spring",31023
6,-121.5351,44.0323,"u ad.",1938,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.5,NA,"male",5.4,850,6.97584577255147,89.4521605666682,"Summer",31100
6,-115.28361,36.63,"1st.yr.sk.",1963,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.5,NA,"female",10.9,263,7.94470950324234,127.021594027793,"Summer",31148
6,-120.2357672,41.5389116,"1st.yr.sk.",1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.5,NA,"female",6.4,742,7.63435218819078,112.677157587897,"Summer",31167
6,-120.6156518,42.2227266,"ad.",1979,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.5,NA,"male",6.5,547,7.78803958683189,67.5616809471901,"Summer",31183
6,-120.2663661,41.9827038,"tiny sk.winds.",1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.6,NA,"female",5.9,854,7.47450211172502,120.380008979209,"Summer",30997
7,-106.8987177777,29.3920969444,"u ad.",1959,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.6,NA,"male",14.4,416,6.22801588133667,161.139334141977,"Summer",31137
7,-117.678523,46.250425,"Ad",1954,"Empidonax occidentalis","Empidonax_occidentalis",10.7,147,"female",7,784,6.43896166106984,62.2050025701072,"Summer",30939
6,-120.2357672,41.5389116,"1st.yr.sk.",1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.7,NA,"male",6.4,742,7.63435218819078,112.677157587897,"Summer",31010
7,-120.7560335,42.3569474,"med.sk.winds.",1982,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.7,NA,"female",5.2,732,7.36225015010542,58.4924582107647,"Summer",31089
8,-109.83667,43.30329,"ad.",1939,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.7,NA,"female",0.5,432,8.61082387921086,62.4349229099711,"Summer",31102
7,-116.02278,41.54222,"2 6x3mm sk.win.",1973,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.7,NA,"female",4.8,657,8.13436406782231,62.8968782560366,"Summer",31173
7,-105.0172491,37.97299183,"1st.yr.sk.",1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.7,NA,"female",6.6,623,7.88502128126872,108.162684038429,"Summer",31206
6,-109.8206,32.6308,"ad.sk.",1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.7,NA,"male",10.3,563,6.47083784561493,94.3352089705021,"Summer",31211
6,-114.005,38.87472,"sk.wind.",1981,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.7,NA,"male",11.1,262,8.60420968145385,87.7758939311231,"Summer",31221
7,-103.8786,44.1608,"faint sk.wind.",1981,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.7,NA,"female",4.8,547,7.88963166939927,110.695566384537,"Summer",31226
7,-104.04722,20.6350888366,"u ad.",1950,"Empidonax occidentalis occidentalis / Empidonax occidentalis hellmayri intergrade","Empidonax_occidentalis",10.8,NA,"female",17.1,890,2.13278875625034,130.3718033416,"Summer",30954
6,-115.43111,41.87361,"imm.sk.",1956,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.8,NA,"female",4.6,594,8.26298794002325,109.66750568223,"Summer",30966
6,-114.256346,38.929166,"tiny sk.winds.",1962,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.8,NA,"female",5.7,338,8.58892874401092,76.4282508032243,"Summer",30977
6,-120.2227351,41.5121144,"tiny sk.winds.",1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.8,NA,"female",6.8,669,7.65143579316782,111.471583150224,"Summer",31013
7,-103.8333,44.1465,"small sk.wind.",1981,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.8,NA,"female",5.1,533,7.89815379271215,110.989168534105,"Summer",31084
7,-103.72,44.0818,"large sk.wind.",1981,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.8,NA,"female",6,506,7.94108514834927,117.436321570509,"Summer",31087
8,-101.8252801,37.2105415,NA,1997,"Empidonax occidentalis","Empidonax_occidentalis",10.8,NA,"undetermined",12.1,445,9.59349527102357,101.695566175847,"Summer",31112
5,-122.1607774,41.8826619,"first yr.skull",1968,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.8,NA,"male",7.8,428,7.01411995818996,75.5292429785616,"Spring",31178
6,-109.3136,33.8547,"1st.yr.sk.",1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.8,NA,"female",6.5,743,6.60190514284714,85.0756081013517,"Summer",31208
6,-109.3136,33.8547,"1st.yr.sk.",1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.8,NA,"male",6.5,743,6.60190514284714,85.0756081013517,"Summer",31209
7,-103.8939,44.1171,"faint sk.wind.",1981,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.8,NA,"female",4.5,550,7.92170015421774,105.504755391455,"Summer",31231
7,-105.0544452,38.05000622,"1st.yr.sk.",1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.9,NA,"male",7,543,7.91099637443752,115.203568611498,"Summer",31050
6,-122.157881,41.8844387,"tiny sk.wind.",1981,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.9,NA,"male",8.7,593,6.56642054607217,111.254603062775,"Summer",31067
6,-114.26163,38.93224,"sk.wind.",1981,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.9,NA,"male",7,554,7.87941314535236,85.7112728652453,"Summer",31070
5,-107.4106,33.5792166667,"AHY",2008,"Empidonax occidentalis","Empidonax_occidentalis",10.9,NA,"male",10.5,421,6.80291826863273,149.962994979686,"Spring",31115
5,-103.529842,34.111886,NA,2011,"Empidonax occidentalis","Empidonax_occidentalis",10.9,NA,"female",15.3,179,9.8091330355486,99.1569054962257,"Spring",31118
5,-103.529842,34.111886,NA,2011,"Empidonax occidentalis","Empidonax_occidentalis",10.9,NA,"male",15.3,179,9.8091330355486,99.1569054962257,"Spring",31120
6,-120.2971805,41.5590607,"1st.yr.",1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.9,NA,"female",5.8,847,7.61698162600574,109.235639777376,"Summer",31157
7,-105.1047292,38.06526724,"1st.yr.sk.",1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.9,NA,"male",5.8,560,7.78936726725877,119.131067526823,"Summer",31196
7,-105.0172491,37.97299183,"1st.yr.sk.",1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.9,NA,"male",6.6,623,7.88502128126872,108.162684038429,"Summer",31205
