"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
4,-102.6340027,33.7470016,NA,1973,"Geomys bursarius knoxjonesi","Geomys_bursarius",46,180,"female",14.1,384,8.20278500377657,70.6353069711535,"Spring",36839
1,-102.4000015,33.3339996,NA,1973,"Geomys bursarius knoxjonesi","Geomys_bursarius",48,151,"female",14.8,401,8.28428139199884,70.2776042232486,"Winter",36795
4,-103.8616714,33.7978706,NA,1973,"Geomys bursarius knoxjonesi","Geomys_bursarius",54,182,"female",13.6,351,7.95957113965776,103.021513685267,"Spring",36828
4,-103.6173706,34.3656044,NA,1973,"Geomys bursarius","Geomys_bursarius",55,196,"female",13.6,363,8.23695939045471,103.144120491232,"Spring",37078
3,-101.7799988,33.5040016,NA,1973,"Geomys bursarius","Geomys_bursarius",60,191,"female",14.9,416,8.35311591291211,67.0745734481522,"Spring",37100
4,-103.6050568,33.944088,NA,1973,"Geomys bursarius","Geomys_bursarius",61,182,"male",13.5,362,7.9724525711979,112.208249517763,"Spring",37087
4,-103.6050568,33.944088,NA,1973,"Geomys bursarius","Geomys_bursarius",66.4,195,"male",13.5,362,7.9724525711979,112.208249517763,"Spring",37081
4,-102.6340027,33.7470016,NA,1973,"Geomys bursarius knoxjonesi","Geomys_bursarius",68,171,"female",14.1,384,8.20278500377657,70.6353069711535,"Spring",36838
5,-101.1350021,33.6650009,NA,1963,"Geomys bursarius major","Geomys_bursarius",69,177,"male",16.6,571,9.35117477630323,89.5777121213584,"Spring",36901
3,-103.6327209,33.9442253,NA,1973,"Geomys bursarius","Geomys_bursarius",69,192,"male",13.5,361,7.98435496721083,112.967323424148,"Spring",37080
1,-103.0049973,31.9220009,NA,1974,"Geomys bursarius knoxjonesi","Geomys_bursarius",71,97,"female",18,516,7.87221812336385,134.942030117407,"Winter",37111
3,-102.7249985,34.1430016,NA,1989,"Geomys bursarius major","Geomys_bursarius",72,184,"female",14.1,350,8.59423256220899,107.022541818676,"Spring",36931
1,-103.0049973,31.9220009,NA,1973,"Geomys bursarius knoxjonesi","Geomys_bursarius",73,180,"female",17,250,8.08044309466137,101.280418225355,"Winter",37064
4,-102.6729965,33.6489983,NA,1973,"Geomys bursarius knoxjonesi","Geomys_bursarius",73,206,"female",14.1,388,8.19372912474515,72.1997506120647,"Spring",37093
7,-100.9199982,32.6749992,NA,1990,"Geomys bursarius major","Geomys_bursarius",77,196,"female",17.6,752,7.90685835783778,68.7902886999313,"Summer",37173
7,-90.5009232,38.6282539,NA,1974,"Geomys bursarius missouriensis","Geomys_bursarius",80,191,"male",12.4,1012,8.8601722057278,44.3337922987731,"Summer",36629
6,-102.4108734,41.7220802,NA,1975,"Geomys bursarius lutescens","Geomys_bursarius",80,200,"male",8.3,383,9.97507120047498,83.7238094560866,"Summer",36640
