"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-123.4568,40.45807,"u juv.",1942,"Carpodacus purpureus californicus","Haemorhous_purpureus",11.1,NA,"male",10.4,2063,6.41378132688439,99.1477559737178,"Summer",182245
8,-84.9760723,46.7607967,"immature",2012,"Carpodacus purpureus purpureus","Haemorhous_purpureus",13,NA,"female",7.2,826,8.28439112811777,46.0223706750801,"Summer",182132
7,-84.9648743,46.7660217,"immature",2011,"Carpodacus purpureus","Haemorhous_purpureus",15,NA,"female",5.6,904,9.86129563065379,38.6572692900743,"Summer",182343
7,-89.28001,48.38345,NA,1960,"Carpodacus purpureus purpureus","Haemorhous_purpureus",15.1,144,"[male]",2.6,640,11.659834579626,55.1038533960277,"Summer",182376
12,-122.78789,38.04042,"U",1999,"Carpodacus purpureus","Haemorhous_purpureus",15.48,136,"male",13,710,3.1220622555088,112.582419479299,"Winter",182502
9,-76.21581,42.722912,NA,2008,"Carpodacus purpureus","Haemorhous_purpureus",15.9,130,NA,7.2,1202,9.52273197367353,35.6222235353841,"Fall",182462
8,-120.11166,37.75634,"juv.",1920,"Carpodacus purpureus californicus","Haemorhous_purpureus",16.3,NA,"undetermined",11.8,1006,6.41250553783209,104.740519022814,"Summer",182206
5,-92.1066,46.7833,"adult skull",1984,"Carpodacus purpureus","Haemorhous_purpureus",16.7,NA,"female",4.6,695,11.1072457923154,76.7677784108483,"Spring",182188
3,-122.25938,38.03378,"adult",2003,"Carpodacus purpureus","Haemorhous_purpureus",16.9,NA,"male",14.8,538,4.03233145583259,111.239647234564,"Spring",182398
2,-122.859,38.09972,"unknown",2005,"Carpodacus purpureus californicus","Haemorhous_purpureus",17.33,136,"male",13.7,1153,2.53640165063291,123.417635181159,"Winter",182403
11,-122.48251,37.7695,"U",1958,"Carpodacus purpureus californicus","Haemorhous_purpureus",17.5,NA,"undetermined",14.3,758,2.58509714957239,130.167311710685,"Fall",182380
4,-76.21581,42.722912,NA,2009,"Carpodacus purpureus","Haemorhous_purpureus",17.5,NA,"male",6.9,1099,9.66897569079015,37.6563607194004,"Spring",182464
3,-122.250616,37.891683,"small skull windows",2010,"Carpodacus purpureus californicus","Haemorhous_purpureus",17.6,NA,"female",14.4,830,3.67063490503491,101.539827731018,"Spring",182008
7,-122.08164,37.8875,"U",2004,"Carpodacus purpureus","Haemorhous_purpureus",17.66,135,"female",15.4,596,4.77341120640727,126.773176188612,"Summer",182461
1,-122.91764,47.04982,NA,1987,"Carpodacus purpureus californicus","Haemorhous_purpureus",18,NA,"male",11.4,1044,5.18917141748083,93.0918073729958,"Winter",182007
7,-122.71616,37.94365,"immature",1997,"Carpodacus purpureus","Haemorhous_purpureus",18.4,NA,"male",14.6,981,3.1246333118197,148.566155814896,"Summer",182399
8,-118.7425076,38.0853004,NA,2000,"Carpodacus purpureus","Haemorhous_purpureus",18.6,NA,"male",6.9,311,7.09289016615166,104.075537329383,"Summer",182336
12,-85.5156898,42.1720552,NA,2005,"Carpodacus purpureus purpureus","Haemorhous_purpureus",18.6,NA,"male",9.9,777,10.8481250998418,51.987263809788,"Winter",182340
9,-85.1507378,46.7618551,NA,2004,"Carpodacus purpureus","Haemorhous_purpureus",18.7,NA,"male",4.7,748,9.53587722999067,38.7855116350577,"Fall",182133
4,-104.952058,39.73027,NA,1989,"Carpodacus purpureus","Haemorhous_purpureus",18.8,132,"female",10.5,373,9.29465470367813,70.3451935419362,"Spring",182466
9,-118.0570831,34.3570786,NA,2006,"Carpodacus purpureus californius","Haemorhous_purpureus",19,NA,"male",12.4,622,6.39268047350747,117.26988123116,"Fall",181986
5,-77.89111,44.20184,"ad",2005,"Carpodacus purpureus purpureus","Haemorhous_purpureus",19,NA,"male",7.1,835,11.2043383102126,29.8604055862271,"Spring",182054
2,-122.2395411,37.8300786,"unknown",1933,"Carpodacus purpureus californicus","Haemorhous_purpureus",19,NA,"male",13.2,484,3.21430278975743,128.491888860247,"Winter",182234
5,-122.3283,37.38188,"U-Ad.",1983,"Carpodacus purpureus californicus","Haemorhous_purpureus",19,NA,"female",14.3,1749,3.9204205092945,100.775468056312,"Spring",182384
11,-72.8075,41.5381,NA,2013,"Haemorhous purpureus purpureus","Haemorhous_purpureus",19.1,NA,NA,10.4,1258,9.49591618762635,64.6531806816593,"Fall",181973
7,-123.5681168,40.623889,"juv.",1932,"Carpodacus purpureus californicus","Haemorhous_purpureus",19.4,NA,"female",9.8,1537,7.05901529745452,98.1696906386364,"Summer",182221
6,-120.742395,41.8959486,"u ad.",1948,"Carpodacus purpureus californicus","Haemorhous_purpureus",19.5,NA,"male",5.9,564,7.56861041647432,55.3637671573795,"Summer",181995
7,-123.5681168,40.623889,"juv.",1932,"Carpodacus purpureus californicus","Haemorhous_purpureus",19.5,NA,"female",9.8,1537,7.05901529745452,98.1696906386364,"Summer",182220
4,-123.4644508,40.4048454,"imm.",1932,"Carpodacus purpureus californicus","Haemorhous_purpureus",19.5,NA,"male",10.9,1074,7.00415461124195,104.803473016865,"Spring",182233
8,-83.8182983,45.4214134,"immature",2003,"Carpodacus purpureus purpureus","Haemorhous_purpureus",19.5,NA,"male",6.4,720,10.3894031094042,47.3016530368733,"Summer",182342
7,-122.73417,37.93,"AHY",2007,"Carpodacus purpureus","Haemorhous_purpureus",19.61,141,"female",12.9,513,2.61933371125351,126.235900146493,"Summer",182401
5,-119.864834,37.767375,"u ad.",1919,"Carpodacus purpureus californicus","Haemorhous_purpureus",19.8,NA,"male",8.7,771,6.42289347615704,127.823090510933,"Spring",182201
12,-116.3833333,31.916667,"ad.",1926,"Carpodacus purpureus californicus","Haemorhous_purpureus",19.8,NA,"male",15.4,451,4.32878840911739,137.348042754474,"Winter",182415
5,-120.6321095,36.359333,"ad.sk.",1984,"Carpodacus purpureus californicus","Haemorhous_purpureus",19.9,NA,"male",13.8,297,7.27428013724736,141.548410504927,"Spring",182185
7,-80.05143,45.66195,"ad",1991,"Carpodacus purpureus purpureus","Haemorhous_purpureus",19.9,NA,"male",6.4,1104,10.7849607689541,37.3041913917259,"Summer",182282
5,-121.6335278,40.3498232,"u ad.",1927,"Carpodacus purpureus californicus","Haemorhous_purpureus",20,NA,"male",9.1,1534,6.53319611791591,100.931689000431,"Spring",182026
