"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-105.9116797,39.8472087,"juvenile",1983,"Myodes gapperi","Myodes_gapperi",5.3,75,"female",1.3,991,8.01899260657113,54.3531484152559,"Summer",68330
7,-78.62,46.0233,"juvenile",1993,"Myodes gapperi","Myodes_gapperi",6,93,"male",3.1,877,11.725651755485,38.8088132706512,"Summer",68527
7,-130.8702777778,55.545,NA,1999,"Myodes gapperi","Myodes_gapperi",6.2,84,"male",6.6,3612,4.98734003312995,32.347583137399,"Summer",70286
7,-130.8702777778,55.545,NA,1999,"Myodes gapperi","Myodes_gapperi",6.5,85,"male",6.6,3612,4.98734003312995,32.347583137399,"Summer",70295
7,-132.25,56.7,"young",1992,"Myodes gapperi stikinensis","Myodes_gapperi",6.8,88,"male",6.7,2279,5.51611276171907,49.682333073827,"Summer",68794
7,-78.62,46.0233,"juvenile",1993,"Myodes gapperi","Myodes_gapperi",7,97,"female",3.1,877,11.725651755485,38.8088132706512,"Summer",68522
7,-78.62,46.0233,"juvenile",1993,"Myodes gapperi","Myodes_gapperi",7,98,"male",3.1,877,11.725651755485,38.8088132706512,"Summer",68533
6,-98.0167,55.5733,"juvenile",1996,"Myodes gapperi","Myodes_gapperi",7,108,"female",-3.6,500,15.944353992634,54.0020415336729,"Summer",68560
7,-98.987,52.898,"juvenile",1996,"Myodes gapperi","Myodes_gapperi",7,102,"female",-1.2,531,15.3835483750031,46.9884678808545,"Summer",68601
7,-132.25,56.7,"young",1992,"Myodes gapperi stikinensis","Myodes_gapperi",7,85,"female",6.7,2279,5.51611276171907,49.682333073827,"Summer",69662
8,-126.860789,54.28548398,"juvenile",2013,"Myodes gapperi","Myodes_gapperi",7.2,89,"female",4.2,475,8.15729827525726,34.9303007841086,"Summer",70578
8,-117.93947,49.25795,NA,2007,"Myodes gapperi","Myodes_gapperi",7.5,98,"female",5.3,815,8.35055342023763,50.6190840094309,"Summer",69305
7,-130.8702777778,55.545,NA,1999,"Myodes gapperi","Myodes_gapperi",7.5,91,"female",6.6,3612,4.98734003312995,32.347583137399,"Summer",70300
7,-130.8702777778,55.545,NA,1999,"Myodes gapperi","Myodes_gapperi",7.5,92,"female",6.6,3612,4.98734003312995,32.347583137399,"Summer",70782
7,-132.45,56.1833333333,NA,1992,"Myodes gapperi wrangeli","Myodes_gapperi",7.7,95,"male",6.7,3150,5.0980091182438,46.3319872866556,"Summer",68787
8,-82.655,46.4333,"juvenile",1997,"Myodes gapperi","Myodes_gapperi",8,112,"male",3,972,11.104745777724,40.6239134900789,"Summer",68616
8,-121.0166666667,47.1,NA,1995,"Myodes gapperi","Myodes_gapperi",8,115,"female",5.3,2193,6.46066771105954,86.4718830101725,"Summer",68873
8,-130.3336111111,54.9436111111,NA,1998,"Myodes gapperi","Myodes_gapperi",8,108,"female",7.8,2504,5.57860496301121,41.2177723268246,"Summer",68961
6,-98.0167,55.5733,"juvenile",1996,"Myodes gapperi","Myodes_gapperi",8,110,"male",-3.6,500,15.944353992634,54.0020415336729,"Summer",69525
8,-121,47.1,NA,1995,"Myodes gapperi","Myodes_gapperi",8,112,"female",5.6,2052,6.50480009242592,86.7891778582201,"Summer",69730
8,-131.5811111111,56.1886111111,NA,1998,"Myodes gapperi","Myodes_gapperi",8,96,"male",6.9,2013,6.24302641255656,48.106103887303,"Summer",70269
8,-132.2861111111,56.3183333333,NA,1998,"Myodes gapperi","Myodes_gapperi",8.2,92,"female",6,2382,5.78412142041128,49.7879610448372,"Summer",70868
8,-132.2861111111,56.3183333333,NA,1998,"Myodes gapperi","Myodes_gapperi",8.4,95,"female",6,2382,5.78412142041128,49.7879610448372,"Summer",70168
7,-134.9058333333,58.6633333333,NA,1997,"Myodes gapperi","Myodes_gapperi",8.5,98,"male",6.2,2072,6.30252474662481,31.369094921181,"Summer",70113
8,-106.655849,35.960091,NA,1984,"Myodes gapperi","Myodes_gapperi",8.7,106,"male",4.9,663,8.38281069519735,65.3870706483196,"Summer",68242
8,-106.655849,35.960091,NA,1985,"Myodes gapperi","Myodes_gapperi",8.7,100,"male",5.4,806,7.57691869889713,48.4392123016496,"Summer",68244
8,-106.655849,35.960091,NA,1985,"Myodes gapperi","Myodes_gapperi",8.8,95,"female",5.4,806,7.57691869889713,48.4392123016496,"Summer",68245
8,-106.654365,35.919128,NA,1984,"Myodes gapperi","Myodes_gapperi",9,102,"male",6.1,611,8.40589619904332,65.0335421806374,"Summer",68250
8,-117.89709,49.20203,"juvenile",2007,"Myodes gapperi","Myodes_gapperi",9,100,"male",3.8,807,8.14018743734759,51.3627911431168,"Summer",68415
7,-99.8531,54.9045,"juvenile",1996,"Myodes gapperi","Myodes_gapperi",9,99,"female",-2.6,485,15.8286540134905,60.2353024327418,"Summer",68540
7,-78.62,46.0233,"juvenile",1993,"Myodes gapperi","Myodes_gapperi",9,110,"male",3.1,877,11.725651755485,38.8088132706512,"Summer",68622
7,-132.4166666667,56.6333333333,NA,1992,"Myodes gapperi","Myodes_gapperi",9,NA,"female",4.5,3459,5.62647960338192,52.2086874176851,"Summer",68859
8,-121.0166666667,47.1,NA,1995,"Myodes gapperi","Myodes_gapperi",9,116,"female",5.3,2193,6.46066771105954,86.4718830101725,"Summer",68906
8,-121,47.1,NA,1995,"Myodes gapperi","Myodes_gapperi",9,114,"female",5.6,2052,6.50480009242592,86.7891778582201,"Summer",68908
9,-115.0342,51.02791,"juvenile",2006,"Myodes gapperi","Myodes_gapperi",9,113,"female",2.5,544,8.43761419675807,66.0247815867629,"Fall",69297
8,-82.655,46.4333,"juvenile",1997,"Myodes gapperi","Myodes_gapperi",9,113,"male",3,972,11.104745777724,40.6239134900789,"Summer",69523
8,-74.695,41.9633,"juvenile",1997,"Myodes gapperi","Myodes_gapperi",9,105,"female",4.9,1181,8.72533753797039,34.0171139190006,"Summer",69557
12,-121.0166666667,47.1,NA,1995,"Myodes gapperi","Myodes_gapperi",9,119,"female",5.3,2193,6.46066771105954,86.4718830101725,"Winter",69723
9,-129.2833333333,56.115,NA,2001,"Myodes gapperi","Myodes_gapperi",9,94,"undetermined",3.6,869,7.41098692973664,49.0997408102312,"Fall",69779
8,-131.4516666667,56.2288888889,NA,1998,"Myodes gapperi","Myodes_gapperi",9,107,"male",6.4,1931,6.49505056317361,50.1782842634344,"Summer",70242
7,-130.8702777778,55.545,NA,1999,"Myodes gapperi","Myodes_gapperi",9,96,"male",6.6,3612,4.98734003312995,32.347583137399,"Summer",70781
8,-132.2861111111,56.3183333333,NA,1998,"Myodes gapperi","Myodes_gapperi",9,92,"undetermined",6,2382,5.78412142041128,49.7879610448372,"Summer",70823
8,-106.654365,35.919128,NA,1984,"Myodes gapperi","Myodes_gapperi",9.2,107,"male",6.1,611,8.40589619904332,65.0335421806374,"Summer",68239
8,-106.663733,35.960364,NA,1985,"Myodes gapperi","Myodes_gapperi",9.2,109,"female",5.4,773,7.61426094226943,47.4902911150252,"Summer",68246
7,-132.45,56.1833333333,NA,1992,"Myodes gapperi wrangeli","Myodes_gapperi",9.3,110,"female",6.7,3150,5.0980091182438,46.3319872866556,"Summer",68788
8,-129.3521111111,56.2961666667,NA,2003,"Myodes gapperi","Myodes_gapperi",9.3,105,"female",3,981,7.77132939760377,44.8581371722178,"Summer",69412
8,-132.35,56.0833333333,NA,1994,"Myodes gapperi","Myodes_gapperi",9.3,94,"female",3.7,5561,6.45545928230165,54.8914356813177,"Summer",69886
8,-106.654365,35.919128,NA,1984,"Myodes gapperi","Myodes_gapperi",9.4,106,"male",6.1,611,8.40589619904332,65.0335421806374,"Summer",68251
8,-105.9116797,39.8472087,NA,1983,"Myodes gapperi","Myodes_gapperi",9.5,111,"male",1.3,991,8.01899260657113,54.3531484152559,"Summer",68323
9,-106.735382,41.029741,NA,1985,"Myodes gapperi","Myodes_gapperi",9.5,100,"male",0.1,1080,9.42895283237495,66.4710936052127,"Fall",69090
7,-115.5633,44.1675,NA,2010,"Myodes gapperi","Myodes_gapperi",9.5,111,"female",6.5,905,7.85601487377472,56.4133579718764,"Summer",69431
7,-106.672453,35.93723,NA,1984,"Myodes gapperi","Myodes_gapperi",9.6,98,"undetermined",5.3,628,8.39025408651989,65.3773008495276,"Summer",69149
8,-106.655849,35.960091,NA,1984,"Myodes gapperi","Myodes_gapperi",9.6,100,"male",4.9,663,8.38281069519735,65.3870706483196,"Summer",69151
7,-132.4166666667,56.6333333333,"young",1992,"Myodes gapperi","Myodes_gapperi",9.6,110,"female",4.5,3459,5.62647960338192,52.2086874176851,"Summer",69710
9,-106.791111,41.208333,NA,1985,"Myodes gapperi","Myodes_gapperi",9.6,103,"male",3.9,351,9.78491030602579,51.4770334437668,"Fall",69947
7,-132.1833333333,55.75,"juvenile",1993,"Myodes gapperi","Myodes_gapperi",9.7,97,"female",8.2,2599,5.55354104890008,59.3021138393278,"Summer",68845
9,-106.754583,41.047137,NA,1985,"Myodes gapperi","Myodes_gapperi",9.8,110,"male",0,1067,9.44125376882079,65.7161184265112,"Fall",69079
8,-105.9116797,39.8472087,"juvenile",1983,"Myodes gapperi","Myodes_gapperi",10,97,"female",1.3,991,8.01899260657113,54.3531484152559,"Summer",68278
7,-110.9255,43.121,"juvenile",2007,"Myodes gapperi","Myodes_gapperi",10,115,"female",4.4,518,9.3063476219517,32.7688740295942,"Summer",68380
7,-115.0342,51.02791,NA,2007,"Myodes gapperi","Myodes_gapperi",10,110,"undetermined",2,639,8.98898315616501,63.6111595441683,"Summer",68400
8,-80.3,45.55,"juvenile",2007,"Myodes gapperi","Myodes_gapperi",10,123,"female",6.2,974,10.9829171760953,39.519694503707,"Summer",68528
7,-67.8817,52.2117,"juvenile",2000,"Myodes gapperi","Myodes_gapperi",10,112,"male",-2.2,942,12.3301152640291,24.3738882411998,"Summer",68537
7,-98.287,55.904,"juvenile",1996,"Myodes gapperi","Myodes_gapperi",10,113,"male",-4.1,508,15.8965405041474,53.4429750878267,"Summer",68543
8,-82.655,46.4333,"juvenile",1997,"Myodes gapperi","Myodes_gapperi",10,108,"female",3,972,11.104745777724,40.6239134900789,"Summer",68559
8,-79.1,46.6667,"juvenile",2007,"Myodes gapperi","Myodes_gapperi",10,128,"male",3.9,868,12.0274276198826,22.0665558899556,"Summer",68603
9,-106.7911111,41.2083333,NA,1985,"Myodes gapperi","Myodes_gapperi",10,115,"male",3.9,351,9.78491030602579,51.4770334437668,"Fall",69091
7,-132.2689833333,56.7805333333,NA,2006,"Myodes gapperi","Myodes_gapperi",10,118,"female",0.8,3558,6.87967471923086,44.8229939874749,"Summer",69256
9,-106.8568833333,36.0366,NA,2006,"Myodes gapperi","Myodes_gapperi",10,111,"female",6.6,709,7.06204108189865,99.8238337956992,"Fall",69331
7,-78.62,46.0233,"juvenile",1993,"Myodes gapperi","Myodes_gapperi",10,103,"female",3.1,877,11.725651755485,38.8088132706512,"Summer",69456
7,-98.287,55.904,"juvenile",1996,"Myodes gapperi","Myodes_gapperi",10,117,"female",-4.1,508,15.8965405041474,53.4429750878267,"Summer",69511
7,-78.62,46.0233,"juvenile",1993,"Myodes gapperi","Myodes_gapperi",10,116,"female",3.1,877,11.725651755485,38.8088132706512,"Summer",69520
6,-95.315,50.9317,"juvenile",1996,"Myodes gapperi","Myodes_gapperi",10,108,"male",-0.2,699,15.2275070086002,38.8059249918262,"Summer",69530
8,-130.265277,57.082125,NA,2013,"Myodes gapperi","Myodes_gapperi",10,115,"undetermined",2.8,685,8.52930776259662,41.9937215633982,"Summer",70071
8,-130.265274,57.08181102,"adult",2013,"Myodes gapperi","Myodes_gapperi",10,126,"male",2.8,686,8.52103902470855,42.0872886249677,"Summer",70560
7,-131.6958333333,55.4147222222,NA,1999,"Myodes gapperi","Myodes_gapperi",10,NA,"male",6.3,4076,4.55879935017451,33.6836579567461,"Summer",70812
8,-106.735365,41.051477,NA,1985,"Myodes gapperi","Myodes_gapperi",10.1,116,"female",-0.6,1132,9.4839417709701,65.2296361696082,"Summer",68172
8,-129.3521111111,56.2961666667,NA,2003,"Myodes gapperi","Myodes_gapperi",10.1,112,"female",3,981,7.77132939760377,44.8581371722178,"Summer",69427
9,-106.7911111,41.2083333,NA,1985,"Myodes gapperi","Myodes_gapperi",10.14,105,"female",3.9,351,9.78491030602579,51.4770334437668,"Fall",68180
8,-106.541175,35.821944,NA,1984,"Myodes gapperi","Myodes_gapperi",10.2,110,"male",6.4,654,8.29704218929307,64.8462276956781,"Summer",68238
