"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-112.4035006,34.463081,"ad",1969,"Pipilo maculatus montanus","Pipilo_maculatus",10.2,NA,"female",9.3,725,7.49377013986224,72.9738225262778,"Spring",107026
6,-122.74009,37.93065,"Nestling",2011,"Pipilo maculatus","Pipilo_maculatus",11.3,NA,"undetermined",12.7,512,2.41414706689672,131.839839426824,"Summer",108115
6,-122.74009,37.93065,"Nestling",2011,"Pipilo maculatus","Pipilo_maculatus",13.8,NA,"undetermined",12.7,512,2.41414706689672,131.839839426824,"Summer",108164
9,-122.2659,38.02796,"U-Ad",2001,"Pipilo maculatus","Pipilo_maculatus",24.1,NA,"female",14.5,648,3.94929989959862,132.208593172841,"Fall",108109
5,-115.45,30.88333,"u ad.",1925,"Pipilo maculatus umbraticola","Pipilo_maculatus",25.5,NA,"female",10.5,546,4.22878842165833,120.43511225078,"Spring",107850
10,-122.2410595,37.8726538,"unknown",1951,"Pipilo maculatus falcifer","Pipilo_maculatus",25.6,NA,"male",13,676,3.44462690947141,120.885408398166,"Fall",106257
5,-115.49833,35.1942447,"ad.",1938,"Pipilo maculatus montanus","Pipilo_maculatus",25.6,NA,"male",15,206,8.20469193187469,142.89420936495,"Spring",107963
10,-120.59744,40.74582,"u ad.",1924,"Pipilo maculatus curtatus","Pipilo_maculatus",28,NA,"female",6.5,282,7.90567498507856,96.5859209686479,"Fall",106808
8,-123.067661,49.319618,"juvenile",1997,"Pipilo maculatus","Pipilo_maculatus",28.9,174,NA,10.9,2070,5.50247189631142,47.3649177487645,"Summer",108200
6,-122.45333,37.99333,"immature",2003,"Pipilo maculatus falcifer","Pipilo_maculatus",29.3,NA,"male",14.6,672,3.39851794793322,116.456126024164,"Summer",108161
4,-122.0769703,37.9672305,"juvenile",2001,"Pipilo maculatus falcifer","Pipilo_maculatus",29.5,NA,"female",15.3,586,4.90231856091863,131.429333601335,"Spring",106713
10,-111.5625,35.4603,"u ad.",1922,"Pipilo maculatus montanus","Pipilo_maculatus",30,NA,"male",9.4,384,9.18201057404195,45.2659439514762,"Fall",106802
10,-115.45,30.88333,"imm.",1925,"Pipilo maculatus umbraticola","Pipilo_maculatus",30,NA,"female",10.5,546,4.22878842165833,120.43511225078,"Fall",107846
6,-120.756963,40.565523,"adult skull",2006,"Pipilo maculatus curtatus","Pipilo_maculatus",30.9,NA,"male",9,779,8.07772845357511,94.7622375042123,"Summer",106720
7,-118.20732,37.39253,"juv.",1917,"Pipilo maculatus montanus","Pipilo_maculatus",31,NA,"female",4.2,189,8.2819765976267,171.099572064859,"Summer",106770
5,-123.015054,40.394887,"u ad.",1926,"Pipilo maculatus falcinellus","Pipilo_maculatus",31,NA,"male",11.7,1312,6.52795851888187,123.826324692807,"Spring",106832
9,-117.53528,41.68472,"ad.",1934,"Pipilo maculatus curtatus","Pipilo_maculatus",31.1,NA,"female",7,716,6.72856304169476,91.774891703395,"Fall",106918
1,-124.1530252,41.104244,"u ad.",1942,"Pipilo maculatus oregonus","Pipilo_maculatus",31.1,NA,"female",11.2,1645,2.83114443076979,99.0694154330484,"Winter",106965
7,-106.301752,35.835261,NA,2011,"Pipilo maculatus","Pipilo_maculatus",31.1,NA,"male",10.4,282,9.10484386566743,88.8804486996608,"Summer",108168
9,-116.39528,34.05639,"ad.",1950,"Pipilo maculatus megalonyx","Pipilo_maculatus",31.2,NA,"female",14.3,82,5.90174601796842,107.145599754757,"Fall",106195
6,-122.54548,37.95569,"adult",2003,"Pipilo maculatus falcifer","Pipilo_maculatus",31.3,NA,"male",15,968,3.64936690233783,120.184843431848,"Summer",108111
6,-118.099737,37.432159,"u ad.",1954,"Pipilo maculatus montanus ?","Pipilo_maculatus",31.4,NA,"female",6.2,289,6.69886353997995,93.1612499083614,"Summer",106209
11,-115.7230556,31.4,"imm.",1926,"Pipilo maculatus umbraticola","Pipilo_maculatus",31.4,NA,"female",16.2,268,4.77762303014604,130.711659266751,"Fall",108136
9,-120.59744,40.74582,"ad.",1924,"Pipilo maculatus curtatus","Pipilo_maculatus",31.5,NA,"male",6.5,282,7.90567498507856,96.5859209686479,"Fall",107836
10,-118.49432,35.4277106,"imm.",1933,"Pipilo maculatus megalonyx","Pipilo_maculatus",31.5,NA,"female",13.1,192,7.6035677431218,174.984785049846,"Fall",107926
