"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-85.1,44.3333333,"chick",1957,"Strix varia varia","Strix_varia",211.1,NA,"female",6.8,775,10.0449406834154,54.3235032490213,"Spring",142621
7,-122.698044,49.296178,"nestling",2011,"Strix varia","Strix_varia",334,402,"male",9.3,1676,5.78137028949387,60.6450356449668,"Summer",142618
11,-78.29676,43.95541,"adult",2001,"Strix varia varia","Strix_varia",370,NA,"male",8.8,758,9.72338636608884,28.7177220006736,"Fall",142450
3,-84.469633,45.64478,NA,1982,"Strix varia","Strix_varia",408,NA,"male",5.7,767,10.4921724069986,54.7544233372976,"Spring",142396
5,-95.2798841,38.9041998,NA,1986,"Strix varia","Strix_varia",409.1,NA,"male",13.4,1185,9.71488626549561,84.5048522273298,"Spring",142419
5,-72.51952,42.43779,"U",2007,"Strix varia","Strix_varia",420.6,270,"male",8.7,1078,10.2944932322621,37.5995145646951,"Spring",142534
2,-78.98129,44.56408,"adult",2005,"Strix varia varia","Strix_varia",422.1,NA,"male",6.5,834,11.280725718112,31.2155909770179,"Winter",142540
4,-122.755598,53.90779,NA,2008,"Strix varia","Strix_varia",434.5,520,"male",3.9,719,9.24371612928415,46.2438194893706,"Spring",142617
9,-84.77578,47.993912,"adult",1980,"Strix varia varia","Strix_varia",439.7,NA,"male",1.6,833,11.7434024030517,36.5620323310458,"Fall",142437
3,-87.921533,45.81437,NA,1980,"Strix varia","Strix_varia",442.5,NA,"male",5.2,708,11.4442886377547,82.4534385676845,"Spring",142455
4,-76.17528,42.60083,NA,2005,"Strix varia","Strix_varia",463.2,500,"male",8.2,1126,10.8985681572759,44.934801334266,"Spring",142536
2,-95.3922945,48.3007984,NA,1937,"Strix varia varia","Strix_varia",468,NA,"male",1.9,631,14.6692835131058,97.7148803385002,"Winter",142389
5,-88.5216522,46.7570335,NA,1995,"Strix varia varia","Strix_varia",468.9,NA,"female",4.3,875,11.1747957746914,42.6346014327811,"Spring",142399
1,-117.142993,46.721599,NA,1992,"Strix varia","Strix_varia",470,NA,"female",9.9,401,7.27771609195849,52.2770185448331,"Winter",142351
9,-75.9344,43.1741,NA,1997,"Strix varia","Strix_varia",471.5,333,"female",7.9,988,9.34182514125034,24.2380715380195,"Fall",142535
1,-87.5333333,45.5166667,NA,1979,"Strix varia varia","Strix_varia",473,NA,"male",4.8,824,11.3083503606312,38.6353944710407,"Winter",142630
10,-117.214165,46.77326,NA,1991,"Strix varia","Strix_varia",477.3,NA,"undetermined",9,474,7.13851588853797,69.2439941548378,"Fall",142350
2,-122.65414,49.097048,NA,2003,"Strix varia varia","Strix_varia",493,490,"male",10.6,1442,5.37949952611906,77.5204498608869,"Winter",142546
2,-78.61625,43.97847,"adult",2005,"Strix varia varia","Strix_varia",515,NA,"female",7.8,782,11.0980615287973,32.7020423559078,"Winter",142433
4,-83.7561178,42.4005483,"adult",1928,"Strix varia","Strix_varia",519.2,505,"male",8.5,672,9.36302770896187,45.7031740676975,"Spring",142461
12,-95.2642725,38.9862718,NA,1996,"Strix varia varia","Strix_varia",520,NA,"female",12.4,1191,10.3249036975478,83.4113159634797,"Winter",142421
12,-94.1166667,36.45,NA,1937,"Strix varia varia","Strix_varia",521,NA,"male",13.7,1197,9.57817911460812,46.0183533498703,"Winter",142628
9,-85.0389709,46.6510859,"immature",2008,"Strix varia varia","Strix_varia",521.4,NA,"female",4.3,835,9.92091072921079,43.7469384172588,"Fall",142459
6,-82.4911383,28.0346552,NA,1966,"Strix varia georgica","Strix_varia",527,NA,"male",21.6,1240,5.1186749587499,72.3946383766392,"Summer",142464
6,-76.450248,42.473805,"imm.",1968,"Strix varia","Strix_varia",533,378,"male",7.7,975,10.5906762882464,48.7151999063226,"Summer",142412
11,-78.68216,43.91179,"not applicable",1936,"Strix varia varia","Strix_varia",533,NA,"male",7.1,758,11.0940162686782,41.4688559135728,"Fall",142442
3,-78.89052,45.24008,"adult",2005,"Strix varia varia","Strix_varia",543,NA,"female",5.2,943,11.7583336017868,30.0032625348824,"Spring",142434
2,-79.32466,43.86736,"adult",1984,"Strix varia varia","Strix_varia",546.9,NA,"female",7.4,747,9.94717486921728,27.1164270675552,"Winter",142436
1,-92.9505,36.2674,"u ad.",1939,"Strix varia varia","Strix_varia",553.5,NA,"male",15.4,1240,8.55469036685299,46.7983058808782,"Winter",142367
3,-84.318227,46.519139,"adult",2006,"Strix varia varia","Strix_varia",554.7,NA,"female",6.5,739,9.50210104358106,44.7626163504938,"Spring",142369
9,-83.939891,42.831498,NA,2013,"Strix varia varia","Strix_varia",554.9,NA,"female",9,913,10.40920338698,54.7768532454465,"Fall",142406
5,-83.692131,42.6579493,"juvenile",1939,"Strix varia varia","Strix_varia",555,NA,"female",9.1,584,10.1860086750048,56.9029418771685,"Spring",142463
3,-77.10777,44.22843,"adult",2002,"Strix varia varia","Strix_varia",569.4,NA,"female",8.2,885,9.9182224397135,36.8429580555228,"Spring",142543
12,-79.396679,43.664947,"adult",2004,"Strix varia varia","Strix_varia",570,NA,"male",7.7,796,10.093817489689,42.7959863750582,"Winter",142452
12,-70.9083333333,41.6805555556,NA,1995,"Strix varia varia","Strix_varia",570,NA,"male",10,1083,9.09789769255746,38.7083482944338,"Winter",142609
10,-79.372722,43.73418,"not applicable",1965,"Strix varia varia","Strix_varia",573,491,"undetermined",6.9,857,9.71803618395853,33.8854306002398,"Fall",142451
8,-122.24603,41.84932,NA,2006,"Strix varia","Strix_varia",574.7,414,"male",7.4,782,7.40730086202836,85.6947676605412,"Summer",142480
10,-85.9271622,46.1147172,NA,1947,"Strix varia","Strix_varia",581.8,NA,"female",5.2,689,10.7074704875813,54.0433339191651,"Fall",142387
3,-87.5333333,45.5166667,NA,1980,"Strix varia","Strix_varia",585,NA,"male",5.7,702,10.8890130893762,67.8056475111809,"Spring",142548
2,-78.74331,44.35592,"adult",1984,"Strix varia varia","Strix_varia",587.1,NA,"female",6.7,883,10.0997262189116,22.9738545712587,"Winter",142383
5,-124.16249,40.66722,"adult",2006,"Strix varia","Strix_varia",590,460,"male",10.4,1705,2.90579358586194,105.971818533897,"Spring",142477
2,-95.4393508,48.300766,NA,1936,"Strix varia varia","Strix_varia",594.2,NA,"male",1.4,413,15.8618730026285,59.4218965687848,"Winter",142390
4,-83.8024664,42.3253961,NA,2003,"Strix varia","Strix_varia",598,NA,"male",9.1,879,10.1672677417944,39.6871511899834,"Spring",142402
8,-83.9307556,42.6073341,NA,1994,"Strix varia","Strix_varia",598.2,NA,"female",8.7,813,10.631457039742,48.0452079716015,"Summer",142457
12,-72.9286,41.3081,"adult",2004,"Strix varia varia","Strix_varia",600,NA,"female",10.9,1255,9.33637396358344,50.5885797325144,"Winter",142624
7,-86.4715,38.73252,"U-Ad.",1987,"Strix varia","Strix_varia",606,NA,"male",13.4,801,9.1517964787182,49.5232499657396,"Summer",142627
10,-80.48826,43.42544,"not applicable",1939,"Strix varia varia","Strix_varia",607,NA,"female",6.7,756,9.89709170627535,36.1010007570872,"Fall",142376
11,-79.42911,43.656556,"not applicable",1939,"Strix varia varia","Strix_varia",610,NA,"female",7.6,675,10.3864713872801,36.6989698979593,"Fall",142439
6,-88.9,46.2,NA,1955,"Strix varia varia","Strix_varia",610,NA,"male",5.2,902,12.5929152761192,44.5848533526836,"Summer",142547
10,-76.87711,44.46097,"not applicable",1935,"Strix varia varia","Strix_varia",610,NA,"male",5.7,681,11.2023806993573,48.1645454219173,"Fall",142614
8,-122.26045,41.8582,NA,2006,"Strix varia","Strix_varia",611.5,465,"male",7.2,782,7.35823595460463,86.338499519671,"Summer",142558
6,-81.5707397,28.3974408,NA,1966,"Strix varia georgica","Strix_varia",615,NA,"male",21.7,1482,5.27265673934015,72.9599139499474,"Summer",142418
12,-77.57633,44.10757,"adult",1991,"Strix varia varia","Strix_varia",623.4,NA,"female",8.2,915,10.1057252000132,29.0975218322405,"Winter",142371
2,-77.2138,39.0171,"ed",1993,"Strix varia varia","Strix_varia",623.7,NA,"female",12.4,1202,9.46750023005337,38.0363243200776,"Winter",142429
7,-122.27777,41.85547,"adult",2005,"Strix varia","Strix_varia",625.3,450,"male",8,966,7.14178909763874,104.104877025988,"Summer",142551
10,-85.9271622,46.1147172,NA,1945,"Strix varia","Strix_varia",626.5,NA,"female",4.8,854,10.090754844576,37.5316196713658,"Fall",142453
7,-122.26045,41.8582,NA,2010,"Strix varia","Strix_varia",630.8,NA,"male",6.5,841,6.37649566530841,68.1943093072464,"Summer",142482
