"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-119.3605,37.88325,NA,2005,"Tamias speciosus frater","Tamias_speciosus",22,165,"male",3.9,1035,6.44386012676667,111.490977701682,"Summer",190800
8,-119.3605,37.88325,NA,2005,"Tamias speciosus frater","Tamias_speciosus",22,167,"female",3.9,1035,6.44386012676667,111.490977701682,"Summer",190801
7,-120.355,39.332556,NA,1968,"Tamias speciosus","Tamias_speciosus",22.3,157,"female",5.2,1482,6.42666674525336,96.1452793323697,"Summer",190596
7,-119.48155,38.12206,NA,2006,"Tamias speciosus frater","Tamias_speciosus",23,166,"male",2.9,1321,7.00452234869255,123.435665981772,"Summer",190867
6,-119.62314,37.84309,NA,2004,"Tamias speciosus frater","Tamias_speciosus",24,181,"male",7.3,1053,6.25873329230783,122.053525477838,"Summer",190685
7,-119.48155,38.12206,NA,2006,"Tamias speciosus frater","Tamias_speciosus",24,172,"male",2.9,1321,7.00452234869255,123.435665981772,"Summer",190805
8,-119.43205,37.9007,NA,2003,"Tamias speciosus frater","Tamias_speciosus",25,169,"male",5.7,832,6.93412182288035,113.483395648658,"Summer",190480
7,-120.203517,39.432825,NA,1970,"Tamias speciosus","Tamias_speciosus",26,169,"male",5.6,1054,6.76889051380496,127.527938591505,"Summer",190426
8,-119.3605,37.88325,NA,2005,"Tamias speciosus frater","Tamias_speciosus",26,180,"male",3.9,1035,6.44386012676667,111.490977701682,"Summer",190797
8,-119.42225,37.91355,NA,2003,"Tamias speciosus frater","Tamias_speciosus",27,187,"female",5.7,791,6.95300240358382,112.015868532943,"Summer",190469
8,-119.42225,37.91355,NA,2003,"Tamias speciosus frater","Tamias_speciosus",27,183,"female",5.7,791,6.95300240358382,112.015868532943,"Summer",190646
6,-119.63327,37.84631,NA,2004,"Tamias speciosus frater","Tamias_speciosus",28,177,"male",7.2,1059,6.23195577064478,122.739738699128,"Summer",190490
8,-119.42225,37.91355,NA,2003,"Tamias speciosus frater","Tamias_speciosus",28,188,"female",5.7,791,6.95300240358382,112.015868532943,"Summer",190654
8,-119.43205,37.9007,NA,2003,"Tamias speciosus frater","Tamias_speciosus",29,172,"male",5.7,832,6.93412182288035,113.483395648658,"Summer",190481
8,-119.43205,37.9007,NA,2003,"Tamias speciosus frater","Tamias_speciosus",30,180,"male",5.7,832,6.93412182288035,113.483395648658,"Summer",190479
6,-119.63327,37.84631,NA,2004,"Tamias speciosus frater","Tamias_speciosus",30,185,"female",7.2,1059,6.23195577064478,122.739738699128,"Summer",190684
8,-119.5946,38.17061,NA,2005,"Tamias speciosus frater","Tamias_speciosus",31,183,"male",3,1740,6.59460293564274,98.6033700292559,"Summer",190516
8,-119.5946,38.17061,NA,2005,"Tamias speciosus frater","Tamias_speciosus",31,185,"female",3,1740,6.59460293564274,98.6033700292559,"Summer",190517
8,-119.59468,38.17609,NA,2005,"Tamias speciosus frater","Tamias_speciosus",31,182,"male",3.1,1721,6.6212925589733,98.7177947817405,"Summer",190705
6,-119.3203743,37.4652691,"unknown",1965,"Tamias speciosus","Tamias_speciosus",32,192,"male",8,1183,5.51732120991096,121.9278495316,"Summer",190565
8,-119.42225,37.91355,NA,2003,"Tamias speciosus frater","Tamias_speciosus",32,187,"female",5.7,791,6.95300240358382,112.015868532943,"Summer",190655
7,-119.3203743,37.4652691,"unknown",1965,"Tamias speciosus","Tamias_speciosus",32,196,"male",8,1183,5.51732120991096,121.9278495316,"Summer",190757
8,-119.42225,37.91355,NA,2003,"Tamias speciosus frater","Tamias_speciosus",33,189,"male",5.7,791,6.95300240358382,112.015868532943,"Summer",190470
7,-119.33617,37.79778,NA,2004,"Tamias speciosus frater","Tamias_speciosus",33,197,"female",3,1043,6.53714329231373,119.717640025433,"Summer",190496
8,-119.42225,37.91355,NA,2003,"Tamias speciosus frater","Tamias_speciosus",33,190,"female",5.7,791,6.95300240358382,112.015868532943,"Summer",190658
7,-119.41206,37.84117,NA,2007,"Tamias speciosus frater","Tamias_speciosus",33,187,"male",4.4,407,6.77930786670108,139.460207434389,"Summer",190870
8,-119.42225,37.91355,NA,2003,"Tamias speciosus frater","Tamias_speciosus",34,195,"male",5.7,791,6.95300240358382,112.015868532943,"Summer",190466
8,-119.42225,37.91355,NA,2003,"Tamias speciosus frater","Tamias_speciosus",34,200,"female",5.7,791,6.95300240358382,112.015868532943,"Summer",190468
7,-119.5028717,37.4326603,"unknown",1965,"Tamias speciosus","Tamias_speciosus",34,192,"female",6.7,1305,5.51633249926292,121.179026899427,"Summer",190570
7,-119.5028717,37.4326603,"unknown",1965,"Tamias speciosus","Tamias_speciosus",34,185,"male",6.7,1305,5.51633249926292,121.179026899427,"Summer",190571
8,-119.42225,37.91355,NA,2003,"Tamias speciosus frater","Tamias_speciosus",34,195,"male",5.7,791,6.95300240358382,112.015868532943,"Summer",190653
