"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"1st year","male",6,-122.2553349,37.7702999,2001,"Accipiter cooperii","Accipiter_cooperii",289,NA,14.6,653,3.06460734545524,133.202553742453,"Summer",114,14.65,618,2.88840660079582,134.367502015644,14.56,589,3.00089913240444,138.425177195572,"M","Juvenile"
"ad.","female",4,-116.865597,36.456792,1920,"Accipiter cooperii","Accipiter_cooperii",524,NA,21.9,51,10.12934530775,114.471914711275,"Spring",386,21.8,39,10.6990688464182,104.255804835398,22.42,51.6,10.4554241030888,109.756489610601,"F","Adult"
"ad.","female",2,-92.93,36.2534,1939,"Accipiter cooperii","Accipiter_cooperii",435.5,NA,15.4,1235,8.58573076256603,46.8095147139492,"Winter",400,15.7,1235.5,8.52501148061141,48.616055610661,14.92,1194.4,9.09976425471836,55.1676345081573,"F","Adult"
"ad.","female",12,-92.9449,36.2633,1938,"Accipiter cooperii","Accipiter_cooperii",388,NA,15.9,1233,8.45969051658296,50.4120318060558,"Winter",138,14.85,1211,8.98736721320826,45.1654022877,14.9,1149.2,9.30698892651636,56.9813641980882,"F","Adult"
"Ad.","male",1,-121.42517,39.02442,1959,"Accipiter cooperii","Accipiter_cooperii",417.6,NA,17.4,395,6.51164458117265,140.462220551478,"Winter",596,17.35,531.5,6.61363768789813,135.225129685197,16.52,522.2,6.73319101705771,136.858588102137,"M","Adult"
"Ad.","female",2,-122.44077,37.79827,1978,"Accipiter cooperii","Accipiter_cooperii",520.6,NA,13.7,636,2.71036171129623,133.323551985294,"Winter",598,13.5,515,2.5392528615462,121.218707751178,13.34,446.8,2.56025976511861,112.359584991361,"F","Adult"
"adult","female",3,-117.6722431,33.59673,1998,NA,"Accipiter_cooperii",505,NA,15.8,537,3.72827037646145,158.082275784798,"Spring",495,16.55,449,3.77290680655207,162.178335820231,17.34,439.2,3.81096878744522,149.262324529215,"F","Adult"
"adult","female",3,-83.7400246,42.2754036,2003,"Accipiter cooperii","Accipiter_cooperii",409,NA,9.3,892,10.1640297126681,38.7334456336678,"Spring",200,10,824.5,10.0365276446612,34.6253969921692,10.06,907.8,9.92591879883768,43.180888208281,"F","Adult"
"adult","female",8,-118.9045486,36.4388371,1982,NA,"Accipiter_cooperii",278,NA,16.7,869,7.25460668691406,84.9355770408201,"Summer",235,17.35,728.5,7.19065850397639,89.82243271052,17.44,689.2,7.10648107630721,114.989346300183,"F","Adult"
"adult","female",11,-110.926445,32.2217751,1981,"Accipiter cooperii","Accipiter_cooperii",355,NA,20.5,236,7.05671826894575,78.8421340912787,"Fall",319,20.4,272,7.03857150826038,88.6846452395069,20.2,313.8,7.42082226800232,88.9973719625441,"F","Adult"
"adult","female",6,-83.83701,42.24148,2004,"Accipiter cooperii","Accipiter_cooperii",405.1,NA,9.5,841,10.00199980004,63.5933047348099,"Summer",468,9.3,864,10.083210406912,52.1881259302275,9.76,891.4,9.92329063700507,48.0402836171714,"F","Adult"
"adult","female",12,-117.7095239,33.595328,1997,NA,"Accipiter_cooperii",486,NA,17.2,353,3.76421548025856,167.66555487477,"Winter",500,17.75,408,3.82669521683107,139.415482726148,17.68,427.6,3.69639508249318,154.24549638774,"F","Adult"
"adult","female",9,-118.2967341,33.8108199,1993,"Accipiter cooperii","Accipiter_cooperii",339,NA,16.8,544,2.79906640279803,197.391774403825,"Fall",88,17.05,524,2.92529058907918,172.685105809423,17.28,328.8,3.00897619207365,150.602887548315,"F","Adult"
"adult","female",1,-118.3866119,33.8430453,2004,"Accipiter cooperii","Accipiter_cooperii",357,NA,15.9,267,2.69646232885036,147.388617899086,"Winter",81,15.85,266.5,2.57522397762189,144.847499732679,15.5,274.6,2.49303519749348,149.34780890237,"F","Adult"
"adult","female",3,-79.91551,43.9576,1989,"Accipiter cooperii","Accipiter_cooperii",472.9,NA,5.7,730,11.0565043245498,41.5319314594002,"Spring",665,6.15,762.5,10.7409170277732,41.6146336518311,6.48,881.2,10.1789907663871,43.8954020754715,"F","Adult"
