"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","male",6,-80.49686,45.83375,1978,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",64,NA,4.2,850,11.4801376562331,47.1808044737429,"Summer",2762,4.65,884,11.236946385311,43.0029412118001,4.78,875.2,11.1214290534918,36.4126469759057,"M","Adult"
"ad","male",7,-93.82525,48.90185,1929,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",66,NA,1.5,422,14.4096558535651,41.9524409763164,"Summer",1909,2.35,500,13.1249976110829,65.4472626640909,2.02,607.6,13.0352037495651,65.4328235467905,"M","Adult"
"ad","male",6,-107.7333336,49.2333374,1970,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",66.8,NA,2.6,379,12.9115493284348,96.5128582396695,"Summer",1891,2.65,368,13.2710691286088,89.0428450306447,3.06,319.8,12.5907544283332,79.6517500944955,"M","Adult"
"ad","male",7,-77.27931,43.96989,1930,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",58.5,NA,7.7,613,10.1010200505001,37.744229913391,"Summer",3119,7.5,693.5,10.0651004795386,38.6813123817818,7.26,769,9.88199211525691,37.7999491615194,"M","Adult"
"ad","male",5,-79.420787,43.767467,1974,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",66.3,NA,7.2,822,9.76881246466002,44.9030522886181,"Spring",2759,7.7,824.5,10.0012234248647,40.569902834693,7.32,803.6,10.3555756332469,37.4133036935847,"M","Adult"
"ad","female",6,-93.63727,52.84037,1938,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",51.2,NA,0,617,13.8670636598183,60.9325865622278,"Summer",3122,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"F","Adult"
"ad","female",4,-78.75714,43.99938,1993,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",44,NA,6.8,886,10.4060588411781,30.1630389857539,"Spring",1905,6.85,921,9.66071558149034,34.6265746716775,7.38,883.6,9.87820174235666,37.2152495081681,"F","Adult"
"ad","male",4,-78.16661,43.97027,1941,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",64,NA,7.8,774,10.7730689755294,49.4204355116917,"Spring",2781,7.05,824,10.8370192451885,40.5979736688983,7.48,774,10.6111664832514,39.3047396768985,"M","Adult"
"ad","male",7,-94.98538,49.92533,1947,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",62.5,NA,1.5,627,13.7663181407199,61.9181824825118,"Summer",3135,1.65,581.5,13.6319243895375,56.4339738515301,1.7,624.8,13.3965225901207,62.4381750312174,"M","Adult"
"ad","male",5,-79.372722,43.73418,1959,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",65,NA,7.7,750,11.3240692974984,28.998406851725,"Spring",2795,7.3,654.5,10.7813533770981,36.0120248175363,7.54,715.6,10.3061612956536,39.0761980214808,"M","Adult"
"ad","male",6,-101.5484635,50.0811362,1968,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",62.8,230,1.8,406,12.5779358281464,92.7822972480675,"Summer",1879,1.6,379.5,13.1138374876965,67.3685456733103,1.26,412,13.6094980283448,75.8034184697702,"M","Adult"
"ad","male",6,-120.5881808,35.1185856,1969,"Agelaius phoeniceus neutralis","Agelaius_phoeniceus",68.5,240,13.6,661,2.1884510919411,172.758475351773,"Summer",2750,13.7,483.5,2.12562647615623,133.285556218636,13.54,426,2.44087767145652,131.574140265063,"M","Adult"
"ad","female",2,-103.56965,35.1249,2008,"Agelaius phoeniceus","Agelaius_phoeniceus",44.2,NA,14.9,424,8.46158431328963,121.154559049001,"Winter",2393,14.8,365,8.74941523734701,95.6918024612761,14.9,419.6,8.48385536043012,88.2060077590025,"F","Adult"
"ad","female",2,-103.56965,35.1249,2008,"Agelaius phoeniceus","Agelaius_phoeniceus",50,NA,14.9,424,8.46158431328963,121.154559049001,"Winter",1509,14.8,365,8.74941523734701,95.6918024612761,14.9,419.6,8.48385536043012,88.2060077590025,"F","Adult"
"ad","male",7,-77.73807,44.03275,1968,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",67,NA,7.3,789,10.9103058035636,45.9353255630623,"Summer",1887,7.25,776.5,10.5292105094623,42.3706151369096,7.36,753.6,10.1554445148748,42.3528705734229,"M","Adult"
"ad","male",6,-101.5484635,50.0811362,1968,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",70.2,231,1.8,406,12.5779358281464,92.7822972480675,"Summer",2744,1.6,379.5,13.1138374876965,67.3685456733103,1.26,412,13.6094980283448,75.8034184697702,"M","Adult"
"ad","female",7,-101.5400182,50.0811362,1971,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",46.8,NA,1.9,511,13.6835224952783,102.852455500389,"Summer",2755,1.5,502,13.9586572236481,86.1904089263105,1.54,448.4,13.5488744175844,74.6683486589728,"F","Adult"
"ad","female",7,-93.82525,48.90185,1929,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",37,NA,1.5,422,14.4096558535651,41.9524409763164,"Summer",2774,2.35,500,13.1249976110829,65.4472626640909,2.02,607.6,13.0352037495651,65.4328235467905,"F","Adult"
"ad","female",7,-93.63727,52.84037,1938,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",42.2,NA,0,617,13.8670636598183,60.9325865622278,"Summer",3130,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"F","Adult"
"ad","male",12,-79.6749,43.4471,1994,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",43.7,NA,7.8,762,10.8771654061491,31.4709993331864,"Winter",3371,7.7,774,10.6013628884422,35.1469909152921,8.32,832.4,9.77251616036301,38.8960983496458,"M","Adult"
"ad","female",2,-103.56965,35.1249,2008,"Agelaius phoeniceus","Agelaius_phoeniceus",47.1,NA,14.9,424,8.46158431328963,121.154559049001,"Winter",2390,14.8,365,8.74941523734701,95.6918024612761,14.9,419.6,8.48385536043012,88.2060077590025,"F","Adult"
"ad","male",7,-91.92887,50.10403,1947,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",65.4,NA,0.6,690,13.748377314719,41.0975349699112,"Summer",2789,0.75,698,13.5972268414131,41.8236002450863,0.7,747.8,13.4139889742011,54.0473898945502,"M","Adult"
"ad","male",6,-101.5484635,50.0811362,1968,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",67.3,225,1.8,406,12.5779358281464,92.7822972480675,"Summer",1882,1.6,379.5,13.1138374876965,67.3685456733103,1.26,412,13.6094980283448,75.8034184697702,"M","Adult"
"ad","male",6,-80.078966,43.316383,2003,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",64,NA,7,907,10.2061478798543,31.3409248335272,"Summer",1936,7.6,892,9.82406791269486,28.6199904518949,8.02,854,9.73795450180248,37.065544965559,"M","Adult"
"ad","female",7,-93.63727,52.84037,1938,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",42,NA,0,617,13.8670636598183,60.9325865622278,"Summer",3384,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"F","Adult"
"ad","female",5,-80.39645,42.58314,1967,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",42,NA,8.3,880,9.30042358109988,31.971296292559,"Spring",3138,8.3,889.5,9.48923208646134,35.2278576416214,8.36,850.6,9.67420837143438,39.7645895337105,"F","Adult"
"ad","female",6,-93.63727,52.84037,1938,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",44.5,NA,0,617,13.8670636598183,60.9325865622278,"Summer",3380,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"F","Adult"
"ad","male",6,-80.49316,51.39794,1971,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",65,NA,-0.4,725,12.8203998188493,68.8388196254798,"Summer",2754,-0.65,660.5,13.4855412118252,60.972498528464,-0.58,681.2,13.1542457937764,58.7633489790693,"M","Adult"
"ad","female",2,-103.56965,35.1249,2008,"Agelaius phoeniceus","Agelaius_phoeniceus",46,NA,14.9,424,8.46158431328963,121.154559049001,"Winter",2395,14.8,365,8.74941523734701,95.6918024612761,14.9,419.6,8.48385536043012,88.2060077590025,"F","Adult"
"ad","male",7,-77.73807,44.03275,1968,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",63.2,NA,7.3,789,10.9103058035636,45.9353255630623,"Summer",1888,7.25,776.5,10.5292105094623,42.3706151369096,7.36,753.6,10.1554445148748,42.3528705734229,"M","Adult"
"ad","male",4,-82.46778,45.91631,1949,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",67,NA,5.9,728,10.160291095806,32.8795041834196,"Spring",2790,5.7,705,10.5713092486024,39.6490520274237,5.44,770.4,10.5256166420042,43.5154208719838,"M","Adult"
"ad","male",5,-78.97874,43.85277,1972,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",70.2,NA,6.7,882,10.330225583503,23.1390638808614,"Spring",3370,7.1,791.5,10.4106448010529,33.017146584018,7.34,763.8,10.6014304709363,33.9887692658618,"M","Adult"
"ad","male",6,-78.48,45.57872,1945,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",62.8,NA,3.8,842,11.3962879389685,33.8670121179428,"Summer",1931,3.95,806,11.4982011139258,44.2314792536645,3.68,798.6,11.5976558443174,45.2133972670156,"M","Adult"
"ad","male",6,-101.5484635,50.0811362,1968,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",65.5,230,1.8,406,12.5779358281464,92.7822972480675,"Summer",1883,1.6,379.5,13.1138374876965,67.3685456733103,1.26,412,13.6094980283448,75.8034184697702,"M","Adult"
"ad","male",7,-79.71593,43.46917,1967,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",50.2,NA,7.2,824,9.68677245557366,45.9845481427537,"Summer",2798,7.3,786.5,9.82902279393332,42.3536916425877,7.36,764.6,9.89826162496408,43.8116123653317,"M","Adult"
"ad","female",6,-101.5484635,50.0811362,1968,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",64.6,223,1.8,406,12.5779358281464,92.7822972480675,"Summer",1884,1.6,379.5,13.1138374876965,67.3685456733103,1.26,412,13.6094980283448,75.8034184697702,"F","Adult"
"ad","male",7,-93.63727,52.84037,1938,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",63.3,NA,0,617,13.8670636598183,60.9325865622278,"Summer",3129,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"M","Adult"
"ad","male",7,-77.62782,45.37805,1943,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",68.5,NA,3.3,796,12.3135888227994,35.8673792020314,"Summer",2766,4.1,784.5,11.7686376104662,41.3309496814519,4.12,690.8,11.6747769015694,43.8951984478428,"M","Adult"
"ad","male",10,-89.99647,48.21964,1942,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",75,NA,2.4,729,11.0050780289938,49.6468705001266,"Fall",1922,2.75,815.5,11.2869665810524,61.3052182319715,2.5,769.2,11.5780798936045,54.629587264272,"M","Adult"
"ad","male",8,-77.7106,44.00201,1968,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",67.8,NA,7.3,788,10.9407599038059,45.7038449592175,"Summer",2746,7.3,772,10.5425335797264,42.0639547022396,7.4,747.2,10.1681330026458,42.2187975518752,"M","Adult"
"ad","male",4,-78.72571,44.00693,1993,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",73,NA,6.8,890,10.4084282573249,29.4045765429019,"Spring",2768,6.8,925.5,9.67987854522643,34.4481170647204,7.3,888.6,9.88128700644115,37.0078780782099,"M","Adult"
"ad","female",2,-103.56965,35.1249,2008,"Agelaius phoeniceus","Agelaius_phoeniceus",45.2,NA,14.9,424,8.46158431328963,121.154559049001,"Winter",2397,14.8,365,8.74941523734701,95.6918024612761,14.9,419.6,8.48385536043012,88.2060077590025,"F","Adult"
"ad","female",7,-93.63727,52.84037,1938,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",43.7,NA,0,617,13.8670636598183,60.9325865622278,"Summer",3385,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"F","Adult"
"ad","female",4,-79.376504,43.625453,1971,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",48.8,NA,8,702,10.4405241944332,42.9520519644369,"Spring",1890,7.9,734.5,10.7246129933604,34.955702188791,7.74,757.4,10.4183084026786,39.4421159111969,"F","Adult"
"ad","male",6,-93.63727,52.84037,1938,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",71.2,NA,0,617,13.8670636598183,60.9325865622278,"Summer",3123,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"M","Adult"
"ad","male",5,-77.27931,43.96989,1930,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",74,NA,7.7,613,10.1010200505001,37.744229913391,"Spring",3373,7.5,693.5,10.0651004795386,38.6813123817818,7.26,769,9.88199211525691,37.7999491615194,"M","Adult"
"ad","female",6,-101.5484635,50.0811362,1968,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",44.3,NA,1.8,406,12.5779358281464,92.7822972480675,"Summer",2745,1.6,379.5,13.1138374876965,67.3685456733103,1.26,412,13.6094980283448,75.8034184697702,"F","Adult"
"ad","male",5,-75.3193474,38.9345099,1998,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",64,NA,14.1,1084,7.77249911059772,52.2821039302234,"Spring",1907,13.3,1097,7.91347696457942,43.8511722889839,13.34,1162.6,8.4728090145025,42.9298073310926,"M","Adult"
"ad","[male]",6,-84.02525,46.353393,1931,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",68,NA,6.7,772,10.5130618611787,65.7387277263846,"Summer",2776,5.8,709.5,10.9135793632702,60.820325878027,4.72,733,10.9119970552956,51.362892927864,"M","Adult"
"ad","male",6,-93.63727,52.84037,1938,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",76.8,NA,0,617,13.8670636598183,60.9325865622278,"Summer",3381,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"M","Adult"
"ad","male",6,-80.49316,51.39794,1972,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",74,NA,-2.7,510,14.0311990027419,67.239647376393,"Summer",1895,-1.55,617.5,13.4257994107956,68.0392335009364,-0.86,670.4,13.1558487410427,64.0979973787567,"M","Adult"
"ad","female",5,-79.420787,43.767467,1974,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",43.4,NA,7.2,822,9.76881246466002,44.9030522886181,"Spring",1902,7.7,824.5,10.0012234248647,40.569902834693,7.32,803.6,10.3555756332469,37.4133036935847,"F","Adult"
"ad","male",5,-112.4457545,34.5569686,1970,"Agelaius phoeniceus fortis","Agelaius_phoeniceus",63,NA,11.4,567,7.69750057820817,123.287958036241,"Spring",2751,11.5,548.5,7.79471101630425,99.0676637901582,11.52,484.2,7.87139482430156,96.136063860415,"M","Adult"
"ad","female",5,-114.685309,31.900283,1973,"Agelaius phoeniceus sonoriensis","Agelaius_phoeniceus",43,NA,21.5,48,6.75611956045418,163.415254656796,"Spring",1899,21.65,60,6.78355889818678,196.13779556967,21.62,64.8,6.80412069497681,169.42930509689,"F","Adult"
"ad","female",9,-79.25011,43.77661,2003,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",45,NA,7,824,10.5283024042412,39.1141497661034,"Fall",1937,7.7,797.5,10.0788068586457,33.7312903160647,8.1,772.4,9.95046264080291,41.2278855422104,"F","Adult"
"ad","female",1,-103.0546666667,36.3036666667,2007,"Agelaius phoeniceus","Agelaius_phoeniceus",51.4,NA,13,300,9.4011604699536,73.0273477200317,"Winter",3052,13.2,320,8.93348703763618,93.8312133811178,13.02,358.8,8.55654025798664,92.8459181762122,"F","Adult"
"ad","male",1,-106.6511345,35.0844898,2008,"Agelaius phoeniceus","Agelaius_phoeniceus",57.7,NA,13.5,173,8.48104392516665,84.4088986648407,"Winter",2399,13.65,190,8.76974316461903,79.9185324456843,13.72,204.4,8.5322998149935,81.9921560092017,"M","Adult"
"ad","male",10,-78.49483,44.44652,1937,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",62,NA,6.5,747,10.3391137302611,27.5199652709467,"Fall",3372,5.9,750,10.793792503433,34.3459668951334,5.62,729.8,11.0895744623568,36.4970748496075,"M","Adult"
"ad","female",1,-106.1259166667,35.9037833333,2007,"Agelaius phoeniceus","Agelaius_phoeniceus",40,NA,11.7,286,9.17045651684106,78.5947921832217,"Winter",1503,11.7,283.5,8.75863568466764,100.261433461374,11.76,246.8,8.54730881885298,75.6090848796819,"F","Adult"
"ad","male",6,-120.5881808,35.1185856,1969,"Agelaius phoeniceus neutralis","Agelaius_phoeniceus",61.6,230,13.6,661,2.1884510919411,172.758475351773,"Summer",1889,13.7,483.5,2.12562647615623,133.285556218636,13.54,426,2.44087767145652,131.574140265063,"M","Adult"
"ad","male",7,-77.27931,43.96989,1930,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",63,NA,7.7,613,10.1010200505001,37.744229913391,"Summer",3120,7.5,693.5,10.0651004795386,38.6813123817818,7.26,769,9.88199211525691,37.7999491615194,"M","Adult"
"ad","male",6,-87.72961,52.24829,1939,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",69,NA,-2,684,14.3413578664834,57.1658407777492,"Summer",2777,-1.3,692.5,13.9852174800591,60.3568531810518,-1.76,657.2,14.4644618806139,52.262236921312,"M","Adult"
"ad","female",5,-80.24294,42.5613,1928,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",49,NA,9.2,821,9.33141890539048,43.0734582008226,"Spring",2770,9.2,872.5,9.03908577477701,49.8642811695232,8.46,867,9.50021644741583,47.6554820114866,"F","Adult"
"ad","male",6,-93.63727,52.84037,1938,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",71.5,NA,0,617,13.8670636598183,60.9325865622278,"Summer",3377,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"M","Adult"
"ad","male",7,-93.63727,52.84037,1938,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",63.1,NA,0,617,13.8670636598183,60.9325865622278,"Summer",3383,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"M","Adult"
"ad","female",4,-82.50596,41.90342,1911,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",45,NA,10.6,981,9.76789344865322,49.5351060305829,"Spring",3133,10.1,902.5,9.96069668384946,47.7127629842545,9.78,830.2,9.78779357816804,44.2097774912793,"F","Adult"
"ad","female",2,-103.56965,35.1249,2008,"Agelaius phoeniceus","Agelaius_phoeniceus",52,NA,14.9,424,8.46158431328963,121.154559049001,"Winter",1508,14.8,365,8.74941523734701,95.6918024612761,14.9,419.6,8.48385536043012,88.2060077590025,"F","Adult"
"ad","male",6,-93.63727,52.84037,1938,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",72.7,NA,0,617,13.8670636598183,60.9325865622278,"Summer",3127,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"M","Adult"
"ad","female",1,-79.16165,43.8875,1955,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",50,NA,8.1,723,11.1276443911984,44.655476974883,"Winter",3132,7.75,825.5,10.4589728572234,43.5557642919594,7.94,821.2,9.86134293969863,38.9761564092279,"F","Adult"
"ad","male",11,-79.09086,43.81788,1947,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",80,NA,7.7,800,10.665137200953,42.8900483046479,"Fall",3369,8,747.5,10.1185487572057,38.3780026079107,7.54,808.2,10.4141574761224,39.3380758845159,"M","Adult"
"ad","male",4,-76.69664,44.48616,2004,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",66,NA,6.5,873,10.9693650544127,42.9334273643948,"Spring",2741,6.45,881.5,10.9956770478043,40.2879522016881,6.98,887.8,10.5310052943569,36.2602750740584,"M","Adult"
"ad","male",8,-77.7106,44.00201,1968,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",64.1,NA,7.3,788,10.9407599038059,45.7038449592175,"Summer",2747,7.3,772,10.5425335797264,42.0639547022396,7.4,747.2,10.1681330026458,42.2187975518752,"M","Adult"
"ad","male",6,-105.262222,50.6855338,1968,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",68.7,NA,3.1,330,12.2193587095529,106.090983449803,"Summer",1878,2.7,349,12.8472984716186,84.4663647457315,2.22,369.6,13.4602261219411,84.0549904934919,"M","Adult"
"ad","female",6,-93.63727,52.84037,1938,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",51.5,NA,0,617,13.8670636598183,60.9325865622278,"Summer",3125,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"F","Adult"
"ad","male",7,-94.98538,49.92533,1947,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",72,NA,1.5,627,13.7663181407199,61.9181824825118,"Summer",3136,1.65,581.5,13.6319243895375,56.4339738515301,1.7,624.8,13.3965225901207,62.4381750312174,"M","Adult"
"ad","female",2,-103.56965,35.1249,2008,"Agelaius phoeniceus","Agelaius_phoeniceus",48.5,NA,14.9,424,8.46158431328963,121.154559049001,"Winter",2396,14.8,365,8.74941523734701,95.6918024612761,14.9,419.6,8.48385536043012,88.2060077590025,"F","Adult"
"ad","female",7,-77.27931,43.96989,1930,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",40,NA,7.7,613,10.1010200505001,37.744229913391,"Summer",3374,7.5,693.5,10.0651004795386,38.6813123817818,7.26,769,9.88199211525691,37.7999491615194,"F","Adult"
"ad","male",7,-82.30981,55.10216,1948,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",78,NA,-2.7,404,14.374438065433,68.3970100473345,"Summer",1934,-3.05,420.5,13.3485291551047,72.9154396617905,-3.8,431.4,13.1405992197897,65.2914187277893,"M","Adult"
"ad","male",4,-81.65603,45.81088,1949,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",65.5,NA,5.8,741,10.0648917259226,35.3167997800149,"Spring",2791,5.55,717,10.4428665042009,38.3973065628006,5.28,764.8,10.4279200753149,40.7104438017036,"M","Adult"
"ad","female",2,-103.56965,35.1249,2008,"Agelaius phoeniceus","Agelaius_phoeniceus",45.6,NA,14.9,424,8.46158431328963,121.154559049001,"Winter",2394,14.8,365,8.74941523734701,95.6918024612761,14.9,419.6,8.48385536043012,88.2060077590025,"F","Adult"
"ad","male",7,-93.82525,48.90185,1929,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",75,NA,1.5,422,14.4096558535651,41.9524409763164,"Summer",1911,2.35,500,13.1249976110829,65.4472626640909,2.02,607.6,13.0352037495651,65.4328235467905,"M","Adult"
"ad","male",10,-89.99647,48.21964,1942,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",75,NA,2.4,729,11.0050780289938,49.6468705001266,"Fall",1923,2.75,815.5,11.2869665810524,61.3052182319715,2.5,769.2,11.5780798936045,54.629587264272,"M","Adult"
"ad","male",6,-78.48,45.57872,1945,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",66.1,NA,3.8,842,11.3962879389685,33.8670121179428,"Summer",2785,3.95,806,11.4982011139258,44.2314792536645,3.68,798.6,11.5976558443174,45.2133972670156,"M","Adult"
"ad","male",5,-120.849693,35.3468819,1972,"Agelaius phoeniceus neutralis","Agelaius_phoeniceus",70,NA,13.1,236,2.12280189343892,165.175433324301,"Spring",2757,12.7,248.5,2.36270419789312,152.419441623456,12.96,380.4,2.11382040791251,139.183399598374,"M","Adult"
"ad","male",6,-105.2394427,50.6855338,1968,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",75.1,NA,3.1,329,12.2299526746526,106.090983449803,"Summer",2743,2.7,347.5,12.8641892544004,84.5599203979574,2.22,369.4,13.4738899441801,84.323012984203,"M","Adult"
"ad","male",6,-105.262222,50.6855338,1968,"Agelaius phoeniceus arctolegus","Agelaius_phoeniceus",76.8,NA,3.1,330,12.2193587095529,106.090983449803,"Summer",2742,2.7,349,12.8472984716186,84.4663647457315,2.22,369.6,13.4602261219411,84.0549904934919,"M","Adult"
"ad","female",4,-80.39645,42.58314,1922,"Agelaius phoeniceus phoeniceus","Agelaius_phoeniceus",41.8,NA,9.5,799,9.81533663881853,30.0133592454079,"Spring",3116,10,834,9.70782614509741,33.347560435098,8.98,822.6,10.0720651876124,36.5505051482931,"F","Adult"
