"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","male",9,-109.36992,38.63789,2007,"Ammospermophilus leucurus","Ammospermophilus_leucurus",107,224,12,281,10.6072730908675,55.3281590511915,"Fall",3845,11.85,304,10.1707027390799,82.0562221229598,11.82,305.8,9.96288719249844,69.7127248232143,"M","Adult"
"adult","male",9,-116.095869,36.798842,2009,"Ammospermophilus leucurus","Ammospermophilus_leucurus",85,212,16.3,106,8.75343655458538,165.265850931855,"Fall",3949,16.4,108,8.81602275462067,135.550072657467,16.56,156,8.65680811355213,114.686630052692,"M","Adult"
"adult","female",9,-116.095869,36.798842,2009,"Ammospermophilus leucurus","Ammospermophilus_leucurus",62,183,16.3,106,8.75343655458538,165.265850931855,"Fall",3846,16.4,108,8.81602275462067,135.550072657467,16.56,156,8.65680811355213,114.686630052692,"F","Adult"
"adult","male",9,-116.095869,36.798842,2009,"Ammospermophilus leucurus","Ammospermophilus_leucurus",75,194,16.3,106,8.75343655458538,165.265850931855,"Fall",3948,16.4,108,8.81602275462067,135.550072657467,16.56,156,8.65680811355213,114.686630052692,"M","Adult"
"adult","male",9,-116.191694,37.117293,2009,"Ammospermophilus leucurus","Ammospermophilus_leucurus",72,194,12,140,8.33475290939126,130.795748566217,"Fall",3847,12.15,140.5,8.41592344339088,124.763725301698,12.38,208.8,8.25340068467617,113.735832212929,"M","Adult"
"ADULT","male",8,-118.92,42.04,1998,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",94.1,202,9.1,319,8.13974536121705,64.4529265969931,"Summer",4094,9.2,262.5,7.99941309632992,76.0450423136296,9.54,258.8,7.83328194290315,74.0773582070276,"M","Adult"
"ADULT","male",8,-118.92,42.04,1998,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",84.3,187,9.1,319,8.13974536121705,64.4529265969931,"Summer",4006,9.2,262.5,7.99941309632992,76.0450423136296,9.54,258.8,7.83328194290315,74.0773582070276,"M","Adult"
"unknown","female",4,-117.17516,34.92274,1964,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",128,205,17.1,72,8.30339014371768,85.4112952610606,"Spring",3900,17.35,111,8.0435182794041,105.639956816596,17.78,87.8,8.23063355018414,118.379559537418,"F","NS"
"unknown","male",8,-114.83167,35.97861,1964,"Ammospermophilus leucurus","Ammospermophilus_leucurus",66.4,199,18.5,46,9.45843779144027,73.8548945875996,"Summer",3911,18.95,81.5,9.05730502534539,86.9408935761458,19.18,95.8,9.13437573743735,96.478609293544,"M","NS"
"unknown","undetermined",7,-118.4725,40.17944,1964,"Ammospermophilus leucurus","Ammospermophilus_leucurus",51.7,123,9.7,126,8.39849824238076,78.6900341539641,"Summer",3899,10,174.5,8.39575515344958,76.0837396824543,10.14,147.2,8.72003523724024,80.848147680603,"NS","NS"
"unknown","female",7,-114.79306,36.03556,1963,"Ammospermophilus leucurus","Ammospermophilus_leucurus",90.5,224,20.5,102,9.0602863022527,93.6527871452596,"Summer",3906,20.6,88.5,9.1159971411899,99.6864145542923,20.5,101,9.42871034411753,100.18009352165,"F","NS"
"unknown","female",7,-114.79306,36.03556,1963,"Ammospermophilus leucurus","Ammospermophilus_leucurus",75,214,20.5,102,9.0602863022527,93.6527871452596,"Summer",3905,20.6,88.5,9.1159971411899,99.6864145542923,20.5,101,9.42871034411753,100.18009352165,"F","NS"
"unknown","female",7,-114.79598,36.06564,1963,"Ammospermophilus leucurus","Ammospermophilus_leucurus",81.8,209,20.6,109,9.07141698196076,100.289588206501,"Summer",3998,20.7,93.5,9.12636723753002,105.274354448712,20.62,103.8,9.43595505826653,101.794821061627,"F","NS"
"unknown","female",11,-114.42944,36.30556,1963,"Ammospermophilus leucurus","Ammospermophilus_leucurus",99.1,214,20.1,116,9.22606239263139,77.5113481042109,"Fall",3910,20.2,102.5,9.26903701155209,85.4147215738356,20.18,124.6,9.55832202551591,94.4912971303934,"F","NS"
"unknown","female",7,-114.79306,36.03556,1963,"Ammospermophilus leucurus","Ammospermophilus_leucurus",57.1,198,20.5,102,9.0602863022527,93.6527871452596,"Summer",3997,20.6,88.5,9.1159971411899,99.6864145542923,20.5,101,9.42871034411753,100.18009352165,"F","NS"
"unknown","female",11,-114.81383,36.05113,1963,"Ammospermophilus leucurus","Ammospermophilus_leucurus",102.1,219,20.6,105,9.03739705084077,99.2609996099237,"Fall",3908,20.7,89.5,9.09662646745095,102.044184743306,20.62,99.8,9.39856285973078,100.65614318943,"F","NS"
"unknown","female",11,-114.81383,36.05113,1963,"Ammospermophilus leucurus","Ammospermophilus_leucurus",80.6,207,20.6,105,9.03739705084077,99.2609996099237,"Fall",3909,20.7,89.5,9.09662646745095,102.044184743306,20.62,99.8,9.39856285973078,100.65614318943,"F","NS"
"unknown","female",7,-114.79306,36.03556,1963,"Ammospermophilus leucurus","Ammospermophilus_leucurus",101.2,218,20.5,102,9.0602863022527,93.6527871452596,"Summer",3904,20.6,88.5,9.1159971411899,99.6864145542923,20.5,101,9.42871034411753,100.18009352165,"F","NS"
"unknown","undetermined",7,-118.4725,40.17944,1964,"Ammospermophilus leucurus","Ammospermophilus_leucurus",98.65,157,9.7,126,8.39849824238076,78.6900341539641,"Summer",3994,10,174.5,8.39575515344958,76.0837396824543,10.14,147.2,8.72003523724024,80.848147680603,"NS","NS"
"unknown","male",3,-117.8503202,34.6564753,1967,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",118,200,16.1,155,8.41644764191466,114.946570572531,"Spring",3995,16.2,129.5,8.2164728908207,133.984997798926,15.92,139.4,7.81058666860607,122.10177567713,"M","NS"
"unknown","undetermined",7,-118.4725,40.17944,1964,"Ammospermophilus leucurus","Ammospermophilus_leucurus",101.3,151,9.7,126,8.39849824238076,78.6900341539641,"Summer",3897,10,174.5,8.39575515344958,76.0837396824543,10.14,147.2,8.72003523724024,80.848147680603,"NS","NS"
"unknown","male",11,-114.81383,36.05113,1963,"Ammospermophilus leucurus","Ammospermophilus_leucurus",103.7,219,20.6,105,9.03739705084077,99.2609996099237,"Fall",3907,20.7,89.5,9.09662646745095,102.044184743306,20.62,99.8,9.39856285973078,100.65614318943,"M","NS"
"unknown","female",3,-117.8503202,34.6564753,1967,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",90.8,202,16.1,155,8.41644764191466,114.946570572531,"Spring",3901,16.2,129.5,8.2164728908207,133.984997798926,15.92,139.4,7.81058666860607,122.10177567713,"F","NS"
"unknown","male",11,-114.42944,36.30556,1963,"Ammospermophilus leucurus","Ammospermophilus_leucurus",107.4,208,20.1,116,9.22606239263139,77.5113481042109,"Fall",3999,20.2,102.5,9.26903701155209,85.4147215738356,20.18,124.6,9.55832202551591,94.4912971303934,"M","NS"
"unknown","undetermined",5,-117.2333333,37.0666667,1964,"Ammospermophilus leucurus","Ammospermophilus_leucurus",97.5,154,13.7,110,8.49827076884504,171.786039234079,"Spring",4172,13.85,133,8.29618818413201,141.634425609963,14.24,101,8.51627874314708,119.43215891741,"NS","NS"
"unknown","male",3,-117.8503202,34.6564753,1967,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",116,216,16.1,155,8.41644764191466,114.946570572531,"Spring",3902,16.2,129.5,8.2164728908207,133.984997798926,15.92,139.4,7.81058666860607,122.10177567713,"M","NS"
"unknown","female",7,-117.3648059,34.3757004,1965,"Ammospermophilus leucurus leucurus","Ammospermophilus_leucurus",96,195,14.2,418,6.11408582328916,143.325393620045,"Summer",3996,14.2,299.5,6.47972516214327,120.534521319235,14.62,254.6,6.48290378831045,131.623855089187,"F","NS"
"unknown","male",7,-114.79306,36.03556,1963,"Ammospermophilus leucurus","Ammospermophilus_leucurus",98.9,218,20.5,102,9.0602863022527,93.6527871452596,"Summer",3903,20.6,88.5,9.1159971411899,99.6864145542923,20.5,101,9.42871034411753,100.18009352165,"M","NS"
"unknown","male",1,-117.57139,34.42611,1967,"Ammospermophilus leucurus","Ammospermophilus_leucurus",124,219,13.8,303,7.549608659334,99.5359562281007,"Winter",3912,13.9,261.5,7.32751349652015,135.936090843702,13.64,276.4,6.97835973576014,120.139371995841,"M","NS"
"unknown","undetermined",8,-118.4725,40.17944,1964,"Ammospermophilus leucurus","Ammospermophilus_leucurus",89.5,152,9.7,126,8.39849824238076,78.6900341539641,"Summer",4000,10,174.5,8.39575515344958,76.0837396824543,10.14,147.2,8.72003523724024,80.848147680603,"NS","NS"
