"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"4711","male",12,-121.2137,37.2959,1943,"Aphelocoma californica superciliosa","Aphelocoma_californica",91.7,NA,15.7,266,5.2213068722826,128.644213868355,"Winter",4915,15.65,281.5,5.42510141474073,110.588513578995,16,342.6,5.43096072411897,112.048277859073,"M","NS"
"ad","male",4,-109.6833,23.05,1929,"Aphelocoma californica hypoleuca","Aphelocoma_californica",84,NA,22.9,181,3.69913994918229,118.983515716679,"Spring",5239,23.2,186.5,3.48707431185119,129.929153212592,23.26,215.2,3.47435611981143,131.336291214039,"M","Adult"
"ad","male",5,-117.22,38.95,1930,"Aphelocoma californica nevadae","Aphelocoma_californica",85.4,NA,8.5,193,8.91510040052916,90.4141355601596,"Spring",5244,8.65,167.5,8.99704648456215,78.7196249079134,9.24,129.4,8.72268860386077,70.7660470025088,"M","Adult"
"ad","male",6,-109.7747222,23.441944,1929,"Aphelocoma californica hypoleuca","Aphelocoma_californica",82.6,NA,22.5,318,4.72709789886507,128.387621440706,"Summer",5617,22.85,330.5,4.52261633367439,144.661191070927,22.88,375.2,4.4934048962376,147.722442579913,"M","Adult"
"ad","female",9,-105.9350204,35.6868439,2007,"Aphelocoma californica","Aphelocoma_californica",62.3,NA,10,384,8.70246830189312,75.4145682949759,"Fall",4994,10.05,374,8.29092149433263,89.6063715761974,10.12,339.2,8.09685930872276,70.2104861252974,"F","Adult"
"ad.","female",4,-97.36,19.0694444444,1948,"Aphelocoma californica sumichrasti","Aphelocoma_californica",103,NA,12.3,946,1.50280041619275,90.9060294982737,"Spring",4384,12.15,1021.5,1.52064816827724,86.1978937881671,12.06,969,1.65451962283244,92.3946158445486,"F","Adult"
"ad.","male",6,-109.7747222,23.441944,1929,"Aphelocoma californica hypoleuca","Aphelocoma_californica",95.3,NA,22.5,318,4.72709789886507,128.387621440706,"Summer",5733,22.85,330.5,4.52261633367439,144.661191070927,22.88,375.2,4.4934048962376,147.722442579913,"M","Adult"
"ad.","female",10,-119.4641,36.7166,1916,"Aphelocoma californica superciliosa","Aphelocoma_californica",89,NA,17.1,414,7.34171869069725,145.650371320593,"Fall",4536,17.25,381,7.14834918804559,133.199115051419,17.16,307.8,7.06892921111856,139.488999343225,"F","Adult"
"ad.","male",6,-106.770421,29.485097,1959,"Aphelocoma californica grisea","Aphelocoma_californica",83.5,NA,12.5,463,6.20212573529138,151.806493038029,"Summer",5064,12.3,551.5,6.56567837388308,126.668554008134,12.3,484.2,6.35139621654642,139.780285664922,"M","Adult"
"ad.","male",1,-116.314836,31.937312,1927,"Aphelocoma californica obscura","Aphelocoma_californica",70.6,NA,15.3,455,4.52246915663637,124.18475849601,"Winter",4606,15.65,434.5,4.50191815231695,130.538724981772,15.32,354.8,4.56781904290662,124.536609052513,"M","Adult"
"ad.","male",10,-115.9072222,32.053333,1926,"Aphelocoma californica obscura","Aphelocoma_californica",77,NA,13,411,5.31745980594859,122.322450490065,"Fall",5604,12.7,399.5,5.34175736530791,117.217201804109,12.26,403.2,5.57536607190116,111.260030051029,"M","Adult"
"ad.","male",2,-121.898014,36.57092,1919,"Aphelocoma californica californica","Aphelocoma_californica",90.8,NA,11.7,407,2.0042946314594,151.109017656632,"Winter",4567,11.95,422,2.24585877013469,134.959472955799,11.82,466.2,2.26335071193114,143.95814261362,"M","Adult"
"ad.","male",11,-116.35,32.6,1927,"Aphelocoma californica obscura","Aphelocoma_californica",80.5,NA,13.6,713,5.21695226248917,130.774518605179,"Fall",4613,13.75,643.5,5.13057167049184,139.710635670721,13.24,538.4,5.23963295740332,125.136734876021,"M","Adult"
"ad.","female",11,-122.9958052,39.048691,1952,"Aphelocoma californica superciliosa","Aphelocoma_californica",78.9,NA,13.9,1209,6.74367829672331,139.783647027084,"Fall",5083,13.95,1142.5,6.49347369979898,127.367858233135,13.78,1036.8,6.50320967134366,127.962656301555,"F","Adult"
"ad.","female",9,-119.4786489,35.3496795,1947,"Aphelocoma californica superciliosa","Aphelocoma_californica",86.2,NA,17.3,53,7.6931295598243,85.5430923625864,"Fall",5034,17.1,90.5,7.71351879222382,93.8605393918932,17.34,137,7.42725247826863,113.650977743356,"F","Adult"
"ad.","male",8,-116.39528,34.05639,1950,"Aphelocoma californica obscura","Aphelocoma_californica",65.5,NA,14.3,82,5.90174601796842,107.145599754757,"Summer",5048,13.85,124,6.68160888163925,157.974976441103,13.76,135,6.73128791888178,146.493395355064,"M","Adult"
"ad.","male",1,-116.314836,31.937312,1927,"Aphelocoma californica obscura","Aphelocoma_californica",73.8,NA,15.3,455,4.52246915663637,124.18475849601,"Winter",4607,15.65,434.5,4.50191815231695,130.538724981772,15.32,354.8,4.56781904290662,124.536609052513,"M","Adult"
"ad.","male",6,-120.14187,37.73845,1915,"Aphelocoma californica superciliosa","Aphelocoma_californica",102.5,NA,13.6,972,6.59859948409624,126.927396722398,"Summer",4526,13.35,1012.5,6.51513120058213,146.174700355127,12.94,926.6,6.74408886770581,134.051427601115,"M","Adult"
"ad.","male",9,-115.37139,37.67111,1934,"Aphelocoma californica nevadae","Aphelocoma_californica",79.5,NA,10,260,7.26028528532057,53.0279174778461,"Fall",4639,9,264.5,8.28338361161424,74.5246705998309,8.28,320.2,8.64712373143371,79.1654871995993,"M","Adult"
"ad.","female",8,-116.39528,34.05639,1950,"Aphelocoma californica obscura","Aphelocoma_californica",76.5,NA,14.3,82,5.90174601796842,107.145599754757,"Summer",4425,13.85,124,6.68160888163925,157.974976441103,13.76,135,6.73128791888178,146.493395355064,"F","Adult"
"ad.","male",5,-117.23,38.89,1930,"Aphelocoma californica nevadae","Aphelocoma_californica",78.2,NA,8.2,204,8.83386647905078,88.3383599642939,"Spring",5243,8.4,178,8.93169857790191,77.252372205019,8.98,138.8,8.66272975514833,70.9304238603823,"M","Adult"
"ad.","male",10,-115.864167,32.288333,1926,"Aphelocoma californica obscura","Aphelocoma_californica",93.4,NA,16.9,304,5.85312659260766,129.574444396434,"Fall",4605,16.6,293,5.87130694414742,123.376056880658,16.16,275.2,6.07811171355236,112.021227572224,"M","Adult"
"ad.","female",12,-118.21,35.37,1933,"Aphelocoma californica superciliosa","Aphelocoma_californica",81.8,NA,13.3,200,8.08130558758917,160.922341519132,"Winter",4638,13.2,192,8.05863085835302,142.703284879159,14.02,200,7.59297781645516,130.48417463179,"F","Adult"
"ad.","female",1,-116.314836,31.937312,1927,"Aphelocoma californica obscura","Aphelocoma_californica",67.7,NA,15.3,455,4.52246915663637,124.18475849601,"Winter",4608,15.65,434.5,4.50191815231695,130.538724981772,15.32,354.8,4.56781904290662,124.536609052513,"F","Adult"
"ad.","female",8,-116.39528,34.05639,1950,"Aphelocoma californica obscura","Aphelocoma_californica",65.5,NA,14.3,82,5.90174601796842,107.145599754757,"Summer",4421,13.85,124,6.68160888163925,157.974976441103,13.76,135,6.73128791888178,146.493395355064,"F","Adult"
