"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","female",8,-118.9833333,37.65,1916,"Aplodontia rufa californica","Aplodontia_rufa",1360.8,NA,4.3,959,7.54563389710175,149.088493985413,"Summer",5869,4.35,803.5,7.01471827993409,138.819274665638,3.64,691.4,6.80670601345941,136.248791334101,"F","Adult"
"adult","male",1,-124.1890805556,42.0573888889,2009,"Aplodontia rufa pacifica","Aplodontia_rufa",1020,320,11.1,1769,5.34032685414394,77.7172493726926,"Winter",5909,10.9,1815.5,5.36548766123615,92.4749107086363,11.08,2167,5.08226953213899,93.0859410947807,"M","Adult"
"adult","female",5,-123.5823212,44.5023422,1977,"Aplodontia rufa pacifica","Aplodontia_rufa",718.5,329,9.8,2738,5.21193269567465,97.807253124396,"Spring",5805,9.7,2339.5,5.28241738447431,98.5618850208878,9.72,2915.6,5.30987845202751,98.2341548761123,"F","Adult"
"adult","male",1,-124.1890805556,42.0573888889,2009,"Aplodontia rufa pacifica","Aplodontia_rufa",940,305,11.1,1769,5.34032685414394,77.7172493726926,"Winter",5870,10.9,1815.5,5.36548766123615,92.4749107086363,11.08,2167,5.08226953213899,93.0859410947807,"M","Adult"
"adult","female",1,-122.5083333333,44.4333333333,2009,"Aplodontia rufa pacifica","Aplodontia_rufa",1200,333,10.7,1687,6.66237740804833,60.9576261457043,"Winter",5910,10.55,1736.5,6.38556956178281,68.1866280871168,10.76,1831.2,6.03660198331031,75.5034538707887,"F","Adult"
"adult","male",8,-118.9833333,37.65,1916,"Aplodontia rufa californica","Aplodontia_rufa",1474.18,NA,4.3,959,7.54563389710175,149.088493985413,"Summer",5867,4.35,803.5,7.01471827993409,138.819274665638,3.64,691.4,6.80670601345941,136.248791334101,"M","Adult"
"adult","female",1,-124.1890805556,42.0573888889,2009,"Aplodontia rufa pacifica","Aplodontia_rufa",1000,310,11.1,1769,5.34032685414394,77.7172493726926,"Winter",5872,10.9,1815.5,5.36548766123615,92.4749107086363,11.08,2167,5.08226953213899,93.0859410947807,"F","Adult"
"adult","male",8,-118.9833333,37.65,1916,"Aplodontia rufa californica","Aplodontia_rufa",1360.8,NA,4.3,959,7.54563389710175,149.088493985413,"Summer",5908,4.35,803.5,7.01471827993409,138.819274665638,3.64,691.4,6.80670601345941,136.248791334101,"M","Adult"
"adult","female",8,-118.9833333,37.65,1916,"Aplodontia rufa californica","Aplodontia_rufa",1361,NA,4.3,959,7.54563389710175,149.088493985413,"Summer",5903,4.35,803.5,7.01471827993409,138.819274665638,3.64,691.4,6.80670601345941,136.248791334101,"F","Adult"
"adult","female",7,-118.9833333,37.65,1916,"Aplodontia rufa californica","Aplodontia_rufa",1474.18,NA,4.3,959,7.54563389710175,149.088493985413,"Summer",5902,4.35,803.5,7.01471827993409,138.819274665638,3.64,691.4,6.80670601345941,136.248791334101,"F","Adult"
