"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"ad","male",5,-103.8331449,30.3941115,1968,"Auriparus flaviceps ornatus","Auriparus_flaviceps",7.3,NA,14.2,586,6.55290821396165,85.4457713336821,"Spring",6401,14.55,501.5,6.44144967880979,104.354514209078,14.82,418.4,6.82457713324525,104.540263398674,"M","Adult"
"ad","female",12,-106.5636063,31.9102046,1973,"Auriparus flaviceps ornatus","Auriparus_flaviceps",7.5,NA,16.4,198,7.74371690566949,115.062524270127,"Winter",6324,16.9,237.5,7.53095877279253,112.72442305686,17.22,193.6,7.67644548755039,105.376057542561,"F","Adult"
"ad","male",5,-103.1671142,29.3082557,1967,"Auriparus flaviceps ornatus","Auriparus_flaviceps",7.2,NA,18.7,265,7.0796550164196,105.129296782011,"Spring",6409,18.45,304.5,7.45716223524505,103.488436682659,18.76,265.4,7.55254606440081,89.1024716480845,"M","Adult"
"ad","male",5,-112.2367553,34.3033628,1969,"Auriparus flaviceps ornatus","Auriparus_flaviceps",7.4,NA,17,408,8.13359568628038,73.7203477316029,"Spring",6405,16.85,365.5,7.92284386323525,78.3881851513796,16.84,457.6,7.87808054817391,88.2957120556976,"M","Adult"
"ad","female",5,-103.1671142,29.3082557,1967,"Auriparus flaviceps ornatus","Auriparus_flaviceps",6,115,18.7,265,7.0796550164196,105.129296782011,"Spring",6410,18.45,304.5,7.45716223524505,103.488436682659,18.76,265.4,7.55254606440081,89.1024716480845,"F","Adult"
"ad","male",5,-104.952119,25.6203535,1971,"Auriparus flaviceps ornatus","Auriparus_flaviceps",6.9,NA,19.7,383,4.14319449290769,132.972041341058,"Spring",6440,19.55,351.5,4.38444017761939,148.829841614088,19.64,316.6,4.64528650312927,145.359092629559,"M","Adult"
"ad","male",5,-103.1671142,29.3082557,1968,"Auriparus flaviceps ornatus","Auriparus_flaviceps",7.1,NA,17.9,387,7.20414443009695,65.3526496742499,"Spring",6321,18.3,326,7.14189972325828,85.2409732281305,18.56,280,7.43047554692216,86.4665771085771,"M","Adult"
"ad","female",5,-112.2367553,34.3033628,1969,"Auriparus flaviceps ornatus","Auriparus_flaviceps",7.2,108,17,408,8.13359568628038,73.7203477316029,"Spring",6403,16.85,365.5,7.92284386323525,78.3881851513796,16.84,457.6,7.87808054817391,88.2957120556976,"F","Adult"
"ad","male",12,-103.1671142,29.3082557,1979,"Auriparus flaviceps ornatus","Auriparus_flaviceps",8,NA,18,322,7.38624335566402,98.0315914890885,"Winter",6408,18.4,390.5,7.42556289294075,101.174288624202,18.44,331.2,7.2004552045258,92.0936165079708,"M","Adult"
"ad","female",5,-112.2367553,34.3033628,1969,"Auriparus flaviceps ornatus","Auriparus_flaviceps",7.4,114,17,408,8.13359568628038,73.7203477316029,"Spring",6404,16.85,365.5,7.92284386323525,78.3881851513796,16.84,457.6,7.87808054817391,88.2957120556976,"F","Adult"
"ad","female",4,-112.2576561,34.2581237,1970,"Auriparus flaviceps ornatus","Auriparus_flaviceps",7.8,NA,15.9,454,7.8643422349157,130.954223360873,"Spring",6406,16.05,440,8.01951994702273,102.573876389092,16.04,415.2,7.98620156921762,99.6974095376682,"F","Adult"
"ad.","male",10,-115.7392497,33.7010716,1945,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.5,NA,16.9,263,7.64953949891459,195.172119846486,"Fall",6400,16.65,189.5,7.62986999502086,159.824695189463,17.12,205.8,7.34721883232412,141.161924485861,"M","Adult"
"ad.","male",9,-115.8090522,33.7365557,1950,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",7.2,NA,17,47,6.75875974815893,129.246065528299,"Fall",6275,16.45,77,7.54457658448387,179.029208731416,16.36,77.2,7.62507769107351,168.437460956048,"M","Adult"
"ad.","male",4,-112.2222222,27.224722,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",6.7,NA,23.3,88,5.61477353222566,106.699180718167,"Spring",6434,23.55,84.5,5.52986266132292,107.103788497767,23.54,98.8,5.4541944813222,114.797422302528,"M","Adult"
"ad.","female",12,-115.43194,34.9890368,1937,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.4,NA,15.2,132,8.79550074375151,108.815078285175,"Winter",6392,15.4,202.5,8.36825717106704,104.092968279429,15.3,168,8.03861877885115,106.204123633641,"F","Adult"
"ad.","female",11,-115.7230556,31.4,1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.7,NA,16.2,268,4.77762303014604,130.711659266751,"Fall",6427,15.95,254.5,4.7281328359745,123.563532134892,15.58,246,4.9670964603943,109.015984137314,"F","Adult"
"ad.","female",10,-110.2233333,23.441667,1928,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",6.7,NA,22.4,133,3.35381962255069,121.078314185869,"Fall",6491,22.15,153.5,3.43252849700895,130.927678428444,22.1,169,3.49188162361568,123.854622899895,"F","Adult"
"ad.","female",11,-115.7230556,31.4,1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",5.9,NA,16.2,268,4.77762303014604,130.711659266751,"Fall",6487,15.95,254.5,4.7281328359745,123.563532134892,15.58,246,4.9670964603943,109.015984137314,"F","Adult"
"ad.","female",1,-115.4207,35.1716,1938,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.9,NA,12.9,254,7.69030775283625,132.158136765635,"Winter",6313,13.15,195,8.20932228621751,124.12429244057,13.52,205.4,7.74788224787302,114.486156609254,"F","Adult"
"ad.","male",12,-115.43194,34.9890368,1937,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6,NA,15.2,132,8.79550074375151,108.815078285175,"Winter",6391,15.4,202.5,8.36825717106704,104.092968279429,15.3,168,8.03861877885115,106.204123633641,"M","Adult"
"ad.","male",6,-109.7747222,23.441944,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",5.5,NA,22.5,318,4.72709789886507,128.387621440706,"Summer",6436,22.85,330.5,4.52261633367439,144.661191070927,22.88,375.2,4.4934048962376,147.722442579913,"M","Adult"
"ad.","male",5,-115.266667,30.866667,1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",5.8,NA,16.1,229,4.85095273366402,118.032658763523,"Spring",6362,15.95,239,4.67456288173426,116.06770557661,15.56,225,4.95282441316217,105.64431798134,"M","Adult"
"ad.","male",10,-116.8653,36.4572,1933,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.5,NA,22.9,15,10.6098439139691,60.3022689155527,"Fall",6381,22.95,21,10.388144136594,98.5626443090774,23.3,29,10.1546596789759,101.377617593084,"M","Adult"
"ad.","female",5,-115.266667,30.866667,1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",7,NA,16.1,229,4.85095273366402,118.032658763523,"Spring",6360,15.95,239,4.67456288173426,116.06770557661,15.56,225,4.95282441316217,105.64431798134,"F","Adult"
"ad.","female",5,-115.266667,30.866667,1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",7.2,NA,16.1,229,4.85095273366402,118.032658763523,"Spring",6365,15.95,239,4.67456288173426,116.06770557661,15.56,225,4.95282441316217,105.64431798134,"F","Adult"
"ad.","female",4,-109.6833,23.05,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",6.9,NA,22.9,181,3.69913994918229,118.983515716679,"Spring",6301,23.2,186.5,3.48707431185119,129.929153212592,23.26,215.2,3.47435611981143,131.336291214039,"F","Adult"
"ad.","male",6,-115.42361,34.93472,1938,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.7,NA,17,201,8.08382222826441,135.458816284105,"Summer",6394,17.25,159.5,8.56991112417075,120.894149743669,17.58,169.4,8.14608186826627,108.485982688316,"M","Adult"
"ad.","male",10,-114.7983333,32.579444,1927,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",7,NA,22.6,107,7.15147791464368,114.101181789438,"Fall",6429,22.7,121,7.28022794183288,129.217156544779,22.38,93.6,7.24159540256608,129.017952691639,"M","Adult"
"ad.","female",2,-110.3252778,24.148889,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",7,NA,23,141,4.46490523839855,110.019097519498,"Winter",6492,23.3,147,4.30401329568539,119.861110581937,23.32,179.8,4.26252362087092,123.131928271303,"F","Adult"
"ad.","male",5,-115.266667,30.866667,1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6,NA,16.1,229,4.85095273366402,118.032658763523,"Spring",6366,15.95,239,4.67456288173426,116.06770557661,15.56,225,4.95282441316217,105.64431798134,"M","Adult"
"ad.","female",4,-112.2222222,27.224722,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",8.3,NA,23.3,88,5.61477353222566,106.699180718167,"Spring",6493,23.55,84.5,5.52986266132292,107.103788497767,23.54,98.8,5.4541944813222,114.797422302528,"F","Adult"
"ad.","male",11,-115.7230556,31.4,1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",7.6,NA,16.2,268,4.77762303014604,130.711659266751,"Fall",6486,15.95,254.5,4.7281328359745,123.563532134892,15.58,246,4.9670964603943,109.015984137314,"M","Adult"
"ad.","male",9,-115.6895421,33.9355317,1950,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",5.77,NA,20.8,36,7.1079127908567,130.267789455786,"Fall",6340,20.3,55.5,7.9064613342451,169.503866027548,20.2,58.8,7.99930410724461,154.596063623608,"M","Adult"
"ad.","female",5,-110.3,24.15217,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",6.8,NA,22.8,157,4.49655592109285,112.548107955758,"Spring",6304,23.1,164,4.33485119884597,122.411887663094,23.12,198,4.3021440260042,124.57610074953,"F","Adult"
"ad.","female",4,-112.2222222,27.224722,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",7.5,NA,23.3,88,5.61477353222566,106.699180718167,"Spring",6495,23.55,84.5,5.52986266132292,107.103788497767,23.54,98.8,5.4541944813222,114.797422302528,"F","Adult"
"ad.","male",4,-112.2222222,27.224722,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",6.3,NA,23.3,88,5.61477353222566,106.699180718167,"Spring",6494,23.55,84.5,5.52986266132292,107.103788497767,23.54,98.8,5.4541944813222,114.797422302528,"M","Adult"
"ad.","male",6,-115.266667,30.866667,1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6,NA,16.1,229,4.85095273366402,118.032658763523,"Summer",6292,15.95,239,4.67456288173426,116.06770557661,15.56,225,4.95282441316217,105.64431798134,"M","Adult"
"ad.","male",11,-115.8008333,32.368333,1927,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",8.7,NA,21.6,153,6.26287764239701,130.466164725967,"Fall",6430,21.8,141,6.29791509139175,141.224004109048,21.44,117,6.31988081945175,140.902748625785,"M","Adult"
"ad.","male",4,-114.8667,31,1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.5,NA,21.3,85,5.24377697558706,168.172831604019,"Spring",6286,21.15,73.5,5.03760015907963,138.739988302012,20.74,64.8,5.27623182367572,127.755218477729,"M","Adult"
"ad.","male",6,-115.208333,30.866667,1926,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",7.1,NA,18.8,103,4.90228765398607,106.831415172652,"Summer",6291,18.6,115,4.70919340102543,126.015805022399,18.22,99,4.97499710885546,102.051687058984,"M","Adult"
"ad.","female",6,-115.2425,30.194167,1928,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",7.8,NA,18.1,103,4.54561893642126,80.9395635616722,"Summer",6431,17.9,172,4.45924752213221,90.0406766632536,17.78,163.4,4.53239920796412,103.175140007464,"F","Adult"
"ad.","male",10,-115.8090522,33.7365557,1945,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.3,NA,15.9,300,7.56030302423004,194.693231894318,"Fall",6399,15.7,212,7.57880557997547,159.889662612409,16.2,234.4,7.30081128383027,139.919469611935,"M","Adult"
"ad.","male",4,-112.2222222,27.224722,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",5.3,NA,23.3,88,5.61477353222566,106.699180718167,"Spring",6433,23.55,84.5,5.52986266132292,107.103788497767,23.54,98.8,5.4541944813222,114.797422302528,"M","Adult"
"ad.","male",6,-109.7747222,23.441944,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",6.7,NA,22.5,318,4.72709789886507,128.387621440706,"Summer",6497,22.85,330.5,4.52261633367439,144.661191070927,22.88,375.2,4.4934048962376,147.722442579913,"M","Adult"
"ad.","male",5,-109.6833,23.05,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",6.7,NA,22.9,181,3.69913994918229,118.983515716679,"Spring",6302,23.2,186.5,3.48707431185119,129.929153212592,23.26,215.2,3.47435611981143,131.336291214039,"M","Adult"
"ad.","female",9,-116.257,34.03749,1950,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.2,NA,15,75,6.33367024622207,105.057559980664,"Fall",6273,14.5,116.5,7.12694636657454,166.047429600926,14.42,132.2,7.20567335328599,153.136388158551,"F","Adult"
"ad.","female",4,-112.2222222,27.224722,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",7.6,NA,23.3,88,5.61477353222566,106.699180718167,"Spring",6435,23.55,84.5,5.52986266132292,107.103788497767,23.54,98.8,5.4541944813222,114.797422302528,"F","Adult"
"ad.","male",9,-115.8597138,33.9844415,1950,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.5,NA,18,54,7.04084942361791,168.841035219409,"Fall",6274,17.45,67,7.85199267971689,189.582200155677,17.34,74.2,7.96131160994788,161.077165963377,"M","Adult"
"ad.","female",1,-114.665762,32.735119,1934,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.2,NA,23.9,60,6.78547356601966,122.840487007927,"Winter",6383,23.1,69.5,7.55292872205506,126.469473401294,22.66,82.6,7.61955873645584,134.301599615081,"F","Adult"
"ad.","male",11,-110.2233333,23.441667,1928,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",8.3,NA,22.4,133,3.35381962255069,121.078314185869,"Fall",6432,22.15,153.5,3.43252849700895,130.927678428444,22.1,169,3.49188162361568,123.854622899895,"M","Adult"
"ad.","male",9,-116.257,34.03749,1950,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.6,NA,15,75,6.33367024622207,105.057559980664,"Fall",6271,14.5,116.5,7.12694636657454,166.047429600926,14.42,132.2,7.20567335328599,153.136388158551,"M","Adult"
"ad.","male",9,-115.8090522,33.7365557,1950,"Auriparus flaviceps acaciarum","Auriparus_flaviceps",6.8,NA,17,47,6.75875974815893,129.246065528299,"Fall",6342,16.45,77,7.54457658448387,179.029208731416,16.36,77.2,7.62507769107351,168.437460956048,"M","Adult"
"ad.","female",5,-109.6833,23.05,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",6.6,NA,22.9,181,3.69913994918229,118.983515716679,"Spring",6303,23.2,186.5,3.48707431185119,129.929153212592,23.26,215.2,3.47435611981143,131.336291214039,"F","Adult"
"ad.","male",5,-110.33,24.12,1929,"Auriparus flaviceps flaviceps","Auriparus_flaviceps",6.2,NA,22.9,146,4.4716192579287,109.533853749809,"Spring",6496,23.25,152.5,4.31242455365659,119.232405406153,23.28,185,4.27823172893952,122.521703484724,"M","Adult"
