"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"adult","male",11,-76.5094764,42.4381028,1941,"Blarina brevicauda","Blarina_brevicauda",18,123,9.6,683,10.4461787996928,46.2294395870154,"Fall",8785,8.75,771,10.3146302156298,40.9721119228409,9.24,800.4,10.0002732531334,42.6246974751901,"M","Adult"
"adult","female",11,-93.5833333,45.3,1924,"Blarina brevicauda brevicauda","Blarina_brevicauda",5,NA,5.3,725,12.3486810729901,89.8114480777122,"Fall",8951,6,640.5,12.4871866866204,86.7292060266799,6.72,653.2,12.547823135849,79.341473502361,"F","Adult"
"adult","male",11,-72.5251,44.8401,2009,"Blarina brevicauda","Blarina_brevicauda",16,123,4.7,1256,10.3011767494904,34.3329236304749,"Fall",8379,4.85,1303.5,10.2646269111189,38.9433108475355,5.14,1406.8,10.3982380491601,38.3078080170043,"M","Adult"
"adult","female",7,-76.451,42.4465,1959,"Blarina brevicauda","Blarina_brevicauda",17.7,115,8.8,995,10.6571465565259,47.9533739732762,"Summer",8470,7.95,1024.5,10.4674827103813,39.636310432857,8.18,949.2,10.0219326800628,46.3732517469432,"F","Adult"
"adult","female",9,-76.3652,42.4502,1939,"Blarina brevicauda talpoides","Blarina_brevicauda",17.8,NA,7.7,785,10.3876675131444,32.095335486546,"Fall",8233,7.9,848,9.98597339067378,42.0677087807681,7.44,933.8,10.1967936711486,42.398263295944,"F","Adult"
"adult","male",9,-62.5985,45.2217,2005,"Blarina brevicauda","Blarina_brevicauda",17,124,5.9,1287,9.10527652551314,36.2567740056881,"Fall",8349,5.45,1232.5,9.16075651079218,34.1967043405616,5.62,1240.8,9.04760061974583,30.4949173094466,"M","Adult"
"adult","female",8,-73.2792,42.7171,2003,"Blarina brevicauda","Blarina_brevicauda",16,126,5.5,1589,10.4774505342173,31.4743167394008,"Summer",8723,6.15,1478.5,9.75347172799221,32.6434356367384,6.26,1333.2,9.52834186496087,41.7109650205385,"F","Adult"
"adult","female",6,-79.406653,42.439706,1991,"Blarina brevicauda","Blarina_brevicauda",18.2,121,11,858,9.20281165863142,34.6128559411243,"Summer",8541,10.95,1021.5,8.49820667336482,34.8848407892337,10.28,983.6,9.21528296140092,41.1969039225873,"F","Adult"
"adult","female",11,-73.685,43.595,2009,"Blarina brevicauda","Blarina_brevicauda",15,120,6,1072,9.85001153667991,35.3574676377344,"Fall",8729,6.25,1235,9.82447041132686,40.1905736227206,6.58,1290.6,10.0431588088446,41.0751194458861,"F","Adult"
"adult","male",4,-93.5833333,45.3,1921,"Blarina brevicauda brevicauda","Blarina_brevicauda",7,NA,8.2,595,12.0249992124992,78.866536243584,"Spring",8863,7.3,682,12.3073553101822,83.2630958617673,6.28,693.8,12.5343201428997,75.975241071487,"M","Adult"
"adult","male",10,-76.5094764,42.4381028,1940,"Blarina brevicauda","Blarina_brevicauda",21,127,7.9,859,10.1830816315667,35.7147842586663,"Fall",8761,8.7,773.5,10.1940561640002,33.2091720701861,9.12,826,10.0405074798916,43.0519361925668,"M","Adult"
"adult","male",1,-76.5094764,42.4381028,1946,"Blarina brevicauda","Blarina_brevicauda",21,NA,10,854,8.7870902206279,55.5429434270567,"Winter",8865,9.6,955.5,9.5102660655091,48.1024421572107,9.28,914.8,10.0746687279989,47.1288823185272,"M","Adult"
"adult","female",11,-73.685,43.595,2009,"Blarina brevicauda","Blarina_brevicauda",16,123,6,1072,9.85001153667991,35.3574676377344,"Fall",8732,6.25,1235,9.82447041132686,40.1905736227206,6.58,1290.6,10.0431588088446,41.0751194458861,"F","Adult"
