"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad.","female",1,-121.835607,36.60922,1919,"Callipepla californica californica","Callipepla_californica",170.9,NA,11.7,339,1.95393929994736,149.535305151252,"Winter",11833,11.95,352.5,2.20383897200163,133.45401242547,11.8,387.8,2.23867997845233,144.503958931627,"F","Adult"
"ad.","female",8,-121.58112,36.488991,1976,"Callipepla californica californica","Callipepla_californica",183.2,NA,14.2,346,5.31564300965185,91.9486517955578,"Summer",11594,13.65,457.5,5.21556005971216,119.162805413004,13.66,648,5.26297276639252,125.734480382353,"F","Adult"
"ad.","male",8,-121.588138,36.408122,1976,"Callipepla californica californica","Callipepla_californica",202.3,NA,14.1,301,4.76987865927871,90.6706706869645,"Summer",11588,13.55,402.5,4.67455273487932,118.744885675622,13.58,574.6,4.72245000484545,126.375728204959,"M","Adult"
"ad.","female",5,-121.569751,36.501952,1976,"Callipepla californica californica","Callipepla_californica",216,NA,14,360,5.36416278875301,92.8636486959682,"Spring",11789,13.45,473,5.24752777883188,119.296120806383,13.48,669.6,5.28709644449733,125.665316150988,"F","Adult"
"ad.","male",4,-121.58112,36.488991,1976,"Callipepla californica californica","Callipepla_californica",191,NA,14.2,346,5.31564300965185,91.9486517955578,"Spring",11592,13.65,457.5,5.21556005971216,119.162805413004,13.66,648,5.26297276639252,125.734480382353,"M","Adult"
"ad.","male",11,-122.0052672,39.2134848,1923,"Callipepla californica californica","Callipepla_californica",176.05,NA,15.5,211,6.77268913961199,113.061655565259,"Fall",11776,15.2,353.5,7.18597573212912,121.480343553747,15.28,369.6,6.89858822259333,135.231581373022,"M","Adult"
"ad.","female",6,-109.7747222,23.441944,1929,"Callipepla californica achrustera","Callipepla_californica",136.8,NA,22.5,318,4.72709789886507,128.387621440706,"Summer",12082,22.85,330.5,4.52261633367439,144.661191070927,22.88,375.2,4.4934048962376,147.722442579913,"F","Adult"
"ad.","male",10,-122.26671,37.89435,1924,"Callipepla californica brunnescens","Callipepla_californica",188.5,NA,13.2,509,2.91968242357717,113.721867020779,"Fall",11842,13.3,415.5,3.2337044841664,123.783039242541,13.32,554.8,3.39819814810452,123.704866916239,"M","Adult"
"ad.","male",8,-121.588138,36.408122,1976,"Callipepla californica californica","Callipepla_californica",177.1,NA,14.1,301,4.76987865927871,90.6706706869645,"Summer",11781,13.55,402.5,4.67455273487932,118.744885675622,13.58,574.6,4.72245000484545,126.375728204959,"M","Adult"
"ad.","male",7,-121.542957,36.353636,1976,"Callipepla californica californica","Callipepla_californica",172.8,NA,14.3,323,5.19594830496597,92.1365866578084,"Summer",11599,13.75,422,5.09668594179775,118.785340027946,13.76,604,5.15034052140413,126.361085196817,"M","Adult"
"ad.","male",5,-121.58112,36.488991,1976,"Callipepla californica californica","Callipepla_californica",186,NA,14.2,346,5.31564300965185,91.9486517955578,"Spring",11786,13.65,457.5,5.21556005971216,119.162805413004,13.66,648,5.26297276639252,125.734480382353,"M","Adult"
"ad.","male",6,-121.42276,35.96988,1919,"Callipepla californica californica","Callipepla_californica",180,NA,12,830,4.81955455001871,153.244125473405,"Summer",11837,12.3,932,4.97532332120528,140.840471427058,12.18,1037.8,4.89875189053518,154.390016186307,"M","Adult"
