"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","female",4,-112.2576561,34.2581237,1969,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",38,209,16.2,426,8.17469765912977,74.1935294173119,"Spring",13657,16.05,389.5,7.9343862572093,80.6837880792768,16.04,487.2,7.86606617869508,89.4357979468931,"F","Adult"
"ad","male",7,-103.3701896,29.2820569,1977,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",41.2,NA,19.3,354,7.31069681212317,80.4196249649082,"Summer",13549,18.3,348,7.07942481327335,88.6818056577642,18.46,332.2,6.85313452637725,105.262044157347,"M","Adult"
"ad","male",7,-100.5736655,31.476649,1977,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",46.8,93,19,447,8.5942193398008,95.3533527337041,"Summer",13672,18,547,8.00560472936328,97.3785750276491,17.94,594.4,7.71361254801919,88.6328550524326,"M","Adult"
"ad","male",7,-100.5104828,31.4673251,1977,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",39,NA,19.1,456,8.61540199382197,94.8081486019651,"Summer",13671,18.1,554,8.03108126302142,97.1907085852949,18.02,600.4,7.72831491863182,88.0965471252009,"M","Adult"
"ad","male",3,-111.7884137,32.02421,1952,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",42.2,NA,18.7,334,8.41129741730871,96.292625952408,"Spring",13555,18.6,430,7.9807139298449,106.876372527357,18.68,354.2,7.71178293150477,123.466771308518,"M","Adult"
"ad","female",7,-100.5736655,31.476649,1977,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",42.8,NA,19,447,8.5942193398008,95.3533527337041,"Summer",13552,18,547,8.00560472936328,97.3785750276491,17.94,594.4,7.71361254801919,88.6328550524326,"F","Adult"
"ad","male",4,-104.952119,25.6203535,1971,"Campylorhynchus brunneicapillus guttatus","Campylorhynchus_brunneicapillus",37.5,NA,19.7,383,4.14319449290769,132.972041341058,"Spring",13765,19.55,351.5,4.38444017761939,148.829841614088,19.64,316.6,4.64528650312927,145.359092629559,"M","Adult"
"ad","female",5,-103.7793843,30.4611433,1976,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",35,NA,14.6,376,6.53818620015359,106.001440813535,"Spring",13666,14.9,378,6.4102663994937,112.211087232709,15.56,430.8,6.4238925779214,128.739428830225,"F","Adult"
"ad","male",4,-103.6944103,30.4447763,1966,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",45.3,199,16.1,460,7.50395350344191,120.644428765398,"Spring",13556,16.5,353,7.17332240228099,100.933387115398,16.72,328.6,7.33643502406522,98.3568225247217,"M","Adult"
"ad","male",5,-112.433944,27.4569189,1973,"Campylorhynchus brunneicapillus purus","Campylorhynchus_brunneicapillus",38.5,NA,20.5,68,5.0673344854942,145.764133343894,"Spring",13766,20.85,110.5,5.08636931678314,146.970153457654,20.78,118.2,4.95690169790458,152.703265020831,"M","Adult"
