"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","female",7,-133.6999969,68.3600006,1977,"Carduelis flammea flammea","Carduelis_flammea",11.4,NA,-8.5,236,15.8690951795678,68.1960498061392,"Summer",14916,-8.5,260,16.4163317699425,64.7346619712052,-9.4,242.6,16.4362744432786,64.6775549190435,"F","Adult"
"ad","female",7,-133.6999969,68.3600006,1977,"Carduelis flammea flammea","Carduelis_flammea",12.5,NA,-8.5,236,15.8690951795678,68.1960498061392,"Summer",14930,-8.5,260,16.4163317699425,64.7346619712052,-9.4,242.6,16.4362744432786,64.6775549190435,"F","Adult"
"ad","female",3,-89.51413,48.34584,1949,"Carduelis flammea flammea","Carduelis_flammea",12,NA,2.5,859,11.6896321584556,56.6090255048165,"Spring",15036,2.4,788,11.9976594106158,49.8738935992226,2.2,783.2,11.6122742694943,52.7495212967373,"F","Adult"
"ad","female",3,-113.6716824,53.4477519,1978,"Carduelis flammea flammea","Carduelis_flammea",11.5,NA,2.1,612,12.3539467377838,87.9057576870011,"Spring",14950,2.55,565,11.554555553435,101.578514626588,2.3,519.6,11.4124889707894,94.5980425645226,"F","Adult"
"ad","male",3,-113.6716824,53.4477519,1978,"Carduelis flammea flammea","Carduelis_flammea",13.5,NA,2.1,612,12.3539467377838,87.9057576870011,"Spring",14959,2.55,565,11.554555553435,101.578514626588,2.3,519.6,11.4124889707894,94.5980425645226,"M","Adult"
"ad","female",4,-79.97972,43.63902,1994,"Carduelis flammea flammea","Carduelis_flammea",10.3,NA,6.4,812,10.8368479147431,32.328206552165,"Spring",15433,6.35,835.5,10.532640254453,35.4920091400745,7,912.8,9.68625207823719,36.855902357921,"F","Adult"
"ad","female",3,-75.99777,44.62572,1939,"Carduelis flammea flammea","Carduelis_flammea",15,NA,6.1,765,11.4106276883625,30.4652885566177,"Spring",15019,6.55,762,11.0420149589036,35.6319613626368,6.38,770.4,11.1365211726438,36.2387035850702,"F","Adult"
"ad","female",5,-79.64059,44.53272,1995,"Carduelis flammea flammea","Carduelis_flammea",15,NA,5.7,1034,10.7145468943635,40.118211455376,"Spring",15485,5.5,963.5,10.9103285031438,40.4757514851566,5.6,991.8,10.2759751594835,37.4853090427139,"F","Adult"
"ad","female",4,-113.6716824,53.4477519,1978,"Carduelis flammea flammea","Carduelis_flammea",12,NA,2.1,612,12.3539467377838,87.9057576870011,"Spring",14967,2.55,565,11.554555553435,101.578514626588,2.3,519.6,11.4124889707894,94.5980425645226,"F","Adult"
"ad","male",7,-85.20243,55.2596,1971,"Carduelis flammea flammea","Carduelis_flammea",12.5,NA,-3.4,611,13.4298514173057,68.4237007138756,"Summer",15481,-3.75,567.5,13.9974338097417,70.6038381254579,-3.86,527.6,13.7247258458472,71.4314072743136,"M","Adult"
"ad","female",8,-133.6999969,68.3600006,1978,"Carduelis flammea flammea","Carduelis_flammea",12.8,NA,-7.9,201,13.6754674176391,69.1622003091201,"Summer",14995,-8.2,218.5,14.7722812986034,68.6791250576296,-9.32,235.4,15.9676163380555,64.53727952098,"F","Adult"
"ad","female",3,-79.489684,43.723739,1937,"Carduelis flammea flammea","Carduelis_flammea",13,NA,7.7,680,10.0694708115294,41.2375406560368,"Spring",15010,7.3,691.5,10.5041337439567,41.7593365735387,7.22,672.2,10.7075078725858,38.7594553356924,"F","Adult"
"ad","female",6,-133.6999969,68.3600006,1975,"Carduelis flammea flammea","Carduelis_flammea",14.4,NA,-10.2,191,16.8873877090675,51.5388203202208,"Summer",15203,-10.85,228,16.6649753663767,62.0274366766846,-9.98,249.2,16.6033448542727,67.6133107259536,"F","Adult"
"ad","female",2,-79.996494,43.209667,1998,"Carduelis flammea flammea","Carduelis_flammea",10,NA,10,779,8.91537232180259,48.3665402550699,"Winter",15288,8.7,787,9.08534305541425,38.9799294635413,7.94,878.4,9.88599195283688,40.5978627928233,"F","Adult"
