"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","male",7,-80.37544,49.06179,1973,"Catharus guttatus faxoni","Catharus_guttatus",27.8,NA,1.3,789,12.9185883223526,34.9807097709689,"Summer",15971,0,766,13.1685638116244,37.889248053831,0.22,805.2,13.0343855093063,45.8347969025746,"M","Adult"
"ad","male",6,-136.5380859,59.6621919,1973,"Catharus guttatus faxoni","Catharus_guttatus",22,NA,-3.2,1096,9.4626538656879,51.2369397442041,"Summer",15974,-3.5,1207.5,9.9585049622892,48.7471563510598,-2.86,1208.8,9.52055182380362,55.399581097226,"M","Adult"
"ad","male",4,-112.6172622,34.416926,1970,"Catharus guttatus auduboni","Catharus_guttatus",28.5,NA,14,568,7.52075914930256,134.172452161499,"Spring",15962,14.05,527.5,7.75915542900137,102.267951177069,14.02,471,7.7613621495482,93.7337628471739,"M","Adult"
"ad","female",5,-107.4061833333,33.5762,2008,"Catharus guttatus","Catharus_guttatus",31.2,NA,10.8,409,6.84364336778697,149.050752310654,"Spring",15596,10.95,445,7.17288971362,124.774754260932,11.02,449.4,7.04947697932591,116.919618105857,"F","Adult"
"ad","male",12,-109.212149,31.843357,1973,"Catharus guttatus nanus","Catharus_guttatus",24,NA,11,552,7.14796008196278,121.770888009095,"Winter",15976,11.45,609,6.90444945461538,116.250103117561,11.5,566.8,6.89540630965842,113.872978716421,"M","Adult"
"ad","male",6,-84.91539,54.52172,1981,"Catharus guttatus faxoni","Catharus_guttatus",31.2,NA,-2.2,449,12.2239704902071,43.9724431613227,"Summer",15991,-3,498.5,13.161263899367,50.724941517568,-3.62,566.6,13.3971678464478,55.3468430862306,"M","Adult"
"ad","female",4,-79.372722,43.73418,1945,"Catharus guttatus faxoni","Catharus_guttatus",30,NA,7,1001,10.2890792355367,43.2918216084957,"Spring",16022,7.25,878.5,10.3647128268998,40.6664543313606,7.28,828.2,10.4785714555206,39.7002870602863,"F","Adult"
"ad","male",5,-105.6211853,32.9720918,1968,"Catharus guttatus auduboni","Catharus_guttatus",29.9,NA,7.3,737,6.56082843069149,113.248930367197,"Spring",15960,7.6,650.5,6.43631297317955,109.463337278759,7.64,605,6.81426147684277,100.309932902568,"M","Adult"
"ad","male",6,-136.5380859,59.6621919,1973,"Catharus guttatus faxoni","Catharus_guttatus",21.8,NA,-3.2,1096,9.4626538656879,51.2369397442041,"Summer",15972,-3.5,1207.5,9.9585049622892,48.7471563510598,-2.86,1208.8,9.52055182380362,55.399581097226,"M","Adult"
"ad","male",1,-78.38759,44.01395,2007,"Catharus guttatus faxoni","Catharus_guttatus",33.6,NA,8,807,10.6768618417529,35.6375529015877,"Winter",16558,8.6,884.5,9.79587914794199,35.7081909641865,7.76,843.6,10.3104230847523,35.375232490711,"M","Adult"
"ad","male",6,-136.5380859,59.6621919,1973,"Catharus guttatus faxoni","Catharus_guttatus",23.1,NA,-3.2,1096,9.4626538656879,51.2369397442041,"Summer",16559,-3.5,1207.5,9.9585049622892,48.7471563510598,-2.86,1208.8,9.52055182380362,55.399581097226,"M","Adult"
