"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","male",10,-109.2779833333,31.9431333333,2007,"Certhia americana albescens","Certhia_americana",7.3,NA,11.6,661,7.060367403952,101.290524141789,"Fall",17084,11.65,584,6.75387676579225,119.088697946531,11.58,574.2,6.74717423266151,98.063700885462,"M","Adult"
"ad","male",4,-79.37881,43.648267,2006,"Certhia americana americana","Certhia_americana",8.9,NA,9.5,890,8.9848820838454,32.9859361480764,"Spring",17271,9,814.5,10.0398452260271,33.5731763867253,8.38,799,10.0582372206312,34.851080717986,"M","Adult"
"ad","undetermined",9,-121.752126,36.372756,1934,"Certhia americana occidentalis","Certhia_americana",7,NA,12.8,887,4.63416168745271,129.771478826685,"Fall",17471,12,939.5,4.88633377134181,141.312859641067,12.18,950.6,5.00577878811912,145.755997700811,"NS","Adult"
"ad.","female",6,-106.770421,29.485097,1959,"Certhia americana albescens","Certhia_americana",7.5,NA,12.5,463,6.20212573529138,151.806493038029,"Summer",17134,12.3,551.5,6.56567837388308,126.668554008134,12.3,484.2,6.35139621654642,139.780285664922,"F","Adult"
"ad.","male",9,-123.3420878,38.6811173,1944,"Certhia americana zelotes","Certhia_americana",7.5,NA,12.9,1100,2.97331566783718,92.5761462644748,"Fall",17266,13.2,982.5,3.00933987757071,106.641386667269,13.58,1321.2,3.02685122167321,102.843615202584,"M","Adult"
"ad.","male",9,-123.1358556,40.315747,1949,"Certhia americana zelotes","Certhia_americana",7.9,NA,9.4,1281,6.87278338922096,146.948460928128,"Fall",17094,9.15,1563.5,6.78747417462777,115.352533534097,9.42,1589.4,6.45925267507886,110.341731290757,"M","Adult"
"ad.","female",11,-121.7523,36.3711,1940,"Certhia americana occidentalis","Certhia_americana",7.3,NA,12.7,2060,4.3761751668448,147.037758936133,"Fall",17221,12.6,1377.5,4.94897169192932,128.973207017618,12.52,1419.6,5.23943388423287,134.340709766616,"F","Adult"
"ad.","male",11,-121.7523,36.3711,1940,"Certhia americana occidentalis","Certhia_americana",7.6,NA,12.7,2060,4.3761751668448,147.037758936133,"Fall",17466,12.6,1377.5,4.94897169192932,128.973207017618,12.52,1419.6,5.23943388423287,134.340709766616,"M","Adult"
"ad.","female",11,-121.7523,36.3711,1940,"Certhia americana occidentalis","Certhia_americana",7.9,NA,12.7,2060,4.3761751668448,147.037758936133,"Fall",17225,12.6,1377.5,4.94897169192932,128.973207017618,12.52,1419.6,5.23943388423287,134.340709766616,"F","Adult"
"ad.","male",6,-115.69417,36.31573,1963,"Certhia americana leucosticta","Certhia_americana",8.4,NA,4.7,585,7.53659255053152,166.320927145513,"Summer",17374,4.9,385,7.55237376181944,133.16475965903,5.02,412.6,7.7335693261911,125.497182500952,"M","Adult"
"ad.","female",6,-115.65611,36.40167,1963,"Certhia americana leucosticta","Certhia_americana",9.5,NA,9.9,447,7.74891488004493,157.395981687623,"Summer",17153,10.1,297,7.76111877896574,126.102880849431,10.2,313.6,7.94775658881304,119.454897064355,"F","Adult"
"ad.","male",8,-122.0691039,41.5779164,1920,"Certhia americana zelotes","Certhia_americana",9.3,NA,8.1,632,6.74534631947812,105.603309441085,"Summer",17403,8.15,597.5,7.11150501425774,116.353596747231,8.04,576.8,7.46723751303533,103.899897933395,"M","Adult"
"ad.","undetermined",9,-105.822524,36.058436,1952,"Certhia americana montana","Certhia_americana",8.1,NA,7.2,381,8.44764177242096,65.8506232087275,"Fall",17113,7.55,369.5,8.25745551683003,67.7464814494936,7.58,358,8.08616128647763,71.2961988190185,"NS","Adult"
"ad.","male",9,-123.88759,40.77914,1942,"Certhia americana occidentalis","Certhia_americana",8.8,NA,12,1606,3.98157689181743,97.2485971118486,"Fall",17513,12.45,1797.5,3.74115637259953,98.2948498179883,12.34,1691.4,3.80712844375239,109.189143561715,"M","Adult"
"ad.","male",6,-106.770421,29.485097,1959,"Certhia americana albescens","Certhia_americana",7.5,NA,12.5,463,6.20212573529138,151.806493038029,"Summer",17133,12.3,551.5,6.56567837388308,126.668554008134,12.3,484.2,6.35139621654642,139.780285664922,"M","Adult"
"ad.","female",6,-121.426729,35.970256,1919,"Certhia americana occidentalis","Certhia_americana",7.9,NA,12,836,4.83662635991809,153.482176094761,"Summer",17397,12.3,938.5,4.98508806945235,140.819755490782,12.18,1044.4,4.90994726054751,154.26488139456,"F","Adult"
"ad.","male",9,-114.28,38.96917,1934,"Certhia americana montana","Certhia_americana",7.7,NA,7.3,517,7.1378419623012,83.1565094368637,"Fall",17433,6.3,517.5,8.2283424402304,80.0063642573315,5.28,600.2,8.62550719127963,74.997585214965,"M","Adult"
"ad.","male",11,-120.2418191,39.4319423,1950,"Certhia americana zelotes","Certhia_americana",7.5,NA,4.8,1351,6.64180972052319,90.9628752234192,"Fall",17333,4.45,929,7.15848567571702,94.8297115757659,4.38,723.8,6.75442529522094,105.694855098935,"M","Adult"
"ad.","female",9,-114.28,38.96917,1934,"Certhia americana montana","Certhia_americana",7.5,NA,7.3,517,7.1378419623012,83.1565094368637,"Fall",17434,6.3,517.5,8.2283424402304,80.0063642573315,5.28,600.2,8.62550719127963,74.997585214965,"F","Adult"
"ad.","female",11,-122.8862842,38.1174504,1951,"Certhia americana occidentalis","Certhia_americana",7.7,NA,12,903,2.55129200780524,117.81685870157,"Fall",17108,12.1,1005.5,2.58859866754655,112.777891183804,12.04,769.6,2.69621324768981,116.345666729162,"F","Adult"
"ad.","male",9,-109.84658,43.2888,1939,"Certhia americana montana","Certhia_americana",8.3,NA,0.6,429,8.68288110263087,62.1265891367597,"Fall",17219,0.3,536.5,8.69650552317188,53.5752893935482,-0.12,573.6,9.21329480127558,56.4922551703333,"M","Adult"
"ad.","male",11,-121.7523,36.3711,1940,"Certhia americana occidentalis","Certhia_americana",7.6,NA,12.7,2060,4.3761751668448,147.037758936133,"Fall",17224,12.6,1377.5,4.94897169192932,128.973207017618,12.52,1419.6,5.23943388423287,134.340709766616,"M","Adult"
