"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"adult","female",6,-114.1678056,32.6353611,2001,"Chaetodipus penicillatus","Chaetodipus_penicillatus",20.8,184,22,93,8.10986585847289,106.84633120562,"Summer",20031,22.05,81.5,8.07117599127008,131.967434816706,21.88,87.8,7.93249883606079,137.00377273159,"F","Adult"
"adult","female",6,-114.1678056,32.6353611,2001,"Chaetodipus penicillatus","Chaetodipus_penicillatus",17.8,190,22,93,8.10986585847289,106.84633120562,"Summer",20298,22.05,81.5,8.07117599127008,131.967434816706,21.88,87.8,7.93249883606079,137.00377273159,"F","Adult"
"unknown","female",1,-114.7842,32.4964,1941,"Chaetodipus penicillatus","Chaetodipus_penicillatus",17,170,22.1,153,6.71781891011442,108.426553483278,"Winter",19967,22.7,123.5,7.00504429107524,121.436538973905,22.64,98.6,7.52683333873421,125.814309277789,"F","NS"
"unknown","male",3,-113.0573,31.9526,1970,"Chaetodipus penicillatus","Chaetodipus_penicillatus",32,188,21.6,264,7.86798268396363,141.766254532301,"Spring",19941,21.75,226.5,7.90767370411792,118.610277289061,21.68,214.8,7.850661391187,119.304147988591,"M","NS"
"unknown","male",3,-116.0061179,33.5706706,1964,"Chaetodipus penicillatus","Chaetodipus_penicillatus",11,133,21.1,51,8.19010859438865,122.107940636162,"Spring",19942,21.55,89.5,7.87240907149195,138.784830544857,22.06,63.2,7.90969258837461,136.765964306738,"M","NS"
"unknown","male",1,-114.7842,32.4964,1941,"Chaetodipus penicillatus","Chaetodipus_penicillatus",16.2,177,22.1,153,6.71781891011442,108.426553483278,"Winter",19968,22.7,123.5,7.00504429107524,121.436538973905,22.64,98.6,7.52683333873421,125.814309277789,"M","NS"
"unknown","female",3,-116.0061179,33.5706706,1964,"Chaetodipus penicillatus","Chaetodipus_penicillatus",20,174,21.1,51,8.19010859438865,122.107940636162,"Spring",19966,21.55,89.5,7.87240907149195,138.784830544857,22.06,63.2,7.90969258837461,136.765964306738,"F","NS"
"unknown","male",3,-111.0465,32.119,1951,"Chaetodipus penicillatus","Chaetodipus_penicillatus",12.2,175,19.5,344,7.73862312551709,87.501184590942,"Spring",19943,19.9,279.5,7.12000787511248,126.008062238473,19.56,232.8,7.73707217118953,105.992034587385,"M","NS"
NA,"female",7,-115.07111,33.30223,1964,"Chaetodipus penicillatus","Chaetodipus_penicillatus",5.8,114,21.6,46,8.39160384858074,80.0075127952459,"Summer",20329,21.95,92,8.09724881983924,110.92902300787,22.28,75.6,8.14426273702005,125.712407150505,"F","NS"
NA,"female",9,-111.4146,32.4295,1977,"Chaetodipus penicillatus","Chaetodipus_penicillatus",7,95,21.1,242,7.64922257883807,77.6859772139553,"Fall",20221,20.75,237.5,7.463300176667,78.6185228026947,20.2,225.6,7.84456674272555,92.8738486468694,"F","NS"
