"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"ad","female",10,-122.0699501,38.4980713,1952,"Chamaea fasciata fasciata","Chamaea_fasciata",12.9,NA,14.1,970,6.20197304871359,146.72930047945,"Fall",20793,14.1,821,5.89069977126946,136.944149581487,14.06,722.8,6.03242506057688,130.186438495419,"F","Adult"
"ad","male?",11,-122.8632509,38.1039265,1951,"Chamaea fasciata rufula","Chamaea_fasciata",17,NA,12.2,885,2.68885184464006,119.017704749922,"Fall",21077,12.3,987,2.69355583272582,113.706441848519,12.24,755.6,2.79213267167788,116.120934160823,"NS","Adult"
"ad","male",11,-122.6558304,38.4772445,1951,"Chamaea fasciata fasciata","Chamaea_fasciata",15.9,NA,13.4,921,4.12464874537545,120.746115592585,"Fall",21079,13.6,1032,4.21879806552026,113.044730871769,13.48,798.4,4.43572724471031,121.834418288993,"M","Adult"
"ad","female",1,-121.835607,36.60922,1919,"Chamaea fasciata fasciata","Chamaea_fasciata",13.1,NA,11.7,339,1.95393929994736,149.535305151252,"Winter",20994,11.95,352.5,2.20383897200163,133.45401242547,11.8,387.8,2.23867997845233,144.503958931627,"F","Adult"
"ad.","male",5,-122.62053,39.40491,1980,"Chamaea fasciata henshawi","Chamaea_fasciata",14.9,NA,14.3,788,5.89793877707982,140.732612850301,"Spring",20929,14.55,936,6.43327402330978,123.669418420343,14.68,727,6.60841485057255,118.424413326175,"M","Adult"
"ad.","male",10,-115.458333,30.883333,1925,"Chamaea fasciata canicauda","Chamaea_fasciata",18.2,NA,10.6,544,4.245452112127,120.503426548805,"Fall",21016,10.5,441.5,4.52125385578995,125.582212387259,10.28,594.4,4.66920747959891,117.578685494162,"M","Adult"
"ad.","male",9,-120.84369,35.29653,1918,"Chamaea fasciata fasciata","Chamaea_fasciata",15.8,NA,12.3,594,2.64620941016093,147.53511475635,"Fall",20682,12.15,432,2.80472825150963,176.417081505622,11.88,585.2,2.33674427713029,169.953778688197,"M","Adult"
"ad.","male",9,-120.84369,35.29653,1918,"Chamaea fasciata fasciata","Chamaea_fasciata",17.5,NA,12.3,594,2.64620941016093,147.53511475635,"Fall",20977,12.15,432,2.80472825150963,176.417081505622,11.88,585.2,2.33674427713029,169.953778688197,"M","Adult"
"ad.","male",12,-115.7077778,30.056111,1930,"Chamaea fasciata canicauda","Chamaea_fasciata",14.3,NA,19.4,141,3.86596453917801,109.17807278476,"Winter",21152,19.55,122,4.13509471958429,98.8454326379257,19.8,137,3.9540063630738,103.17455499101,"M","Adult"
"ad.","female",12,-115.7230556,31.4,1926,"Chamaea fasciata canicauda","Chamaea_fasciata",15.2,NA,16.2,268,4.77762303014604,130.711659266751,"Winter",21146,15.95,254.5,4.7281328359745,123.563532134892,15.58,246,4.9670964603943,109.015984137314,"F","Adult"
"ad.","female",2,-121.835607,36.60922,1919,"Chamaea fasciata fasciata","Chamaea_fasciata",14.9,NA,11.7,339,1.95393929994736,149.535305151252,"Winter",20998,11.95,352.5,2.20383897200163,133.45401242547,11.8,387.8,2.23867997845233,144.503958931627,"F","Adult"
"ad.","male",12,-117.111769,32.460771,1927,"Chamaea fasciata canicauda","Chamaea_fasciata",16,NA,16.5,463,3.17846684978018,138.467360163425,"Winter",21040,16.95,423.5,3.09504917079198,134.113798511006,16.6,329,3.20626927837584,123.475591730351,"M","Adult"
"ad.","male",2,-121.898014,36.57092,1919,"Chamaea fasciata fasciata","Chamaea_fasciata",14.5,NA,11.7,407,2.0042946314594,151.109017656632,"Winter",21000,11.95,422,2.24585877013469,134.959472955799,11.82,466.2,2.26335071193114,143.95814261362,"M","Adult"
