"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"100%","male",4,-95.2412999,38.8244866,1954,"Chondestes grammacus strigatus","Chondestes_grammacus",29.7,NA,14,896,10.328817439425,88.6476341938465,"Spring",21325,13.9,744,10.0537504830573,74.5345094091985,12.62,881.4,9.87521000701351,85.6252875129459,"M","NS"
"ad","female",6,-101.7412293,37.058477,1992,"Chondestes grammacus strigatus","Chondestes_grammacus",31.5,NA,13,446,8.69393292457273,116.6199433042,"Summer",21441,13.2,436.5,9.04556393193815,98.3479283769877,12.92,429.2,9.5181610000957,93.2677803629253,"F","Adult"
"ad","male",7,-97.6739502,33.3305282,1976,"Chondestes grammacus grammacus","Chondestes_grammacus",29,NA,17.1,821,7.8151949897154,86.6874406370278,"Summer",21428,17.2,866.5,7.90563678703808,73.8890039817406,17.6,895.8,8.19036518334003,74.0018642377242,"M","Adult"
"ad","male",5,-94.694252,39.9365924,1966,"Chondestes grammacus grammacus","Chondestes_grammacus",26,NA,11.2,641,10.2737197831077,89.149292860587,"Spring",21306,11.35,899,10.3600798290207,83.3789490442219,11.5,893.8,10.8905051694173,74.8728346349324,"M","Adult"
"ad","female",7,-97.6739502,33.3305282,1976,"Chondestes grammacus grammacus","Chondestes_grammacus",28,NA,17.1,821,7.8151949897154,86.6874406370278,"Summer",21285,17.2,866.5,7.90563678703808,73.8890039817406,17.6,895.8,8.19036518334003,74.0018642377242,"F","Adult"
"ad","male",7,-97.6457977,33.3448696,1977,"Chondestes grammacus grammacus","Chondestes_grammacus",27.2,70,18.4,692,9.46942048081213,61.7185796757168,"Summer",21432,17.65,760,8.64149338584101,73.670376474702,17.54,909,8.30010829468933,68.7594849084836,"M","Adult"
"ad","male",7,-97.6739502,33.3305282,1976,"Chondestes grammacus grammacus","Chondestes_grammacus",27.5,NA,17.1,821,7.8151949897154,86.6874406370278,"Summer",21429,17.2,866.5,7.90563678703808,73.8890039817406,17.6,895.8,8.19036518334003,74.0018642377242,"M","Adult"
"ad","male",6,-101.8648157,37.1125419,1992,"Chondestes grammacus strigatus","Chondestes_grammacus",31.9,NA,12.9,430,8.77240853558198,113.084040882452,"Summer",21300,13.1,432,9.09094679769922,93.5253713878299,12.84,425,9.5356154961037,92.2732980458146,"M","Adult"
"ad","male",5,-95.288887,39.0421862,1966,"Chondestes grammacus grammacus","Chondestes_grammacus",26.7,NA,12.1,661,9.94464984833858,101.139984419632,"Spring",21446,12.45,891.5,9.95322024346864,102.279015135685,12.58,856.8,10.5559317743186,84.5814794767249,"M","Adult"
"ad","female",8,-98.6273484,29.8937894,1977,"Chondestes grammacus grammacus","Chondestes_grammacus",27,NA,19.4,778,7.89516058139799,82.9978303505958,"Summer",21291,18.75,954.5,7.3179362425866,81.0426566498068,18.84,1004.4,6.94592013507839,82.4345888542083,"F","Adult"
"ad","female",6,-112.0840539,35.8333226,1969,"Chondestes grammacus strigatus","Chondestes_grammacus",24.5,NA,9.5,312,8.05424789107643,68.9864731551357,"Summer",21422,9.4,276,7.86089286018462,80.8814830546025,9.52,310.4,7.97777021941546,80.3643211975373,"F","Adult"
"ad","male",6,-101.8648157,37.1125419,1992,"Chondestes grammacus strigatus","Chondestes_grammacus",28.9,NA,12.9,430,8.77240853558198,113.084040882452,"Summer",21294,13.1,432,9.09094679769922,93.5253713878299,12.84,425,9.5356154961037,92.2732980458146,"M","Adult"
"ad","female",9,-120.33745,35.57592,1947,"Chondestes grammacus strigatus","Chondestes_grammacus",29.1,NA,15.1,104,5.95622287268458,94.5531093024022,"Fall",21362,14.85,191.5,5.94508877792321,105.792773136445,14.92,272,5.55934469385128,127.72107370217,"F","Adult"
"ad","female",6,-103.740995,30.4338023,1977,"Chondestes grammacus strigatus","Chondestes_grammacus",30.5,NA,16.7,406,7.07689368596309,90.0107612011107,"Summer",21290,15.7,394.5,6.7881641966583,99.3366064497178,15.68,435.8,6.54590013337276,125.451400119032,"F","Adult"
"ad","female",7,-121.03,36.48,1936,"Chondestes grammacus strigatus","Chondestes_grammacus",32.3,NA,14.5,605,5.9649163676222,161.82955082857,"Summer",21256,14,536,5.98022250228093,144.96603693632,13.94,415.4,5.8217002582587,147.739488602623,"F","Adult"
"ad","male",7,-120.4608844,40.535017,1928,"Chondestes grammacus strigatus","Chondestes_grammacus",29.7,NA,10.2,261,7.68426175945867,116.728033852315,"Summer",21240,9.8,308.5,7.43456822234313,107.499589794587,9.64,285,7.53596429417479,96.6427651754431,"M","Adult"
"ad","female",6,-101.7412293,37.058477,1992,"Chondestes grammacus strigatus","Chondestes_grammacus",25.5,NA,13,446,8.69393292457273,116.6199433042,"Summer",21301,13.2,436.5,9.04556393193815,98.3479283769877,12.92,429.2,9.5181610000957,93.2677803629253,"F","Adult"
"ad","male",6,-100.778834,37.1610618,1992,"Chondestes grammacus strigatus","Chondestes_grammacus",27.2,NA,13.6,500,8.82290407766266,101.964061882001,"Summer",21302,13.95,493.5,9.35276481679803,102.077982244183,13.8,511.8,9.7107228294966,102.954691338605,"M","Adult"
"ad","female",1,-116.5897222,32.572222,1927,"Chondestes grammacus strigatus","Chondestes_grammacus",33.4,NA,15.7,535,5.07459507266493,136.349978083591,"Winter",21480,15.95,487.5,5.01101927541797,140.079636855935,15.42,394.6,5.12446681515651,125.766795704779,"F","Adult"
"ad","female",1,-116.3833333,31.916667,1927,"Chondestes grammacus strigatus","Chondestes_grammacus",30.2,NA,14.6,497,4.44815249357085,121.762320320808,"Winter",21515,14.95,474,4.41373427321953,129.555181537641,14.62,386.4,4.4767473392189,123.173744980602,"F","Adult"
"ad","female",6,-101.8648157,37.1125419,1992,"Chondestes grammacus strigatus","Chondestes_grammacus",30.5,NA,12.9,430,8.77240853558198,113.084040882452,"Summer",21296,13.1,432,9.09094679769922,93.5253713878299,12.84,425,9.5356154961037,92.2732980458146,"F","Adult"
"ad","male",11,-121.019335,36.129859,1918,"Chondestes grammacus strigatus","Chondestes_grammacus",30.7,NA,14.4,355,4.72942914102749,144.534819233613,"Fall",21237,14.35,254,4.93582445937616,162.898121647737,14.28,353,4.34275876277566,159.682872026213,"M","Adult"
"ad","female",6,-100.1568603,31.9923536,1977,"Chondestes grammacus strigatus","Chondestes_grammacus",24,65,18.4,502,8.69790552984226,83.5932511105976,"Summer",21430,17.65,579,8.17887878683504,96.7609885704898,17.54,624,7.85834114295795,86.8335070648165,"F","Adult"
"ad","male",6,-97.5846863,33.3362651,1976,"Chondestes grammacus grammacus","Chondestes_grammacus",21,NA,16.9,848,7.79992229953529,85.7705574340135,"Summer",21427,17,887,7.88533212599832,72.02326274168,17.4,919.6,8.1702599011275,72.738629884059,"M","Adult"
"ad","male",6,-101.8648157,37.1125419,1992,"Chondestes grammacus strigatus","Chondestes_grammacus",31.1,NA,12.9,430,8.77240853558198,113.084040882452,"Summer",21438,13.1,432,9.09094679769922,93.5253713878299,12.84,425,9.5356154961037,92.2732980458146,"M","Adult"
"ad","female",6,-100.778834,37.1610618,1992,"Chondestes grammacus strigatus","Chondestes_grammacus",32.6,NA,13.6,500,8.82290407766266,101.964061882001,"Summer",21303,13.95,493.5,9.35276481679803,102.077982244183,13.8,511.8,9.7107228294966,102.954691338605,"F","Adult"
"ad","male",5,-117.27444,38.94472,1930,"Chondestes grammacus strigatus","Chondestes_grammacus",33.3,NA,6.4,356,8.51506241191384,97.165616642835,"Spring",21244,6.55,303.5,8.65636670957362,82.7826488314124,7.16,247,8.36353083699605,76.4456570378107,"M","Adult"
"ad","male",7,-97.6739502,33.3305282,1976,"Chondestes grammacus grammacus","Chondestes_grammacus",29,NA,17.1,821,7.8151949897154,86.6874406370278,"Summer",21284,17.2,866.5,7.90563678703808,73.8890039817406,17.6,895.8,8.19036518334003,74.0018642377242,"M","Adult"
"ad","male",6,-101.8648157,37.1125419,1992,"Chondestes grammacus strigatus","Chondestes_grammacus",30.7,NA,12.9,430,8.77240853558198,113.084040882452,"Summer",21439,13.1,432,9.09094679769922,93.5253713878299,12.84,425,9.5356154961037,92.2732980458146,"M","Adult"
"ad","female",5,-99.6705534,37.0890485,1992,"Chondestes grammacus strigatus","Chondestes_grammacus",31.2,NA,14.5,624,8.84075874297648,102.165235484393,"Spring",21436,14.9,539,9.41933949062575,78.321433871577,14.58,554,9.7804215686857,79.3901400753181,"F","Adult"
"ad","male",6,-101.8648157,37.1125419,1992,"Chondestes grammacus strigatus","Chondestes_grammacus",30.1,NA,12.9,430,8.77240853558198,113.084040882452,"Summer",21437,13.1,432,9.09094679769922,93.5253713878299,12.84,425,9.5356154961037,92.2732980458146,"M","Adult"
"ad","male",7,-100.5104828,31.4673251,1977,"Chondestes grammacus strigatus","Chondestes_grammacus",25.3,65,19.1,456,8.61540199382197,94.8081486019651,"Summer",21289,18.1,554,8.03108126302142,97.1907085852949,18.02,600.4,7.72831491863182,88.0965471252009,"M","Adult"
"ad","male",4,-109.6833,23.05,1929,"Chondestes grammacus strigatus","Chondestes_grammacus",34.4,NA,22.9,181,3.69913994918229,118.983515716679,"Spring",21242,23.2,186.5,3.48707431185119,129.929153212592,23.26,215.2,3.47435611981143,131.336291214039,"M","Adult"
"ad","male",10,-115.682,30.9845,1925,"Chondestes grammacus strigatus","Chondestes_grammacus",29.9,NA,14.4,347,4.3397737687161,110.932259762074,"Fall",21514,14.3,287.5,4.56457798229645,115.459390137732,14.12,351.6,4.70953750105485,104.029150581792,"M","Adult"
"ad","male",11,-115.7230556,31.4,1926,"Chondestes grammacus strigatus","Chondestes_grammacus",17.3,NA,16.2,268,4.77762303014604,130.711659266751,"Fall",21479,15.95,254.5,4.7281328359745,123.563532134892,15.58,246,4.9670964603943,109.015984137314,"M","Adult"
