"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","female",9,-106.1917877,35.0609149,2007,"Colaptes auratus","Colaptes_auratus",112.5,NA,10.5,429,8.4935091081188,62.5946269897994,"Fall",23494,10.55,481.5,8.13417355837982,87.1564571297222,10.62,448,8.01265043691905,74.5814846772092,"F","Adult"
"ad","female",1,-105.9801786,35.5225354,2008,"Colaptes auratus","Colaptes_auratus",147,NA,10.8,319,8.34648810197221,68.3519996596377,"Winter",23495,10.95,344.5,8.65520072258174,65.778560792912,11,354.6,8.34652575670125,70.1454378810383,"F","Adult"
"ad.","female",6,-104.822786,40.346603,1956,"Colaptes auratus","Colaptes_auratus",145,NA,9.5,271,9.726050617083,75.6277407444161,"Summer",22656,9.15,279.5,10.0367112784426,72.6294015633476,9.6,263.6,9.52759235207954,75.0059287127005,"F","Adult"
"ad.","female",6,-97.686277,41.275898,1957,"Colaptes auratus","Colaptes_auratus",135.5,NA,10.2,837,10.8679226360994,84.8651539006986,"Summer",23288,10.45,651,11.2951006736234,79.9514051943517,10.74,583.2,11.4010276387313,84.7779671834969,"F","Adult"
"ad.","male",6,-100.148427,40.899611,1956,"Colaptes auratus","Colaptes_auratus",145.5,NA,10.6,370,10.7835733662573,82.4346081313575,"Summer",23315,10.25,358,11.5680287370876,86.3393646607917,10.6,378.6,10.9002771685869,83.4418092645958,"M","Adult"
"ad.","female",4,-92.6813888888,16.7777777777,1948,"Colaptes auratus mexicanoides","Colaptes_auratus",115.5,NA,14.4,1525,1.13644848168104,95.5904935303613,"Spring",23500,14.3,1478.5,1.01853978677369,83.9208666751187,14.26,1320.2,1.04837772648404,82.0149892981973,"F","Adult"
"ad.","male",6,-102.962338,42.846422,1955,"Colaptes auratus","Colaptes_auratus",159.399993896484,NA,8,385,11.8044932380031,89.742011030672,"Summer",22442,8.75,374,10.9363180328772,87.6615382164889,8.44,374,10.6642009099114,95.5482940230256,"M","Adult"
"ad.","male",6,-99.337838,40.686493,1957,"Colaptes auratus","Colaptes_auratus",139.5,NA,10.1,777,10.656122866477,80.0414723419565,"Summer",22571,10.55,581,10.9483355422661,80.5320517990813,10.88,522.2,11.0582294517879,84.150232128452,"M","Adult"
"ad.","male",6,-102.962338,42.846422,1955,"Colaptes auratus","Colaptes_auratus",166.699996948242,NA,8,385,11.8044932380031,89.742011030672,"Summer",22439,8.75,374,10.9363180328772,87.6615382164889,8.44,374,10.6642009099114,95.5482940230256,"M","Adult"
"ad.","female",7,-101.176396,44.68895,1955,"Colaptes auratus","Colaptes_auratus",147.600006103516,NA,7.8,323,13.5291492263142,92.0281452786052,"Summer",22507,8.35,324.5,12.3360115095878,88.1914234801317,7.8,377.8,12.0529811226186,89.4700593871284,"F","Adult"
"ad.","female",6,-104.822786,40.346603,1956,"Colaptes auratus","Colaptes_auratus",142.5,NA,9.5,271,9.726050617083,75.6277407444161,"Summer",22659,9.15,279.5,10.0367112784426,72.6294015633476,9.6,263.6,9.52759235207954,75.0059287127005,"F","Adult"
"ad.","female",7,-101.176396,44.68895,1955,"Colaptes auratus","Colaptes_auratus",133.600006103516,NA,7.8,323,13.5291492263142,92.0281452786052,"Summer",23252,8.35,324.5,12.3360115095878,88.1914234801317,7.8,377.8,12.0529811226186,89.4700593871284,"F","Adult"
"ad.","male",7,-101.112751,41.144314,1956,"Colaptes auratus","Colaptes_auratus",140.5,NA,10.1,395,10.4753823970124,83.6894469622613,"Summer",23343,9.65,410.5,11.2129986585809,93.6171532444527,10.1,381.8,10.617114210056,83.1287003533896,"M","Adult"
"ad.","male",6,-104.061168,40.350895,1956,"Colaptes auratus","Colaptes_auratus",136.5,NA,9.5,379,10.3713182587481,130.654751826193,"Summer",22645,9.2,343,10.7635986316374,108.363922170593,9.66,320.4,10.2487164713983,100.788419857752,"M","Adult"
