"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","male",7,-109.1728895,31.9248109,1978,"Contopus sordidulus veliei","Contopus_sordidulus",13.7,NA,13.5,535,7.11930793367905,59.2472170799551,"Summer",24819,13.65,565,6.94286507823096,81.9097913495956,13.16,467.8,6.98299631874221,94.4741797708627,"M","Adult"
"ad","male",6,-118.2691956,55.2313725,1970,"Contopus sordidulus amplus","Contopus_sordidulus",13.4,NA,1.5,354,13.0774933887704,64.4067796610169,"Summer",24607,0.95,393.5,13.7371827092849,73.5019267412266,0.92,399.2,13.2386199803332,60.759863807014,"M","Adult"
"ad","female",6,-101.8056599,38.9238219,1978,"Contopus sordidulus veliei","Contopus_sordidulus",15.2,NA,10.7,496,11.5295930176011,94.0601835768938,"Summer",24614,11.65,466.5,10.8962503166232,102.479355705788,11.74,386.8,10.165399119199,98.2205539001154,"F","Adult"
"ad","female",5,-112.4808276,34.4345475,1971,"Contopus sordidulus veliei","Contopus_sordidulus",11.1,NA,9.4,599,7.25753004983393,117.363576555852,"Spring",24810,9.7,658.5,7.26689172819311,120.094424318163,9.86,645.6,7.34510889893176,103.637993702943,"F","Adult"
"ad","male",5,-103.6631688,30.4947158,1981,"Contopus sordidulus veliei","Contopus_sordidulus",16,NA,16.7,576,6.51806347891393,73.8891599559754,"Spring",24829,16.8,501.5,7.07796384467203,110.668730695393,16.72,478.8,7.18025796220737,106.320704676057,"M","Adult"
"ad","male",6,-101.8056599,38.9238219,1978,"Contopus sordidulus veliei","Contopus_sordidulus",17.5,NA,10.7,496,11.5295930176011,94.0601835768938,"Summer",24814,11.65,466.5,10.8962503166232,102.479355705788,11.74,386.8,10.165399119199,98.2205539001154,"M","Adult"
"ad","female",5,-99.2336406,19.0173441,1973,"Contopus sordidulus sordidulus","Contopus_sordidulus",13.3,NA,15,1364,2.06463732232256,111.291010474418,"Spring",24865,14.85,1324.5,1.93813948430257,105.486198136596,14.84,1302,1.99850408208634,121.973338430477,"F","Adult"
"ad","female",7,-109.1728895,31.9248109,1978,"Contopus sordidulus veliei","Contopus_sordidulus",13.3,NA,13.5,535,7.11930793367905,59.2472170799551,"Summer",24620,13.65,565,6.94286507823096,81.9097913495956,13.16,467.8,6.98299631874221,94.4741797708627,"F","Adult"
"ad","male",7,-109.1728895,31.9248109,1978,"Contopus sordidulus veliei","Contopus_sordidulus",13,NA,13.5,535,7.11930793367905,59.2472170799551,"Summer",24824,13.65,565,6.94286507823096,81.9097913495956,13.16,467.8,6.98299631874221,94.4741797708627,"M","Adult"
"ad","male",6,-101.8056599,38.9238219,1978,"Contopus sordidulus veliei","Contopus_sordidulus",16.9,NA,10.7,496,11.5295930176011,94.0601835768938,"Summer",24616,11.65,466.5,10.8962503166232,102.479355705788,11.74,386.8,10.165399119199,98.2205539001154,"M","Adult"
"ad","male",8,-111.7387431,35.2698666,1977,"Contopus sordidulus veliei","Contopus_sordidulus",15.7,65,7.1,385,8.1196870741315,42.2681432125154,"Summer",24611,6.8,425,7.66819611592127,58.7999759519622,6.56,443,8.07027985661323,77.8574328119942,"M","Adult"
"ad","male",5,-103.7816096,30.495327,1967,"Contopus sordidulus veliei","Contopus_sordidulus",12.3,158,15.6,408,6.45316459834501,124.499495520407,"Spring",24629,15.4,441.5,6.91503684948175,125.298635596678,15.74,365.2,7.05898224997907,107.206829351468,"M","Adult"
"ad","male",6,-111.7480724,48.3894847,1970,"Contopus sordidulus amplus","Contopus_sordidulus",14.8,NA,5.1,311,11.503553469439,88.195098903982,"Summer",24807,4.95,253.5,12.219474735109,121.589507263263,5.28,268.4,11.291962251055,101.83660698143,"M","Adult"
"ad","male",6,-101.8056599,38.9238219,1978,"Contopus sordidulus veliei","Contopus_sordidulus",14.8,NA,10.7,496,11.5295930176011,94.0601835768938,"Summer",24815,11.65,466.5,10.8962503166232,102.479355705788,11.74,386.8,10.165399119199,98.2205539001154,"M","Adult"
"ad","female",7,-109.1728895,31.9248109,1978,"Contopus sordidulus veliei","Contopus_sordidulus",13.4,NA,13.5,535,7.11930793367905,59.2472170799551,"Summer",24816,13.65,565,6.94286507823096,81.9097913495956,13.16,467.8,6.98299631874221,94.4741797708627,"F","Adult"
"ad","male",6,-101.8056599,38.9238219,1978,"Contopus sordidulus veliei","Contopus_sordidulus",15.9,NA,10.7,496,11.5295930176011,94.0601835768938,"Summer",24615,11.65,466.5,10.8962503166232,102.479355705788,11.74,386.8,10.165399119199,98.2205539001154,"M","Adult"
"ad","female",7,-109.1728895,31.9248109,1978,"Contopus sordidulus veliei","Contopus_sordidulus",11.8,NA,13.5,535,7.11930793367905,59.2472170799551,"Summer",24823,13.65,565,6.94286507823096,81.9097913495956,13.16,467.8,6.98299631874221,94.4741797708627,"F","Adult"
"ad","female",7,-109.1728895,31.9248109,1978,"Contopus sordidulus veliei","Contopus_sordidulus",13.1,NA,13.5,535,7.11930793367905,59.2472170799551,"Summer",24624,13.65,565,6.94286507823096,81.9097913495956,13.16,467.8,6.98299631874221,94.4741797708627,"F","Adult"
"ad","male",7,-109.1728895,31.9248109,1978,"Contopus sordidulus veliei","Contopus_sordidulus",12.6,NA,13.5,535,7.11930793367905,59.2472170799551,"Summer",24818,13.65,565,6.94286507823096,81.9097913495956,13.16,467.8,6.98299631874221,94.4741797708627,"M","Adult"
"ad","female",7,-109.1728895,31.9248109,1978,"Contopus sordidulus veliei","Contopus_sordidulus",12.8,NA,13.5,535,7.11930793367905,59.2472170799551,"Summer",24822,13.65,565,6.94286507823096,81.9097913495956,13.16,467.8,6.98299631874221,94.4741797708627,"F","Adult"
"ad","male",5,-103.6944103,30.4447763,1975,"Contopus sordidulus veliei","Contopus_sordidulus",14,NA,15.9,371,6.33439385060208,118.252769009068,"Spring",24609,16.3,465,6.44480691929473,139.390088848393,16.58,404.6,6.34556308760445,134.176178423354,"M","Adult"
"ad","male",5,-112.4560534,34.4960973,1971,"Contopus sordidulus veliei","Contopus_sordidulus",14.2,NA,9.9,566,7.41576433053671,116.868622278658,"Spring",24809,10.2,622,7.40250099991603,119.629925796948,10.36,609.2,7.45740426312915,102.065804067366,"M","Adult"
"ad","male",7,-109.1728895,31.9248109,1978,"Contopus sordidulus veliei","Contopus_sordidulus",12.9,NA,13.5,535,7.11930793367905,59.2472170799551,"Summer",24617,13.65,565,6.94286507823096,81.9097913495956,13.16,467.8,6.98299631874221,94.4741797708627,"M","Adult"
"ad","female",5,-103.7816096,30.495327,1967,"Contopus sordidulus veliei","Contopus_sordidulus",14.3,170,15.6,408,6.45316459834501,124.499495520407,"Spring",24602,15.4,441.5,6.91503684948175,125.298635596678,15.74,365.2,7.05898224997907,107.206829351468,"F","Adult"
"ad","female",6,-101.8804399,37.1204241,1978,"Contopus sordidulus veliei","Contopus_sordidulus",14.1,NA,12.2,378,11.0705554047526,115.144281834393,"Summer",24813,13,395.5,10.520503982156,108.663286373165,12.9,377,9.75199256481792,104.958163546475,"F","Adult"
"ad","male",6,-104.2117576,30.7585058,1977,"Contopus sordidulus veliei","Contopus_sordidulus",12.7,NA,14.9,330,6.89986275665002,77.762730706587,"Summer",24610,13.95,370,6.6152351121352,84.7129280392414,13.92,458.8,6.42461689498997,119.738393486356,"M","Adult"
"ad","female",5,-103.6631688,30.4947158,1981,"Contopus sordidulus veliei","Contopus_sordidulus",13.1,NA,16.7,576,6.51806347891393,73.8891599559754,"Spring",24628,16.8,501.5,7.07796384467203,110.668730695393,16.72,478.8,7.18025796220737,106.320704676057,"F","Adult"
"ad","undetermined",6,-122.678833,54.4923772,1976,"Contopus sordidulus saturatus","Contopus_sordidulus",12,NA,3.3,955,7.99869307506488,42.8563294808645,"Summer",24811,2.55,872.5,8.93872909003837,53.540796347833,2.2,894.6,9.41568539298612,48.7596001938654,"NS","Adult"
"ad","male",5,-107.6072,33.7895333333,2008,"Contopus sordidulus","Contopus_sordidulus",14.2,NA,9.9,344,7.15788926904285,115.651583879884,"Spring",24696,10,399.5,7.46957781115881,102.564348129974,10.04,405.4,7.31734442027777,96.5386108445907,"M","Adult"
"ad","female",7,-109.1839875,31.9137028,1978,"Contopus sordidulus veliei","Contopus_sordidulus",12.2,NA,11.7,688,6.93482100881071,58.1833872674254,"Summer",24827,11.85,739,6.75920470983635,82.8756124334002,11.38,612.4,6.81606351706419,96.6554374327096,"F","Adult"
"ad","male",5,-99.1953097,18.9240088,1972,"Contopus sordidulus sordidulus","Contopus_sordidulus",12.8,NA,21.5,986,1.42243921955679,108.056715822466,"Spring",24864,21.4,1040,1.32153187461179,106.108862054255,21.5,971,1.57883561230754,124.39826972669,"M","Adult"
"ad","male",5,-103.6336899,30.497497,1978,"Contopus sordidulus veliei","Contopus_sordidulus",10.5,NA,16.6,591,7.27490497699059,108.782829974301,"Spring",24828,17,481.5,7.30746817667909,97.782134029023,16.44,447.4,6.87068660628062,115.004125161214,"M","Adult"
"ad","female",5,-103.6631688,30.4947158,1981,"Contopus sordidulus veliei","Contopus_sordidulus",14.7,NA,16.7,576,6.51806347891393,73.8891599559754,"Spring",24830,16.8,501.5,7.07796384467203,110.668730695393,16.72,478.8,7.18025796220737,106.320704676057,"F","Adult"
"ad","male",7,-109.1839875,31.9137028,1978,"Contopus sordidulus veliei","Contopus_sordidulus",14.25,NA,11.7,688,6.93482100881071,58.1833872674254,"Summer",24826,11.85,739,6.75920470983635,82.8756124334002,11.38,612.4,6.81606351706419,96.6554374327096,"M","Adult"
"ad","male",6,-101.8804399,37.1204241,1978,"Contopus sordidulus veliei","Contopus_sordidulus",15.9,NA,12.2,378,11.0705554047526,115.144281834393,"Summer",24613,13,395.5,10.520503982156,108.663286373165,12.9,377,9.75199256481792,104.958163546475,"M","Adult"
"ad","male",7,-109.1728895,31.9248109,1978,"Contopus sordidulus veliei","Contopus_sordidulus",12.8,NA,13.5,535,7.11930793367905,59.2472170799551,"Summer",24621,13.65,565,6.94286507823096,81.9097913495956,13.16,467.8,6.98299631874221,94.4741797708627,"M","Adult"
"ad","male",7,-109.1728895,31.9248109,1978,"Contopus sordidulus veliei","Contopus_sordidulus",13,NA,13.5,535,7.11930793367905,59.2472170799551,"Summer",24622,13.65,565,6.94286507823096,81.9097913495956,13.16,467.8,6.98299631874221,94.4741797708627,"M","Adult"
"ad","female",7,-109.1728895,31.9248109,1978,"Contopus sordidulus veliei","Contopus_sordidulus",13.1,NA,13.5,535,7.11930793367905,59.2472170799551,"Summer",24825,13.65,565,6.94286507823096,81.9097913495956,13.16,467.8,6.98299631874221,94.4741797708627,"F","Adult"
"ad","female",6,-100.8195736,37.1284059,1978,"Contopus sordidulus veliei","Contopus_sordidulus",16.6,NA,12.9,425,11.4374550835349,101.056748527061,"Summer",24812,13.6,422,10.9210143349756,102.23756537371,13.52,405.2,10.0801328621013,105.979833780671,"F","Adult"
"ad","female",5,-99.1336384,18.9273487,1973,"Contopus sordidulus sordidulus","Contopus_sordidulus",12.2,NA,21.8,979,1.92306573423318,107.404557150392,"Spring",24893,21.7,975.5,1.69684356211688,108.718558697815,21.7,973.4,1.70320373127512,123.599448413843,"F","Adult"
