"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"ad","male",6,-93.63727,52.84037,1938,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",467.7,NA,0,617,13.8670636598183,60.9325865622278,"Summer",25481,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"M","Adult"
"ad","female",5,-81.4957,43.01923,1921,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",312,92,9.3,975,9.53400214860984,40.4420571864174,"Spring",25398,8.1,917,10.0483773727768,41.7878256894794,7.34,934.4,10.1815411496957,38.498391146655,"F","Adult"
"ad","female",3,-106.6200829,35.2337018,2007,"Corvus brachyrhynchos","Corvus_brachyrhynchos",354,NA,13.5,243,9.03929133720049,73.4398275138201,"Spring",24957,13.5,252.5,8.67418635721232,98.1179757257025,13.62,227.6,8.55053354039506,77.71868665025,"F","Adult"
"ad","female",3,-79.763782,43.203862,1999,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",435.7,NA,9.4,789,9.93747117396238,45.2732981678923,"Spring",25026,9.85,786.5,9.41663899161687,47.448996191895,8.64,863,9.72094922239196,44.444378187337,"F","Adult"
"ad","male",6,-87.72961,52.24829,1939,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",452,NA,-2,684,14.3413578664834,57.1658407777492,"Summer",25260,-1.3,692.5,13.9852174800591,60.3568531810518,-1.76,657.2,14.4644618806139,52.262236921312,"M","Adult"
"ad","female",11,-106.6635131,35.1917669,2007,"Corvus brachyrhynchos","Corvus_brachyrhynchos",377,NA,13.6,236,9.04557484311662,78.4835778082528,"Fall",25182,13.6,248,8.6745919762798,102.825080493619,13.72,227,8.56259825756003,80.5098456683604,"F","Adult"
"ad","female",4,-79.30921,44.13544,1934,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",397,NA,6,637,11.5958554508222,31.0553136501041,"Spring",25030,6.55,660.5,11.0950252725819,35.4668516687852,7.04,700.6,10.3813177473978,34.8385154155873,"F","Adult"
"ad","female",10,-78.9641,44.15638,1971,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",456.6,495,6.4,722,10.4863403212624,41.8209265678069,"Fall",25478,6.35,740,10.8462723181756,35.4663180475306,6.4,771.2,10.5014029931979,35.4252188316409,"F","Adult"
"ad","female",6,-93.63727,52.84037,1938,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",423.7,NA,0,617,13.8670636598183,60.9325865622278,"Summer",25480,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"F","Adult"
"ad","male",6,-76.95613,44.23918,1998,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",420,NA,9.5,825,9.25374207681641,45.6291900235154,"Summer",25023,8.35,835.5,9.54809132314542,39.2522291027317,7.72,850,10.3405473367788,38.1978654295788,"M","Adult"
"ad","male",9,-76.95613,44.23918,2000,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",488.2,NA,6.9,942,10.1459762139152,22.8635387944647,"Fall",25036,7.9,894.5,10.2262306872083,32.4944887808917,7.96,877.4,10.0196332971688,34.9055335455461,"M","Adult"
"ad","[male]",4,-79.30921,44.13544,1934,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",607,NA,6,637,11.5958554508222,31.0553136501041,"Spring",25031,6.55,660.5,11.0950252725819,35.4668516687852,7.04,700.6,10.3813177473978,34.8385154155873,"M","Adult"
"ad","male",6,-86.71792,50.18312,1947,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",460,NA,-0.7,756,13.5037003907234,45.2918593959555,"Summer",25263,-0.6,760.5,13.2183020818293,36.7124841049835,-0.7,754,13.0378460946366,42.653923268359,"M","Adult"
"ad","female",9,-78.80269,45.23452,1993,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",377.4,NA,4.2,1041,11.1375252950092,35.0233835130861,"Fall",25256,4,1047,10.5589405000465,36.4583883167422,4.56,1066.6,10.7806020631061,35.8081959030367,"F","Adult"
"ad","male",5,-81.4957,43.01923,1921,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",323,198,9.3,975,9.53400214860984,40.4420571864174,"Spring",25397,8.1,917,10.0483773727768,41.7878256894794,7.34,934.4,10.1815411496957,38.498391146655,"M","Adult"
"ad","female",9,-120.745631,35.33392,1918,"Corvus brachyrhynchos hesperis","Corvus_brachyrhynchos",420,NA,13.1,542,3.00817069148194,152.376146846504,"Fall",24988,13,390,3.18465050140267,182.43992968588,12.74,532.4,2.66053668504027,173.530484469181,"F","Adult"
"ad","male",4,-79.30921,44.13544,1934,"Corvus brachyrhynchos brachyrhynchos","Corvus_brachyrhynchos",569,NA,6,637,11.5958554508222,31.0553136501041,"Spring",25261,6.55,660.5,11.0950252725819,35.4668516687852,7.04,700.6,10.3813177473978,34.8385154155873,"M","Adult"
