"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
NA,"female",6,-103.2259979,30.3969994,1974,"Cratogeomys castanops clarkii","Cratogeomys_castanops",86,183,15.7,550,6.27237208041356,139.788602203364,"Summer",167702,15.7,492.5,6.51306508716341,141.474949015808,15.8,433.4,6.27811389873594,120.88368257717,"F","NS"
NA,"female",3,-103.298394,36.930228,1967,"Cratogeomys castanops","Cratogeomys_castanops",208,263,11.1,368,7.93123380672703,98.6329293120252,"Spring",167313,11.05,409,8.64437474490361,112.040431352202,11.32,402.8,9.0778881627007,102.477388327094,"F","NS"
NA,"female",11,-101.8570023,33.7010002,1963,"Cratogeomys castanops simulans","Cratogeomys_castanops",208,240,15.4,534,9.25528104774389,110.717884500918,"Fall",167345,15.45,524,8.84770977969679,101.413513408405,14.9,511.4,8.81704846698313,96.7509355464034,"F","NS"
NA,"female",2,-103.7940826,34.2163658,1976,"Cratogeomys castanops perplanus","Cratogeomys_castanops",208,251,13.8,299,7.93406063638401,105.788811919185,"Winter",167508,13.55,305.5,7.83508861661513,100.567733852799,13.64,369.6,7.91327460729223,104.203136339559,"F","NS"
NA,"female",8,-101.473999,34.1290016,1975,"Cratogeomys castanops simulans","Cratogeomys_castanops",98,185,14.3,493,8.05823501240511,75.4558192644016,"Summer",167743,14.65,590,8.11151458501433,89.3086727770408,14.66,529,8.22553415689447,87.8991105958072,"F","NS"
NA,"female",11,-102.6900024,34.8390007,1976,"Cratogeomys castanops perplanus","Cratogeomys_castanops",99,207,13.3,348,7.91057500879026,88.2224434841525,"Fall",167537,13.2,365.5,7.96215660632497,90.270530859326,13.46,414.8,8.12477832684329,91.3021629500117,"F","NS"
NA,"female",2,-101.8560028,33.6790009,1964,"Cratogeomys castanops simulans","Cratogeomys_castanops",209,250,15.3,378,8.98330100629479,90.2137912878521,"Winter",167639,15.4,456,9.11146927994854,100.933158272607,15.04,490.8,8.88430015407125,97.1123465664303,"F","NS"
NA,"female",5,-101.8560028,33.6790009,1964,"Cratogeomys castanops simulans","Cratogeomys_castanops",112,185,15.3,378,8.98330100629479,90.2137912878521,"Spring",167665,15.4,456,9.11146927994854,100.933158272607,15.04,490.8,8.88430015407125,97.1123465664303,"F","NS"
NA,"female",5,-101.9540024,32.7060013,1975,"Cratogeomys castanops simulans","Cratogeomys_castanops",209,256,16.1,556,7.52732396410611,94.1613935774678,"Spring",167728,16.55,542,7.67953875604517,117.152917865387,16.32,496.8,7.76680188654894,106.31956115349,"F","NS"
NA,"female",3,-102.723999,34.8380013,1976,"Cratogeomys castanops perplanus","Cratogeomys_castanops",209,243,13.3,345,7.89516058139799,88.1534515724757,"Spring",167818,13.2,362,7.95811551445935,90.5932237917848,13.46,412.6,8.11744043203651,91.6174179739478,"F","NS"
