"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","female",3,-78.16661,43.97027,1941,"Cyanocitta cristata bromia","Cyanocitta_cristata",80,NA,7.8,774,10.7730689755294,49.4204355116917,"Spring",25568,7.05,824,10.8370192451885,40.5979736688983,7.48,774,10.6111664832514,39.3047396768985,"F","Adult"
"ad","male",6,-80.2639,43.70308,1974,"Cyanocitta cristata bromia","Cyanocitta_cristata",98,NA,6,906,9.53206311732813,40.23230753631,"Summer",25553,6.55,920.5,9.76036926159416,36.9309157358468,6.06,916.8,10.1502977783783,36.4961180902033,"M","Adult"
"ad","male",6,-80.45638,45.70165,1978,"Cyanocitta cristata bromia","Cyanocitta_cristata",90,NA,4.4,857,11.3947223296444,46.6763789344193,"Summer",25735,4.8,894,11.1540848460556,42.9652715209849,4.94,894.8,11.0062851937051,36.3876610141589,"M","Adult"
"ad","male",7,-79.21713,43.779758,1999,"Cyanocitta cristata bromia","Cyanocitta_cristata",65,NA,8.9,738,10.0395996237928,43.605797525658,"Summer",25567,9.35,733,9.52039741531295,40.3426050967353,8.16,799,9.96006531343034,38.881092868846,"M","Adult"
"ad","male",6,-79.3281555,37.6463157,1974,"Cyanocitta cristata bromia","Cyanocitta_cristata",86,NA,12.6,1087,7.16279846276452,41.6573537266209,"Summer",25551,12.65,1184,7.7834257085896,40.3422484080538,12.44,1201.6,8.16853959980848,45.834866219913,"M","Adult"
"ad","male",3,-79.495948,43.689613,1935,"Cyanocitta cristata bromia","Cyanocitta_cristata",90,NA,7.1,635,10.5978842942897,34.6041869671218,"Spring",25569,7.05,632.5,11.0257183702123,35.62111639508,7.84,710.2,10.3289784354076,34.3874316785473,"M","Adult"
"ad","male",3,-79.469326,43.654854,1936,"Cyanocitta cristata bromia","Cyanocitta_cristata",85,NA,7.2,695,10.9438927205445,43.1338013344063,"Spring",25565,7.2,662,10.7681338827008,38.9799556298354,7.56,706.4,10.5084068388009,38.301640974231,"M","Adult"
"ad","male",6,-79.372722,43.73418,1978,"Cyanocitta cristata bromia","Cyanocitta_cristata",69.1,NA,6.6,720,10.7971657335982,52.5760524473283,"Summer",25555,7.1,836,10.7151236651572,48.1825469280041,7.32,819.8,10.3203824355909,40.5506887945776,"M","Adult"
"ad","female",1,-79.63447,43.60016,1984,"Cyanocitta cristata bromia","Cyanocitta_cristata",75.8,NA,7.6,791,9.9584591725281,29.4416075138614,"Winter",25736,7.75,820.5,10.0326319054941,31.8556151524565,7.36,842.4,10.0926241419852,38.599617733417,"F","Adult"
"ad","male",12,-79.99343,43.80176,1934,"Cyanocitta cristata bromia","Cyanocitta_cristata",93,NA,5.8,691,11.3042094599822,30.2557679447059,"Winter",25742,6.35,718,10.825609491287,35.1179720526615,6.82,778.6,10.1129238910939,34.0795044019911,"M","Adult"
