"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","female",4,-81.49143,42.90534,1908,"Dendroica pinus pinus","Dendroica_pinus",12,NA,7.7,873,10.1859491755094,40.7920593883527,"Spring",181618,6.95,892.5,9.6941663800071,36.0302343614417,6.8,915,10.0799628965483,30.0462060006798,"F","Adult"
"ad","male",5,-82.50596,41.90342,1914,"Dendroica pinus pinus","Dendroica_pinus",12.5,NA,9.8,744,10.7319792577082,34.5905521765701,"Spring",181711,10.25,703,10.1574751326758,32.2679980747496,9.98,822.4,10.3038067024403,39.9810517918791,"M","Adult"
"ad","male",5,-95.1093292,31.347773,1979,"Dendroica pinus pinus","Dendroica_pinus",12,NA,17.6,1467,7.99823370652811,41.3319794523589,"Spring",181670,17.9,1227,8.47475799575567,50.280582501302,18.24,1154.8,7.7532044947028,47.5172227751089,"M","Adult"
"ad","male",6,-80.40751,43.33776,1969,"Dendroica pinus pinus","Dendroica_pinus",11.6,NA,6.8,827,10.0318092570432,46.2820113814353,"Summer",181669,6.75,898,10.1615320014088,40.4055174900404,6.58,924,9.79983557008828,39.1264585755711,"M","Adult"
"ad","female",7,-77.15879,43.93758,1930,"Dendroica pinus pinus","Dendroica_pinus",13,NA,7.7,621,10.056597412403,37.480037345766,"Summer",181617,7.5,702,10.0114293395575,37.60119547355,7.24,776.2,9.8314116644017,37.6439977773211,"F","Adult"
"ad","female",7,-90.29081,48.77381,1929,"Dendroica pinus pinus","Dendroica_pinus",12,NA,-0.3,542,13.4204050880468,41.9849848771242,"Summer",181723,0.45,658.5,12.5022082022953,51.6338072149087,0.22,696.6,12.5635903480145,59.0134283160628,"F","Adult"
"ad","male",4,-81.49143,42.90534,1908,"Dendroica pinus pinus","Dendroica_pinus",13,NA,7.7,873,10.1859491755094,40.7920593883527,"Spring",181676,6.95,892.5,9.6941663800071,36.0302343614417,6.8,915,10.0799628965483,30.0462060006798,"M","Adult"
"ad","male",5,-95.1093292,31.347773,1979,"Dendroica pinus pinus","Dendroica_pinus",13,NA,17.6,1467,7.99823370652811,41.3319794523589,"Spring",181614,17.9,1227,8.47475799575567,50.280582501302,18.24,1154.8,7.7532044947028,47.5172227751089,"M","Adult"
"ad","female",7,-84.7482186,49.2678238,1947,"Dendroica pinus pinus","Dendroica_pinus",13.5,NA,0,707,12.8330863809376,34.0856358259349,"Summer",181678,0.05,731.5,12.5306274649249,29.9231146207598,-0.06,710.2,12.4037791636421,33.5002318793751,"F","Adult"
"ad","male",5,-82.50596,41.90342,1914,"Dendroica pinus pinus","Dendroica_pinus",13,NA,9.8,744,10.7319792577082,34.5905521765701,"Spring",181710,10.25,703,10.1574751326758,32.2679980747496,9.98,822.4,10.3038067024403,39.9810517918791,"M","Adult"
"ad","male",5,-95.1093292,31.347773,1979,"Dendroica pinus pinus","Dendroica_pinus",12.4,NA,17.6,1467,7.99823370652811,41.3319794523589,"Spring",181671,17.9,1227,8.47475799575567,50.280582501302,18.24,1154.8,7.7532044947028,47.5172227751089,"M","Adult"
