"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"immature","male",3,-115.1441,32.9821,1978,"Dipodomys deserti deserti","Dipodomys_deserti",30,267,22.7,148,8.13929395344621,107.968810398096,"Spring",28417,22.65,132.5,7.86476694927478,155.284896276627,22.22,105.2,7.83472915436725,138.3786986121,"M","Juvenile"
"unknown","female",6,-113.448,33.6426,1963,"Dipodomys deserti","Dipodomys_deserti",95.55,132,20.3,152,8.31710541139418,116.142350503416,"Summer",28416,20.5,138,8.36585831077803,123.71920767419,20.6,134,8.61181905139607,117.229004021865,"F","NS"
"unknown","female",7,-117.8426497,37.4662403,1966,"Dipodomys deserti","Dipodomys_deserti",97,315,11.8,82,8.75300814092798,100.778431473624,"Summer",28364,11.35,135.5,8.20801961442781,97.6106783609156,11.4,139,8.31129270631209,104.143882032704,"F","NS"
"unknown","female",1,-114.1361,32.3875,1941,"Dipodomys deserti","Dipodomys_deserti",101,334,21.4,205,7.08893183388404,97.8695784358626,"Winter",28358,22.05,175,7.34048406598699,114.121481363675,21.96,135.8,7.80083013569243,119.819883318548,"F","NS"
"unknown","female",3,-115.9585192,33.5880369,1964,"Dipodomys deserti","Dipodomys_deserti",132,350,20.5,54,8.18429297588689,118.027742137906,"Spring",28414,20.9,96.5,7.87112542651691,136.001761328434,21.44,69,7.89282873755083,138.674680762287,"F","NS"
"unknown","female",10,-116.1374644,33.1429607,1963,"Dipodomys deserti","Dipodomys_deserti",90,305,21.8,114,7.34947431638976,128.803258990476,"Fall",28362,21.8,83,7.41785963937165,124.834169180277,22,69.4,7.59779017596866,129.671827475076,"F","NS"
"unknown","female",3,-115.9585192,33.5880369,1964,"Dipodomys deserti","Dipodomys_deserti",134,328,20.5,54,8.18429297588689,118.027742137906,"Spring",28415,20.9,96.5,7.87112542651691,136.001761328434,21.44,69,7.89282873755083,138.674680762287,"F","NS"
"unknown","female",3,-115.9585192,33.5880369,1964,"Dipodomys deserti","Dipodomys_deserti",114,310,20.5,54,8.18429297588689,118.027742137906,"Spring",28361,20.9,96.5,7.87112542651691,136.001761328434,21.44,69,7.89282873755083,138.674680762287,"F","NS"
"unknown","male",4,-111.9129,33.6479,1968,"Dipodomys deserti","Dipodomys_deserti",104.6,315,19.9,234,7.75968602926222,76.7822815762573,"Spring",28363,19.9,272.5,7.92635994186918,110.481462773383,19.68,280.4,8.13926234279811,100.588156958752,"M","NS"
"unknown","male",1,-114.1361,32.3875,1940,"Dipodomys deserti","Dipodomys_deserti",125,355,22.7,145,7.59203629808994,130.373384291488,"Winter",28413,22.3,130.5,7.73419570017727,145.46259512631,22.18,109.2,7.94128286831888,120.241819395008,"M","NS"
"unknown","male",3,-115.9585192,33.5880369,1964,"Dipodomys deserti","Dipodomys_deserti",145,320,20.5,54,8.18429297588689,118.027742137906,"Spring",28360,20.9,96.5,7.87112542651691,136.001761328434,21.44,69,7.89282873755083,138.674680762287,"M","NS"
"unknown","female",6,-113.448,33.6426,1963,"Dipodomys deserti","Dipodomys_deserti",85.9,124,20.3,152,8.31710541139418,116.142350503416,"Summer",28359,20.5,138,8.36585831077803,123.71920767419,20.6,134,8.61181905139607,117.229004021865,"F","NS"
NA,"female",5,-116.7529984,34.6582947,1994,"Dipodomys deserti","Dipodomys_deserti",84,310,14.5,177,7.15300318366031,125.230159615771,"Spring",28411,14.55,268,6.83232388241648,151.424012175871,14.62,265.4,6.83005533682326,137.051085971858,"F","NS"
NA,"female",6,-117.7772,36.3555,2005,"Dipodomys deserti","Dipodomys_deserti",78,305,14.7,270,7.21103426364867,126.044974749769,"Summer",28490,14.55,252,7.4211250304905,124.419451679415,14.56,202,7.68950076323489,134.206035456848,"F","NS"
NA,"female",4,-115.169547,32.977629,1977,"Dipodomys deserti deserti","Dipodomys_deserti",53,257,22.6,114,7.58635138078426,204.342744560286,"Spring",28402,22.25,134.5,7.41353845055188,166.552718629133,22.08,85.2,7.78848945724474,144.412805197696,"F","NS"
NA,"female",5,-115.168461,32.95163,1977,"Dipodomys deserti deserti","Dipodomys_deserti",56,283,22.6,110,7.56695367230353,200.875618916237,"Spring",28339,22.25,133,7.39445284372544,163.559694247938,22.06,83.8,7.77343577944462,142.332039000421,"F","NS"
