"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","female",5,-106.2990587755,37.777561314,2007,"Dipodomys ordii","Dipodomys_ordii",47,238,5.8,269,9.61925153013476,60.2255516233384,"Spring",29088,5.8,275.5,9.12623393127914,78.5428614690324,5.82,239.6,8.84143528074093,72.1165840688216,"F","Adult"
"adult","female",7,-113.6765,41.9529,2007,"Dipodomys ordii","Dipodomys_ordii",55,250,8.2,229,9.78612189880046,56.6680987388501,"Summer",28813,8,266.5,9.51041129807686,50.1232716826551,7.94,305.4,9.22189418879279,64.8076037304502,"F","Adult"
"adult","female",10,-107.9193,32.5813,2009,"Dipodomys ordii","Dipodomys_ordii",45.8,232,15.7,250,7.56024290134072,89.9758109224659,"Fall",28814,15.35,287.5,7.38484268143359,107.391293986333,15.36,294,7.4603964496405,101.883206840931,"F","Adult"
"adult","male",8,-106.484229,35.313065,2013,"Dipodomys ordii","Dipodomys_ordii",60,223,12.7,261,9.24375300930146,126.453154661497,"Summer",29122,13.45,219,8.98960205866068,106.485335935529,13.34,225,8.94930895434857,90.8809418006701,"M","Adult"
"adult","female",5,-112.8330556,35.0522222,2001,"Dipodomys ordii","Dipodomys_ordii",45.7,237,13.2,315,8.31659075692569,72.7636840463063,"Spring",29013,13.05,330,8.03041796605396,98.3296968341282,12.42,359,7.63147149918804,98.9040820993129,"F","Adult"
"adult","female",8,-106.484229,35.313065,2013,"Dipodomys ordii","Dipodomys_ordii",48,231,12.7,261,9.24375300930146,126.453154661497,"Summer",28980,13.45,219,8.98960205866068,106.485335935529,13.34,225,8.94930895434857,90.8809418006701,"F","Adult"
"Adult","male",3,-107.509869,33.036522,2013,"Dipodomys ordii","Dipodomys_ordii",53,238,15.6,254,8.35584988332888,144.789270448319,"Spring",28877,16.05,216,8.04174311920475,130.538336339315,15.94,228.6,8.1272435252327,119.039022283022,"M","Adult"
"Adult","male",10,-108.37087,32.38097,2007,"Dipodomys ordii","Dipodomys_ordii",46,210,15.1,277,8.01831237439234,91.7865750361921,"Fall",29117,15.15,308,7.71863166673951,114.971903110062,15.1,291,7.73942707687066,95.1881403183007,"M","Adult"
"ADULT","male",8,-118.9,42.35,1998,"Dipodomys ordii columbianus","Dipodomys_ordii",53.9,255,9.1,418,7.9890218235382,69.8465129165755,"Summer",28953,9.15,341.5,7.86158246841793,76.9442736091257,9.48,342.2,7.66012923317251,74.8978978899083,"M","Adult"
"ADULT","female",8,-119.01,42.1,1998,"Dipodomys ordii columbianus","Dipodomys_ordii",60.9,252,7.5,387,7.87702354953951,62.4417314943701,"Summer",29096,7.55,320,7.73093594152722,73.8301880459602,7.86,317.4,7.55427255373435,73.1314838658001,"F","Adult"
"juvenile","female",7,-108.5857945,40.4368028,1994,"Dipodomys ordii","Dipodomys_ordii",19,133,9,316,10.0722240329382,70.4781179379533,"Summer",28803,7.9,382,9.82497219590448,62.5213871144126,7.92,354.4,9.96299087642058,54.0589882116032,"F","Juvenile"
"Juvenile","female",7,-112.802,38.963,2006,"Dipodomys ordii","Dipodomys_ordii",52,260,11.2,263,9.89663242387699,73.1969015511661,"Summer",29011,11.15,280.5,9.55833494587795,77.6026185975007,11.02,225.6,9.8573625946834,75.4641014540884,"F","Juvenile"
"unknown","male",4,-109.5478,31.905,1970,"Dipodomys ordii","Dipodomys_ordii",60,245,15.4,284,7.35359631662487,121.966633539654,"Spring",28718,15.5,295.5,7.37061721755508,124.392193874525,15.36,332.2,7.13794206747751,120.892974042049,"M","NS"
"unknown","female",4,-119.65189,45.89734,1956,"Dipodomys ordii","Dipodomys_ordii",49,247,11.5,181,8.76153352427357,106.43887644278,"Spring",28727,11,207,8.50441438250515,99.961205144684,11.52,192.6,7.89000863934479,81.5167509218865,"F","NS"
"unknown","male",4,-109.5478,31.905,1970,"Dipodomys ordii","Dipodomys_ordii",60,235,15.4,284,7.35359631662487,121.966633539654,"Spring",28717,15.5,295.5,7.37061721755508,124.392193874525,15.36,332.2,7.13794206747751,120.892974042049,"M","NS"
"unknown","male",3,-119.65189,45.89734,1956,"Dipodomys ordii","Dipodomys_ordii",49.5,249,11.5,181,8.76153352427357,106.43887644278,"Spring",28935,11,207,8.50441438250515,99.961205144684,11.52,192.6,7.89000863934479,81.5167509218865,"M","NS"
"unknown","male",7,-120.29151,40.38229,1941,"Dipodomys ordii","Dipodomys_ordii",52,232,9.6,343,6.53818620015359,99.0228992207232,"Summer",28721,10.1,370.5,7.14198597781357,99.4274164684734,10.04,302.6,7.79408458182098,98.6645287912084,"M","NS"
"unknown","female",8,-117.9833333,38.8,1964,"Dipodomys ordii","Dipodomys_ordii",55.8,115,9.8,151,8.63621690465463,92.51240703033,"Summer",29238,10.15,151.5,8.3789035491257,83.4511983450188,10.58,135.2,8.67323197105416,95.4173587202849,"F","NS"
"unknown","male",3,-119.65189,45.89734,1956,"Dipodomys ordii","Dipodomys_ordii",54.5,250,11.5,181,8.76153352427357,106.43887644278,"Spring",28936,11,207,8.50441438250515,99.961205144684,11.52,192.6,7.89000863934479,81.5167509218865,"M","NS"
"unknown","male",3,-119.65189,45.89734,1956,"Dipodomys ordii","Dipodomys_ordii",50.5,243,11.5,181,8.76153352427357,106.43887644278,"Spring",28934,11,207,8.50441438250515,99.961205144684,11.52,192.6,7.89000863934479,81.5167509218865,"M","NS"
"unknown","male",3,-119.65189,45.89734,1956,"Dipodomys ordii","Dipodomys_ordii",53,249,11.5,181,8.76153352427357,106.43887644278,"Spring",28724,11,207,8.50441438250515,99.961205144684,11.52,192.6,7.89000863934479,81.5167509218865,"M","NS"
"unknown","female",4,-109.5478,31.905,1970,"Dipodomys ordii","Dipodomys_ordii",61,229,15.4,284,7.35359631662487,121.966633539654,"Spring",28931,15.5,295.5,7.37061721755508,124.392193874525,15.36,332.2,7.13794206747751,120.892974042049,"F","NS"
"unknown","female",10,-120.2456049,40.3623067,1959,"Dipodomys ordii","Dipodomys_ordii",45,220,10,121,7.79573990112937,123.467061268019,"Fall",28930,10.15,193.5,7.5464764716155,101.333622232435,9.28,212.4,7.91322646508811,112.251436325612,"F","NS"
"unknown","male",7,-117.8426497,37.4662403,1966,"Dipodomys ordii","Dipodomys_ordii",51,242,11.8,82,8.75300814092798,100.778431473624,"Summer",28731,11.35,135.5,8.20801961442781,97.6106783609156,11.4,139,8.31129270631209,104.143882032704,"M","NS"
"unknown","female",4,-110.7114,32.1639,1964,"Dipodomys ordii","Dipodomys_ordii",42,236,17.1,431,7.67496915401955,95.471245399293,"Spring",28939,17.8,391,7.43836830692437,90.3874453221808,17.9,361.6,7.42097757728653,95.8232828382132,"F","NS"
"unknown","female",8,-117.9833333,38.8,1964,"Dipodomys ordii","Dipodomys_ordii",56.25,111,9.8,151,8.63621690465463,92.51240703033,"Summer",29237,10.15,151.5,8.3789035491257,83.4511983450188,10.58,135.2,8.67323197105416,95.4173587202849,"F","NS"
"unknown","female",3,-119.65189,45.89734,1956,"Dipodomys ordii","Dipodomys_ordii",44,251,11.5,181,8.76153352427357,106.43887644278,"Spring",28725,11,207,8.50441438250515,99.961205144684,11.52,192.6,7.89000863934479,81.5167509218865,"F","NS"
"unknown","male",3,-119.65189,45.89734,1956,"Dipodomys ordii","Dipodomys_ordii",52,257,11.5,181,8.76153352427357,106.43887644278,"Spring",28723,11,207,8.50441438250515,99.961205144684,11.52,192.6,7.89000863934479,81.5167509218865,"M","NS"
"unknown","male",4,-119.65189,45.89734,1956,"Dipodomys ordii","Dipodomys_ordii",46,252,11.5,181,8.76153352427357,106.43887644278,"Spring",28937,11,207,8.50441438250515,99.961205144684,11.52,192.6,7.89000863934479,81.5167509218865,"M","NS"
"unknown","male",4,-109.5478,31.905,1970,"Dipodomys ordii","Dipodomys_ordii",68,241,15.4,284,7.35359631662487,121.966633539654,"Spring",28719,15.5,295.5,7.37061721755508,124.392193874525,15.36,332.2,7.13794206747751,120.892974042049,"M","NS"
"unknown","female",4,-119.0472361,46.2397,1956,"Dipodomys ordii","Dipodomys_ordii",46,237,11.3,179,8.9792184312647,92.8123990323567,"Spring",28730,10.85,200,8.8003428240132,92.898113947013,11.52,178.6,8.00649714069128,84.1101635894993,"F","NS"
"unknown","male",4,-109.5478,31.905,1970,"Dipodomys ordii","Dipodomys_ordii",62,227,15.4,284,7.35359631662487,121.966633539654,"Spring",28716,15.5,295.5,7.37061721755508,124.392193874525,15.36,332.2,7.13794206747751,120.892974042049,"M","NS"
"unknown","male",4,-110.7114,32.1639,1964,"Dipodomys ordii","Dipodomys_ordii",52,236,17.1,431,7.67496915401955,95.471245399293,"Spring",28938,17.8,391,7.43836830692437,90.3874453221808,17.9,361.6,7.42097757728653,95.8232828382132,"M","NS"
"unknown","male",4,-109.5478,31.905,1970,"Dipodomys ordii","Dipodomys_ordii",61,230,15.4,284,7.35359631662487,121.966633539654,"Spring",28714,15.5,295.5,7.37061721755508,124.392193874525,15.36,332.2,7.13794206747751,120.892974042049,"M","NS"
"unknown","male",4,-119.0486962,46.2481081,1956,"Dipodomys ordii","Dipodomys_ordii",47.5,246,11.2,179,8.97119971031881,92.8123990323567,"Spring",28729,10.8,200,8.80662842238595,92.898113947013,11.5,178.6,8.00696847544383,84.3782375792621,"M","NS"
"unknown","female",4,-109.5478,31.905,1970,"Dipodomys ordii","Dipodomys_ordii",58,213,15.4,284,7.35359631662487,121.966633539654,"Spring",28933,15.5,295.5,7.37061721755508,124.392193874525,15.36,332.2,7.13794206747751,120.892974042049,"F","NS"
"unknown","male",3,-119.65189,45.89734,1956,"Dipodomys ordii","Dipodomys_ordii",52,238,11.5,181,8.76153352427357,106.43887644278,"Spring",28722,11,207,8.50441438250515,99.961205144684,11.52,192.6,7.89000863934479,81.5167509218865,"M","NS"
"unknown","female",4,-109.5478,31.905,1970,"Dipodomys ordii","Dipodomys_ordii",56,227,15.4,284,7.35359631662487,121.966633539654,"Spring",28715,15.5,295.5,7.37061721755508,124.392193874525,15.36,332.2,7.13794206747751,120.892974042049,"F","NS"
"unknown","female",7,-120.29151,40.38229,1941,"Dipodomys ordii","Dipodomys_ordii",51,245,9.6,343,6.53818620015359,99.0228992207232,"Summer",28720,10.1,370.5,7.14198597781357,99.4274164684734,10.04,302.6,7.79408458182098,98.6645287912084,"F","NS"
"unknown","female",4,-119.65189,45.89734,1956,"Dipodomys ordii","Dipodomys_ordii",40,249,11.5,181,8.76153352427357,106.43887644278,"Spring",28728,11,207,8.50441438250515,99.961205144684,11.52,192.6,7.89000863934479,81.5167509218865,"F","NS"
"unknown","male",4,-119.65189,45.89734,1956,"Dipodomys ordii","Dipodomys_ordii",38,249,11.5,181,8.76153352427357,106.43887644278,"Spring",28726,11,207,8.50441438250515,99.961205144684,11.52,192.6,7.89000863934479,81.5167509218865,"M","NS"
"unknown","male",4,-109.5478,31.905,1970,"Dipodomys ordii","Dipodomys_ordii",58,235,15.4,284,7.35359631662487,121.966633539654,"Spring",28932,15.5,295.5,7.37061721755508,124.392193874525,15.36,332.2,7.13794206747751,120.892974042049,"M","NS"
NA,"female",11,-102.625,33.3149986,1996,"Dipodomys ordii","Dipodomys_ordii",33,194,15.4,400,8.18749971084894,123.224849914145,"Fall",29179,15.3,451.5,7.95665375212595,121.090511258182,15.26,453.4,8.07851332702647,99.1242068230641,"F","NS"
NA,"female",8,-101.016,24.884,2006,"Dipodomys ordii","Dipodomys_ordii",40,235,18.4,409,5.13213287813048,80.0479566860584,"Summer",29142,18.3,413.5,5.1703315887182,88.5715002994781,18.48,472.8,5.13446547848828,92.9902349167848,"F","NS"
NA,"female",1,-112.5927,34.3392,1980,"Dipodomys ordii","Dipodomys_ordii",49.8,228,15.5,525,6.92380609990566,125.739312739052,"Winter",29232,15.1,477,7.38578824195323,121.380769713667,15.24,514.2,7.54302496522937,99.9008444081614,"F","NS"
NA,"female",6,-120.12616,39.82322,2006,"Dipodomys ordii columbianus","Dipodomys_ordii",38,238,10.6,363,8.45635407503874,95.7195094289668,"Summer",28905,10.45,435.5,8.34763382724593,112.255321463177,10.64,398.6,8.17855759557891,105.871187809602,"F","NS"
NA,"female",10,-106.935975,34.29136,1997,"Dipodomys ordii","Dipodomys_ordii",34.9,215,13.5,320,9.02526336390683,78.259939948593,"Fall",28839,14.3,266,8.80452855721484,91.1551825589755,14.32,227,8.75918868463229,104.438123442963,"F","NS"
NA,"female",6,-104.903847,27.075579,1964,"Dipodomys ordii","Dipodomys_ordii",40.4,222,18.5,237,6.61203562842149,126.262137606093,"Summer",29058,18.8,261.5,6.46011567783726,128.858406407031,18.88,292.2,6.36696854804167,136.361722524915,"F","NS"
NA,"female",10,-106.935975,34.29136,1997,"Dipodomys ordii","Dipodomys_ordii",45,226,13.5,320,9.02526336390683,78.259939948593,"Fall",28841,14.3,266,8.80452855721484,91.1551825589755,14.32,227,8.75918868463229,104.438123442963,"F","NS"
NA,"female",7,-108.768485,40.73845,1981,"Dipodomys ordii priscus","Dipodomys_ordii",42.5,235,7.5,278,9.21337548777797,82.2869696657042,"Summer",28559,7.7,253,9.28618849426047,79.5633899323385,7.72,237.6,9.88461224225842,72.1500578557615,"F","NS"
NA,"female",8,-120.17653,40.84532,2006,"Dipodomys ordii columbianus","Dipodomys_ordii",54,240,8.7,295,8.29437103758271,83.9486705060081,"Summer",28694,8.55,346,8.16364785484901,97.5882957039991,8.8,310.6,8.00089350759024,85.0157525410386,"F","NS"
NA,"female",9,-106.720344,34.336205,1998,"Dipodomys ordii","Dipodomys_ordii",37,237,13.6,279,8.6220778976258,122.137388633215,"Fall",28644,13.4,312,8.786036832679,97.815957816069,14.06,252.2,8.69773128786917,91.3345867247715,"F","NS"
NA,"female",6,-120.12616,39.82322,2006,"Dipodomys ordii columbianus","Dipodomys_ordii",44,257,10.6,363,8.45635407503874,95.7195094289668,"Summer",28906,10.45,435.5,8.34763382724593,112.255321463177,10.64,398.6,8.17855759557891,105.871187809602,"F","NS"
NA,"female",3,-112.9523773,40.003643,1975,"Dipodomys ordii pallidus","Dipodomys_ordii",43,240,9.3,232,9.70792787552337,69.7703847748986,"Spring",28920,10.05,177.5,9.75296468621369,79.2966465241639,10,214.8,9.85574667524995,74.7106999049724,"F","NS"
NA,"female",9,-117.95541,37.5682484,1977,"Dipodomys ordii monoensis Grinnell, 1919","Dipodomys_ordii",50,238,11.8,143,8.20965340869571,131.103495600827,"Fall",28545,11.4,157.5,8.12977494418067,112.479065695811,11.24,123.2,8.55821709086308,102.683978975483,"F","NS"
NA,"female",6,-109.83094,41.34923,2012,"Dipodomys ordii","Dipodomys_ordii",46,234,8.3,116,9.52853370385258,47.732644545724,"Summer",28736,7.1,177,9.84407685791764,67.9306807487393,6.42,199,9.84304246859801,68.1062181757032,"F","NS"
NA,"female",3,-112.9523773,40.003643,1975,"Dipodomys ordii pallidus","Dipodomys_ordii",38,238,9.3,232,9.70792787552337,69.7703847748986,"Spring",28926,10.05,177.5,9.75296468621369,79.2966465241639,10,214.8,9.85574667524995,74.7106999049724,"F","NS"
NA,"female",9,-117.95541,37.5682484,1977,"Dipodomys ordii monoensis Grinnell, 1919","Dipodomys_ordii",45,213,11.8,143,8.20965340869571,131.103495600827,"Fall",28750,11.4,157.5,8.12977494418067,112.479065695811,11.24,123.2,8.55821709086308,102.683978975483,"F","NS"
NA,"female",8,-118.03,37.33,1977,"Dipodomys ordii monoensis Grinnell, 1919","Dipodomys_ordii",45,244,12.2,170,8.05554110064882,129.978341651683,"Summer",28966,11.9,176.5,7.91066573304568,113.076884775246,11.7,144.4,8.39116062358297,105.294160466659,"F","NS"
NA,"female",6,-104.903847,27.075579,1964,"Dipodomys ordii","Dipodomys_ordii",40,236,18.5,237,6.61203562842149,126.262137606093,"Summer",29059,18.8,261.5,6.46011567783726,128.858406407031,18.88,292.2,6.36696854804167,136.361722524915,"F","NS"
NA,"female",6,-120.12616,39.82322,2006,"Dipodomys ordii columbianus","Dipodomys_ordii",38,242,10.6,363,8.45635407503874,95.7195094289668,"Summer",28685,10.45,435.5,8.34763382724593,112.255321463177,10.64,398.6,8.17855759557891,105.871187809602,"F","NS"
NA,"female",8,-118.0565649,37.3105509,1977,"Dipodomys ordii monoensis Grinnell, 1919","Dipodomys_ordii",34,215,12.2,172,8.03328303768991,129.020311584515,"Summer",28542,11.9,175.5,7.87450440658553,111.945374922168,11.66,144.8,8.35288863345809,103.967708414886,"F","NS"
NA,"female",2,-109.550709,31.876018,1970,"Dipodomys ordii","Dipodomys_ordii",38.2,212,15.5,281,7.3180143026188,123.366506762263,"Winter",29077,15.55,293.5,7.35067467302762,126.188966561898,15.4,330.2,7.1173979610693,122.615581626025,"F","NS"
NA,"female",4,-108.97,32.08,2012,"Dipodomys ordii","Dipodomys_ordii",35,210,17.4,216,7.33546800886562,162.446810023331,"Spring",28603,17.1,268.5,7.87818951495191,141.314115698305,16.9,252.8,7.60260325653285,121.012526193871,"F","NS"
NA,"female",8,-118.0565649,37.3105509,1977,"Dipodomys ordii monoensis Grinnell, 1919","Dipodomys_ordii",44,224,12.2,172,8.03328303768991,129.020311584515,"Summer",28537,11.9,175.5,7.87450440658553,111.945374922168,11.66,144.8,8.35288863345809,103.967708414886,"F","NS"
NA,"female",10,-106.931769,34.294287,1997,"Dipodomys ordii","Dipodomys_ordii",46,248,13.6,318,9.03920752761395,78.1392533694507,"Fall",28836,14.4,264.5,8.80976163333282,91.1346565872313,14.42,225.4,8.77138141106508,104.291597225144,"F","NS"
NA,"female",6,-106.935975,34.29136,1995,"Dipodomys ordii","Dipodomys_ordii",46,184,14.7,130,8.17106869609867,99.3274857991493,"Summer",28825,14.6,189.5,8.75904934473464,88.137440307792,13.9,230.8,8.77487266734516,99.9293856819899,"F","NS"
NA,"female",11,-102.625,33.3149986,1996,"Dipodomys ordii","Dipodomys_ordii",37,205,15.4,400,8.18749971084894,123.224849914145,"Fall",29182,15.3,451.5,7.95665375212595,121.090511258182,15.26,453.4,8.07851332702647,99.1242068230641,"F","NS"
NA,"female",4,-104.8533333,26.0683333,1999,"Dipodomys ordii","Dipodomys_ordii",45,252,18.4,378,4.82857655165076,170.655630571575,"Spring",28983,18.6,379,4.94252277779898,152.252738307984,18.46,362,4.88064369528014,129.216501056704,"F","NS"
NA,"female",10,-106.935975,34.29136,1997,"Dipodomys ordii","Dipodomys_ordii",34.8,252,13.5,320,9.02526336390683,78.259939948593,"Fall",28632,14.3,266,8.80452855721484,91.1551825589755,14.32,227,8.75918868463229,104.438123442963,"F","NS"
NA,"female",5,-107.58601,33.09397,2013,"Dipodomys ordii","Dipodomys_ordii",38.2,204,14.6,318,8.04899297296176,141.966536483689,"Spring",28668,15.1,271.5,7.73424000452859,131.817430107193,14.98,290.2,7.81744085973141,120.81880014592,"F","NS"
NA,"female",7,-108.5582,33.0155,2012,"Dipodomys ordii","Dipodomys_ordii",41.2,193,15.9,266,7.63855352799206,144.433383948058,"Summer",28973,15.55,343,8.1443796704614,138.468026542447,15.3,380.2,7.85777956895047,116.359816294628,"F","NS"
NA,"female",3,-112.9523773,40.003643,1975,"Dipodomys ordii pallidus","Dipodomys_ordii",31,236,9.3,232,9.70792787552337,69.7703847748986,"Spring",28707,10.05,177.5,9.75296468621369,79.2966465241639,10,214.8,9.85574667524995,74.7106999049724,"F","NS"
NA,"female",5,-104.4164,26.9434667,1997,"Dipodomys ordii","Dipodomys_ordii",31,215,18.6,314,6.14853394696408,89.7121532698377,"Spring",29124,19.05,336.5,6.03693878156748,96.8467517895108,19.12,313,5.87302486703676,117.194023551041,"F","NS"
