"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","male",9,-107.4899666667,33.0024333333,2013,"Dipodomys spectabilis","Dipodomys_spectabilis",121,353,15.4,270,8.27531927425819,144.632642601269,"Fall",29272,15.9,230.5,7.95546084470998,130.494503447523,15.82,242,8.04208495829856,119.361377008302,"M","Adult"
"adult","male",9,-107.4899666667,33.0024333333,2013,"Dipodomys spectabilis","Dipodomys_spectabilis",123,352,15.4,270,8.27531927425819,144.632642601269,"Fall",29254,15.9,230.5,7.95546084470998,130.494503447523,15.82,242,8.04208495829856,119.361377008302,"M","Adult"
"adult","male",9,-107.4899666667,33.0024333333,2013,"Dipodomys spectabilis","Dipodomys_spectabilis",144,355,15.4,270,8.27531927425819,144.632642601269,"Fall",29252,15.9,230.5,7.95546084470998,130.494503447523,15.82,242,8.04208495829856,119.361377008302,"M","Adult"
"adult","male",9,-107.4899666667,33.0024333333,2013,"Dipodomys spectabilis","Dipodomys_spectabilis",145,351,15.4,270,8.27531927425819,144.632642601269,"Fall",29253,15.9,230.5,7.95546084470998,130.494503447523,15.82,242,8.04208495829856,119.361377008302,"M","Adult"
"unknown","female",3,-110.8411,32.5735,1952,"Dipodomys spectabilis","Dipodomys_spectabilis",63.8,264,17.6,392,8.39971139475348,82.4242693366728,"Spring",29276,17.55,439.5,8.07420803816946,75.4760700020403,17.6,349.4,7.8608397214558,90.95054592223,"F","NS"
"unknown","female",3,-110.8411,32.5735,1952,"Dipodomys spectabilis","Dipodomys_spectabilis",74.2,293,17.6,392,8.39971139475348,82.4242693366728,"Spring",29261,17.55,439.5,8.07420803816946,75.4760700020403,17.6,349.4,7.8608397214558,90.95054592223,"F","NS"
"unknown","female",4,-109.5478,31.905,1970,"Dipodomys spectabilis","Dipodomys_spectabilis",90,277,15.4,284,7.35359631662487,121.966633539654,"Spring",29275,15.5,295.5,7.37061721755508,124.392193874525,15.36,332.2,7.13794206747751,120.892974042049,"F","NS"
"unknown","female",3,-110.8411,32.5735,1952,"Dipodomys spectabilis","Dipodomys_spectabilis",129.5,338,17.6,392,8.39971139475348,82.4242693366728,"Spring",29277,17.55,439.5,8.07420803816946,75.4760700020403,17.6,349.4,7.8608397214558,90.95054592223,"F","NS"
"unknown","male",4,-109.5478,31.905,1970,"Dipodomys spectabilis","Dipodomys_spectabilis",150,322,15.4,284,7.35359631662487,121.966633539654,"Spring",29274,15.5,295.5,7.37061721755508,124.392193874525,15.36,332.2,7.13794206747751,120.892974042049,"M","NS"
"unknown","female",3,-110.8411,32.5735,1952,"Dipodomys spectabilis","Dipodomys_spectabilis",86,302,17.6,392,8.39971139475348,82.4242693366728,"Spring",29279,17.55,439.5,8.07420803816946,75.4760700020403,17.6,349.4,7.8608397214558,90.95054592223,"F","NS"
"unknown","male",3,-110.8411,32.5735,1952,"Dipodomys spectabilis","Dipodomys_spectabilis",136.9,348,17.6,392,8.39971139475348,82.4242693366728,"Spring",29278,17.55,439.5,8.07420803816946,75.4760700020403,17.6,349.4,7.8608397214558,90.95054592223,"M","NS"
NA,"female",2,-109.5161,31.883,1970,"Dipodomys spectabilis","Dipodomys_spectabilis",71.8,268,15.2,295,7.20391307806831,121.346275351861,"Winter",29320,15.3,309.5,7.23637742158411,123.749924303789,15.16,348.8,7.00146451121904,120.155160502437,"F","NS"
NA,"female",1,-110.0791667,30.1025,2005,"Dipodomys spectabilis","Dipodomys_spectabilis",85,312,19.1,466,5.9737050073762,159.650636035135,"Winter",29297,18.75,526.5,6.09479382270045,122.116764289626,18.76,573,6.16564574573081,121.838278217512,"F","NS"
NA,"female",3,-107.463,32.9803,2013,"Dipodomys spectabilis","Dipodomys_spectabilis",110,295,15.7,255,8.32230937500723,143.48003754196,"Spring",29251,16.15,218,7.99961634274884,129.963752328473,16.06,227.8,8.09702885409077,118.413260302994,"F","NS"
NA,"female",10,-109.22816,31.60814,1969,"Dipodomys spectabilis","Dipodomys_spectabilis",65,261,15.5,340,7.39266630868154,125.601490781136,"Fall",29367,15.05,353.5,7.08422100533423,117.202892156838,15.4,387.6,6.9105381716061,120.666059938248,"F","NS"
NA,"female",4,-107.24,33.51,1970,"Dipodomys spectabilis baileyi","Dipodomys_spectabilis",104.9,313,13.7,145,7.74999511241293,105.932568158529,"Spring",29338,14.05,202.5,7.90716696627782,108.78464190408,13.92,202.2,7.94392740764286,113.230259132162,"F","NS"
NA,"female",10,-110.856419,32.639854,1954,"Dipodomys spectabilis","Dipodomys_spectabilis",144.5,337,18.3,463,6.93416552406643,101.486218835378,"Fall",29358,17.8,348,7.31633495229594,119.257492293162,17.54,377,7.47697808406163,101.693456634045,"F","NS"
NA,"female",8,-104.6647778,26.9084444,2004,"Dipodomys spectabilis","Dipodomys_spectabilis",56,245,18.8,518,5.72797494492573,98.4925497937536,"Summer",29350,18.95,453.5,5.65641500333122,102.287207257161,19.08,378.4,5.91986144180211,109.732595341677,"F","NS"
NA,"female",1,-112.73,32.23,1969,"Dipodomys spectabilis perblandus","Dipodomys_spectabilis",96.5,331,20.8,208,7.99171445936352,107.49534893642,"Winter",29282,20.65,195.5,7.73395703459804,113.359261644241,20.56,256,7.81653908828709,110.567014297152,"F","NS"
NA,"female",1,-109.24,31.59222,1957,"Dipodomys spectabilis","Dipodomys_spectabilis",98.7,305,15.8,358,6.58917270753294,118.022425535544,"Winter",29357,15.65,262.5,7.07885152401919,126.548101762076,15.64,271.2,7.02307734806174,145.07598699223,"F","NS"
