"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"1st.yr.","female",6,-120.2971805,41.5590607,1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.9,NA,5.8,847,7.61698162600574,109.235639777376,"Summer",31157,6.15,795,7.39650484544055,97.5922057848914,6.44,732.2,7.84739785271991,90.738268022385,"F","Juvenile"
"1st.yr.","female",6,-120.2971805,41.5590607,1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",11.4,NA,5.8,847,7.61698162600574,109.235639777376,"Summer",31008,6.15,795,7.39650484544055,97.5922057848914,6.44,732.2,7.84739785271991,90.738268022385,"F","Juvenile"
"1st.yr.","female",6,-120.6156518,42.2227266,1979,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",11.3,NA,6.5,547,7.78803958683189,67.5616809471901,"Summer",31184,6.4,509,7.35963826111206,75.8074343496942,6.1,483.2,7.36733333518234,80.2321530039006,"F","Juvenile"
"1st.yr.","male",6,-120.2971805,41.5590607,1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",11.2,NA,5.8,847,7.61698162600574,109.235639777376,"Summer",31001,6.15,795,7.39650484544055,97.5922057848914,6.44,732.2,7.84739785271991,90.738268022385,"M","Juvenile"
"1st.yr.","male",6,-120.2663661,41.9827038,1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",12.5,NA,5.9,854,7.47450211172502,120.380008979209,"Summer",31152,6.3,761.5,7.30760457371256,94.8576027423048,6.62,661.8,7.77535935419992,85.9161070195377,"M","Juvenile"
"1st.yr.","female",6,-120.6045306,42.2836843,1979,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",13.2,NA,6.1,598,7.79566701715923,67.2206714920115,"Summer",31046,6.05,561.5,7.34796251363365,78.8392525638123,5.8,526.2,7.3675150024611,81.5788456447935,"F","Juvenile"
"1st.yr.","male",6,-120.2971805,41.5590607,1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",11.9,NA,5.8,847,7.61698162600574,109.235639777376,"Summer",31005,6.15,795,7.39650484544055,97.5922057848914,6.44,732.2,7.84739785271991,90.738268022385,"M","Juvenile"
"1st.yr.","male",6,-120.6045306,42.2836843,1979,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",12,NA,6.1,598,7.79566701715923,67.2206714920115,"Summer",31043,6.05,561.5,7.34796251363365,78.8392525638123,5.8,526.2,7.3675150024611,81.5788456447935,"M","Juvenile"
"1st.yr.","female",6,-120.2971805,41.5590607,1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",11.3,NA,5.8,847,7.61698162600574,109.235639777376,"Summer",31158,6.15,795,7.39650484544055,97.5922057848914,6.44,732.2,7.84739785271991,90.738268022385,"F","Juvenile"
"1st.yr.","male",6,-120.2971805,41.5590607,1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",11.8,NA,5.8,847,7.61698162600574,109.235639777376,"Summer",31007,6.15,795,7.39650484544055,97.5922057848914,6.44,732.2,7.84739785271991,90.738268022385,"M","Juvenile"
"1st.yr.sk.","female",6,-105.1047292,38.06526724,1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",12.2,NA,5.8,560,7.78936726725877,119.131067526823,"Summer",31201,5.05,544.5,8.2599910788054,86.838357761143,4.88,545.8,7.80330387209501,86.3611642441803,"F","NS"
"1st.yr.sk.","female",6,-109.8206,32.6308,1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",12.1,NA,10.3,563,6.47083784561493,94.3352089705021,"Summer",31065,9.9,578.5,6.6195032177315,96.2413771721359,9.98,618,6.68246660762137,87.0382900630706,"F","NS"
"1st.yr.sk.","female",6,-120.2357672,41.5389116,1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.5,NA,6.4,742,7.63435218819078,112.677157587897,"Summer",31167,6.75,686.5,7.41309918542922,97.0887081601759,7.02,634,7.88913529984249,91.7007721062701,"F","NS"
"1st.yr.sk.","male",6,-120.289512,41.9885085,1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",11.7,NA,7,710,7.4748619121734,116.183190869799,"Summer",30999,7.4,631,7.30510994015089,92.300369864831,7.66,545.6,7.77897627343862,83.2083080966223,"M","NS"
"1st.yr.sk.","male",6,-121.5351,44.0323,1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",11.6,NA,4.5,1129,6.27391787119862,170.882226635673,"Summer",30994,5.1,976,6.2237587887374,121.993823616108,5.5,903.2,6.4232775729078,103.067917031692,"M","NS"
"1st.yr.sk.","male",6,-105.1252852,38.05996552,1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",11.2,NA,4.9,582,7.74641657135541,119.918425591789,"Summer",31192,4.15,564,8.22470358771313,87.395752661495,4,569.8,7.76700959921981,87.0238126141645,"M","NS"
"1st.yr.sk.","female",6,-109.3136,33.8547,1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",12.3,NA,6.5,743,6.60190514284714,85.0756081013517,"Summer",31061,6.25,672,6.93994593872623,80.291324149099,6.26,686.6,6.93554458247806,75.4735381106916,"F","NS"
"1st.yr.sk.","female",6,-120.2971805,41.5590607,1964,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",11.4,NA,5.8,847,7.61698162600574,109.235639777376,"Summer",31155,6.15,795,7.39650484544055,97.5922057848914,6.44,732.2,7.84739785271991,90.738268022385,"F","NS"
"1st.yr.sk.","female",6,-105.1252852,38.05996552,1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",11.3,NA,4.9,582,7.74641657135541,119.918425591789,"Summer",31047,4.15,564,8.22470358771313,87.395752661495,4,569.8,7.76700959921981,87.0238126141645,"F","NS"
"1st.yr.sk.","female",6,-105.1047292,38.06526724,1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",13.2,NA,5.8,560,7.78936726725877,119.131067526823,"Summer",31052,5.05,544.5,8.2599910788054,86.838357761143,4.88,545.8,7.80330387209501,86.3611642441803,"F","NS"
"1st.yr.sk.","male",7,-105.0544452,38.05000622,1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",10.9,NA,7,543,7.91099637443752,115.203568611498,"Summer",31050,6.25,537,8.34531724540742,85.8703158047615,6.1,528,7.92015762958087,84.3658738884734,"M","NS"
"1st.yr.sk.","male",7,-105.1047292,38.06526724,1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",11.1,NA,5.8,560,7.78936726725877,119.131067526823,"Summer",31054,5.05,544.5,8.2599910788054,86.838357761143,4.88,545.8,7.80330387209501,86.3611642441803,"M","NS"
"1st.yr.sk.","female",6,-105.1047292,38.06526724,1980,"Empidonax occidentalis hellmayri","Empidonax_occidentalis",12.2,NA,5.8,560,7.78936726725877,119.131067526823,"Summer",31199,5.05,544.5,8.2599910788054,86.838357761143,4.88,545.8,7.80330387209501,86.3611642441803,"F","NS"
