"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","male",8,-105.124398,40.553902,2012,"Eptesicus fuscus","Eptesicus_fuscus",19.9,116,10.5,250,9.2498976243311,83.9798399670795,"Summer",31845,9.6,363,9.44292926107364,80.506460467334,9.02,389.8,9.23058405459458,82.3630859544336,"M","Adult"
"adult","female",8,-110.9625,41.26833,1997,"Eptesicus fuscus pallidus","Eptesicus_fuscus",10.4,110,5,361,8.80380427411751,52.8722512251693,"Summer",31584,5.35,335.5,8.46712791259209,49.1278518139694,5.12,325.6,8.47653631933305,62.2704574727209,"F","Adult"
"adult","male",7,-104.912219,40.33524,2012,"Eptesicus fuscus","Eptesicus_fuscus",14,113.5,11.2,215,9.53714826191231,77.0528991698729,"Summer",31733,10.35,301,9.76131697037879,73.3898059459011,9.76,335.2,9.54148969410553,79.4907990257461,"M","Adult"
"adult","male",7,-104.85056,40.52417,2012,"Eptesicus fuscus","Eptesicus_fuscus",12.5,110,11,217,9.61696732894838,83.9692194792651,"Summer",31851,10.15,305,9.82175960003374,79.5977913297173,9.56,335.6,9.57954982177774,83.2655322827157,"M","Adult"
"adult","male",8,-105.08917,39.99361,2012,"Eptesicus fuscus","Eptesicus_fuscus",13.1,118.5,12.2,214,9.00899802722508,66.2736172231433,"Summer",31716,11.35,305,9.28209825857381,64.1009800974363,10.76,335.6,9.0960636103937,71.7044112901549,"M","Adult"
"adult","female",8,-104.966881,40.220952,2012,"Eptesicus fuscus","Eptesicus_fuscus",13.5,113.5,11.3,215,9.44067200355927,72.4002184516062,"Summer",31295,10.45,302,9.67599545396767,68.4515429511862,9.86,339,9.46549442654003,76.2396796066465,"F","Adult"
"adult","male",8,-106.95556,44.79722,1996,"Eptesicus fuscus pallidus","Eptesicus_fuscus",9.1,101,5.9,336,11.4028272676986,89.4078447482661,"Summer",31579,6.7,377.5,10.1651479720939,84.6244641551447,6.96,363.6,9.85048125450178,79.9127622619004,"M","Adult"
"adult","female",6,-104.81972,41.14,1997,"Eptesicus fuscus pallidus","Eptesicus_fuscus",8.6,109,6.6,519,9.13933805042794,83.314767095959,"Summer",31582,7,459,8.99207238935337,78.1502221978745,7.32,424.8,8.66516604538992,80.1617132890562,"F","Adult"
"adult","female",7,-105.210013,40.056912,2011,"Eptesicus fuscus","Eptesicus_fuscus",10,120,10.3,449,9.55143571629021,64.2268706157392,"Summer",31317,10.45,413.5,9.36123524410818,67.0307905257576,10.28,403,9.2482646933568,70.9519688874542,"F","Adult"
"adult","male",7,-106.95556,44.79722,1997,"Eptesicus fuscus pallidus","Eptesicus_fuscus",15.3,112,6.4,390,9.87185699886605,75.7050418533838,"Summer",31585,6.15,363,10.6373421332823,82.556443300825,6.66,373.4,10.1105173736063,79.4564470786892,"M","Adult"
