"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"ad","female",7,-113.4999924,53.7668986,1973,"Euphagus cyanocephalus","Euphagus_cyanocephalus",59.6,215,1.5,564,12.0018432927714,88.5428077233779,"Summer",35277,0.85,538,12.5641615036698,78.0783258252983,0.88,494.4,13.1076080927854,90.7566486820753,"F","Adult"
"ad","female",7,-107.0192139,52.1333332,1973,"Euphagus cyanocephalus","Euphagus_cyanocephalus",59.9,NA,2.3,370,13.001316949611,72.8609568867221,"Summer",35618,1.35,336.5,13.8688178601115,71.5209466060654,1.14,358.4,14.197255070015,90.1896874016965,"F","Adult"
"ad","female",7,-106.9159556,51.9799254,1973,"Euphagus cyanocephalus","Euphagus_cyanocephalus",63.5,87.8,2.5,375,12.859176065787,71.4516492589092,"Summer",35617,1.55,339.5,13.7563899624636,70.3979043197161,1.32,360.6,14.0911230624549,89.3637574926686,"F","Adult"
"ad","female",6,-97.3223877,49.4038247,1968,"Euphagus cyanocephalus","Euphagus_cyanocephalus",58.4,NA,2.5,649,13.0397178813133,90.6098399053963,"Summer",35138,2.25,524,13.4862215735759,79.2577487079845,1.94,532,14.0698141503462,78.5284719396948,"F","Adult"
"ad","female",6,-97.3223877,49.4038247,1968,"Euphagus cyanocephalus","Euphagus_cyanocephalus",52.8,NA,2.5,649,13.0397178813133,90.6098399053963,"Summer",35175,2.25,524,13.4862215735759,79.2577487079845,1.94,532,14.0698141503462,78.5284719396948,"F","Adult"
"ad","female",6,-119.606781,49.481063,1980,"Euphagus cyanocephalus","Euphagus_cyanocephalus",50.5,NA,9.2,312,8.19738964364248,51.4911385751408,"Summer",35680,9.2,281.5,8.98692085872653,50.3878832285062,9.04,289.4,8.57710156634584,60.5797814173126,"F","Adult"
"ad","male",6,-97.3223877,49.4038247,1968,"Euphagus cyanocephalus","Euphagus_cyanocephalus",82.25,NA,2.5,649,13.0397178813133,90.6098399053963,"Summer",35514,2.25,524,13.4862215735759,79.2577487079845,1.94,532,14.0698141503462,78.5284719396948,"M","Adult"
"ad","female",7,-106.2398529,51.8811537,1973,"Euphagus cyanocephalus","Euphagus_cyanocephalus",60.3,NA,2.4,426,12.8550897831689,79.4319047333171,"Summer",35610,1.45,363.5,13.8039353614306,69.903246502979,1.24,378.6,14.1141849284885,84.5418480069478,"F","Adult"
"ad","female",6,-97.3223877,49.4038247,1968,"Euphagus cyanocephalus","Euphagus_cyanocephalus",58.7,NA,2.5,649,13.0397178813133,90.6098399053963,"Summer",35148,2.25,524,13.4862215735759,79.2577487079845,1.94,532,14.0698141503462,78.5284719396948,"F","Adult"
"ad","male",5,-105.7974653,37.4540936,1973,"Euphagus cyanocephalus","Euphagus_cyanocephalus",72.8,NA,4.6,178,9.93844692458169,88.0229219365172,"Spring",35181,5.05,174,9.91383140703962,84.3313782900809,5.36,185.6,9.38328103852712,79.0613799247215,"M","Adult"
"ad","female",5,-105.8520425,37.468594,1973,"Euphagus cyanocephalus","Euphagus_cyanocephalus",59.6,NA,4.5,174,9.94138503246084,85.7456095485963,"Spring",35196,4.95,174.5,9.92344465901717,83.6601059195046,5.26,186.4,9.38044059129475,78.4759054542983,"F","Adult"
"ad","female",7,-106.2398529,51.8811537,1973,"Euphagus cyanocephalus","Euphagus_cyanocephalus",59.7,NA,2.4,426,12.8550897831689,79.4319047333171,"Summer",35249,1.45,363.5,13.8039353614306,69.903246502979,1.24,378.6,14.1141849284885,84.5418480069478,"F","Adult"
"ad","female",7,-106.2398529,51.8811537,1973,"Euphagus cyanocephalus","Euphagus_cyanocephalus",63.2,NA,2.4,426,12.8550897831689,79.4319047333171,"Summer",35250,1.45,363.5,13.8039353614306,69.903246502979,1.24,378.6,14.1141849284885,84.5418480069478,"F","Adult"
"ad","male",7,-106.9159556,51.9799254,1973,"Euphagus cyanocephalus","Euphagus_cyanocephalus",71.1,238.4,2.5,375,12.859176065787,71.4516492589092,"Summer",35214,1.55,339.5,13.7563899624636,70.3979043197161,1.32,360.6,14.0911230624549,89.3637574926686,"M","Adult"
"ad","male",5,-105.7974653,37.4540936,1973,"Euphagus cyanocephalus","Euphagus_cyanocephalus",71.2,NA,4.6,178,9.93844692458169,88.0229219365172,"Spring",35183,5.05,174,9.91383140703962,84.3313782900809,5.36,185.6,9.38328103852712,79.0613799247215,"M","Adult"
"ad","female",7,-106.2398529,51.8811537,1973,"Euphagus cyanocephalus","Euphagus_cyanocephalus",58.39,NA,2.4,426,12.8550897831689,79.4319047333171,"Summer",35608,1.45,363.5,13.8039353614306,69.903246502979,1.24,378.6,14.1141849284885,84.5418480069478,"F","Adult"
"ad","female",5,-105.7974653,37.4540936,1973,"Euphagus cyanocephalus","Euphagus_cyanocephalus",62.2,NA,4.6,178,9.93844692458169,88.0229219365172,"Spring",35185,5.05,174,9.91383140703962,84.3313782900809,5.36,185.6,9.38328103852712,79.0613799247215,"F","Adult"
