"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","female",6,-93.5833333,45.3,1927,"Spermophilus tridecemlineatus tridecemlineatus","Ictidomys_tridecemlineatus",160,NA,5.6,767,12.035704458742,56.9537566177129,"Summer",182692,5.65,764.5,12.0115405130928,75.5284669756982,5.9,675.2,12.1990999820886,85.5617484673347,"F","Adult"
"adult","female",5,-93.5833333,45.3,1927,"Spermophilus tridecemlineatus tridecemlineatus","Ictidomys_tridecemlineatus",195,NA,5.6,767,12.035704458742,56.9537566177129,"Spring",182653,5.65,764.5,12.0115405130928,75.5284669756982,5.9,675.2,12.1990999820886,85.5617484673347,"F","Adult"
"adult","female",4,-93.5833333,45.3,1927,"Spermophilus tridecemlineatus tridecemlineatus","Ictidomys_tridecemlineatus",166.5,NA,5.6,767,12.035704458742,56.9537566177129,"Spring",182691,5.65,764.5,12.0115405130928,75.5284669756982,5.9,675.2,12.1990999820886,85.5617484673347,"F","Adult"
"adult","male",1,-104.821363,38.833882,1978,"Spermophilus tridecemlineatus","Ictidomys_tridecemlineatus",55,193,8.9,319,9.33275025234937,82.5968477005459,"Winter",182577,9.65,334,8.95199236894324,101.415563676845,9.56,358.8,8.5330881448294,84.9808517559404,"M","Adult"
"adult","male",4,-93.5833333,45.3,1927,"Spermophilus tridecemlineatus tridecemlineatus","Ictidomys_tridecemlineatus",162,NA,5.6,767,12.035704458742,56.9537566177129,"Spring",182652,5.65,764.5,12.0115405130928,75.5284669756982,5.9,675.2,12.1990999820886,85.5617484673347,"M","Adult"
"adult","male",8,-93.5833333,45.3,1926,"Spermophilus tridecemlineatus tridecemlineatus","Ictidomys_tridecemlineatus",156.5,NA,5.7,762,11.9873765674436,94.1031773336835,"Summer",182651,6.05,664,11.9766992693832,98.5512960441777,6.18,646,12.4209092206924,85.5155498907743,"M","Adult"
"adult","male",8,-93.5833333,45.3,1926,"Spermophilus tridecemlineatus tridecemlineatus","Ictidomys_tridecemlineatus",150,NA,5.7,762,11.9873765674436,94.1031773336835,"Summer",182690,6.05,664,11.9766992693832,98.5512960441777,6.18,646,12.4209092206924,85.5155498907743,"M","Adult"
"adult","male",8,-93.5833333,45.3,1926,"Spermophilus tridecemlineatus tridecemlineatus","Ictidomys_tridecemlineatus",140,NA,5.7,762,11.9873765674436,94.1031773336835,"Summer",182689,6.05,664,11.9766992693832,98.5512960441777,6.18,646,12.4209092206924,85.5155498907743,"M","Adult"
"immature","female",7,-101.631486,47.328918,1989,"Ictidomys tridecemlineatus","Ictidomys_tridecemlineatus",96.4,243,4.7,304,13.9035857594254,74.0345002633195,"Summer",182525,5.5,274.5,13.5293070896417,73.8994524250577,5.6,379.8,12.2843731672105,86.906517378982,"F","Juvenile"
"immature","male",7,-107.0108,41.9077,1989,"Ictidomys tridecemlineatus","Ictidomys_tridecemlineatus",48.6,185,6.3,217,10.3284653734084,71.0274128645181,"Summer",182554,6.4,199,10.5764855504021,68.5861943318156,6.18,218.8,9.97951309630701,54.3777245780349,"M","Juvenile"
"immature","male",7,-101.631486,47.328918,1989,"Ictidomys tridecemlineatus","Ictidomys_tridecemlineatus",92,230,4.7,304,13.9035857594254,74.0345002633195,"Summer",182526,5.5,274.5,13.5293070896417,73.8994524250577,5.6,379.8,12.2843731672105,86.906517378982,"M","Juvenile"
"immature","male",7,-101.631486,47.328918,1989,"Ictidomys tridecemlineatus","Ictidomys_tridecemlineatus",99.5,244,4.7,304,13.9035857594254,74.0345002633195,"Summer",182503,5.5,274.5,13.5293070896417,73.8994524250577,5.6,379.8,12.2843731672105,86.906517378982,"M","Juvenile"
"immature","male",8,-107.2392,42.2564,1990,"Ictidomys tridecemlineatus","Ictidomys_tridecemlineatus",77,190,4.6,350,9.61055291191549,53.0549793054295,"Summer",182533,4.3,364,9.9614932832156,61.0821772091328,4.3,371.4,9.55574982963066,60.2123754127988,"M","Juvenile"
"immature","male",7,-101.631486,47.328918,1989,"Ictidomys tridecemlineatus","Ictidomys_tridecemlineatus",98.1,234,4.7,304,13.9035857594254,74.0345002633195,"Summer",182504,5.5,274.5,13.5293070896417,73.8994524250577,5.6,379.8,12.2843731672105,86.906517378982,"M","Juvenile"
"subadult","male",10,-86.922517,40.428057,1949,"Spermophilus tridecemlineatus","Ictidomys_tridecemlineatus",111,240,11.7,953,9.34475626739241,45.5474775570521,"Fall",182655,11.35,943.5,9.73919681163916,39.6084407386478,11.06,917.6,9.79315760969698,47.6760251126544,"M","Adult"
"unknown","male",8,-98.67078,39.7775,1964,"Spermophilus tridecemlineatus","Ictidomys_tridecemlineatus",101.1,258,12.3,475,10.7066780350142,81.5741378424829,"Summer",182586,12.65,542,11.4531573829102,85.1312486892684,11.74,623,11.2789967159817,82.5524373228549,"M","NS"
"unknown","male",5,-86.1089,42.7875,1928,"Spermophilus tridecemlineatus","Ictidomys_tridecemlineatus",121.2,185,8.9,915,8.97739163711045,55.5813813726481,"Spring",182580,9.1,920.5,8.91174794932591,53.8246020972198,8.52,868.8,9.45775549987867,49.562071696322,"M","NS"
"unknown","female",8,-85.589,42.2008,1987,"Spermophilus tridecemlineatus","Ictidomys_tridecemlineatus",64,220,10.5,916,9.70504398691107,62.4147313551031,"Summer",182583,10.1,1006,9.78213835015536,65.1235429792788,9.78,995.8,10.2033454362715,50.5964854499206,"F","NS"
