"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad.","female",8,-118.254488,37.63397,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",26.1,NA,-4.1,230,8.09086184868741,186.461888183546,"Summer",43683,-4.3,349.5,7.38954606300237,149.081645975117,-4.32,401,6.87164001788322,116.155235632216,"F","Adult"
"ad.","female",8,-118.25254,37.61851,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",24.5,NA,-1.8,216,8.1099779546089,182.804563448259,"Summer",44076,-2,333.5,7.47175634463051,147.467754179138,-2.06,381.8,6.94976348031582,115.80768565679,"F","Adult"
"ad.","female",8,-118.25254,37.61851,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",26.1,NA,-1.8,216,8.1099779546089,182.804563448259,"Summer",43684,-2,333.5,7.47175634463051,147.467754179138,-2.06,381.8,6.94976348031582,115.80768565679,"F","Adult"
"ad.","female",8,-118.22224,37.59175,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",24.8,NA,-1.3,209,8.10951554806096,176.75630463477,"Summer",44067,-1.5,324.5,7.49027579769287,143.461102505972,-1.56,376,6.96606590257423,113.765788342759,"F","Adult"
"ad.","female",8,-118.25254,37.61851,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",25.8,NA,-1.8,216,8.1099779546089,182.804563448259,"Summer",44075,-2,333.5,7.47175634463051,147.467754179138,-2.06,381.8,6.94976348031582,115.80768565679,"F","Adult"
"ad.","male",8,-118.25254,37.61851,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",26.9,NA,-1.8,216,8.1099779546089,182.804563448259,"Summer",44074,-2,333.5,7.47175634463051,147.467754179138,-2.06,381.8,6.94976348031582,115.80768565679,"M","Adult"
"ad.","female",8,-118.22224,37.59175,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",24.4,NA,-1.3,209,8.10951554806096,176.75630463477,"Summer",44071,-1.5,324.5,7.49027579769287,143.461102505972,-1.56,376,6.96606590257423,113.765788342759,"F","Adult"
"ad.","female",7,-119.273445,37.765953,1915,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",24.5,NA,1.1,1046,6.48204980673318,124.85578715087,"Summer",44058,0.6,1115,6.54112533801822,157.049604544951,-0.32,1066.4,6.62950144398391,127.087322730174,"F","Adult"
"ad.","male",7,-119.34684,37.93371,1915,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",24.8,NA,1.8,875,6.29378601671859,118.755430649825,"Summer",43672,1.35,927,6.37102960878146,152.307820059549,0.46,893.8,6.44775615361333,122.277792105497,"M","Adult"
"ad.","female",8,-118.25254,37.61851,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",24.1,NA,-1.8,216,8.1099779546089,182.804563448259,"Summer",43686,-2,333.5,7.47175634463051,147.467754179138,-2.06,381.8,6.94976348031582,115.80768565679,"F","Adult"
"ad.","male",8,-118.22224,37.59175,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",25.7,NA,-1.3,209,8.10951554806096,176.75630463477,"Summer",43680,-1.5,324.5,7.49027579769287,143.461102505972,-1.56,376,6.96606590257423,113.765788342759,"M","Adult"
"ad.","male",8,-118.4038291,36.7726259,1916,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",25.8,NA,1.5,1725,6.74689603155451,154.344209769969,"Summer",44061,1.3,1266.5,6.64532948266039,131.508260127412,0.78,1104.6,6.53746624519451,158.67596934522,"M","Adult"
"ad.","male",8,-118.22224,37.59175,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",25.6,NA,-1.3,209,8.10951554806096,176.75630463477,"Summer",43678,-1.5,324.5,7.49027579769287,143.461102505972,-1.56,376,6.96606590257423,113.765788342759,"M","Adult"
"ad.","male",9,-119.2436,37.97494,1915,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",23.7,NA,1.8,703,6.39878658004545,122.170320590885,"Fall",44179,1.4,730.5,6.47832916230591,152.910468518895,0.54,705.2,6.54316743587807,119.713757455824,"M","Adult"
"ad.","female",8,-118.25254,37.61851,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",25,NA,-1.8,216,8.1099779546089,182.804563448259,"Summer",43689,-2,333.5,7.47175634463051,147.467754179138,-2.06,381.8,6.94976348031582,115.80768565679,"F","Adult"
"ad.","female",7,-119.2574555,37.7721809,1915,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",25,NA,1.1,969,6.44632852988052,125.556437429124,"Summer",44057,0.65,1024,6.50817383551808,156.485711970614,-0.24,986,6.59243774806081,124.627383595339,"F","Adult"
"ad.","male",8,-118.25254,37.61851,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",27.7,NA,-1.8,216,8.1099779546089,182.804563448259,"Summer",43685,-2,333.5,7.47175634463051,147.467754179138,-2.06,381.8,6.94976348031582,115.80768565679,"M","Adult"
"ad.","male",8,-118.22224,37.59175,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",23.5,NA,-1.3,209,8.10951554806096,176.75630463477,"Summer",43682,-1.5,324.5,7.49027579769287,143.461102505972,-1.56,376,6.96606590257423,113.765788342759,"M","Adult"
"ad.","female",3,-119.006702,38.211724,1953,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",24.4,NA,3.4,176,6.45928976300214,70.157330974079,"Spring",43796,3.2,262.5,7.16539786093862,81.3808461807939,3.42,259.2,7.30663343045665,84.2410938372175,"F","Adult"
"ad.","male",8,-118.4038291,36.7726259,1916,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",25.4,NA,1.5,1725,6.74689603155451,154.344209769969,"Summer",44060,1.3,1266.5,6.64532948266039,131.508260127412,0.78,1104.6,6.53746624519451,158.67596934522,"M","Adult"
"ad.","female",3,-119.006702,38.211724,1953,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",23.7,NA,3.4,176,6.45928976300214,70.157330974079,"Spring",43799,3.2,262.5,7.16539786093862,81.3808461807939,3.42,259.2,7.30663343045665,84.2410938372175,"F","Adult"
"ad.","male",7,-119.273445,37.765953,1915,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",24,NA,1.1,1046,6.48204980673318,124.85578715087,"Summer",44059,0.6,1115,6.54112533801822,157.049604544951,-0.32,1066.4,6.62950144398391,127.087322730174,"M","Adult"
"ad.","male",8,-118.22224,37.59175,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",25.4,NA,-1.3,209,8.10951554806096,176.75630463477,"Summer",44072,-1.5,324.5,7.49027579769287,143.461102505972,-1.56,376,6.96606590257423,113.765788342759,"M","Adult"
"ad.","female",8,-118.22224,37.59175,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",24.7,NA,-1.3,209,8.10951554806096,176.75630463477,"Summer",44066,-1.5,324.5,7.49027579769287,143.461102505972,-1.56,376,6.96606590257423,113.765788342759,"F","Adult"
"ad.","female",8,-118.22224,37.59175,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",22.6,NA,-1.3,209,8.10951554806096,176.75630463477,"Summer",43681,-1.5,324.5,7.49027579769287,143.461102505972,-1.56,376,6.96606590257423,113.765788342759,"F","Adult"
"ad.","female",8,-118.22224,37.59175,1917,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",21.9,NA,-1.3,209,8.10951554806096,176.75630463477,"Summer",44070,-1.5,324.5,7.49027579769287,143.461102505972,-1.56,376,6.96606590257423,113.765788342759,"F","Adult"
