"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"1st year","male",6,-101.154,42.689,2011,"Loxia curvirostra","Loxia_curvirostra",37.6,NA,8.6,588,10.9408706927352,76.5386514021295,"Summer",188217,8.9,558.5,10.7423089711003,86.5054949523856,8.44,580.8,10.6853044558447,81.6270187160865,"M","Juvenile"
"ad","male",11,-78.91339,45.22917,1969,"Loxia curvirostra benti X bendirei","Loxia_curvirostra",37.3,163,4.6,936,10.5736665467767,50.380479793518,"Fall",188066,4.6,879,10.9911561291201,40.2573709938345,4.32,975.8,10.7910935662929,45.0952657130817,"M","Adult"
"ad","female",1,-79.01041,45.28741,1970,"Loxia curvirostra bendirei X minor","Loxia_curvirostra",30.9,160,4.2,947,11.8966254446249,40.0032993102182,"Winter",188070,4.45,943.5,11.2463755472486,45.4119542434282,4.46,953,11.0858949572807,42.3753068699282,"F","Adult"
"ad","male",3,-79.0412,46.26924,1948,"Loxia curvirostra bendirei","Loxia_curvirostra",32,NA,4.5,854,12.0482458172436,42.4567018971805,"Spring",187405,4.3,906,12.1389134102488,48.1479793402794,4.4,814.6,11.8027850314274,45.2625886353009,"M","Adult"
"ad","female",3,-79.83131,43.94852,1951,"Loxia curvirostra sitkensis","Loxia_curvirostra",25,NA,6.5,946,9.66290940565098,28.6254549749812,"Spring",188084,6.1,896.5,9.66632449518711,39.1573040693829,6.54,842.8,10.0569293517742,38.2897625012947,"F","Adult"
"ad","male",7,-122.6094818,49.2960238,1973,"Loxia curvirostra bendirei","Loxia_curvirostra",26.6,NA,9,1607,5.43330777090101,76.9042180489454,"Summer",188074,8.8,1866.5,5.84504295681266,70.3592141469937,8.84,1789.2,6.06045323859846,62.0805807727557,"M","Adult"
"ad","[female]",2,-78.82844,44.75101,1968,"Loxia curvirostra minor","Loxia_curvirostra",27.4,NA,5.5,827,11.1664676599182,27.8180567488885,"Winter",187402,5.3,939.5,10.8103049723172,34.8657378840354,5.38,887,10.4080118472828,40.1871999690732,"F","Adult"
"ad","female",12,-78.59997,45.55102,1960,"Loxia curvirostra sitkensis","Loxia_curvirostra",25,NA,3,861,11.3695233236077,37.9498194968391,"Winter",188088,3.05,964.5,12.013065087085,35.0263929148692,3.1,924,11.2471233880176,42.2376375863274,"F","Adult"
"ad","female",7,-122.6094818,49.2960238,1973,"Loxia curvirostra sitkensis","Loxia_curvirostra",31.4,NA,9,1607,5.43330777090101,76.9042180489454,"Summer",187400,8.8,1866.5,5.84504295681266,70.3592141469937,8.84,1789.2,6.06045323859846,62.0805807727557,"F","Adult"
"ad","male",12,-78.59997,45.55102,1960,"Loxia curvirostra sitkensis","Loxia_curvirostra",29,NA,3,861,11.3695233236077,37.9498194968391,"Winter",187406,3.05,964.5,12.013065087085,35.0263929148692,3.1,924,11.2471233880176,42.2376375863274,"M","Adult"
