"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"adult","male",1,-148.27,65.38,2004,"Martes americana","Martes_americana",921,610,-1.3,260,14.70091731,74.13196015,"Winter",166094,-1.2,277.5,13.5929429663312,88.7384394503212,-1.22,306,12.6427394314985,104.036598208509,"M","Adult"
"adult","female",2,-146.45,65.15,2004,"Martes americana","Martes_americana",612,572,-2.5,330,13.05850472,64.73209051,"Winter",166146,-2.3,385.5,11.8601206962141,71.2668708925418,-2.18,420.2,11.027855746122,90.9343630351958,"F","Adult"
"adult","male",12,-148.66,64.65,2003,"Martes americana","Martes_americana",958,654,-1.6,281,13.02344041,104.4412645,"Winter",166801,-1.2,307.5,12.5382275503743,111.699601206809,-2.16,303.6,13.4067116818096,110.779484504753,"M","Adult"
"adult","male",12,-148.27,65.38,2003,"Martes americana","Martes_americana",640,629,-1.1,289,12.5333827,103.0009136,"Winter",166839,-0.8,325,12.0018561977851,110.830723860565,-1.76,318.4,12.8850877254873,108.444616462882,"M","Adult"
"adult","female",2,-146.45,65.15,2004,"Martes americana","Martes_americana",639,590,-2.5,330,13.05850472,64.73209051,"Winter",166123,-2.3,385.5,11.8601206962141,71.2668708925418,-2.18,420.2,11.027855746122,90.9343630351958,"F","Adult"
"adult","male",12,-148.27,65.38,2003,"Martes americana","Martes_americana",867,660,-1.1,289,12.5333827,103.0009136,"Winter",166078,-0.8,325,12.0018561977851,110.830723860565,-1.76,318.4,12.8850877254873,108.444616462882,"M","Adult"
"adult","male",12,-148.16,64.39,2003,"Martes americana","Martes_americana",1205,640,-1.6,267,13.14183696,97.40963581,"Winter",166076,-1.3,298,12.7055491295375,106.764592375896,-2.24,297.6,13.5493150336218,107.40290862607,"M","Adult"
"adult","female",12,-148.27,65.38,2003,"Martes americana","Martes_americana",493,540,-1.1,289,12.5333827,103.0009136,"Winter",166099,-0.8,325,12.0018561977851,110.830723860565,-1.76,318.4,12.8850877254873,108.444616462882,"F","Adult"
"adult","female",1,-148.66,64.65,2004,"Martes americana","Martes_americana",725,612,-1.7,243,15.16314062,71.50424438,"Winter",166148,-1.65,260.5,14.1033636102466,88.2143824975864,-1.62,286.4,13.1717566002063,105.065196607538,"F","Adult"
"adult","male",12,-148.27,65.38,2003,"Martes americana","Martes_americana",850,655,-1.1,289,12.5333827,103.0009136,"Winter",166079,-0.8,325,12.0018561977851,110.830723860565,-1.76,318.4,12.8850877254873,108.444616462882,"M","Adult"
"adult","male",1,-148.27,65.38,2004,"Martes americana","Martes_americana",813,645,-1.3,260,14.70091731,74.13196015,"Winter",166822,-1.2,277.5,13.5929429663312,88.7384394503212,-1.22,306,12.6427394314985,104.036598208509,"M","Adult"
"adult","male",12,-148.27,65.38,2003,"Martes americana","Martes_americana",600,640,-1.1,289,12.5333827,103.0009136,"Winter",166077,-0.8,325,12.0018561977851,110.830723860565,-1.76,318.4,12.8850877254873,108.444616462882,"M","Adult"
"adult","female",12,-148.66,64.65,2003,"Martes americana","Martes_americana",664,603,-1.6,281,13.02344041,104.4412645,"Winter",166101,-1.2,307.5,12.5382275503743,111.699601206809,-2.16,303.6,13.4067116818096,110.779484504753,"F","Adult"
"adult","male",1,-148.27,65.38,2004,"Martes americana","Martes_americana",957,664,-1.3,260,14.70091731,74.13196015,"Winter",166087,-1.2,277.5,13.5929429663312,88.7384394503212,-1.22,306,12.6427394314985,104.036598208509,"M","Adult"
"adult","female",1,-156.1,63.02,2003,"Martes americana","Martes_americana",692,609,0.3,548,12.02341151,90.8037305,"Winter",166963,0.8,464.5,11.4336872721754,78.5342898677579,-0.56,449,12.2598190569324,85.9366224296904,"F","Adult"
"adult","male",8,-118.9833333,37.65,1916,"Martes americana sierrae","Martes_americana",907,NA,4.3,959,7.545633897,149.088494,"Summer",166562,4.25,835.5,6.98684453538621,139.313756601726,3.56,717.8,6.7870871722559,137.209493773463,"M","Adult"
