"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad.","male",7,-83.5086,31.5518,1951,"Melanerpes carolinus carolinus","Melanerpes_carolinus",75,NA,19.5,1138,6.56050510804826,54.879597299191,"Summer",188753,19.35,1063.5,6.51474937686531,60.6050834961314,19.48,1291.2,6.39722785868501,52.5130622727075,"M","Adult"
"ad.","male",2,-80.3975,27.6383,1970,"Melanerpes carolinus perplexus","Melanerpes_carolinus",63.7,NA,22.1,1474,4.96755381541971,62.818599045951,"Winter",188759,22,1621.5,5.07471025422045,60.6365233223366,22.02,1473.4,4.56815540630389,74.9209753086608,"M","Adult"
"ad.","female",7,-83.4384,31.5994,1951,"Melanerpes carolinus carolinus","Melanerpes_carolinus",65.6,NA,19.4,1141,6.62728519764384,55.9148181157342,"Summer",188664,19.3,1073,6.58113630983578,61.003516763118,19.44,1301.4,6.46613100015061,52.2759324746536,"F","Adult"
"ad. s.f.o.","male",6,-95.266,33.662,1972,"Melanerpes carolinus zebra","Melanerpes_carolinus",84.3,NA,17.6,900,8.6533580799945,73.067642933552,"Summer",188822,17.6,1025,8.19150439180812,75.1909513047824,17.26,1131.6,8.38210933826805,65.2463036499583,"M","Adult"
"adult","male",12,-97.0596898,37.3730211,1967,"Melanerpes carolinus zebra","Melanerpes_carolinus",78.3,NA,14.3,815,8.46140524900438,89.857542051129,"Winter",188750,14.15,658,9.21209793529858,85.5355052923136,14.42,735.4,9.8883025901201,79.5883004245466,"M","Adult"
"adult","female",12,-84.5755157,31.0779801,1946,"Melanerpes carolinus","Melanerpes_carolinus",65.8,NA,20.1,1406,5.63226635045114,50.0610995394205,"Winter",188766,20.05,1396.5,6.17509901535427,51.3486915280484,19.78,1398.2,6.61633878338376,54.3148193809837,"F","Adult"
"adult","male",9,-83.5919237,42.0864075,2007,"Melanerpes carolinus zebra","Melanerpes_carolinus",70.5,NA,9.7,903,10.5557502640203,49.1079846212454,"Fall",188809,10,1009,9.61211163462582,40.0424701908315,9.54,914.8,10.0018777516585,48.2656086791822,"M","Adult"
"adult","female",11,-79.798851,32.8683417,1937,"Melanerpes carolinus","Melanerpes_carolinus",71,NA,18.8,1212,6.61492802132213,44.5714539030809,"Fall",188706,18.8,1152.5,6.9364169233377,45.7355743982189,18.98,1147.2,6.87574501970484,60.8235363990763,"F","Adult"
"adult","female",1,-83.6042404,42.3037217,2002,"Melanerpes carolinus","Melanerpes_carolinus",74.5,NA,10.7,745,9.89823981903609,33.580272621425,"Winter",188686,10.65,813,9.62780100766759,42.8103031031491,10.58,889.4,9.66744156675554,45.9419607759523,"F","Adult"
"adult","male",12,-97.0596898,37.3730211,1967,"Melanerpes carolinus","Melanerpes_carolinus",78,NA,14.3,815,8.46140524900438,89.857542051129,"Winter",188749,14.15,658,9.21209793529858,85.5355052923136,14.42,735.4,9.8883025901201,79.5883004245466,"M","Adult"
"adult","male",1,-85.5156898,42.1720552,2005,"Melanerpes carolinus","Melanerpes_carolinus",86.2,NA,9.9,777,10.8481250998418,51.987263809788,"Winter",188689,9.75,886.5,10.3434640748664,57.5365319819403,9.7,904.8,9.98670005416437,51.8664252159171,"M","Adult"
"adult","male",5,-79.88747,42.97189,1984,"Melanerpes carolinus zebra","Melanerpes_carolinus",78.4,NA,8.1,955,9.7395009516853,39.7275272072478,"Spring",188762,8.35,984.5,9.67202858107563,33.8349735931429,8.04,963,9.80134498500419,34.8137490104059,"M","Adult"
"adult","male",4,-84.4134521,42.2468185,1976,"Melanerpes carolinus","Melanerpes_carolinus",83.4,NA,8.1,755,10.3594013808568,51.5892687252993,"Spring",188680,8.6,889,10.071691284215,50.105142959698,8.68,887.2,9.90509393598921,42.7900402629254,"M","Adult"
"adult","female",8,-85.5156898,42.1720552,2009,"Melanerpes carolinus zebra","Melanerpes_carolinus",70.5,NA,9.3,1115,9.8819241164069,47.8057734128908,"Summer",188790,9.35,1145.5,10.1275761665684,52.2486145878377,9.9,1011,10.1273107264134,49.8393301620632,"F","Adult"
"adult","female",7,-95.4519653,30.6142774,1976,"Melanerpes carolinus zebra","Melanerpes_carolinus",69,NA,18.5,1235,6.85118879310648,45.4550669841441,"Summer",188761,19,1211,6.676570357241,46.5866768029831,19.32,1333.4,6.80145118078301,46.9285429557554,"F","Adult"
"adult","male",2,-84.040295,42.5252814,1933,"Melanerpes carolinus","Melanerpes_carolinus",90,NA,9.5,650,10.4353819752655,45.9002824969245,"Winter",188704,9.3,760.5,10.0630495914927,46.3838521866419,9.16,696.8,10.0718154439503,49.1076015151807,"M","Adult"
"adult","male",2,-84.1217136,42.1523961,2003,"Melanerpes carolinus","Melanerpes_carolinus",90,NA,8.9,909,10.166656731242,49.069738704739,"Winter",188784,9.6,837,10.0313307173512,40.3735780342996,9.68,880.6,9.90852403800033,48.6832919427963,"M","Adult"
"adult","female",10,-86.9086075,40.4267349,1983,NA,"Melanerpes_carolinus",73,NA,11,920,10.9214134949315,55.5511695045316,"Fall",188708,10.55,987,10.7339022595903,45.1349531429682,10.26,939.8,10.8157612786853,54.1914854186433,"F","Adult"
