"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex","lifestage"
"Ad","female",9,-105.59309,35.77128,2008,"Microtus longicaudus","Microtus_longicaudus",24,158,3.7,927,7.03954199612102,58.3951049270292,"Fall",58742,3.8,986.5,7.36776092984977,56.446448075307,3.84,1023.8,7.02198022981941,65.7818251988002,"F","Adult"
"Ad","male",9,-105.59307,35.77128,2008,"Microtus longicaudus","Microtus_longicaudus",29,168,3.7,927,7.03954199612102,58.3951049270292,"Fall",59802,3.8,986.5,7.36776092984977,56.446448075307,3.84,1023.8,7.02198022981941,65.7818251988002,"M","Adult"
"Ad","female",9,-105.59309,35.77128,2008,"Microtus longicaudus","Microtus_longicaudus",21.5,140,3.7,927,7.03954199612102,58.3951049270292,"Fall",57799,3.8,986.5,7.36776092984977,56.446448075307,3.84,1023.8,7.02198022981941,65.7818251988002,"F","Adult"
"Ad","male",9,-105.59309,35.77128,2008,"Microtus longicaudus","Microtus_longicaudus",28,149,3.7,927,7.03954199612102,58.3951049270292,"Fall",58743,3.8,986.5,7.36776092984977,56.446448075307,3.84,1023.8,7.02198022981941,65.7818251988002,"M","Adult"
"adult","male",8,-113.51654,44.97591,2010,"Microtus longicaudus","Microtus_longicaudus",45.6,184,5.1,548,8.34836220555574,61.522065710089,"Summer",59827,4.85,481,8.85195535659741,60.1360803229652,5.32,422,8.95699583147668,67.9378984719869,"M","Adult"
"adult","female",7,-122.4262,42.9416,2007,"Microtus longicaudus","Microtus_longicaudus",33,169,8.8,1327,6.45844525807219,70.0108135937096,"Summer",58695,9.05,1425.5,6.48869309634711,84.0524870933157,9.26,1357,6.37977168858128,83.6188107685759,"F","Adult"
"adult","male",6,-130.0666666667,55.9666666667,1990,"Microtus longicaudus","Microtus_longicaudus",48.2,195,5.5,1520,8.08612728971382,69.5554651324465,"Summer",59134,5.7,1484.5,7.83764460946548,77.9616424200412,5.82,1537.4,6.98164726948897,61.4182628172815,"M","Adult"
"adult","female",6,-134.4387,58.4216,2010,"Microtus longicaudus","Microtus_longicaudus",53,190,2.1,3622,6.0437546026431,70.4763538819532,"Summer",59862,1.5,3735,6.63463615227625,68.4279891240647,1.02,3640.6,6.61747913209623,56.9834008633811,"F","Adult"
"adult","male",7,-135.1499,58.4245,2010,"Microtus longicaudus","Microtus_longicaudus",35,183,3,3360,5.93471425877719,58.1165292258768,"Summer",60521,2.35,3605,6.49599537647314,66.460193129406,1.86,3528.6,6.50462588869174,55.4506079564613,"M","Adult"
"adult","male",6,-107.2892,44.0511,2010,"Microtus longicaudus","Microtus_longicaudus",36,176,5.6,467,8.85808567457901,94.2121630792873,"Summer",58818,5.3,474.5,8.83139026551321,85.643451807558,5.86,478,9.01957181616429,81.4555633664498,"M","Adult"
